name,status,profile_url,image_url,jersey_name,jersey_number,nation,nation_code,club,place_of_birth,full_name,position,height,date_of_birth,appearances,goals,assists,own_goals,yellow_cards,second_yellow,red_cards,substituted_on,substituted_off,minutes_played
Andre Blake,Philadelphia Union,https://www.transfermarkt.us/andre-blake/profil/spieler/244149,https://img.a.transfermarkt.technology/portrait/small/244149-1740839169.jpg?lm=1,Blake,-,Jamaica,jm,Philadelphia Union,May Pen,Andre Jason Blake,Goalkeeper,"1,88 m",21.11.1990,303,0,0,0,12,0,0,0,7,27.272
Alejandro Bedoya,Philadelphia Union,https://www.transfermarkt.us/alejandro-bedoya/profil/spieler/111783,https://img.a.transfermarkt.technology/portrait/small/111783-1740839155.jpg?lm=1,Bedoya,11,United States,us,Philadelphia Union,"Englewood, New Jersey",Unknown,Midfield - Central Midfield,"1,82 m",29.04.1987,291,29,30,0,62,1,0,38,72,22.773
Jack Elliott,Chicago Fire FC,https://www.transfermarkt.us/jack-elliott/profil/spieler/490362,https://img.a.transfermarkt.technology/portrait/small/490362-1740681949.jpg?lm=1,Elliott,Unknown,England,unknown,Philadelphia Union,London,Jack Stuart Elliott,Defender - Centre-Back,"1,95 m",25.08.1995,270,14,10,3,40,2,2,13,10,23.344
Raymon Gaddis,Retired,https://www.transfermarkt.us/raymon-gaddis/profil/spieler/213017,https://img.a.transfermarkt.technology/portrait/small/213017-1678122019.jpg?lm=1,Gaddis,Unknown,United States,us,Philadelphia Union,"Indianapolis, Indiana",Unknown,Defender - Right-Back,"1,75 m",13.01.1990,248,0,6,1,27,0,0,12,23,21.239
Kai Wagner,Philadelphia Union,https://www.transfermarkt.us/kai-wagner/profil/spieler/357842,https://img.a.transfermarkt.technology/portrait/small/357842-1740840355.jpg?lm=1,Wagner,Unknown,Germany,de,Philadelphia Union,Geislingen an der Steige,Kai Harley Wagner,Defender - Left-Back,"1,82 m",15.02.1997,220,8,48,0,40,2,1,6,15,19.303
Jakob Glesnes,Philadelphia Union,https://www.transfermarkt.us/jakob-glesnes/profil/spieler/185636,https://img.a.transfermarkt.technology/portrait/small/185636-1740839445.jpg?lm=1,Glesnes,6,Norway,no,Philadelphia Union,Steinsland,Unknown,Defender - Centre-Back,"1,88 m",25.03.1994,191,9,7,4,27,0,0,5,7,16.846
Sébastien Le Toux,Retired,https://www.transfermarkt.us/sebastien-le-toux/profil/spieler/23944,https://img.a.transfermarkt.technology/portrait/small/23944-1602951574.jpg?lm=1,Le Toux,Unknown,France,fr,Philadelphia Union,Mont-Saint-Aignan,Unknown,Attack - Centre-Forward,"1,85 m",10.01.1984,189,53,46,0,8,0,0,30,40,14.525
Brian Carroll,Retired,https://www.transfermarkt.us/brian-carroll/profil/spieler/39404,https://img.a.transfermarkt.technology/portrait/small/39404-1606066063.jpg?lm=1,Carroll,-,United States,us,Philadelphia Union,"Springfield, Virginia",Unknown,Midfield - Defensive Midfield,"1,78 m",20.07.1981,180,7,2,0,24,0,0,12,17,15.015
Dániel Gazdag,Philadelphia Union,https://www.transfermarkt.us/daniel-gazdag/profil/spieler/249030,https://img.a.transfermarkt.technology/portrait/small/249030-1740839409.jpg?lm=1,Gazdag,8,Hungary,hu,Philadelphia Union,Nyíregyháza,Unknown,Midfield - Attacking Midfield,"1,78 m",02.03.1996,159,71,24,0,23,0,0,13,54,12.841
Sheanon Williams,Retired,https://www.transfermarkt.us/sheanon-williams/profil/spieler/125701,https://img.a.transfermarkt.technology/portrait/small/125701-1489304305.jpg?lm=1,Williams,19,United States,us,Philadelphia Union,"Boston, Massachusetts",Unknown,Defender - Right-Back,"1,80 m",17.03.1990,152,7,14,1,17,2,1,4,11,13.297
