rank,name,full_name,appearances,goals,assists,minutes_played,period,jersey_name,jersey_number,yellow_cards,red_cards,club,position,height,nation,nation_code,profile_url,image_url,club_logo_url,date_of_birth,place_of_birth,status
1,Álvaro Saborío,Álvaro Alberto Saborío Chacón,157,79,14,12.377,N/A,Saborío,9,23,0,Real Salt Lake City,Attack - Centre-Forward,"1,86 m",Costa Rica,cr,https://www.transfermarkt.us/alvaro-saborio/profil/spieler/35378,https://img.a.transfermarkt.technology/portrait/small/35378-1719000397.jpg?lm=1,N/A,25.03.1982,Quesada,Retired
2,Javier Morales,Javier Damián Morales,292,60,85,23.541,N/A,Morales,Unknown,45,1,Real Salt Lake City,Midfield - Attacking Midfield,"1,74 m",Argentina,ar,https://www.transfermarkt.us/javier-morales/profil/spieler/30886,https://img.a.transfermarkt.technology/portrait/small/30886-1489572648.jpg?lm=1,N/A,10.01.1980,Lomas de Zamora,Retired
3,Damir Kreilach,Unknown,168,56,19,13.056,N/A,Kreilach,-,28,1,Real Salt Lake City,Midfield - Central Midfield,"1,86 m",Croatia,hr,https://www.transfermarkt.us/damir-kreilach/profil/spieler/68884,https://img.a.transfermarkt.technology/portrait/small/68884-1740765567.jpg?lm=1,N/A,16.04.1989,Vukovar,Vancouver Whitecaps FC
4,Joao Plata,Joao Jimmy Plata Cotera,201,53,39,13.515,N/A,Plata,11,7,0,Real Salt Lake City,Attack - Left Winger,"1,60 m",Ecuador,ec,https://www.transfermarkt.us/joao-plata/profil/spieler/179319,https://img.a.transfermarkt.technology/portrait/small/179319-1549875585.jpg?lm=1,N/A,01.03.1992,Guayaquil,Without Club
5,Robbie Findley,Robert Findley,161,42,13,9.024,N/A,Findley,-,6,0,Real Salt Lake City,Attack - Centre-Forward,"1,75 m",United States,us,https://www.transfermarkt.us/robbie-findley/profil/spieler/27167,https://img.a.transfermarkt.technology/portrait/small/27167-1589276629.jpg?lm=1,N/A,04.08.1985,"Phoenix, Arizona",Retired
6,Albert Rusnák,Unknown,146,42,29,12.509,N/A,Rusnák,10,12,0,Real Salt Lake City,Midfield - Attacking Midfield,"1,80 m",Slovakia,sk,https://www.transfermarkt.us/albert-rusnak/profil/spieler/43228,https://img.a.transfermarkt.technology/portrait/small/43228-1740863377.jpg?lm=1,N/A,07.07.1994,Vyškov,Seattle Sounders FC
7,Jefferson Savarino,Jefferson David Savarino Quintero,142,40,30,11.787,N/A,Savarino,-,9,1,Real Salt Lake City,Midfield - Attacking Midfield,"1,68 m",Venezuela,ve,https://www.transfermarkt.us/jefferson-savarino/profil/spieler/309193,https://img.a.transfermarkt.technology/portrait/small/309193-1678299144.jpg?lm=1,N/A,11.11.1996,Maracaibo,Botafogo de Futebol e Regatas
8,Edgar Espíndola,Edgar Fabián Espíndola,152,38,20,10.356,N/A,Espíndola,Unknown,27,3,Real Salt Lake City,Attack - Centre-Forward,"1,75 m",Argentina,ar,https://www.transfermarkt.us/edgar-espindola/profil/spieler/59528,https://img.a.transfermarkt.technology/portrait/small/59528-1471506461.png?lm=1,N/A,04.05.1985,Merlo,Retired
9,Kyle Beckerman,Kyle Robert Beckerman,408,33,29,34.997,N/A,Beckerman,15,107,6,Real Salt Lake City,Midfield - Defensive Midfield,"1,77 m",United States,us,https://www.transfermarkt.us/kyle-beckerman/profil/spieler/26995,https://img.a.transfermarkt.technology/portrait/small/26995-1584044065.JPG?lm=1,N/A,23.04.1982,"Crofton, Maryland",Retired
10,Yura Movsisyan,Յուրա Մովսիսյան,122,32,12,7.734,N/A,Movsisyan,14,9,0,Real Salt Lake City,Attack - Centre-Forward,"1,81 m",Armenia,am,https://www.transfermarkt.us/yura-movsisyan/profil/spieler/39280,https://img.a.transfermarkt.technology/portrait/small/39280-1538654982.png?lm=1,N/A,02.08.1987,Baku,Retired
11,Anderson Julio,Anderson Andrés Julio Santos,129,28,9,4.815,N/A,Julio,11,7,0,Real Salt Lake City,Attack - Right Winger,"1,71 m",Ecuador,ec,https://www.transfermarkt.us/anderson-julio/profil/spieler/310640,https://img.a.transfermarkt.technology/portrait/small/310640-1740506395.jpg?lm=1,N/A,31.05.1996,Pimampiro,FC Dallas
12,Cristian Arango,Cristian Daniel Arango Duque,52,25,7,3.678,N/A,Arango,9,12,0,Real Salt Lake City,Attack - Centre-Forward,"1,76 m",Colombia,co,https://www.transfermarkt.us/cristian-arango/profil/spieler/262999,https://img.a.transfermarkt.technology/portrait/small/262999-1740594756.jpg?lm=1,N/A,09.03.1995,Medellín,San Jose Earthquakes
13,Jeff Cunningham,Jeffrey Ricardo Cunningham,38,19,9,3.006,N/A,Cunningham,11,7,0,Real Salt Lake City,Attack - Centre-Forward,"1,73 m",United States,us,https://www.transfermarkt.us/jeff-cunningham/profil/spieler/15415,https://img.a.transfermarkt.technology/portrait/small/15415-1586203998.jpg?lm=1,N/A,21.08.1976,Montego Bay,Retired
14,Jason Kreis,Jason Clarence Kreis,58,17,5,4.952,N/A,Kreis,11,8,0,Real Salt Lake City,Attack - Right Winger,"1,78 m",United States,us,https://www.transfermarkt.us/jason-kreis/profil/spieler/39420,https://img.a.transfermarkt.technology/portrait/small/39420-1586203516.jpg?lm=1,N/A,29.12.1972,"Omaha, Nebraska",Retired
15,Diego Luna,Diego Ángel Luna,86,17,9,5.173,N/A,Luna,-,9,0,Real Salt Lake City,Midfield - Left Midfield,"1,73 m",United States,us,https://www.transfermarkt.us/diego-luna/profil/spieler/880626,https://img.a.transfermarkt.technology/portrait/small/880626-1742221658.jpg?lm=1,N/A,07.09.2003,"Sunnyvale, California",Real Salt Lake City
16,Luke Mulholland,Unknown,138,16,14,9.560,N/A,Mulholland,Unknown,24,1,Real Salt Lake City,Midfield - Central Midfield,"1,80 m",England,unknown,https://www.transfermarkt.us/luke-mulholland/profil/spieler/101399,https://img.a.transfermarkt.technology/portrait/small/101399-1584044367.jpg?lm=1,N/A,07.08.1988,Preston,Retired
17,Andy Williams,Andrew Williams,214,16,29,13.225,N/A,Williams,9,25,3,Real Salt Lake City,Midfield - Attacking Midfield,"1,73 m",Jamaica,jm,https://www.transfermarkt.us/andy-williams/profil/spieler/15528,https://img.a.transfermarkt.technology/portrait/small/15528-1587802551.jpg?lm=1,N/A,23.09.1977,"Toronto, Ontario",Retired
18,Jámison Olave,Jámison Olave Mosquera,190,16,2,16.294,N/A,Olave,Unknown,37,7,Real Salt Lake City,Defender - Centre-Back,"1,91 m",Colombia,co,https://www.transfermarkt.us/jamison-olave/profil/spieler/90569,https://img.a.transfermarkt.technology/portrait/small/90569-1464103412.jpg?lm=1,N/A,21.04.1981,Medellín,Retired
