name,club,periods
Landon Donovan,Los Angeles Galaxy,"2005-2009, 2009-2010, 2010-2012, 2012-2015, 2016-2017"
Robbie Keane,Los Angeles Galaxy,"2011-2012, 2012-2017"
Cobi Jones,Los Angeles Galaxy,1996-2008
Carlos Ruiz,Los Angeles Galaxy,"2002-2006, 2008-2008"
Edson Buddle,Los Angeles Galaxy,"2007-2011, 2012-2012, 2015-2016"
Dejan Joveljić,Los Angeles Galaxy,2021-2025
Mauricio Cienfuegos,Los Angeles Galaxy,1996-2004
Alan Gordon,Los Angeles Galaxy,"2004-2006, 2006-2010, 2014-2017"
Gyasi Zardes,Los Angeles Galaxy,2012-2018
Chicharito,Los Angeles Galaxy,2020-2024
Mike Magee,Los Angeles Galaxy,"2009-2013, 2016-2017"
Wélton,Los Angeles Galaxy,1997-1999
Sebastian Lletget,Los Angeles Galaxy,2015-2021
Riqui Puig,Los Angeles Galaxy,2022-2025
Giovani dos Santos,Los Angeles Galaxy,2015-2019
Greg Vanney,Los Angeles Galaxy,"1996-1996, 1996-2002, 2008-2008"
Ezra Hendrickson,Los Angeles Galaxy,1997-2003
Juninho,Los Angeles Galaxy,"2010-2011, 2012-2012, 2013-2016, 2018-2020"
Sasha Victorine,Los Angeles Galaxy,2000-2005
David Beckham,Los Angeles Galaxy,"2007-2009, 2009-2010, 2010-2013"
Harut Karapetyan,Los Angeles Galaxy,1996-1998
Clint Mathis,Los Angeles Galaxy,"1998-2000, 2007-2008, 2010-2010"
Jovan Kirovski,Los Angeles Galaxy,"2004-2006, 2008-2012"
Omar González,Los Angeles Galaxy,"2009-2012, 2012-2016"
Peter Vagenas,Los Angeles Galaxy,2000-2008
Alejandro Moreno,Los Angeles Galaxy,2002-2005
Emmanuel Boateng,Los Angeles Galaxy,2016-2019
Marcelo Sarvas,Los Angeles Galaxy,2012-2015
Baggio Husidic,Los Angeles Galaxy,2013-2019
Simon Elliott,Los Angeles Galaxy,1999-2003
Danny Pena,Los Angeles Galaxy,"1997-1997, 1998-2001"
Martín Machón,Los Angeles Galaxy,1997-1999
José Villarreal,Los Angeles Galaxy,"2011-2014, 2014-2014, 2014-2015, 2015-2016, 2016-2017, 2017-2017"
Danny Califf,Los Angeles Galaxy,2000-2005
Chris Albright,Los Angeles Galaxy,2002-2008
Daniel Steres,Los Angeles Galaxy,2015-2021
Paul Caligiuri,Los Angeles Galaxy,1997-2002
Kévin Cabral,Los Angeles Galaxy,2021-2022
Efraín Álvarez,Los Angeles Galaxy,"2018-2018, 2018-2023"
Samuel Grandsir,Los Angeles Galaxy,2021-2023
Alexi Lalas,Los Angeles Galaxy,2001-2004
Jonathan dos Santos,Los Angeles Galaxy,2017-2022
Sean Franklin,Los Angeles Galaxy,2008-2013
Sacha Kljestan,Los Angeles Galaxy,2019-2023
Gastón Brugman,Los Angeles Galaxy,2022-2024
Chris Klein,Los Angeles Galaxy,2007-2010
Dave Romney,Los Angeles Galaxy,2015-2019
Mark Delgado,Los Angeles Galaxy,2022-2025
Tyrone Marshall,Los Angeles Galaxy,2002-2007
Steve Jolley,Los Angeles Galaxy,
Michael Stephens,Los Angeles Galaxy,2010-2014
Todd Dunivant,Los Angeles Galaxy,"2005-2006, 2009-2015"
Ashley Cole,Los Angeles Galaxy,2016-2019
A. J. DeLaGarza,Los Angeles Galaxy,"2009-2017, 2022-2022"
Raheem Edwards,Los Angeles Galaxy,2022-2023
Robin Fraser,Los Angeles Galaxy,1996-2001
Bryan Jordan,Los Angeles Galaxy,"2008-2008, 2008-2012"
Troy Roberts,Los Angeles Galaxy,2005-2009
Robbie Rogers,Los Angeles Galaxy,2013-2018
Julián Araujo,Los Angeles Galaxy,2019-2023
Leonardo,Los Angeles Galaxy,"2010-2011, 2012-2016"
Chris Birchall,Los Angeles Galaxy,2009-2012
Joe Franchino,Los Angeles Galaxy,2008-2008
Brian Rowe,Los Angeles Galaxy,2012-2017
Dan Calichman,Los Angeles Galaxy,1996-1999
Josh Saunders,Los Angeles Galaxy,"2005-2005, 2005-2006, 2006-2007, 2008-2008, 2009-2013"
David Bingham,Los Angeles Galaxy,2017-2021
Kevin Hartman,Los Angeles Galaxy,"1997-1997, 1998-2006"
Rafael García,Los Angeles Galaxy,"2012-2014, 2014-2015, 2015-2016, 2016-2017, 2017-2018"
Dan Gargan,Los Angeles Galaxy,2014-2016
Jaime Penedo,Los Angeles Galaxy,2013-2015
Donovan Ricketts,Los Angeles Galaxy,"2009-2012, 2015-2016"
Nick DePuy,Los Angeles Galaxy,2020-2023
Perry Kitchen,Los Angeles Galaxy,2018-2021
