name,club,periods
Bradley Wright-Phillips,New York Red Bulls,"2013-2020, 2022-2022"
Juan Pablo Ángel,New York Red Bulls,2007-2011
Thierry Henry,New York Red Bulls,"2010-2012, 2012-2015"
Daniel Royer,New York Red Bulls,2016-2022
Giovanni Savarese,New York Red Bulls,
Clint Mathis,New York Red Bulls,2007-2007
Amado Guevara,New York Red Bulls,
Lewis Morgan,New York Red Bulls,2021-2025
John Wolyniec,New York Red Bulls,2006-2010
Adolfo Valencia,New York Red Bulls,
Lloyd Sam,New York Red Bulls,2012-2016
Rodrigo Faria,New York Red Bulls,
Mike Magee,New York Red Bulls,
Dane Richards,New York Red Bulls,"2007-2012, 2015-2015, 2015-2016"
Sacha Kljestan,New York Red Bulls,2015-2018
Omir Fernandez,New York Red Bulls,"2019-2019, 2019-2023"
Eduardo Hurtado,New York Red Bulls,
Kenny Cooper Jr.,New York Red Bulls,2012-2013
Elias Manoel,New York Red Bulls,"2022-2022, 2023-2024"
Tom Barlow,New York Red Bulls,"2018-2018, 2019-2019, 2019-2023"
Mike Grella,New York Red Bulls,2015-2017
Anthony de Ávila,New York Red Bulls,
Joel Lindpere,New York Red Bulls,2010-2013
Jozy Altidore,New York Red Bulls,2006-2008
Tim Cahill,New York Red Bulls,2012-2015
Eddie Gaven,New York Red Bulls,
Alex Comas,New York Red Bulls,
Cristian Cásseres Jr.,New York Red Bulls,"2018-2018, 2018-2023"
Dax McCarty,New York Red Bulls,2011-2017
Brian White,New York Red Bulls,"2018-2018, 2018-2021"
Petter Villegas,New York Red Bulls,
Patryk Klimala,New York Red Bulls,2021-2023
Emil Forsberg,New York Red Bulls,2024-2025
Kaku,New York Red Bulls,2018-2021
Aaron Long,New York Red Bulls,"2016-2016, 2017-2023"
Alex Muyl,New York Red Bulls,"2015-2016, 2016-2020"
Youri Djorkaeff,New York Red Bulls,
Billy Walsh,New York Red Bulls,
Gonzalo Verón,New York Red Bulls,2015-2017
Edgar Espíndola,New York Red Bulls,2013-2014
Mamadou Diallo,New York Red Bulls,
Miles Joseph,New York Red Bulls,
Mark Chung,New York Red Bulls,
Dante Vanzeir,New York Red Bulls,2023-2025
Brian Kelly,New York Red Bulls,
Felipe Martins,New York Red Bulls,2015-2018
Luke Rodgers,New York Red Bulls,2011-2012
Luquinhas,New York Red Bulls,2022-2024
Dave van den Bergh,New York Red Bulls,2007-2009
Jim Rooney,New York Red Bulls,
John Tolkin,New York Red Bulls,2020-2025
Sergio Galván Rey,New York Red Bulls,
Péguy Luyindula,New York Red Bulls,2013-2015
Tab Ramos,New York Red Bulls,
Cameron Harper,New York Red Bulls,2021-2025
Caden Clark,New York Red Bulls,"2020-2021, 2021-2021, 2022-2022"
Frankie Amaya,New York Red Bulls,2021-2024
Jonny Steele,New York Red Bulls,2013-2014
Fábio Gomes,New York Red Bulls,2021-2022
Eric Alexander,New York Red Bulls,2013-2015
Sean Davis,New York Red Bulls,"2014-2015, 2015-2016, 2016-2022"
Steve Jolley,New York Red Bulls,2006-2006
A.J. Wood,New York Red Bulls,
Jean-Philippe Peguero,New York Red Bulls,2006-2006
Macoumba Kandji,New York Red Bulls,"2008-2008, 2009-2010"
Roberto Donadoni,New York Red Bulls,
Juan Agudelo,New York Red Bulls,2010-2012
Derrick Etienne Jr.,New York Red Bulls,"2016-2016, 2016-2017, 2017-2019, 2019-2020"
Andrés Reyes,New York Red Bulls,2021-2024
Seth Stammler,New York Red Bulls,
Kyle Duncan,New York Red Bulls,"2018-2019, 2019-2022, 2022-2022, 2023-2023, 2024-2025"
Edson Buddle,New York Red Bulls,2006-2006
Anatole Abang,New York Red Bulls,"2015-2016, 2017-2017, 2017-2017, 2018-2018, 2018-2019"
Mike Sorber,New York Red Bulls,
Cornell Glen,New York Red Bulls,
Ante Razov,New York Red Bulls,
Florian Valot,New York Red Bulls,2017-2021
Wikelman Carmona,New York Red Bulls,2021-2025
Marc Rzatkowski,New York Red Bulls,"2018-2018, 2019-2021"
Kemar Lawrence,New York Red Bulls,2015-2020
Connor Lade,New York Red Bulls,"2011-2014, 2014-2017, 2017-2020"
Mike Petke,New York Red Bulls,2008-2010
Fabian Taylor,New York Red Bulls,
Mehdi Ballouchy,New York Red Bulls,2010-2012
Shaun Bartlett,New York Red Bulls,
Ronald Zubar,New York Red Bulls,2015-2017
Brad Davis,New York Red Bulls,
Rob Johnson,New York Red Bulls,
Jámison Olave,New York Red Bulls,2013-2015
Ricardo Clark,New York Red Bulls,
Sean Nealis,New York Red Bulls,"2019-2019, 2019-2025"
Amir Murillo,New York Red Bulls,"2017-2017, 2018-2020"
Mark Semioli,New York Red Bulls,
Danleigh Borman,New York Red Bulls,2008-2011
Jan Gunnar Solli,New York Red Bulls,2011-2013
Markus Holgersson,New York Red Bulls,2012-2014
Dennis Gjengaar,New York Red Bulls,2024-2025
Tyler Adams,New York Red Bulls,"2015-2016, 2016-2019"
Heath Pearce,New York Red Bulls,2012-2014
Chris Henderson,New York Red Bulls,2006-2006
