name,club,periods
Álvaro Saborío,Real Salt Lake City,"2010-2010, 2011-2015"
Javier Morales,Real Salt Lake City,2007-2016
Damir Kreilach,Real Salt Lake City,2018-2023
Joao Plata,Real Salt Lake City,2013-2020
Robbie Findley,Real Salt Lake City,"2007-2010, 2013-2015"
Albert Rusnák,Real Salt Lake City,2017-2022
Jefferson Savarino,Real Salt Lake City,"2017-2017, 2018-2020, 2022-2024"
Edgar Espíndola,Real Salt Lake City,"2007-2009, 2009-2013"
Kyle Beckerman,Real Salt Lake City,2007-2021
Yura Movsisyan,Real Salt Lake City,"2008-2010, 2016-2016, 2017-2018, 2018-2018"
Anderson Julio,Real Salt Lake City,"2021-2021, 2022-2024"
Cristian Arango,Real Salt Lake City,2023-2025
Jeff Cunningham,Real Salt Lake City,2006-2007
Jason Kreis,Real Salt Lake City,2004-2007
Diego Luna,Real Salt Lake City,2022-2025
Luke Mulholland,Real Salt Lake City,2014-2021
Andy Williams,Real Salt Lake City,2005-2011
Jámison Olave,Real Salt Lake City,"2008-2013, 2015-2017"
Carlos Andrés Gómez,Real Salt Lake City,2023-2024
Corey Baird,Real Salt Lake City,2018-2021
Olmes García,Real Salt Lake City,2013-2017
Justen Glad,Real Salt Lake City,"2014-2015, 2015-2016, 2016-2025"
Luis Gil,Real Salt Lake City,"2010-2010, 2010-2016"
Luis Silva,Real Salt Lake City,"2015-2016, 2017-2019"
Rubio Rubín,Real Salt Lake City,"2021-2024, 2024-2025"
Will Johnson,Real Salt Lake City,2008-2012
Ned Grabavoy,Real Salt Lake City,2009-2014
Nat Borchers,Real Salt Lake City,2008-2015
Devon Sandoval,Real Salt Lake City,"2013-2014, 2014-2016, 2016-2017"
Sergio Córdova,Real Salt Lake City,2022-2022
Juan Manuel Martínez,Real Salt Lake City,2015-2017
Sam Johnson,Real Salt Lake City,2019-2020
Danny Musovski,Real Salt Lake City,2022-2024
Chris Klein,Real Salt Lake City,2006-2007
Justin Meram,Real Salt Lake City,2020-2023
Paulo Júnior,Real Salt Lake City,"2010-2011, 2011-2012, 2012-2012"
Chris Brown,Real Salt Lake City,2005-2008
Chris Schuler,Real Salt Lake City,"2010-2010, 2010-2016, 2016-2017, 2017-2018"
Maikel Chang,Real Salt Lake City,2020-2025
Pablo Ruiz,Real Salt Lake City,"2018-2018, 2018-2019, 2019-2019, 2019-2025"
Sebastián Saucedo,Real Salt Lake City,"2014-2016, 2016-2017, 2017-2020"
Bobby Wood,Real Salt Lake City,2021-2022
Carey Talley,Real Salt Lake City,2006-2008
Sebastián Jaime,Real Salt Lake City,"2015-2016, 2016-2017"
Clint Mathis,Real Salt Lake City,"2005-2005, 2008-2010"
Brayan Vera,Real Salt Lake City,2023-2025
Atiba Harris,Real Salt Lake City,2006-2008
Marcelo Silva,Real Salt Lake City,2017-2025
Jordan Allen,Real Salt Lake City,2013-2020
Kenny Deuchar,Real Salt Lake City,2008-2009
Diogo Gonçalves,Real Salt Lake City,2024-2025
Khari Stephenson,Real Salt Lake City,2013-2014
Douglas Martínez,Real Salt Lake City,"2019-2019, 2019-2021, 2021-2022"
Alexandros Katranis,Real Salt Lake City,2024-2025
Matt Crooks,Real Salt Lake City,2024-2025
Aaron Maund,Real Salt Lake City,"2013-2015, 2015-2017, 2017-2017"
Brooks Lennon,Real Salt Lake City,"2017-2017, 2018-2019"
Chris Wingert,Real Salt Lake City,"2007-2014, 2016-2018"
Tony Beltran,Real Salt Lake City,"2008-2017, 2017-2019"
Jordan Cila,Real Salt Lake City,2005-2006
Forster Ajago,Real Salt Lake City,2024-2025
Braian Ojeda,Real Salt Lake City,"2022-2023, 2023-2025"
Jamie Watson,Real Salt Lake City,2005-2008
Nick Besler,Real Salt Lake City,"2017-2017, 2017-2018, 2018-2023"
Nelson González,Real Salt Lake City,2010-2011
Jasper Löffelsend,Real Salt Lake City,"2022-2022, 2022-2024"
Jonny Steele,Real Salt Lake City,2012-2013
Dema Kovalenko,Real Salt Lake City,2008-2009
Aarón Herrera,Real Salt Lake City,2018-2022
Brian Dunseth,Real Salt Lake City,2005-2006
Kyle Brown,Real Salt Lake City,2007-2008
Tate Schmitt,Real Salt Lake City,"2019-2019, 2019-2021, 2021-2023"
Andrew Brody,Real Salt Lake City,2021-2025
Seth Trembly,Real Salt Lake City,2005-2007
Pablo Campos,Real Salt Lake City,2009-2011
Eddie Pope,Real Salt Lake City,2005-2007
Emeka Eneli,Real Salt Lake City,2022-2025
Mehdi Ballouchy,Real Salt Lake City,2006-2007
Sebastián Velásquez,Real Salt Lake City,2012-2014
Nelson Palacio,Real Salt Lake City,2023-2025
Matías Mantilla,Real Salt Lake City,2007-2008
Fidel Barajas,Real Salt Lake City,2024-2024
Jafet Soto,Real Salt Lake City,2006-2007
Dominik Marczuk,Real Salt Lake City,2024-2025
Douglas Sequeira,Real Salt Lake City,2006-2006
Philip Quinton,Real Salt Lake City,2024-2025
Cole Grossman,Real Salt Lake City,2012-2015
Jonathan Menéndez,Real Salt Lake City,"2021-2022, 2022-2023, 2023-2023"
Ariath Piol,Real Salt Lake City,2025-2025
Freddy Adu,Real Salt Lake City,2006-2007
Duncan Tarley,Real Salt Lake City,2005-2005
Tino Núnez,Real Salt Lake City,2008-2010
Ricardo Velazco,Real Salt Lake City,"2016-2016, 2016-2017, 2017-2018"
José Hernández,Real Salt Lake City,"2016-2017, 2017-2018, 2018-2019"
Alecko Eskandarian,Real Salt Lake City,2007-2008
Omar Holness,Real Salt Lake City,"2016-2016, 2016-2017, 2017-2018"
Erik Holt,Real Salt Lake City,"2019-2019, 2019-2020, 2020-2025"
Emiliano Bonfigli,Real Salt Lake City,2012-2013
John Stertzer,Real Salt Lake City,2013-2017
