name,club,periods
Sebastian Giovinco,Toronto FC,2015-2019
Jozy Altidore,Toronto FC,2015-2022
Jonathan Osorio,Toronto FC,2013-2025
Dwayne de Rosario,Toronto FC,"2008-2011, 2014-2015"
Alejandro Pozuelo,Toronto FC,2019-2022
Federico Bernardeschi,Toronto FC,2022-2025
Chad Barrett,Toronto FC,2008-2011
Danny Koevermans,Toronto FC,2011-2013
Michael Bradley,Toronto FC,2014-2024
Justin Morrow,Toronto FC,2013-2022
Ryan Johnson,Toronto FC,2011-2013
Lorenzo Insigne,Toronto FC,2022-2025
Ayo Akinola,Toronto FC,"2016-2016, 2017-2023, 2023-2024"
Víctor Vázquez,Toronto FC,"2017-2019, 2022-2024"
Deandre Kerr,Toronto FC,2022-2025
Mark Delgado,Toronto FC,2014-2022
Tosaint Ricketts,Toronto FC,2016-2019
Jordan Hamilton,Toronto FC,"2014-2014, 2014-2019"
Danny Dichio,Toronto FC,2007-2009
Maicón Santos,Toronto FC,2010-2011
Richie Laryea,Toronto FC,"2019-2022, 2022-2023, 2024-2025"
Jermain Defoe,Toronto FC,2014-2015
Prince Owusu,Toronto FC,2023-2025
Nick DeLeon,Toronto FC,2018-2022
Amado Guevara,Toronto FC,2008-2010
Jesús Jiménez,Toronto FC,2022-2023
Joao Plata,Toronto FC,"2011-2012, 2012-2013"
Tsubasa Endoh,Toronto FC,"2016-2018, 2018-2022"
Robert Earnshaw,Toronto FC,2013-2014
Luke Moore,Toronto FC,2014-2016
Patrick Mullins,Toronto FC,2019-2022
Luis Silva,Toronto FC,2012-2013
Gilberto,Toronto FC,"2014-2015, 2015-2015"
Nick Hagglund,Toronto FC,2014-2019
Terry Dunfield,Toronto FC,2011-2013
Maurice Edu,Toronto FC,2006-2008
Reggie Lambe,Toronto FC,2012-2014
Rohan Ricketts,Toronto FC,2008-2009
Jay Chapman,Toronto FC,2015-2019
Jeff Cunningham,Toronto FC,2007-2008
Alan Gordon,Toronto FC,2011-2011
Drew Moor,Toronto FC,2015-2019
Benoît Cheyrou,Toronto FC,2015-2018
Doneil Henry,Toronto FC,"2010-2014, 2014-2014, 2022-2023"
Derrick Etienne Jr.,Toronto FC,2024-2025
Lucas Janson,Toronto FC,2018-2018
Jackson,Toronto FC,2013-2016
Andrew Wiedeman,Toronto FC,2012-2015
Nick Soolsma,Toronto FC,2011-2012
O'Brian White,Toronto FC,2009-2011
Yeferson Soteldo,Toronto FC,2021-2022
Ifunanyachi Achara,Toronto FC,2020-2022
Jim Brennan,Toronto FC,2006-2010
Jacob Shaffelburg,Toronto FC,"2019-2022, 2022-2022"
Pablo Piatti,Toronto FC,2020-2021
Omar González,Toronto FC,2019-2021
Nana Attakora,Toronto FC,
Eric Hassli,Toronto FC,2012-2013
Nicolas Benezet,Toronto FC,2019-2019
Carl Robinson,Toronto FC,2007-2010
Matty Longstaff,Toronto FC,2024-2025
Peri Marosevic,Toronto FC,2011-2012
Darel Russell,Toronto FC,
Collin Samuel,Toronto FC,2007-2008
Marco Vélez,Toronto FC,2008-2009
Fuad Ibrahim,Toronto FC,2008-2010
Julian de Guzmán,Toronto FC,2009-2012
Tyrese Spicer,Toronto FC,2023-2025
Will Johnson,Toronto FC,2015-2017
Ashtone Morgan,Toronto FC,2011-2020
Nicolas Hasler,Toronto FC,2017-2018
Ralph Priso,Toronto FC,2019-2022
Cassius Mailula,Toronto FC,"2023-2024, 2025-2025"
Pablo Vitti,Toronto FC,2009-2010
Dominic Oduro,Toronto FC,2014-2015
Issey Nakajima,Toronto FC,2014-2014
Warren Creavalle,Toronto FC,2014-2015
Mark-Anthony Kaye,Toronto FC,"2015-2016, 2022-2023"
Quincy Amarikwa,Toronto FC,2012-2013
Damien Perquis,Toronto FC,2015-2016
Eric Ávila,Toronto FC,2011-2012
Robbie Findley,Toronto FC,2015-2016
Javier Martina,Toronto FC,2011-2012
Justin Braun,Toronto FC,2012-2014
Eriq Zavaleta,Toronto FC,2015-2022
Torsten Frings,Toronto FC,2011-2013
Marvell Wynne,Toronto FC,2007-2010
Jacob Peterson,Toronto FC,2010-2011
Kosi Thompson,Toronto FC,"2021-2023, 2023-2025"
Jeremy Hall,Toronto FC,"2011-2014, 2014-2014"
Deybi Flores,Toronto FC,2024-2025
Collen Warner,Toronto FC,2014-2016
Martín Saric,Toronto FC,2010-2010
Andrew Boyens,Toronto FC,2007-2008
Álvaro Rey,Toronto FC,2013-2014
C.J. Sapong,Toronto FC,2023-2024
Mitchell Taintor,Toronto FC,"2016-2018, 2018-2018"
Jarrod Smith,Toronto FC,2008-2008
Bobby Convey,Toronto FC,2013-2013
