rank,name,full_name,appearances,goals,assists,minutes_played,period,jersey_name,jersey_number,yellow_cards,red_cards,club,position,height,nation,nation_code,profile_url,image_url,club_logo_url,date_of_birth,place_of_birth,status
1,Robin Lod,Unknown,146,34,24,11.372,2019-2025,Lod,10,14,0,Minnesota United FC,Midfield - Central Midfield,"1,79 m",Finland,fi,https://www.transfermarkt.us/robin-lod/profil/spieler/173573,https://img.a.transfermarkt.technology/portrait/small/173573-1741201878.jpg?lm=1,,17.04.1993,Helsinki,Minnesota United FC
2,Bongokuhle Hlongwane,Unknown,113,30,15,7.634,2022-2025,Hlongwane,12,7,0,Minnesota United FC,Attack - Right Winger,"1,82 m",South Africa,za,https://www.transfermarkt.us/bongokuhle-hlongwane/profil/spieler/669202,https://img.a.transfermarkt.technology/portrait/small/669202-1741201653.jpg?lm=1,,20.06.2000,Nxamalala,Minnesota United FC
3,Emanuel Reynoso,Unknown,101,27,29,8.084,2020-2024,Reynoso,Unknown,24,1,Minnesota United FC,Midfield - Attacking Midfield,"1,76 m",Argentina,ar,https://www.transfermarkt.us/emanuel-reynoso/profil/spieler/439626,https://img.a.transfermarkt.technology/portrait/small/439626-1710095617.jpg?lm=1,,16.11.1995,Córdoba,CA Talleres
4,Darwin Quintero,Carlos Darwin Quintero Villalba,64,27,20,5.068,2018-2019,Quintero,9,8,0,Minnesota United FC,Midfield - Attacking Midfield,"1,66 m",Colombia,co,https://www.transfermarkt.us/darwin-quintero/profil/spieler/55666,https://img.a.transfermarkt.technology/portrait/small/55666-1647680041.jpg?lm=1,,19.09.1987,Tumaco,Deportivo Pereira
5,Kevin Molino,Kevin Reginald Molino,75,25,19,5.47,2017-2021,Molino,10,6,0,Minnesota United FC,Attack - Right Winger,"1,80 m",Trinidad and Tobago,tt,https://www.transfermarkt.us/kevin-molino/profil/spieler/123096,https://img.a.transfermarkt.technology/portrait/small/123096-1678126665.jpg?lm=1,,17.06.1990,Carenage,Defence Force
6,Christian Ramirez,Unknown,52,21,5,3.971,2017-2018,Ramirez,21,1,0,Minnesota United FC,Attack - Centre-Forward,"1,88 m",United States,us,https://www.transfermarkt.us/christian-ramirez/profil/spieler/236590,https://img.a.transfermarkt.technology/portrait/small/236590-1740776630.jpg?lm=1,,04.04.1991,"Garden Grove, California",Los Angeles Galaxy
7,Ethan Finlay,Unknown,107,20,10,6.909,2017-2021,Finlay,-,4,0,Minnesota United FC,Attack - Right Winger,"1,74 m",United States,us,https://www.transfermarkt.us/ethan-finlay/profil/spieler/212949,https://img.a.transfermarkt.technology/portrait/small/212949-1709366886.jpg?lm=1,,06.08.1990,"Duluth, Minnesota",Retired
8,Hassani Dotson,Hassani Dotson Stephenson,169,18,16,12.457,2019-2025,Dotson,-,15,1,Minnesota United FC,Midfield - Central Midfield,"1,80 m",United States,us,https://www.transfermarkt.us/hassani-dotson/profil/spieler/636081,https://img.a.transfermarkt.technology/portrait/small/636081-1741201611.jpg?lm=1,,06.08.1997,"Federal Way, Washington",Minnesota United FC
9,Franco Fragapane,Franco Rodrigo Fragapane,111,16,19,6.521,2021-2025,Fragapane,-,12,0,Minnesota United FC,Attack - Left Winger,"1,67 m",Argentina,ar,https://www.transfermarkt.us/franco-fragapane/profil/spieler/226005,https://img.a.transfermarkt.technology/portrait/small/226005-1710095781.jpg?lm=1,,06.02.1993,Godoy Cruz,CA Unión (Santa Fe)
10,Luis Amarilla,Luis Antonio Amarilla Lencina,61,15,5,4.012,"2020-2020, 2022-2023",Amarilla,-,7,0,Minnesota United FC,Attack - Centre-Forward,"1,76 m",Paraguay,py,https://www.transfermarkt.us/luis-amarilla/profil/spieler/291658,https://img.a.transfermarkt.technology/portrait/small/291658-1678624124.jpg?lm=1,,25.08.1995,Areguá,Mazatlán FC
