rank,name,full_name,appearances,goals,assists,minutes_played,period,jersey_name,jersey_number,yellow_cards,red_cards,club,position,height,nation,nation_code,profile_url,image_url,club_logo_url,date_of_birth,place_of_birth,status
1,Diego Váleri,Diego Hernán Váleri,309,100,78,23.75,"2013-2013, 2013-2022, 2022-2022",Váleri,-,39,0,Portland Timbers,Midfield - Attacking Midfield,"1,78 m",Argentina,ar,https://www.transfermarkt.us/diego-valeri/profil/spieler/54588,https://img.a.transfermarkt.technology/portrait/small/54588-1618763253.JPG?lm=1,,01.05.1986,Lanús,Retired
2,Fanendo Adi,Unknown,144,60,14,10.176,"2014-2014, 2014-2018",Adi,-,14,1,Portland Timbers,Attack - Centre-Forward,"1,93 m",Nigeria,ng,https://www.transfermarkt.us/fanendo-adi/profil/spieler/79654,https://img.a.transfermarkt.technology/portrait/small/79654-1583508874.jpg?lm=1,,10.10.1990,Lagos,Retired
3,Sebastián Blanco,Sebastián Marcelo Blanco,203,51,46,13.905,2017-2024,Blanco,-,44,1,Portland Timbers,Midfield - Attacking Midfield,"1,68 m",Argentina,ar,https://www.transfermarkt.us/sebastian-blanco/profil/spieler/54576,https://img.a.transfermarkt.technology/portrait/small/54576-1678461887.jpg?lm=1,,15.03.1988,Buenos Aires,Miami FC
4,Felipe Mora,Felipe Andrés Mora Aliaga,124,45,14,7.401,"2020-2020, 2021-2025",Mora,9,7,1,Portland Timbers,Attack - Centre-Forward,"1,75 m",Chile,cl,https://www.transfermarkt.us/felipe-mora/profil/spieler/176927,https://img.a.transfermarkt.technology/portrait/small/176927-1740821823.jpg?lm=1,,02.08.1993,La Florida,Portland Timbers
5,Dairon Asprilla,Dairon Estibens Asprilla Rivas,235,39,22,12.34,"2015-2016, 2017-2019, 2019-2024",Asprilla,Unknown,30,3,Portland Timbers,Attack - Right Winger,"1,78 m",Colombia,co,https://www.transfermarkt.us/dairon-asprilla/profil/spieler/260381,https://img.a.transfermarkt.technology/portrait/small/260381-1711301550.jpg?lm=1,,25.05.1992,Istmina,Atlético Nacional
6,Darlington Nagbe,Darlington Joe Phillip Nagbe,239,31,24,19.487,2011-2017,Nagbe,-,5,0,Portland Timbers,Midfield - Central Midfield,"1,75 m",United States,us,https://www.transfermarkt.us/darlington-nagbe/profil/spieler/173489,https://img.a.transfermarkt.technology/portrait/small/173489-1740675943.jpg?lm=1,,19.07.1990,Monrovia,Columbus Crew
7,Jeremy Ebobisse,Jeremy Edward Nirina Ebobisse Ebolo,109,30,11,6.567,"2017-2017, 2017-2018, 2018-2021",Ebobisse,11,4,0,Portland Timbers,Attack - Centre-Forward,"1,84 m",United States,us,https://www.transfermarkt.us/jeremy-ebobisse/profil/spieler/460529,https://img.a.transfermarkt.technology/portrait/small/460529-1741202552.jpg?lm=1,,14.02.1997,Paris,Los Angeles FC
8,Ryan Pore,Unknown,66,26,8,5.062,"2009-2011, 2011-2011",Pore,Unknown,10,0,Portland Timbers,Attack - Centre-Forward,"1,81 m",United States,us,https://www.transfermarkt.us/ryan-pore/profil/spieler/39288,https://img.a.transfermarkt.technology/portrait/small/39288-1587830365.jpg?lm=1,,23.09.1983,"Mansfield, Ohio",Retired
9,Evander,Unknown,61,26,22,5.089,2023-2025,Evander,19,13,0,Portland Timbers,Midfield - Attacking Midfield,"1,80 m",Brazil,br,https://www.transfermarkt.us/evander/profil/spieler/323874,https://img.a.transfermarkt.technology/portrait/small/323874-1741200649.jpg?lm=1,,09.06.1998,Rio de Janeiro,FC Cincinnati
10,Jaroslaw Niezgoda,Jarosław Niezgoda,94,23,8,3.991,2020-2024,Niezgoda,-,0,0,Portland Timbers,Attack - Centre-Forward,"1,85 m",Poland,pl,https://www.transfermarkt.us/jaroslaw-niezgoda/profil/spieler/269446,https://img.a.transfermarkt.technology/portrait/small/269446-1678462729.jpg?lm=1,,15.03.1995,Poniatowa,Without Club
11,Bright Dike,Chinedu Bright Dike,50,20,1,3.058,"2010-2012, 2012-2013",Dike,-,8,0,Portland Timbers,Attack - Centre-Forward,"1,85 m",Nigeria,ng,https://www.transfermarkt.us/bright-dike/profil/spieler/147151,https://img.a.transfermarkt.technology/portrait/small/147151-1605729276.jpg?lm=1,,02.02.1987,"Edmond, Oklahoma",Retired
12,Maximiliano Urruti,Maximiliano Nicolás Urruti Mussa,78,20,6,3.113,2013-2015,Urruti,Unknown,6,0,Portland Timbers,Attack - Centre-Forward,"1,81 m",Argentina,ar,https://www.transfermarkt.us/maximiliano-urruti/profil/spieler/193781,https://img.a.transfermarkt.technology/portrait/small/193781-1740679121.jpg?lm=1,,22.02.1991,Rosario,New England Revolution
13,Rodney Wallace,Rodney Wallace Burns,138,19,20,9.577,"2011-2016, 2021-2021",Wallace,13,21,0,Portland Timbers,Midfield - Left Midfield,"1,80 m",Costa Rica,cr,https://www.transfermarkt.us/rodney-wallace/profil/spieler/99859,https://img.a.transfermarkt.technology/portrait/small/99859-1550266444.jpg?lm=1,,17.06.1988,San José,Retired
14,Santiago Moreno,Unknown,126,18,25,8.435,2021-2025,Moreno,20,9,0,Portland Timbers,Attack - Right Winger,"1,78 m",Colombia,co,https://www.transfermarkt.us/santiago-moreno/profil/spieler/654766,https://img.a.transfermarkt.technology/portrait/small/654766-1740821835.jpg?lm=1,,21.04.2000,Santiago de Cali,Portland Timbers
15,Will Johnson,William David Johnson,79,18,9,6.825,2012-2015,Johnson,8,10,1,Portland Timbers,Midfield - Central Midfield,"1,78 m",Canada,ca,https://www.transfermarkt.us/will-johnson/profil/spieler/38215,https://img.a.transfermarkt.technology/portrait/small/38215-1550684460.jpg?lm=1,,21.01.1987,"Toronto, Ontario",Retired
16,Yimmi Chará,Yimmi Javier Chará Zamora,116,18,15,8.124,2020-2024,Chará,28,6,0,Portland Timbers,Attack - Right Winger,"1,68 m",Colombia,co,https://www.transfermarkt.us/yimmi-chara/profil/spieler/165361,https://img.a.transfermarkt.technology/portrait/small/165361-1678462068.jpg?lm=1,,02.04.1991,Santiago de Cali,Junior FC
17,Jonathan Rodríguez,Jonathan Javier Rodríguez Portillo,33,16,6,2.78,2024-2025,Rodríguez,11,7,0,Portland Timbers,Attack - Centre-Forward,"1,78 m",Uruguay,uy,https://www.transfermarkt.us/jonathan-rodriguez/profil/spieler/280795,https://img.a.transfermarkt.technology/portrait/small/280795-1740822087.jpg?lm=1,,06.07.1993,Florida,Portland Timbers
18,Jack Jewsbury,Unknown,179,16,13,14.172,2011-2017,Jewsbury,Unknown,20,0,Portland Timbers,Midfield - Defensive Midfield,"1,83 m",United States,us,https://www.transfermarkt.us/jack-jewsbury/profil/spieler/26837,https://img.a.transfermarkt.technology/portrait/small/26837-1606769237.jpg?lm=1,,13.04.1981,"Joplin, Missouri",Retired
19,Brian Fernández,Brian Leonel Fernández,23,15,2,1.767,2019-2020,Fernández,Unknown,4,1,Portland Timbers,Attack - Second Striker,"1,70 m",Argentina,ar,https://www.transfermarkt.us/brian-fernandez/profil/spieler/267676,https://img.a.transfermarkt.technology/portrait/small/267676-1557429996.jpg?lm=1,,26.09.1994,Santa Fe,Without Club
20,Diego Chará,Diego Ferney Chará Zamora,455,13,24,39.572,2011-2025,Chará,-,124,5,Portland Timbers,Midfield - Central Midfield,"1,70 m",Colombia,co,https://www.transfermarkt.us/diego-chara/profil/spieler/77163,https://img.a.transfermarkt.technology/portrait/small/77163-1740821383.jpg?lm=1,,05.04.1986,Santiago de Cali,Portland Timbers
21,Mandjou Keita,Unknown,44,13,8,3.317,"2009-2009, 2010-2010",Keita,Unknown,1,0,Portland Timbers,Midfield - Attacking Midfield,"1,86 m",Guinea,gn,https://www.transfermarkt.us/mandjou-keita/profil/spieler/116885,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,,28.11.1979,Nzérékoré,Retired
22,Larrys Mabiala,Larrys Destin Mabiala,179,12,3,13.746,2017-2024,Mabiala,5,33,2,Portland Timbers,Defender - Centre-Back,"1,89 m",DR Congo,unknown,https://www.transfermarkt.us/larrys-mabiala/profil/spieler/55366,https://img.a.transfermarkt.technology/portrait/small/55366-1711295573.jpg?lm=1,,08.10.1987,Montfermeil,Retired
23,Cristhian Paredes,Cristhian Fabián Paredes Maciel,191,12,13,11.408,"2018-2019, 2020-2025",Paredes,24,32,0,Portland Timbers,Midfield - Central Midfield,"1,82 m",Paraguay,py,https://www.transfermarkt.us/cristhian-paredes/profil/spieler/401728,https://img.a.transfermarkt.technology/portrait/small/401728-1740822078.jpg?lm=1,,18.05.1998,Paraguarí,Portland Timbers
24,Bill Tuiloma,Bill Poni Tuiloma,120,10,4,8.326,"2017-2017, 2017-2018, 2018-2019, 2019-2023",Tuiloma,-,7,0,Portland Timbers,Defender - Centre-Back,"1,82 m",New Zealand,nz,https://www.transfermarkt.us/bill-tuiloma/profil/spieler/172333,https://img.a.transfermarkt.technology/portrait/small/172333-1740594362.jpg?lm=1,,27.03.1995,Otahuhu,Charlotte FC
25,Ryan Johnson,Unknown,35,10,4,2.121,2013-2014,Johnson,-,3,0,Portland Timbers,Attack - Centre-Forward,"1,85 m",Jamaica,jm,https://www.transfermarkt.us/ryan-johnson/profil/spieler/39418,https://img.a.transfermarkt.technology/portrait/small/s_39418_4291_2013_08_01_1.jpg?lm=1,,26.11.1984,Kingston,Retired
26,Gastón Fernández,Gastón Nicolás Fernández,59,10,5,2.811,2014-2015,Fernández,18,6,0,Portland Timbers,Midfield - Attacking Midfield,"1,70 m",Argentina,ar,https://www.transfermarkt.us/gaston-fernandez/profil/spieler/23882,https://img.a.transfermarkt.technology/portrait/small/23882-1601202262.jpg?lm=1,,12.10.1983,Buenos Aires,Retired
27,Antony,Unknown,51,10,5,2.783,2023-2025,Antony,Unknown,2,0,Portland Timbers,Attack - Left Winger,"1,85 m",Brazil,br,https://www.transfermarkt.us/antony/profil/spieler/798687,https://img.a.transfermarkt.technology/portrait/small/798687-1740821303.jpg?lm=1,,08.09.2001,Unknown,Portland Timbers
28,Andrew Gregor,Unknown,41,9,6,3.496,"2004-2005, 2007-2008",Gregor,Unknown,14,0,Portland Timbers,Midfield,"1,80 m",United States,us,https://www.transfermarkt.us/andrew-gregor/profil/spieler/72604,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,,22.11.1975,"Syracuse, New York",Retired
29,Bryan Jordan,Bryan Philip Jordan,39,9,3,2.576,"2007-2008, 2008-2008",Jordan,Unknown,6,0,Portland Timbers,Midfield - Left Midfield,,United States,us,https://www.transfermarkt.us/bryan-jordan/profil/spieler/73119,https://img.a.transfermarkt.technology/portrait/small/73119-1602863669.jpg?lm=1,,13.09.1985,"Pasadena, California",Retired
30,Luke Kreamalmeyer,Unknown,47,8,3,3.766,2006-2008,Kreamalmeyer,Unknown,1,0,Portland Timbers,Midfield - Attacking Midfield,"1,75 m",United States,us,https://www.transfermarkt.us/luke-kreamalmeyer/profil/spieler/71804,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,,28.09.1982,"Edwardsville, Illinois",Retired
31,Jack McInerney,John Seamus McInerney,30,8,1,1.331,2016-2017,McInerney,-,3,0,Portland Timbers,Attack - Centre-Forward,"1,75 m",United States,us,https://www.transfermarkt.us/jack-mcinerney/profil/spieler/131186,https://img.a.transfermarkt.technology/portrait/small/131186-1524393118.jpg?lm=1,,05.08.1992,"Chattanooga, Tennessee",Retired
32,Samuel Armenteros,Kristian Samuel Armenteros Nunez Jansson,30,8,1,1.701,2018-2018,Armenteros,-,2,0,Portland Timbers,Attack - Centre-Forward,"1,78 m",Sweden,se,https://www.transfermarkt.us/samuel-armenteros/profil/spieler/55751,https://img.a.transfermarkt.technology/portrait/small/55751-1694537623.png?lm=1,,27.05.1990,Masthugg,Without Club
33,Chris Brown,Christopher Brown,27,8,2,2.265,2008-2009,Brown,Unknown,1,1,Portland Timbers,Attack - Second Striker,"1,80 m",United States,us,https://www.transfermarkt.us/chris-brown/profil/spieler/39402,https://img.a.transfermarkt.technology/portrait/small/39402-1587801527.jpg?lm=1,,10.03.1977,"Portland, Oregon",Retired
34,Kenny Cooper Jr.,Kenneth Scott Cooper Jr.,34,8,1,2.504,2011-2012,Cooper Jr.,17,2,0,Portland Timbers,Attack - Centre-Forward,,United States,us,https://www.transfermarkt.us/kenny-cooper-jr-/profil/spieler/25064,https://img.a.transfermarkt.technology/portrait/small/25064-1589275786.jpg?lm=1,,21.10.1984,"Baltimore, Maryland",Retired
35,Marvin Loría,Marvin Antonio Loría Leitón,128,8,8,4.903,"2019-2019, 2019-2025",Loría,14,8,0,Portland Timbers,Attack - Right Winger,"1,77 m",Costa Rica,cr,https://www.transfermarkt.us/marvin-loria/profil/spieler/298207,https://img.a.transfermarkt.technology/portrait/small/298207-1740104330.jpg?lm=1,,24.04.1997,San José,Deportivo Saprissa
36,Kalif Alhassan,Unknown,112,8,16,6.186,2010-2015,Alhassan,Unknown,7,1,Portland Timbers,Midfield - Right Midfield,"1,78 m",Ghana,gh,https://www.transfermarkt.us/kalif-alhassan/profil/spieler/165434,https://img.a.transfermarkt.technology/portrait/small/165434-1495724349.jpg?lm=1,,15.10.1990,Accra,Retired
