rank,name,full_name,appearances,goals,assists,minutes_played,period,jersey_name,jersey_number,yellow_cards,red_cards,club,position,height,nation,nation_code,profile_url,image_url,club_logo_url,date_of_birth,place_of_birth,status
1,Jordan Morris,Jordan Perry Morris,253,87,33,20.066,"2016-2021, 2021-2025",Morris,13,9,0,Seattle Sounders FC,Attack - Centre-Forward,"1,81 m",United States,us,https://www.transfermarkt.us/jordan-morris/profil/spieler/337807,https://img.a.transfermarkt.technology/portrait/small/337807-1740863179.jpg?lm=1,,26.10.1994,"Seattle, Washington",Seattle Sounders FC
2,Raúl Ruidíaz,Raúl Mario Ruidíaz Misitich,176,86,14,12.789,2018-2025,Ruidíaz,15,16,0,Seattle Sounders FC,Attack - Centre-Forward,"1,69 m",Peru,pe,https://www.transfermarkt.us/raul-ruidiaz/profil/spieler/129724,https://img.a.transfermarkt.technology/portrait/small/129724-1711616797.jpg?lm=1,,25.07.1990,Lima,Without Club
3,Fredy Montero,Fredy Henkyer Montero Muñoz,247,79,40,16.621,"2009-2010, 2011-2013, 2013-2013, 2014-2014, 2021-2024",Montero,-,33,2,Seattle Sounders FC,Attack - Centre-Forward,"1,76 m",Colombia,co,https://www.transfermarkt.us/fredy-montero/profil/spieler/73852,https://img.a.transfermarkt.technology/portrait/small/73852-1722351629.jpg?lm=1,,26.07.1987,Campo de la Cruz,CD Real Cartagena
4,Nicolás Lodeiro,Marcelo Nicolás Lodeiro Benítez,231,58,62,19.264,2016-2024,Lodeiro,7,40,1,Seattle Sounders FC,Midfield - Attacking Midfield,"1,73 m",Uruguay,uy,https://www.transfermarkt.us/nicolas-lodeiro/profil/spieler/72653,https://img.a.transfermarkt.technology/portrait/small/72653-1740864307.jpg?lm=1,,21.03.1989,Paysandú,Houston Dynamo FC
5,Clint Dempsey,Clinton Drew Dempsey,136,57,25,10.983,"2013-2014, 2014-2018",Dempsey,8,13,3,Seattle Sounders FC,Attack - Second Striker,"1,85 m",United States,us,https://www.transfermarkt.us/clint-dempsey/profil/spieler/27577,https://img.a.transfermarkt.technology/portrait/small/27577-1520798945.jpg?lm=1,,09.03.1983,"Nacogdoches, Texas",Retired
6,Obafemi Martins,Obafemi Akinwunmi Martins,84,43,22,6.782,2013-2016,Martins,9,4,2,Seattle Sounders FC,Attack - Centre-Forward,,Nigeria,ng,https://www.transfermarkt.us/obafemi-martins/profil/spieler/5794,https://img.a.transfermarkt.technology/portrait/small/5794-1511175376.jpg?lm=1,,28.10.1984,Lagos,Retired
7,Cristian Roldán,Unknown,354,42,50,29.189,2015-2025,Roldán,10,30,1,Seattle Sounders FC,Midfield - Central Midfield,"1,73 m",United States,us,https://www.transfermarkt.us/cristian-roldan/profil/spieler/354792,https://img.a.transfermarkt.technology/portrait/small/354792-1741634494.jpg?lm=1,,03.06.1995,"Artesia, California",Seattle Sounders FC
8,Lamar Neagle,Lamar Justin Neagle,166,34,20,10.126,"2009-2009, 2011-2012, 2013-2015, 2017-2018, 2018-2019",Neagle,Unknown,14,2,Seattle Sounders FC,Attack - Right Winger,"1,79 m",United States,us,https://www.transfermarkt.us/lamar-neagle/profil/spieler/114979,https://img.a.transfermarkt.technology/portrait/small/114979-1505518853.jpg?lm=1,,07.05.1987,"Tacoma, Washington",Retired
9,Will Bruin,William Christopher Bruin,154,32,14,7.78,"2017-2019, 2019-2023",Bruin,-,8,0,Seattle Sounders FC,Attack - Centre-Forward,"1,85 m",United States,us,https://www.transfermarkt.us/will-bruin/profil/spieler/173486,https://img.a.transfermarkt.technology/portrait/small/173486-1678035291.jpg?lm=1,,24.10.1989,"St. Louis, Missouri",Retired
10,Eddie Johnson,Edward Abraham Johnson,65,29,3,4.937,2012-2013,Johnson,18,15,0,Seattle Sounders FC,Attack - Centre-Forward,"1,83 m",United States,us,https://www.transfermarkt.us/eddie-johnson/profil/spieler/38773,https://img.a.transfermarkt.technology/portrait/small/38773-1589275908.jpg?lm=1,,31.03.1984,"Bunnell, Florida",Retired
