rank,name,full_name,appearances,goals,assists,minutes_played,period,jersey_name,jersey_number,yellow_cards,red_cards,club,position,height,nation,nation_code,profile_url,image_url,club_logo_url,date_of_birth,place_of_birth,status
1,João Klauss,Unknown,54,15,5,3.848,2022-2025,João Klauss,Unknown,4,0,St. Louis CITY SC,Attack - Centre-Forward,"1,90 m",Brazil,br,https://www.transfermarkt.us/joao-klauss/profil/spieler/498862,https://img.a.transfermarkt.technology/portrait/small/498862-1740676942.jpg?lm=1,,01.03.1997,Criciúma,St. Louis CITY SC
2,Eduard Löwen,Unknown,69,14,16,5.332,2022-2025,Löwen,22,9,0,St. Louis CITY SC,Midfield - Central Midfield,"1,88 m",Germany,de,https://www.transfermarkt.us/eduard-lowen/profil/spieler/260655,https://img.a.transfermarkt.technology/portrait/small/260655-1740677022.jpg?lm=1,,28.01.1997,Idar-Oberstein,St. Louis CITY SC
3,Nicholas Gioacchini,Nicholas Selson Gioacchini,37,10,1,2.296,2022-2024,Gioacchini,8,2,0,St. Louis CITY SC,Attack - Centre-Forward,"1,83 m",United States,us,https://www.transfermarkt.us/nicholas-gioacchini/profil/spieler/704156,https://img.a.transfermarkt.technology/portrait/small/704156-1738083981.jpg?lm=1,,25.07.2000,"Kansas City, Missouri",Asteras Aktor
4,Samuel Adeniran,Samuel Oluwabukunmi Adeniran,41,10,2,1.859,"2022-2023, 2023-2024",Adeniran,Unknown,4,0,St. Louis CITY SC,Attack - Centre-Forward,"1,93 m",United States,us,https://www.transfermarkt.us/samuel-adeniran/profil/spieler/643088,https://img.a.transfermarkt.technology/portrait/small/643088-1712491495.jpg?lm=1,,30.09.1998,"Houston, Texas",LASK
5,Cedric Teuchert,Unknown,19,8,5,1.296,2024-2025,Teuchert,11,2,0,St. Louis CITY SC,Attack - Centre-Forward,"1,82 m",Germany,de,https://www.transfermarkt.us/cedric-teuchert/profil/spieler/207597,https://img.a.transfermarkt.technology/portrait/small/207597-1740677289.jpg?lm=1,,14.01.1997,Coburg,St. Louis CITY SC
6,Simon Becher,Simon Michael Becher,18,7,2,1.161,2024-2025,Becher,-,3,0,St. Louis CITY SC,Attack - Centre-Forward,"1,88 m",United States,us,https://www.transfermarkt.us/simon-becher/profil/spieler/846899,https://img.a.transfermarkt.technology/portrait/small/846899-1740676437.jpg?lm=1,,20.07.1999,"Topeka, Kansas",St. Louis CITY SC
7,Tim Parker,Timothy Ryan Parker,56,6,0,4.895,2022-2024,Parker,21,19,0,St. Louis CITY SC,Defender - Centre-Back,"1,88 m",United States,us,https://www.transfermarkt.us/tim-parker/profil/spieler/354737,https://img.a.transfermarkt.technology/portrait/small/354737-1712492346.jpg?lm=1,,23.02.1993,"Hicksville, New York",New York Red Bulls
8,Marcel Hartel,Unknown,18,6,6,1.594,2024-2025,Hartel,18,3,0,St. Louis CITY SC,Midfield - Central Midfield,"1,77 m",Germany,de,https://www.transfermarkt.us/marcel-hartel/profil/spieler/189073,https://img.a.transfermarkt.technology/portrait/small/189073-1740676594.jpg?lm=1,,19.01.1996,Köln,St. Louis CITY SC
9,Indiana Vassilev,"Indiana Denchev Vassilev , Индиана Денчев Василев",75,6,11,4.595,"2022-2022, 2023-2025",Vassilev,-,7,0,St. Louis CITY SC,Attack - Right Winger,"1,75 m",United States,us,https://www.transfermarkt.us/indiana-vassilev/profil/spieler/469860,https://img.a.transfermarkt.technology/portrait/small/469860-1740677410.jpg?lm=1,,16.02.2001,"Savannah, Georgia",Philadelphia Union
10,Nökkvi Thórisson,Nökkvi Þeyr Þórisson,44,5,1,1.715,"2023-2025, 2025-2025",Thórisson,23,3,0,St. Louis CITY SC,Attack - Left Winger,"1,88 m",Iceland,is,https://www.transfermarkt.us/nokkvi-thorisson/profil/spieler/381349,https://img.a.transfermarkt.technology/portrait/small/381349-1712492209.jpg?lm=1,,13.08.1999,Dalvík,Sparta Rotterdam
