name,status,profile_url,image_url,jersey_name,jersey_number,nation,nation_code,club,place_of_birth,full_name,position,height,date_of_birth,appearances,goals,assists,own_goals,yellow_cards,second_yellow,red_cards,substituted_on,substituted_off,minutes_played
Daniel Montenegro,Retired,https://www.transfermarkt.us/daniel-montenegro/profil/spieler/25020,https://img.a.transfermarkt.technology/portrait/small/25020-1462372391.jpg?lm=1,Montenegro,6,Argentina,ar,CA Independiente,Buenos Aires,Daniel Gastón Montenegro,Midfield - Attacking Midfield,"1,74 m",28.03.1979,222,67,44,0,21,1,0,4,69,18.442
Martín Benítez,América Futebol Clube (MG),https://www.transfermarkt.us/martin-benitez/profil/spieler/189418,https://img.a.transfermarkt.technology/portrait/small/189418-1682803853.jpg?lm=1,Benítez,20,Argentina,ar,CA Independiente,Posadas,Martín Nicolás Benítez,Midfield - Attacking Midfield,"1,75 m",17.06.1994,210,29,22,0,20,0,1,86,73,11.764
Federico Mancuello,CA Independiente,https://www.transfermarkt.us/federico-mancuello/profil/spieler/96313,https://img.a.transfermarkt.technology/portrait/small/96313-1720465539.png?lm=1,Mancuello,-,Argentina,ar,CA Independiente,Reconquista,Federico Andrés Mancuello,Midfield - Central Midfield,"1,77 m",26.03.1989,199,25,20,0,32,2,2,37,80,12.937
Hernán Fredes,Retired,https://www.transfermarkt.us/hernan-fredes/profil/spieler/45315,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,Fredes,Unknown,Argentina,ar,CA Independiente,Avellaneda,Hernán Daniel Fredes,Midfield - Attacking Midfield,"1,74 m",27.03.1987,193,8,12,1,31,1,0,54,81,12.029
Fabricio Bustos,CA River Plate,https://www.transfermarkt.us/fabricio-bustos/profil/spieler/275381,https://img.a.transfermarkt.technology/portrait/small/275381-1635922877.JPG?lm=1,Bustos,4,Argentina,ar,CA Independiente,Ucacha,Unknown,Defender - Right-Back,"1,67 m",28.04.1996,176,5,19,0,25,2,0,7,26,15.047
Martín Campaña,CA Peñarol,https://www.transfermarkt.us/martin-campana/profil/spieler/91755,https://img.a.transfermarkt.technology/portrait/small/91755-1742486340.jpg?lm=1,Campaña,12,Uruguay,uy,CA Independiente,Maldonado,Martín Nicolás Campaña Delgado,Goalkeeper,"1,86 m",29.05.1989,162,0,0,0,11,0,0,0,1,14.580
Lucas Pusineri,Retired,https://www.transfermarkt.us/lucas-pusineri/profil/spieler/25031,https://img.a.transfermarkt.technology/portrait/small/25031-1674682937.jpg?lm=1,Pusineri,-,Argentina,ar,CA Independiente,Buenos Aires,Lucas Andrés Pusineri Bignone,Midfield - Right Midfield,"1,79 m",16.07.1976,148,20,12,1,37,2,2,28,30,10.720
Lucas Mareque,Retired,https://www.transfermarkt.us/lucas-mareque/profil/spieler/39114,https://img.a.transfermarkt.technology/portrait/small/s_39114_1158_2012_1.jpg?lm=1,Mareque,Unknown,Argentina,ar,CA Independiente,Buenos Aires,Lucas Armando Mareque Buccolini,Defender - Left-Back,"1,75 m",12.01.1983,138,2,6,1,26,1,0,5,7,12.001
Gabriel Milito,Retired,https://www.transfermarkt.us/gabriel-milito/profil/spieler/7968,https://img.a.transfermarkt.technology/portrait/small/7968-1719495934.jpg?lm=1,Milito,2,Argentina,ar,CA Independiente,Bernal,Gabriel Alejandro Milito,Defender - Centre-Back,"1,79 m",07.09.1980,137,2,3,2,29,1,2,0,7,11.999
Andrés Silvera,Retired,https://www.transfermarkt.us/andres-silvera/profil/spieler/54494,https://img.a.transfermarkt.technology/portrait/small/54494-1705345131.JPG?lm=1,Silvera,Unknown,Argentina,ar,CA Independiente,Comodoro Rivadavia,Néstor Andrés Silvera,Attack - Centre-Forward,"1,86 m",14.03.1977,137,44,19,0,16,0,2,16,37,10.368
Eduardo Tuzzio,Retired,https://www.transfermarkt.us/eduardo-tuzzio/profil/spieler/5318,https://img.a.transfermarkt.technology/portrait/small/5318-1698932592.JPG?lm=1,Tuzzio,-,Argentina,ar,CA Independiente,Buenos Aires,Eduardo Nicolás Tuzzio,Defender - Centre-Back,"1,83 m",31.07.1974,132,5,4,1,29,1,0,1,11,11.539
Silvio Romero,Instituto ACC,https://www.transfermarkt.us/silvio-romero/profil/spieler/88082,https://img.a.transfermarkt.technology/portrait/small/88082-1717080478.jpeg?lm=1,Romero,Unknown,Argentina,ar,CA Independiente,Córdoba,Silvio Ezequiel Romero,Attack - Centre-Forward,"1,77 m",22.07.1988,132,51,10,0,7,0,1,13,47,9.950
Alan Franco,São Paulo Futebol Clube,https://www.transfermarkt.us/alan-franco/profil/spieler/503343,https://img.a.transfermarkt.technology/portrait/small/503343-1645994651.JPG?lm=1,Franco,28,Argentina,ar,CA Independiente,Avellaneda,Alan Javier Franco,Defender - Centre-Back,"1,83 m",11.10.1996,128,1,2,0,19,1,0,8,9,10.716
Juan Eluchans,Retired,https://www.transfermarkt.us/juan-eluchans/profil/spieler/51777,https://img.a.transfermarkt.technology/portrait/small/51777-1705424558.JPG?lm=1,Eluchans,Unknown,Argentina,ar,CA Independiente,Tandil,Juan Eduardo Eluchans,Defender - Left-Back,"1,78 m",14.04.1980,124,8,3,0,15,2,1,35,27,7.830
Juan Sánchez Miño,Without Club,https://www.transfermarkt.us/juan-sanchez-mino/profil/spieler/169249,https://img.a.transfermarkt.technology/portrait/small/169249-1636585156.JPG?lm=1,Sánchez Miño,-,Argentina,ar,CA Independiente,Saavedra,Juan Manuel Sánchez Miño,Defender - Left-Back,"1,77 m",01.01.1990,122,3,9,0,24,1,0,22,7,9.319
Leonel Ríos,Retired,https://www.transfermarkt.us/leonel-rios/profil/spieler/30889,https://img.a.transfermarkt.technology/portrait/small/30889-1705511561.JPG?lm=1,Ríos,Unknown,Argentina,ar,CA Independiente,Buenos Aires,Unknown,Midfield - Right Midfield,"1,77 m",17.11.1982,122,7,13,0,16,3,1,49,36,6.794
Sergio Barreto,CF Pachuca,https://www.transfermarkt.us/sergio-barreto/profil/spieler/556047,https://img.a.transfermarkt.technology/portrait/small/556047-1635922941.JPG?lm=1,Barreto,-,Argentina,ar,CA Independiente,Clorinda,Sergio Damián Barreto,Defender - Centre-Back,"1,83 m",24.04.1999,120,1,4,0,29,3,1,5,6,10.154
Lucas González,Defensa y Justicia,https://www.transfermarkt.us/lucas-gonzalez/profil/spieler/688778,https://img.a.transfermarkt.technology/portrait/small/688778-1720465627.png?lm=1,González,14,Argentina,ar,CA Independiente,San Salvador de Jujuy,Lucas Nahuel González Martínez,Midfield - Central Midfield,"1,69 m",03.06.2000,120,6,7,0,17,0,0,45,59,6.383
Julián Velázquez,PSBS Biak,https://www.transfermarkt.us/julian-velazquez/profil/spieler/124260,https://img.a.transfermarkt.technology/portrait/small/124260-1565168968.png?lm=1,Velázquez,-,Argentina,ar,CA Independiente,Corrientes,Julián Alberto Velázquez,Defender - Centre-Back,"1,84 m",23.10.1990,119,3,3,0,27,5,1,4,8,9.962
Diego Rodríguez,AA Argentinos Juniors,https://www.transfermarkt.us/diego-rodriguez/profil/spieler/90800,https://img.a.transfermarkt.technology/portrait/small/90800-1720121389.png?lm=1,Rodríguez,12,Argentina,ar,CA Independiente,Buenos Aires,Diego Matías Rodríguez,Goalkeeper,"1,84 m",25.06.1989,118,9,0,0,6,0,0,1,1,10.469
Lucas Romero,Cruzeiro Esporte Clube,https://www.transfermarkt.us/lucas-romero/profil/spieler/242201,https://img.a.transfermarkt.technology/portrait/small/242201-1635923213.JPG?lm=1,Romero,-,Argentina,ar,CA Independiente,Buenos Aires,Lucas Daniel Romero,Midfield - Defensive Midfield,"1,72 m",18.04.1994,117,5,10,0,33,1,0,3,38,9.687
Leonel Galeano,Club Cienciano,https://www.transfermarkt.us/leonel-galeano/profil/spieler/124244,https://img.a.transfermarkt.technology/portrait/small/124244-1678473996.jpg?lm=1,Galeano,-,Argentina,ar,CA Independiente,Miramar,Leonel Ezequiel Galeano,Defender - Centre-Back,"1,83 m",02.08.1991,117,8,4,0,37,1,2,11,5,9.619
Nicolás Figal,CA Boca Juniors,https://www.transfermarkt.us/nicolas-figal/profil/spieler/334055,https://img.a.transfermarkt.technology/portrait/small/334055-1739889062.jpg?lm=1,Figal,14,Argentina,ar,CA Independiente,América,Jorge Nicolás Figal,Defender - Centre-Back,"1,80 m",03.04.1994,115,3,4,1,32,2,3,11,6,9.400
Carlos Matheu,Retired,https://www.transfermarkt.us/carlos-matheu/profil/spieler/55932,https://img.a.transfermarkt.technology/portrait/small/55932-1637752089.jpg?lm=1,Matheu,-,Argentina,ar,CA Independiente,Quilmes,Carlos Javier Matheu,Defender - Centre-Back,"1,82 m",13.05.1985,113,8,2,0,38,2,0,16,6,8.986
Domingo Blanco,Club Tijuana,https://www.transfermarkt.us/domingo-blanco/profil/spieler/285127,https://img.a.transfermarkt.technology/portrait/small/285127-1659701412.png?lm=1,Blanco,25,Argentina,ar,CA Independiente,Buenos Aires,Domingo Felipe Blanco,Attack - Right Winger,"1,67 m",22.04.1995,113,6,3,0,22,1,1,28,45,7.394
Pato Rodríguez,Bolívar La Paz,https://www.transfermarkt.us/pato-rodriguez/profil/spieler/66587,https://img.a.transfermarkt.technology/portrait/small/66587-1537358932.jpg?lm=1,Pato Rodríguez,Unknown,Argentina,ar,CA Independiente,Quilmes,Patricio Julián Rodríguez,Attack - Left Winger,"1,72 m",04.05.1990,113,10,17,0,15,2,0,61,33,5.809
Nicolás Tagliafico,Olympique Lyon,https://www.transfermarkt.us/nicolas-tagliafico/profil/spieler/131225,https://img.a.transfermarkt.technology/portrait/small/131225-1668181437.jpg?lm=1,Tagliafico,3,Argentina,ar,CA Independiente,Rafael Calzada,Nicolás Alejandro Tagliafico,Defender - Left-Back,"1,71 m",31.08.1992,111,2,3,0,15,1,0,1,1,9.882
Fabián Assmann,Retired,https://www.transfermarkt.us/fabian-assmann/profil/spieler/55904,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,Assmann,Unknown,Argentina,ar,CA Independiente,Zárate,Wálter Fabián Assmann,Goalkeeper,"1,89 m",23.03.1986,107,0,0,0,4,0,1,3,0,9.506
Iván Marcone,CA Independiente,https://www.transfermarkt.us/ivan-marcone/profil/spieler/90451,https://img.a.transfermarkt.technology/portrait/small/90451-1720466002.png?lm=1,Marcone,13,Argentina,ar,CA Independiente,Sarandí,Iván José Marcone,Midfield - Defensive Midfield,"1,83 m",03.06.1990,106,1,3,0,31,1,1,5,10,9.046
Federico Insúa,Retired,https://www.transfermarkt.us/federico-insua/profil/spieler/4193,https://img.a.transfermarkt.technology/portrait/small/s_4193_20_2011_1.jpg?lm=1,Insúa,9,Argentina,ar,CA Independiente,Buenos Aires,Unknown,Midfield - Attacking Midfield,"1,80 m",03.01.1980,104,27,23,0,8,0,0,7,34,8.173
Hernán Franco,Retired,https://www.transfermarkt.us/hernan-franco/profil/spieler/815074,https://img.a.transfermarkt.technology/portrait/small/815074-1705425614.JPG?lm=1,Franco,Unknown,Argentina,ar,CA Independiente,Cruz Alta,Hernán Diego Ceferino Franco,Midfield - Central Midfield,Unknown,26.01.1974,101,3,4,0,40,1,3,13,8,7.906
Facundo Parra,Retired,https://www.transfermarkt.us/facundo-parra/profil/spieler/54794,https://img.a.transfermarkt.technology/portrait/small/54794-1703867055.jpg?lm=1,Parra,-,Argentina,ar,CA Independiente,Buenos Aires,Facundo Manuel Carlos Parra,Attack - Centre-Forward,"1,88 m",15.06.1985,101,30,8,0,7,0,0,25,27,6.975
Leandro Fernández,Club Universidad de Chile,https://www.transfermarkt.us/leandro-fernandez/profil/spieler/131840,https://img.a.transfermarkt.technology/portrait/small/131840-1666624522.JPG?lm=1,Fernández,Unknown,Argentina,ar,CA Independiente,Santa Fe,Leandro Miguel Fernández,Attack - Left Winger,"1,78 m",12.03.1991,101,29,17,0,25,2,0,26,44,6.617
Rodrigo Rey,CA Independiente,https://www.transfermarkt.us/rodrigo-rey/profil/spieler/166591,https://img.a.transfermarkt.technology/portrait/small/166591-1720466412.png?lm=1,Rey,12,Argentina,ar,CA Independiente,Río Cuarto,Rodrigo Francisco Jesús Rey,Goalkeeper,"1,90 m",08.03.1991,100,0,0,0,6,0,0,0,0,9.000
Germán Denis,Retired,https://www.transfermarkt.us/german-denis/profil/spieler/30873,https://img.a.transfermarkt.technology/portrait/small/30873-1632469377.jpg?lm=1,Denis,-,Argentina,ar,CA Independiente,Remedios de Escalada,Germán Gustavo Denis,Attack - Centre-Forward,"1,82 m",10.09.1981,99,42,7,1,10,0,1,18,24,7.258
Guillermo Rodríguez,Retired,https://www.transfermarkt.us/guillermo-rodriguez/profil/spieler/37633,https://img.a.transfermarkt.technology/portrait/small/s_37633_416_2013_09_24_1.jpg?lm=1,Rodríguez,-,Uruguay,uy,CA Independiente,Montevideo,Guillermo Daniel Rodríguez Pérez,Defender - Centre-Back,"1,85 m",21.03.1984,93,3,1,3,18,2,1,0,3,8.362
Diego Rodríguez,Liverpool FC Montevideo,https://www.transfermarkt.us/diego-rodriguez/profil/spieler/127828,https://img.a.transfermarkt.technology/portrait/small/s_127828_36329_2012_1.jpg?lm=1,Rodríguez,-,Uruguay,uy,CA Independiente,Montevideo,Diego Martín Rodríguez Berrini,Midfield - Defensive Midfield,"1,70 m",04.09.1989,93,2,4,0,18,0,1,10,15,7.242
Fernando Godoy,Carlos A. Mannucci,https://www.transfermarkt.us/fernando-godoy/profil/spieler/130452,https://img.a.transfermarkt.technology/portrait/small/130452-1743120077.jpg?lm=1,Godoy,-,Argentina,ar,CA Independiente,Buenos Aires,Fernando Gabriel Godoy,Midfield - Defensive Midfield,"1,72 m",01.05.1990,93,1,2,0,11,2,0,21,18,6.453
Joaquín Laso,Club Atlético Tigre,https://www.transfermarkt.us/joaquin-laso/profil/spieler/360797,https://img.a.transfermarkt.technology/portrait/small/360797-1720465039.png?lm=1,Laso,Unknown,Argentina,ar,CA Independiente,Balcarce,Joaquin Marcelo Laso,Defender - Centre-Back,"1,85 m",04.07.1990,92,4,2,2,28,1,2,10,6,7.404
