name,status,profile_url,image_url,jersey_name,jersey_number,nation,nation_code,club,place_of_birth,full_name,position,height,date_of_birth,appearances,goals,assists,own_goals,yellow_cards,second_yellow,red_cards,substituted_on,substituted_off,minutes_played
Maxi Rodríguez,Retired,https://www.transfermarkt.us/maxi-rodriguez/profil/spieler/7895,https://img.a.transfermarkt.technology/portrait/small/7895-1719513978.jpg?lm=1,Rodríguez,11,Argentina,ar,CA Newell's Old Boys,Rosario,Maximiliano Rubén Rodríguez,Attack - Left Winger,"1,73 m",02.01.1981,284,94,30,0,35,1,1,20,68,23.022
Lucas Bernardi,Retired,https://www.transfermarkt.us/lucas-bernardi/profil/spieler/5294,https://img.a.transfermarkt.technology/portrait/small/s_5294_1286_2012_1.jpg?lm=1,Bernardi,17,Argentina,ar,CA Newell's Old Boys,Rosario,Lucas Ademar Bernardi,Midfield - Central Midfield,"1,72 m",27.09.1977,272,7,19,0,43,3,3,14,73,22.053
Ignacio Scocco,Retired,https://www.transfermarkt.us/ignacio-scocco/profil/spieler/51088,https://img.a.transfermarkt.technology/portrait/small/51088-1635921817.JPG?lm=1,Scocco,-,Argentina,ar,CA Newell's Old Boys,Hughes,Ignacio Martín Scocco,Attack - Centre-Forward,"1,76 m",29.05.1985,248,85,19,2,40,1,2,46,79,18.030
Pablo Pérez,Retired,https://www.transfermarkt.us/pablo-perez/profil/spieler/55884,https://img.a.transfermarkt.technology/portrait/small/55884-1635921417.JPG?lm=1,Pérez,-,Argentina,ar,CA Newell's Old Boys,Rosario,Pablo Javier Pérez,Midfield - Central Midfield,"1,75 m",10.08.1985,223,25,9,0,86,3,2,54,102,14.114
Víctor Figueroa,CA Chacarita Juniors,https://www.transfermarkt.us/victor-figueroa/profil/spieler/40501,https://img.a.transfermarkt.technology/portrait/small/40501-1718024806.JPG?lm=1,Figueroa,Unknown,Argentina,ar,CA Newell's Old Boys,San Isidro,Víctor Alberto Figueroa,Attack - Right Winger,"1,68 m",29.09.1983,223,19,32,0,20,0,0,69,95,13.827
Diego Mateo,Retired,https://www.transfermarkt.us/diego-mateo/profil/spieler/7860,https://img.a.transfermarkt.technology/portrait/small/s_7860_1286_2012_1.jpg?lm=1,Mateo,Unknown,Argentina,ar,CA Newell's Old Boys,Roldán,Diego Mateo Alustiza,Midfield - Defensive Midfield,"1,76 m",07.08.1978,217,6,8,2,53,3,0,26,22,17.132
Leonel Vangioni,Quilmes AC,https://www.transfermarkt.us/leonel-vangioni/profil/spieler/55895,https://img.a.transfermarkt.technology/portrait/small/55895-1721742626.jpg?lm=1,Vangioni,27,Argentina,ar,CA Newell's Old Boys,Villa Constitución,Leonel Jesús Vangioni,Defender - Left-Back,"1,81 m",05.05.1987,209,7,11,0,55,0,3,36,50,15.151
Germán Ré,Retired,https://www.transfermarkt.us/german-re/profil/spieler/26483,https://img.a.transfermarkt.technology/portrait/small/26483-1697731300.jpg?lm=1,Ré,-,Argentina,ar,CA Newell's Old Boys,Villa Gobernador Gálvez,Germán David Ré,Defender - Centre-Back,"1,78 m",02.11.1981,205,5,1,1,33,1,2,3,7,18.013
Mauro Formica,Retired,https://www.transfermarkt.us/mauro-formica/profil/spieler/55870,https://img.a.transfermarkt.technology/portrait/small/55870-1415278810.jpg?lm=1,Formica,-,Argentina,ar,CA Newell's Old Boys,Rosario,Mauro Abel Formica,Midfield - Attacking Midfield,"1,79 m",04.04.1988,196,33,21,0,26,0,0,52,78,12.654
Sebastián Peratta,Retired,https://www.transfermarkt.us/sebastian-peratta/profil/spieler/26449,https://img.a.transfermarkt.technology/portrait/small/s_26449_1286_2012_1.jpg?lm=1,Peratta,Unknown,Argentina,ar,CA Newell's Old Boys,Buenos Aires,Sebastián Diego Peratta,Goalkeeper,"1,90 m",01.11.1976,161,0,0,0,18,0,0,2,1,14.346
Justo Villar,Retired,https://www.transfermarkt.us/justo-villar/profil/spieler/38811,https://img.a.transfermarkt.technology/portrait/small/38811-1687210732.jpg?lm=1,Villar,1,Paraguay,py,CA Newell's Old Boys,Cerrito,Justo Wilmar Villar Viveros,Goalkeeper,"1,82 m",30.06.1977,145,0,0,1,6,0,1,0,1,13.006
Luciano Vella,Retired,https://www.transfermarkt.us/luciano-vella/profil/spieler/38371,https://img.a.transfermarkt.technology/portrait/small/38371-1697732401.jpg?lm=1,Vella,Unknown,Argentina,ar,CA Newell's Old Boys,Rosario,Luciano Germán Vella,Defender - Right-Back,"1,75 m",13.04.1981,145,5,5,0,38,1,1,10,28,11.431
Mauricio Sperduti,Retired,https://www.transfermarkt.us/mauricio-sperduti/profil/spieler/55892,https://img.a.transfermarkt.technology/portrait/small/55892-1496828124.jpg?lm=1,Sperduti,-,Argentina,ar,CA Newell's Old Boys,Rosario,Mauricio Ezequiel Sperduti,Attack - Right Winger,"1,80 m",16.02.1986,145,15,23,0,20,2,0,49,44,8.903
Hernán Villalba,Retired,https://www.transfermarkt.us/hernan-villalba/profil/spieler/147125,https://img.a.transfermarkt.technology/portrait/small/s_147125_1286_2012_1.jpg?lm=1,Villalba,-,Paraguay,py,CA Newell's Old Boys,Rosario,Raúl Hernán Villalba,Midfield - Central Midfield,"1,76 m",09.02.1989,142,0,5,0,23,3,1,20,31,10.445
Rolando Schiavi,Retired,https://www.transfermarkt.us/rolando-schiavi/profil/spieler/20002,https://img.a.transfermarkt.technology/portrait/small/s_20002_189_2012_1.jpg?lm=1,Schiavi,-,Argentina,ar,CA Newell's Old Boys,Lincoln,Rolando Carlos Schiavi,Defender - Centre-Back,"1,91 m",18.01.1973,137,20,3,1,29,3,2,0,7,11.916
Martín Tonso,Without Club,https://www.transfermarkt.us/martin-tonso/profil/spieler/178987,https://img.a.transfermarkt.technology/portrait/small/s_178987_1286_2012_1.jpg?lm=1,Tonso,Unknown,Argentina,ar,CA Newell's Old Boys,Colonia Godeken,Unknown,Attack - Right Winger,"1,75 m",19.10.1989,130,9,4,0,18,0,0,60,53,6.491
Hernán Bernardello,Retired,https://www.transfermarkt.us/hernan-bernardello/profil/spieler/55860,https://img.a.transfermarkt.technology/portrait/small/55860-1489609663.jpg?lm=1,Bernardello,-,Argentina,ar,CA Newell's Old Boys,Rosario,Hernán Darío Bernardello,Midfield - Defensive Midfield,"1,74 m",03.08.1986,129,3,3,0,50,1,1,9,14,10.704
Fernando Crosa,Retired,https://www.transfermarkt.us/fernando-crosa/profil/spieler/26234,https://img.a.transfermarkt.technology/portrait/small/26234-1729261879.JPG?lm=1,Crosa,-,Argentina,ar,CA Newell's Old Boys,Rosario,Fernando Javier Crosa,Defender - Centre-Back,"1,85 m",28.02.1979,128,9,2,1,8,0,0,0,2,11.515
Marcos Cáceres,Retired,https://www.transfermarkt.us/marcos-caceres/profil/spieler/55910,https://img.a.transfermarkt.technology/portrait/small/55910-1729524404.jpg?lm=1,Cáceres,-,Paraguay,py,CA Newell's Old Boys,San Lorenzo,Marcos Antonio Cáceres Centurión,Defender - Centre-Back,"1,85 m",05.05.1986,120,7,5,2,19,0,0,2,10,10.347
Mauro Rosales,Retired,https://www.transfermarkt.us/mauro-rosales/profil/spieler/22813,https://img.a.transfermarkt.technology/portrait/small/22813-1489304605.jpg?lm=1,Rosales,7,Argentina,ar,CA Newell's Old Boys,Villa María,Mauro Damián Rosales,Midfield - Right Midfield,"1,72 m",24.02.1981,118,29,23,0,10,0,0,24,44,8.522
Damián Manso,Retired,https://www.transfermarkt.us/damian-manso/profil/spieler/37533,https://img.a.transfermarkt.technology/portrait/small/37533-1705498305.JPG?lm=1,Manso,Unknown,Argentina,ar,CA Newell's Old Boys,Rosario,Damián Alejandro Manso,Midfield - Attacking Midfield,"1,69 m",06.06.1979,117,12,23,0,8,1,0,17,48,8.275
Nicolás Spolli,Retired,https://www.transfermarkt.us/nicolas-spolli/profil/spieler/51186,https://img.a.transfermarkt.technology/portrait/small/51186-1454584736.jpg?lm=1,Spolli,Unknown,Argentina,ar,CA Newell's Old Boys,Coronel Bogado,Nicolás Federico Spolli,Defender - Centre-Back,"1,93 m",20.02.1983,116,10,0,0,31,3,4,2,8,9.889
Ariel Zapata,Retired,https://www.transfermarkt.us/ariel-zapata/profil/spieler/55900,https://img.a.transfermarkt.technology/portrait/small/55900-1698932293.JPG?lm=1,Zapata,-,Argentina,ar,CA Newell's Old Boys,Florencio Varela,Ariel Hernán Zapata,Midfield - Defensive Midfield,"1,80 m",02.09.1974,116,4,2,0,28,2,1,17,20,8.658
Víctor López,Retired,https://www.transfermarkt.us/victor-lopez/profil/spieler/30883,https://img.a.transfermarkt.technology/portrait/small/s_30883_1286_2012_1.jpg?lm=1,López,Unknown,Argentina,ar,CA Newell's Old Boys,Córdoba,Víctor Rubén López,Defender - Centre-Back,"1,80 m",19.12.1978,114,3,0,0,17,1,3,4,6,9.707
Juan Sforza,Clube de Regatas Vasco da Gama,https://www.transfermarkt.us/juan-sforza/profil/spieler/659264,https://img.a.transfermarkt.technology/portrait/small/659264-1574073945.jpg?lm=1,Sforza,13,Argentina,ar,CA Newell's Old Boys,Rosario,Juan Sebastián Sforza,Midfield - Defensive Midfield,"1,79 m",14.02.2002,113,6,1,0,33,1,1,23,24,8.325
Fernando Belluschi,AA Estudiantes (Río Cuarto),https://www.transfermarkt.us/fernando-belluschi/profil/spieler/26460,https://img.a.transfermarkt.technology/portrait/small/26460-1441286422.jpg?lm=1,Belluschi,25,Argentina,ar,CA Newell's Old Boys,Los Quirquinchos (SFE),Fernando Daniel Belluschi,Midfield - Attacking Midfield,"1,71 m",10.09.1983,111,20,11,0,17,1,1,20,24,8.148
Sebastián Domínguez,Retired,https://www.transfermarkt.us/sebastian-dominguez/profil/spieler/26461,https://img.a.transfermarkt.technology/portrait/small/26461-1447412010.jpg?lm=1,Domínguez,6,Argentina,ar,CA Newell's Old Boys,Buenos Aires,Sebastián Enrique Domínguez,Defender - Centre-Back,"1,83 m",29.07.1980,108,3,1,1,28,0,0,11,2,8.891
Gustavo Velázquez,Club Cerro Porteño,https://www.transfermarkt.us/gustavo-velazquez/profil/spieler/389399,https://img.a.transfermarkt.technology/portrait/small/389399-1721742490.jpg?lm=1,Unknown,Unknown,Paraguay,py,CA Newell's Old Boys,Unknown,Unknown,Unknown,Unknown,17.04.1991,106,6,5,0,17,0,0,7,6,8.905
Julián Fernández,CD Palestino,https://www.transfermarkt.us/julian-fernandez/profil/spieler/275319,https://img.a.transfermarkt.technology/portrait/small/275319-1739896074.jpg?lm=1,Fernández,Unknown,Argentina,ar,CA Newell's Old Boys,Buenos Aires,Julián Rodrigo Fernández,Midfield - Defensive Midfield,"1,80 m",22.03.1995,106,4,3,0,38,0,1,16,25,7.852
Milton Casco,CA River Plate,https://www.transfermarkt.us/milton-casco/profil/spieler/115183,https://img.a.transfermarkt.technology/portrait/small/115183-1625770873.png?lm=1,Casco,14,Argentina,ar,CA Newell's Old Boys,María Grande,Milton Oscar Casco,Defender - Left-Back,"1,70 m",11.04.1988,103,8,8,0,26,2,0,6,8,8.492
Francisco González,Defensa y Justicia,https://www.transfermarkt.us/francisco-gonzalez/profil/spieler/703564,https://img.a.transfermarkt.technology/portrait/small/703564-1638379605.JPG?lm=1,González,17,Argentina,ar,CA Newell's Old Boys,Ordóñez,Francisco Agustín González,Attack - Right Winger,"1,70 m",06.04.2001,102,7,14,0,9,0,0,34,53,6.013
Ramiro Sordo,Santos Laguna,https://www.transfermarkt.us/ramiro-sordo/profil/spieler/830112,https://img.a.transfermarkt.technology/portrait/small/830112-1644586966.JPG?lm=1,Sordo,Unknown,Argentina,ar,CA Newell's Old Boys,Las Rosas,Ramiro Gabriel Sordo,Attack - Left Winger,"1,76 m",29.06.2000,100,12,9,0,7,0,0,36,49,5.538
Armando Méndez,CA Lanús,https://www.transfermarkt.us/armando-mendez/profil/spieler/605648,https://img.a.transfermarkt.technology/portrait/small/605648-1721742666.jpg?lm=1,Méndez,Unknown,Uruguay,uy,CA Newell's Old Boys,Rodríguez,Armando Jesús Méndez Alcorta,Defender - Right-Back,"1,76 m",31.03.1996,98,2,5,0,19,0,0,8,22,7.793
Cristian Lema,CA Boca Juniors,https://www.transfermarkt.us/cristian-lema/profil/spieler/147128,https://img.a.transfermarkt.technology/portrait/small/147128-1739889091.jpg?lm=1,Lema,Unknown,Argentina,ar,CA Newell's Old Boys,Puerto Madryn,Cristian Franco Lema,Defender - Centre-Back,"1,91 m",24.03.1990,97,9,1,0,30,2,1,1,3,8.430
