name,status,profile_url,image_url,jersey_name,jersey_number,nation,nation_code,club,place_of_birth,full_name,position,height,date_of_birth,appearances,goals,assists,own_goals,yellow_cards,second_yellow,red_cards,substituted_on,substituted_off,minutes_played
Luis Ardente,Retired,https://www.transfermarkt.us/luis-ardente/profil/spieler/60876,https://img.a.transfermarkt.technology/portrait/small/s_60876_10511_2012_1.jpg?lm=1,Ardente,Unknown,Argentina,ar,CA San Martín (San Juan),San Isidro,Luis Emanuel Ardente,Goalkeeper,"1,86 m",17.09.1981,197,9,0,1,23,0,0,1,2,17.567
Nicolás Pelaitay,CA San Martín (San Juan),https://www.transfermarkt.us/nicolas-pelaitay/profil/spieler/269886,https://img.a.transfermarkt.technology/portrait/small/269886-1732821691.png?lm=1,Pelaitay,Unknown,Argentina,ar,CA San Martín (San Juan),9 de Julio,Unknown,Midfield - Defensive Midfield,"1,68 m",27.12.1992,186,3,1,1,41,0,2,41,40,12.687
Sebastián Penco,Without Club,https://www.transfermarkt.us/sebastian-penco/profil/spieler/30688,https://img.a.transfermarkt.technology/portrait/small/30688-1682980771.png?lm=1,Penco,Unknown,Argentina,ar,CA San Martín (San Juan),Morón,Sebastián Ariel Penco,Attack - Centre-Forward,"1,85 m",22.09.1983,149,48,6,0,21,1,0,48,27,9.390
Alejandro Molina,CA San Martín (San Juan),https://www.transfermarkt.us/alejandro-molina/profil/spieler/538529,https://img.a.transfermarkt.technology/portrait/small/538529-1732825322.png?lm=1,Molina,Unknown,Argentina,ar,CA San Martín (San Juan),Tres Isletas,Lorenzo Alejandro Molina,Defender - Right-Back,"1,68 m",10.08.1997,143,7,4,0,19,1,0,3,29,12.032
Francisco Mattia,Without Club,https://www.transfermarkt.us/francisco-mattia/profil/spieler/213542,https://img.a.transfermarkt.technology/portrait/small/s_213542_10511_2012_1.jpg?lm=1,Mattia,Unknown,Argentina,ar,CA San Martín (San Juan),Luján,Juan Francisco Mattia,Defender - Centre-Back,"1,90 m",24.06.1988,141,4,2,0,24,2,0,8,5,11.809
Marcos Gelabert,Retired,https://www.transfermarkt.us/marcos-gelabert/profil/spieler/20130,https://img.a.transfermarkt.technology/portrait/small/20130-1722343584.jpg?lm=1,Gelabert,Unknown,Argentina,ar,CA San Martín (San Juan),General Pico,Marcos Agustín Gelabert,Midfield - Defensive Midfield,"1,76 m",16.09.1981,134,8,6,0,36,2,2,18,51,9.572
Luciano Pocrnjic,Retired,https://www.transfermarkt.us/luciano-pocrnjic/profil/spieler/26469,https://img.a.transfermarkt.technology/portrait/small/s_26469_10511_2012_1.jpg?lm=1,Unknown,Unknown,Argentina,ar,CA San Martín (San Juan),Unknown,Unknown,Unknown,Unknown,04.08.1981,111,0,2,0,12,0,0,0,1,9.958
Sebastián González,CA San Martín (San Juan),https://www.transfermarkt.us/sebastian-gonzalez/profil/spieler/106404,https://img.a.transfermarkt.technology/portrait/small/s_106404_1775_2012_1.jpg?lm=1,González,-,Argentina,ar,CA San Martín (San Juan),Lomas de Zamora,Sebastián Emmanuel González,Midfield - Attacking Midfield,"1,66 m",04.03.1992,111,14,20,0,16,1,0,23,74,7.505
Emmanuel Más,CA Juventud,https://www.transfermarkt.us/emmanuel-mas/profil/spieler/77153,https://img.a.transfermarkt.technology/portrait/small/77153-1626267546.jpg?lm=1,Más,4,Argentina,ar,CA San Martín (San Juan),San Juan,Emmanuel David Más Sgros,Defender - Left-Back,"1,80 m",15.01.1989,93,4,5,0,18,0,1,5,2,7.939
Matías Giménez,CA Independiente,https://www.transfermarkt.us/matias-gimenez/profil/spieler/656112,https://img.a.transfermarkt.technology/portrait/small/656112-1720466488.png?lm=1,Giménez,Unknown,Argentina,ar,CA San Martín (San Juan),San Juan,Matías Daniel Giménez Rojas,Attack - Centre-Forward,"1,85 m",06.03.1999,92,25,8,0,12,0,1,11,52,6.765
Mauro Bogado,Retired,https://www.transfermarkt.us/mauro-bogado/profil/spieler/54822,https://img.a.transfermarkt.technology/portrait/small/54822-1462366670.jpg?lm=1,Bogado,Unknown,Argentina,ar,CA San Martín (San Juan),San Martín (BUE),Mauro Ezequiel Bogado,Midfield - Central Midfield,"1,70 m",31.05.1985,91,13,6,0,27,0,2,5,40,7.059
Federico Poggi,Retired,https://www.transfermarkt.us/federico-poggi/profil/spieler/56925,https://img.a.transfermarkt.technology/portrait/small/s_56925_10511_2012_1.jpg?lm=1,Poggi,Unknown,Argentina,ar,CA San Martín (San Juan),Buenos Aires,Federico Hernán Poggi,Midfield - Left Midfield,"1,64 m",10.01.1981,86,4,6,0,7,0,1,30,31,5.248
