name,status,profile_url,image_url,jersey_name,jersey_number,nation,nation_code,club,place_of_birth,full_name,position,height,date_of_birth,appearances,goals,assists,own_goals,yellow_cards,second_yellow,red_cards,substituted_on,substituted_off,minutes_played
Martín Galmarini,Retired,https://www.transfermarkt.us/martin-galmarini/profil/spieler/53109,https://img.a.transfermarkt.technology/portrait/small/s_53109_6709_2014_01_21_1.jpg?lm=1,Galmarini,Unknown,Argentina,ar,Club Atlético Tigre,San Isidro,Martín Sebastián Galmarini,Midfield - Right Midfield,"1,80 m",28.02.1982,288,11,19,0,79,4,3,28,48,22.446
Carlos Luna,Retired,https://www.transfermarkt.us/carlos-luna/profil/spieler/57916,https://img.a.transfermarkt.technology/portrait/small/57916-1697732818.jpg?lm=1,Luna,Unknown,Argentina,ar,Club Atlético Tigre,Piquillín,Carlos Ariel Luna,Attack - Centre-Forward,"1,79 m",17.01.1982,264,88,20,0,49,1,0,63,59,18.081
Lucas Menossi,Club Atlético Belgrano,https://www.transfermarkt.us/lucas-menossi/profil/spieler/225481,https://img.a.transfermarkt.technology/portrait/small/225481-1614939403.jpg?lm=1,Menossi,Unknown,Argentina,ar,Club Atlético Tigre,Beccar,Lucas Ariel Menossi,Midfield - Central Midfield,"1,69 m",11.07.1992,245,19,19,0,46,0,0,32,75,18.416
Diego Castaño,Retired,https://www.transfermarkt.us/diego-castano/profil/spieler/53100,https://img.a.transfermarkt.technology/portrait/small/53100-1722283236.jpg?lm=1,Castaño,Unknown,Argentina,ar,Club Atlético Tigre,Bragado,Diego Rafael Castaño,Midfield - Central Midfield,"1,91 m",08.06.1979,228,12,8,1,42,6,1,23,33,17.702
Javier García,CA Boca Juniors,https://www.transfermarkt.us/javier-garcia/profil/spieler/7966,https://img.a.transfermarkt.technology/portrait/small/7966-1739888779.jpg?lm=1,García,-,Argentina,ar,Club Atlético Tigre,Buenos Aires,Javier Hernán García,Goalkeeper,"1,80 m",29.01.1987,184,0,1,1,16,0,0,0,1,16.526
Sebastián Prediger,Unknown,https://www.transfermarkt.us/sebastian-prediger/profil/spieler/61504,https://img.a.transfermarkt.technology/portrait/small/61504-1639163920.JPG?lm=1,Prediger,-,Argentina,ar,Club Atlético Tigre,Crespo,Leonardo Sebastián Prediger,Midfield - Defensive Midfield,"1,83 m",04.09.1986,177,3,0,0,26,2,2,16,50,13.837
Diego Morales,Miami United FC,https://www.transfermarkt.us/diego-morales/profil/spieler/87492,https://img.a.transfermarkt.technology/portrait/small/87492-1650563083.jpg?lm=1,Morales,-,Argentina,ar,Club Atlético Tigre,Villa María,Diego Alberto Morales,Midfield - Attacking Midfield,"1,75 m",29.11.1986,168,29,23,0,23,0,0,25,70,12.245
Juan Carlos Blengio,Retired,https://www.transfermarkt.us/juan-carlos-blengio/profil/spieler/53095,https://img.a.transfermarkt.technology/portrait/small/53095-1729549963.jpg?lm=1,Blengio,Unknown,Argentina,ar,Club Atlético Tigre,San Fernando,Unknown,Defender - Centre-Back,"1,93 m",26.06.1980,159,4,1,0,20,4,0,3,13,13.684
Ramiro Leone,Retired,https://www.transfermarkt.us/ramiro-leone/profil/spieler/69373,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,Leone,Unknown,Argentina,ar,Club Atlético Tigre,Santa Fé,Ramiro Emiliano Leone,Midfield - Left Midfield,"1,74 m",01.06.1977,151,5,13,0,13,0,2,21,27,11.568
Agustín Cardozo,CA Lanús,https://www.transfermarkt.us/agustin-cardozo/profil/spieler/469762,https://img.a.transfermarkt.technology/portrait/small/469762-1727449491.jpg?lm=1,Cardozo,Unknown,Argentina,ar,Club Atlético Tigre,San Isidro,Agustín Ezequiel Cardozo,Midfield - Central Midfield,"1,83 m",30.05.1997,150,6,2,0,29,0,0,48,28,9.557
