name,status,profile_url,image_url,jersey_name,jersey_number,nation,nation_code,club,place_of_birth,full_name,position,height,date_of_birth,appearances,goals,assists,own_goals,yellow_cards,second_yellow,red_cards,substituted_on,substituted_off,minutes_played
Yonatan Goitía,Club Deportivo Riestra,https://www.transfermarkt.us/yonatan-goitia/profil/spieler/553854,https://img.a.transfermarkt.technology/portrait/small/553854-1720210703.JPG?lm=1,Goitía,Unknown,Argentina,ar,Club Deportivo Riestra,Moreno,Yonatan Esteban Goitía,Defender - Right-Back,"1,75 m",08.02.1994,160,11,9,0,41,0,0,30,44,11.950
Yeison Murillo,Club Deportivo Riestra,https://www.transfermarkt.us/yeison-murillo/profil/spieler/439088,https://img.a.transfermarkt.technology/portrait/small/439088-1720211246.JPG?lm=1,Murillo,Unknown,Colombia,co,Club Deportivo Riestra,Quibdó,Yeison Mena Murillo,Defender - Centre-Back,"1,93 m",15.11.1993,118,0,0,1,23,1,1,7,12,9.675
Jonatan Goya,Club Almirante Brown,https://www.transfermarkt.us/jonatan-goya/profil/spieler/528399,https://img.a.transfermarkt.technology/portrait/small/528399-1720212198.JPG?lm=1,Goya,Unknown,Argentina,ar,Club Deportivo Riestra,Buenos Aires,Jonatan Javier Goya,Midfield - Central Midfield,"1,80 m",14.03.1989,109,4,1,0,19,0,1,36,36,6.523
Gonzalo Bravo,Club Deportivo Riestra,https://www.transfermarkt.us/gonzalo-bravo/profil/spieler/464349,https://img.a.transfermarkt.technology/portrait/small/464349-1720211501.JPG?lm=1,Bravo,Unknown,Argentina,ar,Club Deportivo Riestra,Ciudadela,Gonzalo Martín Bravo,Midfield - Attacking Midfield,"1,72 m",18.05.1990,107,14,7,0,9,0,1,41,35,6.048
Walter Acuña,Club Ciudad de Bolivar,https://www.transfermarkt.us/walter-acuna/profil/spieler/267409,https://img.a.transfermarkt.technology/portrait/small/267409-1720462535.JPG?lm=1,Acuña,Unknown,Argentina,ar,Club Deportivo Riestra,San Nicolás,Walter Rubén Acuña,Midfield - Attacking Midfield,"1,77 m",04.03.1992,101,21,12,0,10,2,1,29,49,6.340
Tomas Villoldo,Club Almirante Brown,https://www.transfermarkt.us/tomas-villoldo/profil/spieler/423179,https://img.a.transfermarkt.technology/portrait/small/423179-1720211146.JPG?lm=1,Villoldo,Unknown,Argentina,ar,Club Deportivo Riestra,"Moreno, Buenos Aires",Unknown,Defender - Left-Back,"1,78 m",28.02.1995,99,0,0,0,13,0,0,42,25,5.312
Braian Sánchez,Club Deportivo Riestra,https://www.transfermarkt.us/braian-sanchez/profil/spieler/540163,https://img.a.transfermarkt.technology/portrait/small/540163-1645363467.JPG?lm=1,Sánchez,Unknown,Argentina,ar,Club Deportivo Riestra,General Arenales,Unknown,Midfield - Attacking Midfield,"1,70 m",11.06.1993,94,9,2,0,12,0,0,34,45,5.586
Gustavo Fernández,Club Deportivo Riestra,https://www.transfermarkt.us/gustavo-fernandez/profil/spieler/30957,https://img.a.transfermarkt.technology/portrait/small/30957-1720462021.JPG?lm=1,Fernández,-,Argentina,ar,Club Deportivo Riestra,Concordia,Gustavo Martín Fernández,Attack - Centre-Forward,"1,71 m",04.08.1990,90,11,3,0,12,1,1,17,42,6.425
Matías Vega,Club Juan Pablo II,https://www.transfermarkt.us/matias-vega/profil/spieler/75445,https://img.a.transfermarkt.technology/portrait/small/75445-1712797352.png?lm=1,Vega,Unknown,Argentina,ar,Club Deportivo Riestra,Rosario,Matías Alejandro Vega,Goalkeeper,"1,91 m",18.04.1986,85,0,1,1,5,0,0,1,0,7.561
Eric Tovo,Club Deportivo Riestra,https://www.transfermarkt.us/eric-tovo/profil/spieler/697418,https://img.a.transfermarkt.technology/portrait/small/697418-1705856707.jpg?lm=1,Tovo,Unknown,Argentina,ar,Club Deportivo Riestra,Pérez,Eric Joel Tovo,Defender - Centre-Back,"1,90 m",06.03.1992,80,6,2,0,14,1,1,2,8,6.830
