name,status,profile_url,image_url,jersey_name,jersey_number,nation,nation_code,club,place_of_birth,full_name,position,height,date_of_birth,appearances,goals,assists,own_goals,yellow_cards,second_yellow,red_cards,substituted_on,substituted_off,minutes_played
Jorge Carranza,CA Aldosivi,https://www.transfermarkt.us/jorge-carranza/profil/spieler/78221,https://img.a.transfermarkt.technology/portrait/small/78221-1732812194.JPG?lm=1,Carranza,Unknown,Argentina,ar,Instituto ACC,Jesús María,Jorge Carlos Carranza,Goalkeeper,"1,85 m",07.05.1981,176,0,0,0,18,0,2,0,1,15.792
Emiliano Endrizzi,Club Atlético Gimnasia y Esgrima (Jujuy),https://www.transfermarkt.us/emiliano-endrizzi/profil/spieler/441269,https://img.a.transfermarkt.technology/portrait/small/441269-1729695328.jpg?lm=1,Endrizzi,Unknown,Argentina,ar,Instituto ACC,San Fernando del Valle de Catamarca,Jesús David Emiliano Endrizzi,Defender - Left-Back,"1,83 m",07.03.1994,156,3,1,0,12,0,0,35,29,11.117
Fernando Alarcón,Instituto ACC,https://www.transfermarkt.us/fernando-alarcon/profil/spieler/376853,https://img.a.transfermarkt.technology/portrait/small/376853-1717078945.jpeg?lm=1,Alarcón,Unknown,Argentina,ar,Instituto ACC,Guatimozín,Fernando Rubén Alarcón,Defender - Centre-Back,"1,83 m",16.06.1994,126,5,4,1,36,0,1,1,5,11.113
Facundo Erpen,Retired,https://www.transfermarkt.us/facundo-erpen/profil/spieler/39408,https://img.a.transfermarkt.technology/portrait/small/39408-1452003090.jpg?lm=1,Erpen,Unknown,Argentina,ar,Instituto ACC,Concepción del Uruguay,Facundo Adrián Erpen,Defender - Centre-Back,"1,83 m",19.05.1983,114,4,0,0,10,3,1,3,3,9.881
Franco Canever,Without Club,https://www.transfermarkt.us/franco-canever/profil/spieler/153690,https://img.a.transfermarkt.technology/portrait/small/153690-1639161691.JPG?lm=1,Canever,Unknown,Argentina,ar,Instituto ACC,Córdoba,Unknown,Defender - Left-Back,"1,75 m",17.09.1989,100,1,1,0,10,1,0,8,8,8.142
Gastón Lodico,Instituto ACC,https://www.transfermarkt.us/gaston-lodico/profil/spieler/563878,https://img.a.transfermarkt.technology/portrait/small/563878-1717079103.jpeg?lm=1,Lodico,Unknown,Argentina,ar,Instituto ACC,Avellaneda,Gastón Andrés Lodico,Midfield - Central Midfield,"1,73 m",28.05.1998,95,3,18,0,10,0,0,1,44,7.985
Santiago Rodríguez,AA Argentinos Juniors,https://www.transfermarkt.us/santiago-rodriguez/profil/spieler/439437,https://img.a.transfermarkt.technology/portrait/small/439437-1717080444.jpeg?lm=1,Rodríguez,Unknown,Argentina,ar,Instituto ACC,Arizona,Santiago Alejandro Rodríguez,Attack - Centre-Forward,"1,71 m",23.08.1997,95,18,11,0,6,0,0,27,62,5.583
Ignacio Antonio,Gimnasia y Esgrima de Mendoza,https://www.transfermarkt.us/ignacio-antonio/profil/spieler/441266,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,Antonio,Unknown,Argentina,ar,Instituto ACC,Rosario,Ignacio Antonio,Midfield - Central Midfield,"1,73 m",04.01.1995,94,0,0,0,18,0,1,27,20,6.194
Lucas Hoyos,CA Newell's Old Boys,https://www.transfermarkt.us/lucas-hoyos/profil/spieler/75462,https://img.a.transfermarkt.technology/portrait/small/75462-1721742391.jpg?lm=1,Hoyos,-,Argentina,ar,Instituto ACC,San José,Unknown,Goalkeeper,"1,83 m",29.04.1989,92,0,0,0,9,0,2,0,0,8.180
Maximiliano Correa,CD Argentino (Monte Maíz),https://www.transfermarkt.us/maximiliano-correa/profil/spieler/249299,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,Correa,Unknown,Argentina,ar,Instituto ACC,Córdoba,Roberto Maximiliano Correa Tolosa,Midfield - Defensive Midfield,"1,69 m",22.11.1989,91,1,1,0,19,1,2,6,15,7.411
Raúl Damiani,Retired,https://www.transfermarkt.us/raul-damiani/profil/spieler/89264,https://img.a.transfermarkt.technology/portrait/small/89264-1722430570.JPG?lm=1,Damiani,Unknown,Argentina,ar,Instituto ACC,Roldán,Raúl Hernán Damiani,Defender - Right-Back,"1,73 m",29.04.1979,88,7,1,0,13,1,1,2,10,7.509
Alejandro Gagliardi,CA Agropecuario,https://www.transfermarkt.us/alejandro-gagliardi/profil/spieler/88071,https://img.a.transfermarkt.technology/portrait/small/88071-1710508704.JPG?lm=1,Gagliardi,Unknown,Argentina,ar,Instituto ACC,Los Surgentes,Alejandro Fabián Gagliardi,Attack - Centre-Forward,"1,77 m",06.08.1989,86,8,1,0,7,0,0,19,34,5.664
Gustavo Gotti,CD Cobreloa,https://www.transfermarkt.us/gustavo-gotti/profil/spieler/267595,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,Gotti,Unknown,Argentina,ar,Instituto ACC,Córdoba,Unknown,Attack - Centre-Forward,"1,80 m",20.10.1993,82,16,1,0,5,0,0,35,25,4.426
Roberto Bochi,CA Aldosivi,https://www.transfermarkt.us/roberto-bochi/profil/spieler/267387,https://img.a.transfermarkt.technology/portrait/small/267387-1717080362.jpeg?lm=1,Bochi,Unknown,Argentina,ar,Instituto ACC,Córdoba,Roberto Agustín Bochi,Midfield - Defensive Midfield,"1,75 m",06.07.1987,80,2,1,1,13,1,0,9,12,6.249
Gabriel Graciani,CD Ñublense,https://www.transfermarkt.us/gabriel-graciani/profil/spieler/43491,https://img.a.transfermarkt.technology/portrait/small/43491-1679324786.JPG?lm=1,Graciani,Unknown,Argentina,ar,Instituto ACC,Bovril,Gabriel Maximiliano Graciani,Midfield - Attacking Midfield,"1,80 m",28.11.1993,80,16,14,0,3,0,1,11,40,5.748
Gregorio Rodríguez,FBC Melgar,https://www.transfermarkt.us/gregorio-rodriguez/profil/spieler/908300,https://img.a.transfermarkt.technology/portrait/small/908300-1717079272.jpeg?lm=1,Rodríguez,Unknown,Argentina,ar,Instituto ACC,Córdoba,Unknown,Attack - Right Winger,"1,80 m",17.01.2000,79,7,2,0,4,0,1,52,22,2.864
Manuel Roffo,Instituto ACC,https://www.transfermarkt.us/manuel-roffo/profil/spieler/491687,https://img.a.transfermarkt.technology/portrait/small/491687-1717078515.jpeg?lm=1,Roffo,23,Argentina,ar,Instituto ACC,Teodelina,Unknown,Goalkeeper,"1,84 m",04.04.2000,78,0,0,0,7,0,0,1,0,6.934
Giuliano Cerato,CA Aldosivi,https://www.transfermarkt.us/giuliano-cerato/profil/spieler/971423,https://img.a.transfermarkt.technology/portrait/small/971423-1717079152.jpeg?lm=1,Cerato,Unknown,Argentina,ar,Instituto ACC,Rio Cuarto,Unknown,Defender - Right-Back,"1,70 m",10.06.1998,77,2,4,0,25,0,0,12,2,6.027
Franco Watson,CA Huracán,https://www.transfermarkt.us/franco-watson/profil/spieler/654733,https://img.a.transfermarkt.technology/portrait/small/654733-1677162423.JPG?lm=1,Watson,Unknown,Argentina,ar,Instituto ACC,Córdoba,Franco Nahuel Watson,Midfield - Attacking Midfield,"1,77 m",25.07.2002,77,6,2,0,7,0,0,22,44,4.532
Osvaldo Barsottini,Retired,https://www.transfermarkt.us/osvaldo-barsottini/profil/spieler/87829,https://img.a.transfermarkt.technology/portrait/small/87829-1722430461.JPG?lm=1,Barsottini,Unknown,Argentina,ar,Instituto ACC,Tandil,Osvaldo Rubén Barsottini,Defender - Centre-Back,"1,82 m",25.08.1981,76,6,0,0,21,1,1,1,2,6.668
Silvio Romero,Instituto ACC,https://www.transfermarkt.us/silvio-romero/profil/spieler/88082,https://img.a.transfermarkt.technology/portrait/small/88082-1717080478.jpeg?lm=1,Romero,Unknown,Argentina,ar,Instituto ACC,Córdoba,Silvio Ezequiel Romero,Attack - Centre-Forward,"1,77 m",22.07.1988,75,13,5,0,3,0,0,33,19,4.038
Christian Bernardi,CA Colón,https://www.transfermarkt.us/christian-bernardi/profil/spieler/267572,https://img.a.transfermarkt.technology/portrait/small/267572-1637604226.JPG?lm=1,Bernardi,Unknown,Argentina,ar,Instituto ACC,Córdoba,Unknown,Attack - Right Winger,"1,77 m",10.03.1990,74,10,1,0,9,0,1,10,12,5.848
