name,status,profile_url,image_url,jersey_name,jersey_number,nation,nation_code,club,place_of_birth,full_name,position,height,date_of_birth,appearances,goals,assists,own_goals,yellow_cards,second_yellow,red_cards,substituted_on,substituted_off,minutes_played
Iván Pillud,CA Central Córdoba (SdE),https://www.transfermarkt.us/ivan-pillud/profil/spieler/77720,https://img.a.transfermarkt.technology/portrait/small/77720-1637605306.JPG?lm=1,Pillud,-,Argentina,ar,Racing Club,Capitán Bermúdez,Iván Alexis Pillud,Defender - Right-Back,"1,80 m",24.04.1986,321,8,13,0,37,0,0,34,72,24.833
Gabriel Hauche,CA Temperley,https://www.transfermarkt.us/gabriel-hauche/profil/spieler/54845,https://img.a.transfermarkt.technology/portrait/small/54845-1694004068.JPG?lm=1,Hauche,-,Argentina,ar,Racing Club,Remedios de Escalada,Gabriel Agustín Hauche,Attack - Centre-Forward,"1,69 m",27.11.1986,245,43,31,0,24,2,5,73,87,15.366
Gabriel Arias,Racing Club,https://www.transfermarkt.us/gabriel-arias/profil/spieler/54330,https://img.a.transfermarkt.technology/portrait/small/54330-1724348686.png?lm=1,Unknown,Unknown,Chile,cl,Racing Club,Unknown,Unknown,Unknown,Unknown,13.09.1987,234,0,1,1,14,0,2,0,5,20.863
Lisandro López,Retired,https://www.transfermarkt.us/lisandro-lopez/profil/spieler/27661,https://img.a.transfermarkt.technology/portrait/small/27661-1618606866.JPG?lm=1,López,19,Argentina,ar,Racing Club,Rafael Obligado,Unknown,Attack - Centre-Forward,"1,74 m",02.03.1983,232,79,24,0,19,1,2,27,66,18.070
Diego Milito,Retired,https://www.transfermarkt.us/diego-milito/profil/spieler/22202,https://img.a.transfermarkt.technology/portrait/small/22202-1463994498.jpg?lm=1,Milito,9,Argentina,ar,Racing Club,Bernal,Diego Alberto Milito,Attack - Centre-Forward,"1,83 m",12.06.1979,219,59,25,0,12,1,1,48,85,14.732
Leonardo Sigali,NK Lokomotiva Zagreb,https://www.transfermarkt.us/leonardo-sigali/profil/spieler/54570,https://img.a.transfermarkt.technology/portrait/small/54570-1724349074.png?lm=1,Sigali,-,Argentina,ar,Racing Club,Campana,Leonardo Germán Sigali,Defender - Centre-Back,"1,81 m",29.05.1987,213,10,3,0,54,0,5,13,24,17.545
Sebastián Saja,Retired,https://www.transfermarkt.us/sebastian-saja/profil/spieler/3777,https://img.a.transfermarkt.technology/portrait/small/3777-1454059978.png?lm=1,Saja,-,Argentina,ar,Racing Club,Brandsen,Diego Sebastián Saja,Goalkeeper,"1,90 m",05.06.1979,203,7,3,0,11,0,1,0,3,18.199
Claudio Úbeda,Retired,https://www.transfermarkt.us/claudio-ubeda/profil/spieler/30695,https://img.a.transfermarkt.technology/portrait/small/30695-1697731538.jpg?lm=1,Úbeda,-,Argentina,ar,Racing Club,Rosario,Claudio Fernando Úbeda,Defender - Centre-Back,"1,80 m",17.09.1969,193,8,3,1,53,3,4,3,4,17.078
Adrián Bastía,Retired,https://www.transfermarkt.us/adrian-bastia/profil/spieler/15789,https://img.a.transfermarkt.technology/portrait/small/15789-1705512924.JPG?lm=1,Bastía,Unknown,Argentina,ar,Racing Club,Gobernador Crespo,Adrián Jesús Bastía Beruzzi,Midfield - Defensive Midfield,"1,77 m",20.12.1978,188,9,6,0,51,4,3,8,12,15.996
Matías Cahais,CA Excursionistas,https://www.transfermarkt.us/matias-cahais/profil/spieler/45310,https://img.a.transfermarkt.technology/portrait/small/45310-1469975854.png?lm=1,Cahais,-,Argentina,ar,Racing Club,Morón,Unknown,Defender - Centre-Back,"1,86 m",24.12.1987,175,4,5,0,33,2,0,3,10,15.247
