rank,name,full_name,appearances,goals,assists,minutes_played,period,jersey_name,jersey_number,yellow_cards,red_cards,club,position,height,nation,nation_code,profile_url,image_url,club_logo_url,date_of_birth,place_of_birth,status
1,Ramón Ábila,Ramón Darío Ábila,112,50,9,8.563,N/A,Ábila,Unknown,19,1,CA Huracán,Attack - Centre-Forward,"1,77 m",Argentina,ar,https://www.transfermarkt.us/ramon-abila/profil/spieler/88049,https://img.a.transfermarkt.technology/portrait/small/88049-1649670581.JPG?lm=1,N/A,14.10.1989,Córdoba,CA Huracán
2,Matías Cóccaro,Matías Fernando Cóccaro Ferreira,110,31,7,7.726,N/A,Cóccaro,18,22,1,CA Huracán,Attack - Centre-Forward,"1,78 m",Uruguay,uy,https://www.transfermarkt.us/matias-coccaro/profil/spieler/454625,https://img.a.transfermarkt.technology/portrait/small/454625-1710100418.jpg?lm=1,N/A,15.11.1997,Pirarajá,Atlas Guadalajara
3,Ignacio Pussetto,Unknown,83,24,8,6.356,N/A,Pussetto,Unknown,12,1,CA Huracán,Attack - Right Winger,"1,80 m",Argentina,ar,https://www.transfermarkt.us/ignacio-pussetto/profil/spieler/283528,https://img.a.transfermarkt.technology/portrait/small/283528-1630653500.jpg?lm=1,N/A,21.12.1995,Cañada Rosquín,UNAM Pumas
4,Franco Cristaldo,Unknown,91,23,21,7.188,N/A,Cristaldo,Unknown,9,0,CA Huracán,Midfield - Attacking Midfield,"1,75 m",Argentina,ar,https://www.transfermarkt.us/franco-cristaldo/profil/spieler/332259,https://img.a.transfermarkt.technology/portrait/small/332259-1684807927.jpg?lm=1,N/A,15.08.1996,Morón,Grêmio Foot-Ball Porto Alegrense
5,Javier Cámpora,Javier Edgardo Cámpora Bustamante,46,19,2,3.863,N/A,Cámpora,Unknown,6,1,CA Huracán,Attack - Centre-Forward,"1,72 m",Argentina,ar,https://www.transfermarkt.us/javier-campora/profil/spieler/53871,https://img.a.transfermarkt.technology/portrait/small/53871-1586261453.jpg?lm=1,N/A,07.01.1980,Rosario,Retired
6,Andrés Chávez,Andrés Eliseo Chávez,72,18,5,4.290,N/A,Chávez,Unknown,13,1,CA Huracán,Attack - Centre-Forward,"1,84 m",Argentina,ar,https://www.transfermarkt.us/andres-chavez/profil/spieler/193768,https://img.a.transfermarkt.technology/portrait/small/193768-1712932161.jpg?lm=1,N/A,21.03.1991,Salto,PAS Lamia 1964
7,Sebastián Morquio,Sebastián Darío Morquio Flores,79,17,2,6.989,N/A,Morquio,-,29,1,CA Huracán,Defender - Centre-Back,"1,92 m",Uruguay,uy,https://www.transfermarkt.us/sebastian-morquio/profil/spieler/76880,https://img.a.transfermarkt.technology/portrait/small/76880-1713802587.jpg?lm=1,N/A,22.01.1976,Montevideo,Retired
8,Daniel Montenegro,Daniel Gastón Montenegro,112,16,16,6.817,N/A,Montenegro,6,9,0,CA Huracán,Midfield - Attacking Midfield,"1,74 m",Argentina,ar,https://www.transfermarkt.us/daniel-montenegro/profil/spieler/25020,https://img.a.transfermarkt.technology/portrait/small/25020-1462372391.jpg?lm=1,N/A,28.03.1979,Buenos Aires,Retired
9,Patricio Toranzo,Patricio Daniel Toranzo,200,16,21,12.237,N/A,Toranzo,-,23,1,CA Huracán,Midfield - Attacking Midfield,"1,81 m",Argentina,ar,https://www.transfermarkt.us/patricio-toranzo/profil/spieler/26256,https://img.a.transfermarkt.technology/portrait/small/26256-1462372207.jpg?lm=1,N/A,19.03.1982,Buenos Aires,Retired
10,Nicolás Cordero,Nicolás Fernando Cordero,98,14,6,4.015,N/A,Cordero,Unknown,10,1,CA Huracán,Attack - Centre-Forward,"1,85 m",Argentina,ar,https://www.transfermarkt.us/nicolas-cordero/profil/spieler/652948,https://img.a.transfermarkt.technology/portrait/small/652948-1637936435.JPG?lm=1,N/A,11.04.1999,Buenos Aires,Instituto ACC
11,Walter Mazzantti,Walter Uriel Mazzantti,88,13,10,6.690,N/A,Mazzantti,Unknown,9,1,CA Huracán,Attack - Right Winger,"1,74 m",Argentina,ar,https://www.transfermarkt.us/walter-mazzantti/profil/spieler/477458,https://img.a.transfermarkt.technology/portrait/small/477458-1685381324.JPG?lm=1,N/A,05.09.1996,Labardén,CA Huracán
12,Federico Nieto,Federico Gastón Nieto,45,12,4,3.147,N/A,Nieto,Unknown,4,2,CA Huracán,Attack - Centre-Forward,"1,90 m",Argentina,ar,https://www.transfermarkt.us/federico-nieto/profil/spieler/30858,https://img.a.transfermarkt.technology/portrait/small/s_30858_679_2010_5.jpg?lm=1,N/A,26.08.1983,Buenos Aires,Retired
13,Diego Mendoza,Diego Roberto Mendoza,60,11,3,2.939,N/A,Mendoza,Unknown,9,0,CA Huracán,Attack - Centre-Forward,"1,86 m",Argentina,ar,https://www.transfermarkt.us/diego-mendoza/profil/spieler/283394,https://img.a.transfermarkt.technology/portrait/small/283394-1462373037.jpg?lm=1,N/A,30.09.1992,General Madariaga,Retired
14,Cristian Espinoza,Cristian Omar Espinoza,69,11,14,5.306,N/A,Espinoza,7,9,0,CA Huracán,Attack - Right Winger,"1,73 m",Argentina,ar,https://www.transfermarkt.us/cristian-espinoza/profil/spieler/278992,https://img.a.transfermarkt.technology/portrait/small/278992-1740594995.jpg?lm=1,N/A,03.04.1995,Buenos Aires,San Jose Earthquakes
15,Mauro Bogado,Mauro Ezequiel Bogado,123,11,8,8.874,N/A,Bogado,Unknown,29,0,CA Huracán,Midfield - Central Midfield,"1,70 m",Argentina,ar,https://www.transfermarkt.us/mauro-bogado/profil/spieler/54822,https://img.a.transfermarkt.technology/portrait/small/54822-1462366670.jpg?lm=1,N/A,31.05.1985,San Martín (BUE),Retired
16,Eduardo Domínguez,Eduardo Rodrigo Domínguez,99,11,1,8.700,N/A,Domínguez,Unknown,16,0,CA Huracán,Defender - Centre-Back,"1,85 m",Argentina,ar,https://www.transfermarkt.us/eduardo-dominguez/profil/spieler/67802,https://img.a.transfermarkt.technology/portrait/small/67802-1705424346.JPG?lm=1,N/A,01.09.1978,Lanús,Retired
17,Derlis Soto,Derlis Francisco Soto,53,10,16,4.611,N/A,Soto,-,9,0,CA Huracán,Midfield - Attacking Midfield,"1,68 m",Paraguay,py,https://www.transfermarkt.us/derlis-soto/profil/spieler/749252,https://img.a.transfermarkt.technology/portrait/small/749252-1713802267.jpg?lm=1,N/A,04.03.1973,Caaguazú,Retired
18,Emanuel Villa,Emanuel Alejandro Villa,46,10,4,2.719,N/A,Villa,Unknown,2,0,CA Huracán,Attack - Centre-Forward,"1,80 m",Argentina,ar,https://www.transfermarkt.us/emanuel-villa/profil/spieler/54022,https://img.a.transfermarkt.technology/portrait/small/54022-1477559294.jpg?lm=1,N/A,24.02.1982,Casilda,Retired
19,Mariano González,Mariano Nicolás González,59,10,2,3.427,N/A,González,24,4,0,CA Huracán,Attack - Right Winger,"1,75 m",Argentina,ar,https://www.transfermarkt.us/mariano-gonzalez/profil/spieler/21409,https://img.a.transfermarkt.technology/portrait/small/21409-1462376826.jpg?lm=1,N/A,05.05.1981,Tandil,Retired
20,Andrés Franzoia,Unknown,42,10,4,3.256,N/A,Franzoia,Unknown,10,0,CA Huracán,Attack - Centre-Forward,"1,78 m",Argentina,ar,https://www.transfermarkt.us/andres-franzoia/profil/spieler/35867,https://img.a.transfermarkt.technology/portrait/small/35867-1722281596.JPG?lm=1,N/A,21.10.1985,San Pedro,Retired
