rank,name,full_name,appearances,goals,assists,minutes_played,period,jersey_name,jersey_number,yellow_cards,red_cards,club,position,height,nation,nation_code,profile_url,image_url,club_logo_url,date_of_birth,place_of_birth,status
1,Fernando Cavenaghi,Fernando Ezequiel Cavenaghi,213,112,35,15.561,N/A,Cavenaghi,-,14,0,CA River Plate,Attack - Centre-Forward,"1,81 m",Argentina,ar,https://www.transfermarkt.us/fernando-cavenaghi/profil/spieler/3852,https://img.a.transfermarkt.technology/portrait/small/3852-1551086056.jpg?lm=1,N/A,21.09.1983,Buenos Aires,Retired
2,Martín Cardetti,Martín Alejandro Cardetti,110,58,13,6.719,N/A,Cardetti,-,20,1,CA River Plate,Attack - Centre-Forward,"1,70 m",Argentina,ar,https://www.transfermarkt.us/martin-cardetti/profil/spieler/5570,https://img.a.transfermarkt.technology/portrait/small/5570-1698934177.JPG?lm=1,N/A,22.10.1975,Río Cuarto,Retired
3,Miguel Borja,Miguel Ángel Borja Hernández,122,56,7,7.147,N/A,Borja,19,20,0,CA River Plate,Attack - Centre-Forward,"1,84 m",Colombia,co,https://www.transfermarkt.us/miguel-borja/profil/spieler/211397,https://img.a.transfermarkt.technology/portrait/small/211397-1693315161.png?lm=1,N/A,26.01.1993,Tierralta,CA River Plate
4,Rafael Borré,Rafael Santos Borré Maury,149,55,18,9.334,N/A,Borré,20,24,1,CA River Plate,Attack - Centre-Forward,"1,74 m",Colombia,co,https://www.transfermarkt.us/rafael-borre/profil/spieler/323831,https://img.a.transfermarkt.technology/portrait/small/323831-1663064975.jpg?lm=1,N/A,15.09.1995,Barranquilla,Sport Club Internacional
5,Julián Alvarez,Julián Álvarez,122,54,31,7.923,N/A,Alvarez,20,3,0,CA River Plate,Attack - Centre-Forward,"1,70 m",Argentina,ar,https://www.transfermarkt.us/julian-alvarez/profil/spieler/576024,https://img.a.transfermarkt.technology/portrait/small/576024-1684920938.jpg?lm=1,N/A,31.01.2000,Calchín,Atlético de Madrid
6,Javier Saviola,Javier Pedro Saviola Fernández,118,52,27,8.953,N/A,Saviola,7,11,2,CA River Plate,Attack - Second Striker,"1,68 m",Argentina,ar,https://www.transfermarkt.us/javier-saviola/profil/spieler/7611,https://img.a.transfermarkt.technology/portrait/small/7611-1719457586.jpg?lm=1,N/A,11.12.1981,Buenos Aires,Retired
7,Ernesto Farías,Ernesto Antonio Farías,95,49,14,7.719,N/A,Farías,-,13,1,CA River Plate,Attack - Centre-Forward,"1,78 m",Argentina,ar,https://www.transfermarkt.us/ernesto-farias/profil/spieler/18539,https://img.a.transfermarkt.technology/portrait/small/s_18539_609_2010_3.jpg?lm=1,N/A,29.05.1980,Trenque Lauquen,Retired
8,Juan Pablo Ángel,Juan Pablo Ángel Arango,88,49,15,6.783,N/A,Ángel,9,10,0,CA River Plate,Attack - Centre-Forward,"1,85 m",Colombia,co,https://www.transfermarkt.us/juan-pablo-angel/profil/spieler/3278,https://img.a.transfermarkt.technology/portrait/small/3278-1591807425.jpg?lm=1,N/A,24.10.1975,Medellín,Retired
9,Marcelo Gallardo,Marcelo Daniel Gallardo,179,49,27,12.019,N/A,Gallardo,20,28,6,CA River Plate,Midfield - Attacking Midfield,"1,65 m",Argentina,ar,https://www.transfermarkt.us/marcelo-gallardo/profil/spieler/5298,https://img.a.transfermarkt.technology/portrait/small/5298-1630508093.jpg?lm=1,N/A,18.01.1976,Merlo,Retired
10,Ariel Ortega,Arnaldo Ariel Ortega,202,46,47,14.789,N/A,Ortega,10,33,3,CA River Plate,Midfield - Attacking Midfield,"1,70 m",Argentina,ar,https://www.transfermarkt.us/ariel-ortega/profil/spieler/4147,https://img.a.transfermarkt.technology/portrait/small/s_4147_123_2013_03_21_1.jpg?lm=1,N/A,04.03.1974,Ledesma,Retired
11,Radamel Falcao,Radamel Falcao García Zárate,112,45,13,8.299,N/A,Falcao,9,18,2,CA River Plate,Attack - Centre-Forward,"1,77 m",Colombia,co,https://www.transfermarkt.us/radamel-falcao/profil/spieler/39152,https://img.a.transfermarkt.technology/portrait/small/39152-1721184791.JPG?lm=1,N/A,10.02.1986,Santa Marta,Millonarios FC
12,Rodrigo Mora,Rodrigo Nicanor Mora Núñez,184,41,24,11.270,N/A,Mora,Unknown,18,0,CA River Plate,Attack - Centre-Forward,"1,70 m",Uruguay,uy,https://www.transfermarkt.us/rodrigo-mora/profil/spieler/76718,https://img.a.transfermarkt.technology/portrait/small/76718-1471524046.png?lm=1,N/A,29.10.1987,Rivera,CD Juventud Unida (Gualeguaychú)
13,Lucas Alario,Lucas Nicolás Alario,82,41,12,6.358,N/A,Alario,17,10,1,CA River Plate,Attack - Centre-Forward,"1,85 m",Argentina,ar,https://www.transfermarkt.us/lucas-alario/profil/spieler/193782,https://img.a.transfermarkt.technology/portrait/small/193782-1739829234.jpg?lm=1,N/A,08.10.1992,"Tostado, Santa Fe",Club Estudiantes de La Plata
14,Matías Suárez,Matías Ezequiel Suárez,133,40,30,7.236,N/A,Suárez,19,13,0,CA River Plate,Attack - Centre-Forward,"1,83 m",Argentina,ar,https://www.transfermarkt.us/matias-suarez/profil/spieler/66660,https://img.a.transfermarkt.technology/portrait/small/66660-1625772580.png?lm=1,N/A,09.05.1988,La Falda,Unión Española
15,Nacho Fernández,Ignacio Martín Fernández,286,39,51,19.826,N/A,Nacho Fernández,13,42,1,CA River Plate,Midfield - Attacking Midfield,"1,82 m",Argentina,ar,https://www.transfermarkt.us/nacho-fernandez/profil/spieler/50669,https://img.a.transfermarkt.technology/portrait/small/50669-1693315048.png?lm=1,N/A,12.01.1990,Castelli,CA River Plate
