rank,name,full_name,appearances,goals,assists,minutes_played,period,jersey_name,jersey_number,yellow_cards,red_cards,club,position,height,nation,nation_code,profile_url,image_url,club_logo_url,date_of_birth,place_of_birth,status
1,Marco Ruben,Marco Gastón Ruben Rodríguez,283,106,13,20.736,N/A,Ruben,-,39,2,CA Rosario Central,Attack - Centre-Forward,"1,79 m",Argentina,ar,https://www.transfermarkt.us/marco-ruben/profil/spieler/30825,https://img.a.transfermarkt.technology/portrait/small/30825-1636496485.JPG?lm=1,N/A,26.10.1986,Capitán Bermúdez,Retired
2,Ezequiel González,Unknown,141,33,23,11.371,N/A,González,-,46,1,CA Rosario Central,Midfield - Attacking Midfield,"1,78 m",Argentina,ar,https://www.transfermarkt.us/ezequiel-gonzalez/profil/spieler/19054,https://img.a.transfermarkt.technology/portrait/small/19054-1692023287.JPG?lm=1,N/A,10.07.1980,Rosario,Retired
3,Germán Herrera,Germán Gustavo Herrera,133,30,7,7.381,N/A,Herrera,-,32,1,CA Rosario Central,Attack - Centre-Forward,"1,80 m",Argentina,ar,https://www.transfermarkt.us/german-herrera/profil/spieler/32710,https://img.a.transfermarkt.technology/portrait/small/32710-1726682431.jpg?lm=1,N/A,19.07.1983,Granadero Baigorria,Retired
4,Emilio Zelaya,Emilio José Zelaya,113,21,14,7.282,N/A,Zelaya,Unknown,11,0,CA Rosario Central,Attack - Centre-Forward,"1,86 m",Argentina,ar,https://www.transfermarkt.us/emilio-zelaya/profil/spieler/30832,https://img.a.transfermarkt.technology/portrait/small/30832-1496827942.jpg?lm=1,N/A,30.07.1987,San Miguel de Tucumán,Without Club
5,Ignacio Malcorra,Víctor Ignacio Malcorra,111,19,22,8.662,N/A,Malcorra,Unknown,17,0,CA Rosario Central,Midfield - Attacking Midfield,"1,70 m",Argentina,ar,https://www.transfermarkt.us/ignacio-malcorra/profil/spieler/87518,https://img.a.transfermarkt.technology/portrait/small/87518-1742570974.png?lm=1,N/A,24.07.1987,Río Colorado,CA Rosario Central
6,Germán Rivarola,Germán Ezequiel Rivarola,201,18,12,14.078,N/A,Rivarola,7,46,4,CA Rosario Central,Defender - Left-Back,"1,83 m",Argentina,ar,https://www.transfermarkt.us/german-rivarola/profil/spieler/30823,https://img.a.transfermarkt.technology/portrait/small/30823-1705498475.JPG?lm=1,N/A,18.04.1979,Santa Eufemia,Retired
7,Paulo Ferrari,Paulo Andrés Ferrari,347,17,14,30.121,N/A,Ferrari,Unknown,55,0,CA Rosario Central,Defender - Right-Back,"1,69 m",Argentina,ar,https://www.transfermarkt.us/paulo-ferrari/profil/spieler/30807,https://img.a.transfermarkt.technology/portrait/small/30807-1697470708.jpg?lm=1,N/A,04.01.1982,Rosario,Retired
8,Antonio Medina,Antonio César Medina,123,15,1,7.418,N/A,Medina,Unknown,16,3,CA Rosario Central,Attack - Centre-Forward,"1,73 m",Argentina,ar,https://www.transfermarkt.us/antonio-medina/profil/spieler/119676,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,18.12.1984,Resistencia,CA Boca Unidos
9,Federico Carrizo,Federico Gastón Carrizo,165,14,17,11.629,N/A,Carrizo,Unknown,21,1,CA Rosario Central,Attack - Left Winger,"1,73 m",Argentina,ar,https://www.transfermarkt.us/federico-carrizo/profil/spieler/148710,https://img.a.transfermarkt.technology/portrait/small/148710-1453986245.jpg?lm=1,N/A,17.05.1991,Villa Giardino,Club Cerro Porteño
10,Alejandro Donatti,Alejandro César Donatti,109,12,2,9.756,N/A,Donatti,Unknown,9,1,CA Rosario Central,Defender - Centre-Back,"1,92 m",Argentina,ar,https://www.transfermarkt.us/alejandro-donatti/profil/spieler/119646,https://img.a.transfermarkt.technology/portrait/small/119646-1506673259.png?lm=1,N/A,24.10.1986,Rafaela,Without Club
11,Jesús Méndez,Jesús José David Méndez,127,12,12,10.432,N/A,Méndez,-,47,0,CA Rosario Central,Midfield - Central Midfield,"1,79 m",Argentina,ar,https://www.transfermarkt.us/jesus-mendez/profil/spieler/26247,https://img.a.transfermarkt.technology/portrait/small/26247-1506685799.png?lm=1,N/A,01.08.1984,San Rafael,Retired
12,Pablo Sánchez,Pablo Andrés Sánchez,135,12,9,7.436,N/A,Sánchez,Unknown,19,1,CA Rosario Central,Midfield - Attacking Midfield,"1,77 m",Argentina,ar,https://www.transfermarkt.us/pablo-sanchez/profil/spieler/30932,https://img.a.transfermarkt.technology/portrait/small/30932-1729265146.JPG?lm=1,N/A,03.01.1973,Rosario,Retired
13,Hernán Encina,Hernán Nicolás Encina,117,10,2,8.274,N/A,Encina,Unknown,19,4,CA Rosario Central,Midfield - Right Midfield,"1,63 m",Argentina,ar,https://www.transfermarkt.us/hernan-encina/profil/spieler/30804,https://img.a.transfermarkt.technology/portrait/small/30804-1722283717.jpg?lm=1,N/A,03.11.1982,Rosario,Retired
14,Damián Martínez,Damián Alberto Martínez,153,9,14,11.948,N/A,Martínez,23,52,1,CA Rosario Central,Defender - Right-Back,"1,77 m",Argentina,ar,https://www.transfermarkt.us/damian-martinez/profil/spieler/107282,https://img.a.transfermarkt.technology/portrait/small/107282-1637535257.JPG?lm=1,N/A,31.01.1990,Buenos Aires,Club Atlético Tucumán
15,Leonardo Borzani,Leonardo Luis Borzani,128,8,2,9.754,N/A,Borzani,Unknown,38,0,CA Rosario Central,Midfield - Defensive Midfield,"1,75 m",Argentina,ar,https://www.transfermarkt.us/leonardo-borzani/profil/spieler/30797,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,07.05.1982,Álvarez,Retired
16,Walter Montoya,Walter Iván Alexis Montoya,105,8,9,6.847,N/A,Montoya,Unknown,17,0,CA Rosario Central,Midfield - Central Midfield,"1,73 m",Argentina,ar,https://www.transfermarkt.us/walter-montoya/profil/spieler/267420,https://img.a.transfermarkt.technology/portrait/small/267420-1743018795.jpg?lm=1,N/A,21.07.1993,Machagai,Defensor Sporting Club
17,Maximiliano Lovera,Maximiliano Alberto Lovera,125,7,9,5.668,N/A,Lovera,-,10,0,CA Rosario Central,Attack - Left Winger,"1,70 m",Argentina,ar,https://www.transfermarkt.us/maximiliano-lovera/profil/spieler/441422,https://img.a.transfermarkt.technology/portrait/small/441422-1742571091.png?lm=1,N/A,09.03.1999,Laguna Blanca,CA Rosario Central
18,Leonardo Talamonti,Leonardo José Talamonti,117,7,4,9.792,N/A,Talamonti,Unknown,25,3,CA Rosario Central,Defender - Centre-Back,"1,83 m",Argentina,ar,https://www.transfermarkt.us/leonardo-talamonti/profil/spieler/22960,https://img.a.transfermarkt.technology/portrait/small/22960-1698933192.JPG?lm=1,N/A,12.11.1981,Álvarez,Retired
19,Emiliano Papa,Emiliano Ramiro Papa,182,6,19,14.939,N/A,Papa,-,26,3,CA Rosario Central,Defender - Left-Back,"1,71 m",Argentina,ar,https://www.transfermarkt.us/emiliano-papa/profil/spieler/30820,https://img.a.transfermarkt.technology/portrait/small/30820-1636412087.JPG?lm=1,N/A,19.04.1982,Acebal,Retired
20,Ronald Raldes,Ronald Raldes Balcázar,150,3,1,13.251,N/A,Raldes,16,10,2,CA Rosario Central,Defender - Centre-Back,"1,80 m",Bolivia,bo,https://www.transfermarkt.us/ronald-raldes/profil/spieler/30822,https://img.a.transfermarkt.technology/portrait/small/30822-1490786936.jpg?lm=1,N/A,20.04.1981,Santa Cruz de la Sierra,Retired
