rank,name,full_name,appearances,goals,assists,minutes_played,period,jersey_name,jersey_number,yellow_cards,red_cards,club,position,height,nation,nation_code,profile_url,image_url,club_logo_url,date_of_birth,place_of_birth,status
1,Diego Valoyes,Diego Luis Valoyes Ruíz,141,26,20,9.649,N/A,Valoyes,9,25,0,CA Talleres,Attack - Right Winger,"1,81 m",Colombia,co,https://www.transfermarkt.us/diego-valoyes/profil/spieler/413983,https://img.a.transfermarkt.technology/portrait/small/413983-1662916084.png?lm=1,N/A,22.09.1996,Cartagena de Indias,FC Juárez
2,Rodrigo Garro,Unknown,81,12,17,5.761,N/A,Garro,Unknown,14,0,CA Talleres,Midfield - Attacking Midfield,"1,74 m",Argentina,ar,https://www.transfermarkt.us/rodrigo-garro/profil/spieler/565009,https://img.a.transfermarkt.technology/portrait/small/565009-1725327608.jpg?lm=1,N/A,04.01.1998,General Pico,Sport Club Corinthians Paulista
3,Ramón Sosa,Unknown,56,17,13,4.115,N/A,Unknown,Unknown,5,0,CA Talleres,Unknown,Unknown,Paraguay,py,https://www.transfermarkt.us/ramon-sosa/profil/spieler/745191,https://img.a.transfermarkt.technology/portrait/small/745191-1731056200.jpg?lm=1,N/A,31.08.1999,Unknown,Nottingham Forest
4,Gastón Benavídez,Gastón Americo Benavídez,144,8,12,11.890,N/A,Benavídez,Unknown,21,1,CA Talleres,Defender - Right-Back,"1,75 m",Argentina,ar,https://www.transfermarkt.us/gaston-benavidez/profil/spieler/696719,https://img.a.transfermarkt.technology/portrait/small/696719-1662912902.png?lm=1,N/A,23.10.1995,Morteros (CBA),CA Talleres
5,Michael Santos,Michael Nicolás Santos Rosadilla,103,34,10,6.195,N/A,Santos,-,9,0,CA Talleres,Attack - Centre-Forward,"1,74 m",Uruguay,uy,https://www.transfermarkt.us/michael-santos/profil/spieler/178107,https://img.a.transfermarkt.technology/portrait/small/178107-1662916366.png?lm=1,N/A,13.03.1993,Montevideo,CA Vélez Sarsfield
6,Tomás Pochettino,Unknown,60,6,10,4.087,N/A,Pochettino,Unknown,6,0,CA Talleres,Midfield - Attacking Midfield,"1,80 m",Argentina,ar,https://www.transfermarkt.us/tomas-pochettino/profil/spieler/348354,https://img.a.transfermarkt.technology/portrait/small/348354-1644877968.png?lm=1,N/A,01.02.1996,Rafaela,Fortaleza Esporte Clube
7,Maximiliano Velázquez,Maximiliano Nicolás Velázquez,38,2,10,3.309,N/A,Velázquez,Unknown,4,0,CA Talleres,Defender - Left-Back,"1,75 m",Argentina,ar,https://www.transfermarkt.us/maximiliano-velazquez/profil/spieler/54552,https://img.a.transfermarkt.technology/portrait/small/54552-1463494573.JPG?lm=1,N/A,14.03.1980,Concepción del Uruguay,Retired
8,Enzo Díaz,Enzo Hernán Díaz,128,7,10,10.472,N/A,Díaz,Unknown,36,1,CA Talleres,Defender - Left-Back,"1,67 m",Argentina,ar,https://www.transfermarkt.us/enzo-diaz/profil/spieler/540458,https://img.a.transfermarkt.technology/portrait/small/540458-1693314874.png?lm=1,N/A,07.12.1995,Las Toscas,São Paulo Futebol Clube
9,Rubén Botta,Rubén Alejandro Botta Montero,56,6,10,3.682,N/A,Botta,Unknown,15,0,CA Talleres,Midfield - Attacking Midfield,"1,75 m",Argentina,ar,https://www.transfermarkt.us/ruben-botta/profil/spieler/88542,https://img.a.transfermarkt.technology/portrait/small/88542-1647293240.jpg?lm=1,N/A,31.01.1990,San Juan,CA Talleres
10,Leonardo Godoy,Leonardo Ezequiel Godoy,89,7,9,7.814,N/A,Godoy,Unknown,13,1,CA Talleres,Defender - Right-Back,"1,73 m",Argentina,ar,https://www.transfermarkt.us/leonardo-godoy/profil/spieler/369556,https://img.a.transfermarkt.technology/portrait/small/369556-1636584822.JPG?lm=1,N/A,28.04.1995,Concordia,Santos FC
11,Nahuel Tenaglia,Facundo Nahuel Tenaglia,107,9,9,9.003,N/A,Tenaglia,Unknown,25,0,CA Talleres,Defender - Right-Back,"1,81 m",Argentina,ar,https://www.transfermarkt.us/nahuel-tenaglia/profil/spieler/533568,https://img.a.transfermarkt.technology/portrait/small/533568-1647530141.jpg?lm=1,N/A,21.02.1996,Saladillo,Deportivo Alavés
12,Héctor Fértoli,Unknown,59,4,9,2.976,N/A,Fértoli,Unknown,2,0,CA Talleres,Attack - Left Winger,"1,75 m",Argentina,ar,https://www.transfermarkt.us/hector-fertoli/profil/spieler/424024,https://img.a.transfermarkt.technology/portrait/small/424024-1662915961.png?lm=1,N/A,03.12.1994,El Trébol,Club Atlético Tigre
13,Matías Godoy,Matías Emanuel Godoy,48,1,8,2.744,N/A,Godoy,9,10,0,CA Talleres,Attack - Left Winger,"1,76 m",Argentina,ar,https://www.transfermarkt.us/matias-godoy/profil/spieler/582168,https://img.a.transfermarkt.technology/portrait/small/582168-1662916316.png?lm=1,N/A,10.01.2002,Ceres,Instituto ACC
14,Víctor Píriz Álvez,Víctor Enrique Píriz Álvez,34,10,8,2.891,N/A,Píriz Álvez,Unknown,8,1,CA Talleres,Attack - Centre-Forward,"1,82 m",Uruguay,uy,https://www.transfermarkt.us/victor-piriz-alvez/profil/spieler/26743,https://img.a.transfermarkt.technology/portrait/small/26743-1722345172.JPG?lm=1,N/A,22.06.1980,Artigas,Retired
15,Sebastián Palacios,Sebastián Alberto Palacios,77,21,7,5.426,N/A,Palacios,Unknown,12,2,CA Talleres,Attack - Right Winger,"1,69 m",Argentina,ar,https://www.transfermarkt.us/sebastian-palacios/profil/spieler/262861,https://img.a.transfermarkt.technology/portrait/small/262861-1660812667.jpg?lm=1,N/A,20.01.1992,Juan Bautista Alberdi,CA Talleres
16,Marcos Portillo,Marcos Ezequiel Portillo,28,4,7,1.541,N/A,Portillo,Unknown,12,1,CA Talleres,Midfield - Central Midfield,"1,78 m",Argentina,ar,https://www.transfermarkt.us/marcos-portillo/profil/spieler/966314,https://img.a.transfermarkt.technology/portrait/small/966314-1681905591.JPG?lm=1,N/A,31.01.2000,Rosario,CA Talleres
17,Dayro Moreno,Dayro Mauricio Moreno Galindo,41,10,7,2.515,N/A,Moreno,17,5,0,CA Talleres,Attack - Centre-Forward,"1,78 m",Colombia,co,https://www.transfermarkt.us/dayro-moreno/profil/spieler/42457,https://img.a.transfermarkt.technology/portrait/small/42457-1696364738.jpg?lm=1,N/A,16.09.1985,Chicoral,Once Caldas
18,César La Paglia,Cesar Osvaldo La Paglia,56,10,7,3.727,N/A,La Paglia,-,11,4,CA Talleres,Midfield - Attacking Midfield,"1,75 m",Argentina,ar,https://www.transfermarkt.us/cesar-la-paglia/profil/spieler/27674,https://img.a.transfermarkt.technology/portrait/small/27674-1705512496.JPG?lm=1,N/A,25.02.1979,Buenos Aires,Retired
