rank,name,full_name,appearances,goals,assists,minutes_played,period,jersey_name,jersey_number,yellow_cards,red_cards,club,position,height,nation,nation_code,profile_url,image_url,club_logo_url,date_of_birth,place_of_birth,status
1,Diego Morales,Diego Alberto Morales,168,29,23,12.245,N/A,Morales,-,23,0,Club Atlético Tigre,Midfield - Attacking Midfield,"1,75 m",Argentina,ar,https://www.transfermarkt.us/diego-morales/profil/spieler/87492,https://img.a.transfermarkt.technology/portrait/small/87492-1650563083.jpg?lm=1,N/A,29.11.1986,Villa María,Miami United FC
2,Carlos Luna,Carlos Ariel Luna,264,88,20,18.081,N/A,Luna,Unknown,49,0,Club Atlético Tigre,Attack - Centre-Forward,"1,79 m",Argentina,ar,https://www.transfermarkt.us/carlos-luna/profil/spieler/57916,https://img.a.transfermarkt.technology/portrait/small/57916-1697732818.jpg?lm=1,N/A,17.01.1982,Piquillín,Retired
3,Martín Galmarini,Martín Sebastián Galmarini,288,11,19,22.446,N/A,Galmarini,Unknown,79,3,Club Atlético Tigre,Midfield - Right Midfield,"1,80 m",Argentina,ar,https://www.transfermarkt.us/martin-galmarini/profil/spieler/53109,https://img.a.transfermarkt.technology/portrait/small/s_53109_6709_2014_01_21_1.jpg?lm=1,N/A,28.02.1982,San Isidro,Retired
4,Lucas Menossi,Lucas Ariel Menossi,245,19,19,18.416,N/A,Menossi,Unknown,46,0,Club Atlético Tigre,Midfield - Central Midfield,"1,69 m",Argentina,ar,https://www.transfermarkt.us/lucas-menossi/profil/spieler/225481,https://img.a.transfermarkt.technology/portrait/small/225481-1614939403.jpg?lm=1,N/A,11.07.1992,Beccar,Club Atlético Belgrano
5,Leandro Lazzaro,Leandro Hernán Lázzaro Liuni,92,22,16,7.003,N/A,Lazzaro,Unknown,18,0,Club Atlético Tigre,Attack - Centre-Forward,"1,88 m",Argentina,ar,https://www.transfermarkt.us/leandro-lazzaro/profil/spieler/53131,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,08.03.1974,Buenos Aires,Retired
6,Lucas Janson,Lucas Ezequiel Janson,108,17,14,6.337,N/A,Janson,Unknown,6,0,Club Atlético Tigre,Attack - Left Winger,"1,71 m",Argentina,ar,https://www.transfermarkt.us/lucas-janson/profil/spieler/238448,https://img.a.transfermarkt.technology/portrait/small/238448-1739899503.jpg?lm=1,N/A,16.08.1994,Olavarría,CA Boca Juniors
7,Matías Pérez García,Matías Augusto Pérez García,112,18,14,7.860,N/A,Pérez García,-,10,2,Club Atlético Tigre,Midfield - Attacking Midfield,"1,65 m",Argentina,ar,https://www.transfermarkt.us/matias-perez-garcia/profil/spieler/67439,https://img.a.transfermarkt.technology/portrait/small/67439-1647760473.png?lm=1,N/A,13.10.1984,Tartagal,Without Club
8,Ijiel Protti,Ijiel César Protti,83,10,13,4.971,N/A,Protti,Unknown,9,0,Club Atlético Tigre,Attack - Centre-Forward,"1,74 m",Argentina,ar,https://www.transfermarkt.us/ijiel-protti/profil/spieler/376852,https://img.a.transfermarkt.technology/portrait/small/376852-1727450897.jpg?lm=1,N/A,31.01.1995,Rosario,Club Atlético Tigre
9,Sebastián Rusculleda,Unknown,91,4,13,5.602,N/A,Rusculleda,Unknown,9,0,Club Atlético Tigre,Midfield - Left Midfield,"1,75 m",Argentina,ar,https://www.transfermarkt.us/sebastian-rusculleda/profil/spieler/53155,https://img.a.transfermarkt.technology/portrait/small/53155-1600852193.jpg?lm=1,N/A,28.04.1985,Laboulaye,Retired
10,Ramiro Leone,Ramiro Emiliano Leone,151,5,13,11.568,N/A,Leone,Unknown,13,2,Club Atlético Tigre,Midfield - Left Midfield,"1,74 m",Argentina,ar,https://www.transfermarkt.us/ramiro-leone/profil/spieler/69373,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,01.06.1977,Santa Fé,Retired
