rank,name,full_name,appearances,goals,assists,minutes_played,period,jersey_name,jersey_number,yellow_cards,red_cards,club,position,height,nation,nation_code,profile_url,image_url,club_logo_url,date_of_birth,place_of_birth,status
1,Mauricio Ferradas,Mauricio Javier Ferradas,110,22,8,8.809,N/A,Ferradas,Unknown,5,0,CS Independiente Rivadavia,Attack,"1,73 m",Argentina,ar,https://www.transfermarkt.us/mauricio-ferradas/profil/spieler/55918,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,05.11.1979,Junin (Buenos Aires),Retired
2,Matías Quiroga,Matías Alejandro Quiroga,62,22,10,4.636,N/A,Quiroga,Unknown,7,0,CS Independiente Rivadavia,Attack - Centre-Forward,"1,96 m",Argentina,ar,https://www.transfermarkt.us/matias-quiroga/profil/spieler/103456,https://img.a.transfermarkt.technology/portrait/small/103456-1729199910.JPG?lm=1,N/A,17.12.1985,San Luis,Without Club
3,Lucas Ambrogio,Unknown,53,13,5,3.558,N/A,Ambrogio,Unknown,8,0,CS Independiente Rivadavia,Attack - Left Winger,"1,81 m",Argentina,ar,https://www.transfermarkt.us/lucas-ambrogio/profil/spieler/697584,https://img.a.transfermarkt.technology/portrait/small/697584-1724864433.jpg?lm=1,N/A,14.07.1999,Villa Mercedes,CA Atlanta
4,Diego Caballero,Diego Fabriel Caballero,72,11,2,3.329,N/A,Caballero,Unknown,9,0,CS Independiente Rivadavia,Attack - Second Striker,"1,74 m",Argentina,ar,https://www.transfermarkt.us/diego-caballero/profil/spieler/87835,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,26.09.1985,Eldorado,Retired
5,Daniel Imperiale,Daniel Ernesto Imperiale Granados,71,11,3,4.815,N/A,Imperiale,Unknown,8,0,CS Independiente Rivadavia,Midfield - Central Midfield,"1,90 m",Argentina,ar,https://www.transfermarkt.us/daniel-imperiale/profil/spieler/420445,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,22.04.1988,Guaymallén,Without Club
6,Mauricio Asenjo,Mauricio Gabriel Asenjo Albelda,60,10,1,3.853,N/A,Asenjo,Unknown,12,1,CS Independiente Rivadavia,Attack - Centre-Forward,"1,85 m",Argentina,ar,https://www.transfermarkt.us/mauricio-asenjo/profil/spieler/333762,https://img.a.transfermarkt.technology/portrait/small/333762-1724874003.jpg?lm=1,N/A,23.07.1994,Mendoza,CA Los Andes
7,Victorio Ramis,Victorio Gabriel Ramis,68,9,3,3.493,N/A,Ramis,Unknown,8,1,CS Independiente Rivadavia,Attack - Centre-Forward,"1,81 m",Argentina,ar,https://www.transfermarkt.us/victorio-ramis/profil/spieler/381065,https://img.a.transfermarkt.technology/portrait/small/381065-1724873868.jpg?lm=1,N/A,07.07.1994,Córdoba,CS Independiente Rivadavia
8,Alejandro Rébola,Alejandro Daniel Rébola,71,7,0,6.340,N/A,Rébola,Unknown,18,0,CS Independiente Rivadavia,Defender - Centre-Back,"1,85 m",Argentina,ar,https://www.transfermarkt.us/alejandro-rebola/profil/spieler/88080,https://img.a.transfermarkt.technology/portrait/small/88080-1675102207.JPG?lm=1,N/A,24.07.1988,Colazo,CA Chacarita Juniors
9,Franco Negri,Unknown,56,5,0,4.013,N/A,Negri,Unknown,8,0,CS Independiente Rivadavia,Defender - Left-Back,"1,76 m",Argentina,ar,https://www.transfermarkt.us/franco-negri/profil/spieler/459242,https://img.a.transfermarkt.technology/portrait/small/459242-1741027562.jpg?lm=1,N/A,20.02.1995,San Martín,San Diego FC
10,Pablo Palacio,Pablo Agustín Palacio,90,5,7,5.321,N/A,Palacio,Unknown,16,0,CS Independiente Rivadavia,Attack - Left Winger,"1,80 m",Argentina,ar,https://www.transfermarkt.us/pablo-palacio/profil/spieler/655659,https://img.a.transfermarkt.technology/portrait/small/655659-1715822608.jpg?lm=1,N/A,18.05.2000,Godoy Cruz,Club Ferro Carril Oeste
11,Sebastián Navarro,Sebastián Darío Navarro,66,4,3,4.116,N/A,Navarro,Unknown,5,0,CS Independiente Rivadavia,Midfield - Central Midfield,"1,77 m",Argentina,ar,https://www.transfermarkt.us/sebastian-navarro/profil/spieler/89244,https://img.a.transfermarkt.technology/portrait/small/89244-1710508359.JPG?lm=1,N/A,24.02.1988,El Bolsón,CA Boca Unidos
12,Ezequiel Ham,Unknown,67,4,10,4.515,N/A,Unknown,Unknown,3,1,CS Independiente Rivadavia,Unknown,Unknown,Syria,sy,https://www.transfermarkt.us/ezequiel-ham/profil/spieler/321612,https://img.a.transfermarkt.technology/portrait/small/321612-1724873132.jpg?lm=1,N/A,10.03.1994,Unknown,CA Unión (Santa Fe)
13,Mauro Maidana,Mauro Ángel Maidana,106,4,1,8.663,N/A,Maidana,Unknown,24,0,CS Independiente Rivadavia,Defender - Centre-Back,"1,76 m",Argentina,ar,https://www.transfermarkt.us/mauro-maidana/profil/spieler/125096,https://img.a.transfermarkt.technology/portrait/small/125096-1706710098.JPG?lm=1,N/A,12.07.1990,Esperanza,Deportivo Táchira
14,Abel Peralta,Javier Abel Peralta,82,3,6,4.687,N/A,Peralta,Unknown,13,0,CS Independiente Rivadavia,Midfield - Right Midfield,"1,80 m",Argentina,ar,https://www.transfermarkt.us/abel-peralta/profil/spieler/87878,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,17.09.1989,Mendoza,CD Guaraní Antonio Franco
15,Luciano Abecasis,Luciano Andrés Abecasis,57,3,5,4.472,N/A,Abecasis,Unknown,15,0,CS Independiente Rivadavia,Defender - Right-Back,"1,75 m",Argentina,ar,https://www.transfermarkt.us/luciano-abecasis/profil/spieler/149435,https://img.a.transfermarkt.technology/portrait/small/149435-1724872689.jpg?lm=1,N/A,04.06.1990,Rosario,CS Independiente Rivadavia
16,Matías Reali,Unknown,53,3,9,4.211,N/A,Reali,Unknown,5,0,CS Independiente Rivadavia,Attack - Right Winger,"1,65 m",Argentina,ar,https://www.transfermarkt.us/matias-reali/profil/spieler/984692,https://img.a.transfermarkt.technology/portrait/small/984692-1706711416.JPG?lm=1,N/A,14.11.1997,La Plata,CA San Lorenzo de Almagro
17,Gabriel Solís,Luis Gabriel Solís,66,2,0,4.378,N/A,Solís,Unknown,21,0,CS Independiente Rivadavia,Midfield - Central Midfield,"1,77 m",Argentina,ar,https://www.transfermarkt.us/gabriel-solis/profil/spieler/87885,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,24.06.1985,Salta,Without Club
18,Franco Romero,Franco Agustín Romero,63,2,0,5.601,N/A,Romero,Unknown,9,0,CS Independiente Rivadavia,Midfield - Defensive Midfield,"1,77 m",Argentina,ar,https://www.transfermarkt.us/franco-romero/profil/spieler/833115,https://img.a.transfermarkt.technology/portrait/small/833115-1724872719.JPG?lm=1,N/A,23.04.2000,La Plata,Deportivo Toluca
19,Luciano Sánchez,Luciano Federico Sánchez,99,2,1,7.915,N/A,Sánchez,Unknown,16,0,CS Independiente Rivadavia,Defender - Right-Back,"1,69 m",Argentina,ar,https://www.transfermarkt.us/luciano-sanchez/profil/spieler/444495,https://img.a.transfermarkt.technology/portrait/small/444495-1720122858.png?lm=1,N/A,25.01.1994,Villa Nueva,AA Argentinos Juniors
20,Diego Tonetto,Diego Rubén Tonetto,90,1,1,5.077,N/A,Tonetto,Unknown,17,0,CS Independiente Rivadavia,Midfield - Left Midfield,"1,81 m",Argentina,ar,https://www.transfermarkt.us/diego-tonetto/profil/spieler/87890,https://img.a.transfermarkt.technology/portrait/small/87890-1724873427.jpg?lm=1,N/A,05.12.1988,Rodeo del Medio,CS Independiente Rivadavia
21,Josué Ayala,Josué Daniel Díaz Ayala,67,0,0,6.024,N/A,Ayala,Unknown,7,2,CS Independiente Rivadavia,Goalkeeper,"1,84 m",Argentina,ar,https://www.transfermarkt.us/josue-ayala/profil/spieler/55955,https://img.a.transfermarkt.technology/portrait/small/55955-1649069286.JPG?lm=1,N/A,30.05.1988,Buenos Aires,Racing de Olavarria
22,Judelín Aveska,Unknown,64,0,0,5.062,N/A,Aveska,16,20,0,CS Independiente Rivadavia,Defender - Centre-Back,"1,83 m",Haiti,ht,https://www.transfermarkt.us/judelin-aveska/profil/spieler/82019,https://img.a.transfermarkt.technology/portrait/small/82019-1707847687.jpg?lm=1,N/A,21.10.1987,Port-Margot,Inter Taoyuan
23,Santiago Úbeda,Unknown,57,0,0,4.977,N/A,Úbeda,Unknown,2,0,CS Independiente Rivadavia,Midfield - Defensive Midfield,"1,70 m",Argentina,ar,https://www.transfermarkt.us/santiago-ubeda/profil/spieler/567673,https://img.a.transfermarkt.technology/portrait/small/567673-1732813091.JPG?lm=1,N/A,06.04.1996,San Rafael (MZA),CA Chaco For Ever
24,Juan Pablo Freytes,Unknown,53,0,4,4.568,N/A,Freytes,-,10,1,CS Independiente Rivadavia,Defender - Centre-Back,"1,82 m",Argentina,ar,https://www.transfermarkt.us/juan-pablo-freytes/profil/spieler/628750,https://img.a.transfermarkt.technology/portrait/small/628750-1706026716.jpg?lm=1,N/A,11.01.2000,Ticino,Fluminense Football Club
25,Cristian Aracena,Cristian Roberto Aracena,130,0,0,11.596,N/A,Aracena,Unknown,6,0,CS Independiente Rivadavia,Goalkeeper,"1,78 m",Argentina,ar,https://www.transfermarkt.us/cristian-aracena/profil/spieler/75520,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,08.02.1987,Mendoza,CA Huracán Las Heras
