name,club,periods
Martín Cauteruccio,CA Aldosivi,2021-2023
Matías Gigli,CA Aldosivi,"2009-2009, 2010-2013"
Cristian Chávez,CA Aldosivi,2018-2019
Agustín Colazo,CA Aldosivi,2024-2024
Elías Torres,CA Aldosivi,2023-2025
Diego Martínez,CA Aldosivi,"2004-2007, 2007-2011"
Federico Andrada,CA Aldosivi,"2019-2022, 2024-2024"
Fernando Telechea,CA Aldosivi,2017-2018
José Sand,CA Aldosivi,2015-2016
Pablo Lugüercio,CA Aldosivi,2014-2017
Tobías Cervera,CA Aldosivi,2023-2023
Enrique Seccafien,CA Aldosivi,2010-2016
Gastón Díaz,CA Aldosivi,2014-2017
Sebastián Penco,CA Aldosivi,2016-2017
Jorge Piñero da Silva,CA Aldosivi,2011-2012
Ignacio Malcorra,CA Aldosivi,2011-2014
Paolo Frangipane,CA Aldosivi,2009-2010
Darío Cajaravilla,CA Aldosivi,"2001-2004, 2006-2014"
Mauricio Carrasco,CA Aldosivi,2011-2012
Claudio Riaño,CA Aldosivi,2023-2024
Ángel Vildozo,CA Aldosivi,2013-2016
Roger Martínez,CA Aldosivi,2015-2015
Jorge Velázquez,CA Aldosivi,2008-2010
Neri Bandiera,CA Aldosivi,2016-2017
Federico Gino,CA Aldosivi,"2018-2020, 2021-2022"
Facundo Nasif,CA Aldosivi,2008-2014
Malcom Braida,CA Aldosivi,2020-2021
Francisco Grahl,CA Aldosivi,2019-2022
Mariano Martínez,CA Aldosivi,2011-2011
Antonio Medina,CA Aldosivi,2016-2018
Emanuel Iñiguez,CA Aldosivi,"2018-2025, 2025-2025"
Matías Pisano,CA Aldosivi,"2018-2019, 2022-2023"
Leandro Maciel,CA Aldosivi,"2019-2020, 2020-2023"
Gabriel Hauche,CA Aldosivi,2021-2022
Rodrigo Contreras,CA Aldosivi,2020-2021
Alan Sosa,CA Aldosivi,2024-2024
Santiago Rosales,CA Aldosivi,2015-2016
Iván Furios,CA Aldosivi,2011-2012
Alan Alegre,CA Aldosivi,2016-2018
Nicolás Laméndola,CA Aldosivi,2024-2024
Gastón Lodico,CA Aldosivi,2021-2021
Sebastián Pena,CA Aldosivi,2007-2011
Jonatan Galván,CA Aldosivi,2011-2017
Emiliano Ellacopulos,CA Aldosivi,2017-2018
Facundo Bertoglio,CA Aldosivi,2019-2020
Gonzalo Mottes,CA Aldosivi,2024-2025
Agustín Alonso,CA Aldosivi,2024-2024
Nazareno Solís,CA Aldosivi,2019-2020
Santiago Silva,CA Aldosivi,2022-2023
Brian Uribe,CA Aldosivi,2010-2013
Arnaldo González,CA Aldosivi,2017-2018
Braian Martínez,CA Aldosivi,2022-2022
Cristian Cayeta,CA Aldosivi,2009-2011
Sebastián Rincón,CA Aldosivi,2019-2020
Marcelo Vega,CA Aldosivi,2010-2012
Ciro Rius,CA Aldosivi,2013-2014
Nahuel Yeri,CA Aldosivi,2016-2021
Franco Rami,CA Aldosivi,2025-2025
Joel Carli,CA Aldosivi,"2006-2007, 2008-2009, 2010-2011, 2020-2021"
Gonzalo Verón,CA Aldosivi,2019-2020
Martín Cabrera,CA Aldosivi,2010-2011
Rufino Lucero,CA Aldosivi,2021-2024
Agustín Briones,CA Aldosivi,2009-2014
Marcelo Meli,CA Aldosivi,2022-2023
Facundo Curuchet,CA Aldosivi,2023-2024
Gonzalo Piñeiro,CA Aldosivi,2024-2024
Jhonathan Ramis,CA Aldosivi,2012-2013
Damián Martínez,CA Aldosivi,2013-2014
Nicolás Miracco,CA Aldosivi,"2011-2016, 2016-2017"
Facundo Pereyra,CA Aldosivi,2023-2024
Walter Zunino,CA Aldosivi,2011-2013
Carlos Marinelli,CA Aldosivi,2009-2010
Claudio Guerra,CA Aldosivi,2012-2013
Alan Ruiz,CA Aldosivi,"2019-2019, 2019-2020"
Tobías Leiva,CA Aldosivi,2025-2025
Leonel Galeano,CA Aldosivi,2018-2020
Denis Stracqualursi,CA Aldosivi,2018-2019
Santiago Luján,CA Aldosivi,2024-2024
Ian Escobar,CA Aldosivi,2022-2023
Elías Brítez,CA Aldosivi,"2023-2025, 2025-2025"
Juan De Hoyos,CA Aldosivi,
Jonathan Schunke,CA Aldosivi,2020-2021
Lautaro Guzmán,CA Aldosivi,2021-2021
Diego Villar,CA Aldosivi,2017-2018
Manuel Guanini,CA Aldosivi,2023-2024
Patricio Boolsen,CA Aldosivi,2022-2023
Diego Lagos,CA Aldosivi,2015-2015
Pablo Becker,CA Aldosivi,2020-2022
Joel Acosta,CA Aldosivi,2016-2017
César Carranza,CA Aldosivi,2014-2015
Gustavo Caamaño,CA Aldosivi,2010-2010
Bautista Kociubinski,CA Aldosivi,2022-2022
Juan Manuel Vázquez,CA Aldosivi,2023-2023
Lautaro Rinaldi,CA Aldosivi,2020-2022
Leonardo Baima,CA Aldosivi,2013-2014
Ezequiel Videla,CA Aldosivi,2018-2019
Leonardo Fredes,CA Aldosivi,"2011-2012, 2013-2016"
Justo Giani,CA Aldosivi,2025-2025
Roque Vargas,CA Aldosivi,"2009-2013, 2014-2016"
Emiliano Ozuna,CA Aldosivi,2018-2019
