name,club,periods
Daniel Montenegro,CA Independiente,"2000-2000, 2002-2003, 2006-2009, 2013-2015"
Silvio Romero,CA Independiente,"2018-2022, 2023-2024"
Andrés Silvera,CA Independiente,"2001-2003, 2009-2011"
Germán Denis,CA Independiente,"2006-2008, 2016-2017"
Diego Forlán,CA Independiente,1998-2002
Facundo Parra,CA Independiente,"2010-2012, 2013-2014"
Martín Benítez,CA Independiente,"2012-2020, 2021-2021, 2021-2022, 2022-2022, 2022-2023"
Leandro Fernández,CA Independiente,"2016-2019, 2019-2020, 2022-2023"
Emmanuel Gigliotti,CA Independiente,2017-2019
Federico Insúa,CA Independiente,"2002-2002, 2003-2003, 2004-2005, 2014-2015"
Federico Mancuello,CA Independiente,"2009-2011, 2012-2016, 2023-2025"
Leonel Núñez,CA Independiente,"2008-2010, 2011-2012"
Sergio Agüero,CA Independiente,2005-2006
Lucas Pusineri,CA Independiente,"2002-2003, 2004-2006, 2006-2010"
Nicolás Frutos,CA Independiente,2005-2006
Bruno Marioni,CA Independiente,"1999-2000, 2001-2001, 2003-2004"
Darío Gandín,CA Independiente,2008-2010
Emiliano Rigoni,CA Independiente,2016-2017
Gabriel Ávalos,CA Independiente,"2011-2013, 2024-2025"
Lucas Albertengo,CA Independiente,"2015-2018, 2018-2018, 2019-2019, 2020-2020"
Matías Vuoso,CA Independiente,2000-2002
Diego Vera,CA Independiente,2015-2017
Ernesto Farías,CA Independiente,2012-2013
Ismael Sosa,CA Independiente,"2005-2006, 2006-2009, 2010-2010"
Leandro Benegas,CA Independiente,2022-2023
Matías Giménez,CA Independiente,2023-2025
Martín Cauteruccio,CA Independiente,2023-2024
Esteban Cambiasso,CA Independiente,1998-2001
Maximiliano Meza,CA Independiente,2016-2019
Alejandro Barberon,CA Independiente,1984-1989
Alan Soñora,CA Independiente,2019-2023
Sebastián Penco,CA Independiente,2013-2015
Pato Rodríguez,CA Independiente,2008-2012
Jorge Burruchaga,CA Independiente,"1982-1985, 1995-1999"
Ricardo Bochini,CA Independiente,1972-1992
Juan Martín Lucero,CA Independiente,2014-2016
Agustín Balbuena,CA Independiente,1971-1976
José Pastoriza,CA Independiente,1966-1972
Diego Rodríguez,CA Independiente,"2011-2016, 2017-2017"
Jairo Castillo,CA Independiente,"2003-2004, 2011-2011"
Claudio Graf,CA Independiente,1997-2000
Raúl Savoy,CA Independiente,1963-1969
Alan Velasco,CA Independiente,2020-2022
Eduardo Bustos Montoya,CA Independiente,2004-2006
Cecilio Domínguez,CA Independiente,2019-2020
Mario Rodríguez,CA Independiente,1963-1966
Ignacio Piatti,CA Independiente,2009-2010
Esequiel Barco,CA Independiente,2016-2018
Luis Artime,CA Independiente,1965-1968
Hernán Losada,CA Independiente,2003-2005
Christian Gimenez,CA Independiente,2003-2004
Carlos Matheu,CA Independiente,"2004-2008, 2009-2012"
Juan Eluchans,CA Independiente,"2000-2006, 2006-2007"
Leonel Galeano,CA Independiente,2009-2013
Hernán Fredes,CA Independiente,"2006-2009, 2009-2014"
Andrés Roa,CA Independiente,"2019-2020, 2021-2022"
Ariel Montenegro,CA Independiente,2000-2002
Alexis Canelo,CA Independiente,2023-2025
Leonel Ríos,CA Independiente,"2001-2004, 2008-2009"
Daniel Bertoni,CA Independiente,1973-1978
Osmar Ferreyra,CA Independiente,2011-2013
Jonathan Menéndez,CA Independiente,"2018-2018, 2019-2019, 2020-2021"
Emiliano Armenteros,CA Independiente,"2005-2007, 2008-2008"
Sebastián Palacios,CA Independiente,"2019-2020, 2021-2021"
Raúl Bernao,CA Independiente,1961-1971
Victor Cuesta,CA Independiente,2014-2017
Jeremías Caggiano,CA Independiente,"2002-2004, 2005-2006"
Ricardo Pavoni,CA Independiente,1965-1976
Lucas González,CA Independiente,"2020-2023, 2023-2025"
Domingo Blanco,CA Independiente,"2017-2018, 2019-2022"
Daniel Quinteros,CA Independiente,2003-2005
José Luis Calderón,CA Independiente,"1996-1997, 1998-2000, 2003-2004"
Matías Pisano,CA Independiente,2013-2016
Jonathan Herrera,CA Independiente,2021-2021
Eduardo Tuzzio,CA Independiente,2009-2013
Claudio Marangoni,CA Independiente,1982-1988
Santiago Montiel,CA Independiente,2024-2025
Pablo Hernández,CA Independiente,2018-2021
Lucas Romero,CA Independiente,2019-2023
Braian Romero,CA Independiente,"2018-2019, 2019-2020, 2021-2021"
Fabricio Bustos,CA Independiente,2016-2022
Sebastián Carrizo,CA Independiente,"2004-2006, 2007-2008, 2008-2008"
Antonio Alzamendi,CA Independiente,1978-1981
Fernando Gaibor,CA Independiente,"2018-2019, 2020-2020, 2021-2023"
Norberto Outes,CA Independiente,1975-1980
Cristian Tula,CA Independiente,2012-2015
Braian Martínez,CA Independiente,"2019-2022, 2022-2024, 2024-2025"
Turu Flores,CA Independiente,2004-2005
Claudio Riaño,CA Independiente,2014-2015
Aníbal Tarabini,CA Independiente,1966-1971
Cristian Domizi,CA Independiente,"1995-1996, 2000-2001"
Roberto Battión,CA Independiente,2010-2013
Carlos Protesoni,CA Independiente,2018-2022
Francisco Pizzini,CA Independiente,"2013-2016, 2017-2020, 2021-2021"
Joaquín Laso,CA Independiente,2021-2025
José Moreno,CA Independiente,"2007-2008, 2008-2008, 2008-2009, 2009-2010, 2010-2010"
Federico Domínguez,CA Independiente,2002-2003
Nicolás Vallejo,CA Independiente,"2023-2023, 2024-2025, 2025-2025"
José Alberto Percudani,CA Independiente,1987-1988
Luis Eduardo Suarez,CA Independiente,1961-1966
