name,club,periods
Lisandro López,Racing Club,"2003-2005, 2016-2021, 2021-2022"
Diego Milito,Racing Club,"1998-2004, 2014-2016"
Gustavo Bou,Racing Club,"2014-2014, 2015-2017, 2018-2019"
Gabriel Hauche,Racing Club,"2010-2013, 2013-2015, 2022-2024"
Adrián Martínez,Racing Club,2024-2025
Maximiliano Estévez,Racing Club,"1998-2004, 2007-2008"
Enzo Copetti,Racing Club,"2021-2021, 2022-2023"
Facundo Sava,Racing Club,2007-2008
Lautaro Martínez,Racing Club,2014-2018
Matías Rojas,Racing Club,2019-2023
Luciano Vietto,Racing Club,"2010-2014, 2024-2025"
Roger Martínez,Racing Club,"2013-2014, 2014-2015, 2015-2016, 2023-2025"
Teófilo Gutiérrez,Racing Club,"2011-2012, 2012-2012, 2012-2013"
Marcos Acuña,Racing Club,2014-2017
Ricardo Centurión,Racing Club,"2012-2013, 2014-2015, 2018-2019, 2019-2020, 2020-2020"
Maxi Moralez,Racing Club,"2006-2007, 2008-2008, 2023-2023"
José Manuel Chatruc,Racing Club,"1999-2002, 2007-2009"
Tomás Chancalay,Racing Club,"2021-2021, 2022-2022, 2023-2023, 2023-2024"
Norberto Raffo,Racing Club,1967-1969
Mariano González,Racing Club,2001-2004
Javier Correa,Racing Club,2021-2022
Sebastián Romero,Racing Club,2002-2006
Milovan Mirosevic,Racing Club,"2003-2006, 2007-2007"
Juan Fernando Quintero,Racing Club,2023-2025
Matías Zaracho,Racing Club,"2017-2020, 2025-2025"
Bruno Zuculini,Racing Club,"2010-2014, 2024-2025"
Gonzalo Piovi,Racing Club,"2018-2018, 2019-2019, 2020-2020, 2021-2024"
Pablo Lugüercio,Racing Club,2008-2012
Gonzalo Bergessio,Racing Club,2006-2007
Carlos Alcaraz,Racing Club,2018-2023
Juan Carlos Cárdenas,Racing Club,"1962-1963, 1963-1973, 1976-1977"
Giovanni Moreno,Racing Club,2010-2012
Maximiliano Salas,Racing Club,"2024-2024, 2025-2025"
Luis Enrique Rueda,Racing Club,"2001-2001, 2002-2003"
Matías Martínez,Racing Club,"2007-2012, 2013-2013, 2013-2013"
Augusto Solari,Racing Club,2017-2021
Óscar Romero,Racing Club,2015-2017
Leonardo Sigali,Racing Club,2018-2025
Facundo Mura,Racing Club,2022-2025
Claudio López,Racing Club,"1992-1996, 2007-2008"
Rubén Capria,Racing Club,"1995-1998, 1998-1999, 2005-2006"
Diego González,Racing Club,"2016-2018, 2019-2020"
Jonathan Cristaldo,Racing Club,2018-2021
Maximiliano Romero,Racing Club,"2022-2023, 2024-2024"
Adrián Bastía,Racing Club,"1998-2003, 2006-2008"
Franco Sosa,Racing Club,2007-2009
Marcelo Delgado,Racing Club,1995-2000
Valentín Viola,Racing Club,"2011-2012, 2013-2014"
Claudio Bieler,Racing Club,"2010-2011, 2011-2011"
Johan Carbonero,Racing Club,"2022-2025, 2025-2025"
Gastón Martirena,Racing Club,2023-2025
Darío Cvitanich,Racing Club,2019-2022
Osvaldo Canobbio,Racing Club,1999-2001
Iván Pillud,Racing Club,"2010-2014, 2014-2024"
Claudio Úbeda,Racing Club,"1995-2004, 2004-2007"
Sixto Peralta,Racing Club,"1999-2000, 2002-2003, 2006-2007"
Aníbal Moreno,Racing Club,"2021-2021, 2022-2024"
José Luis Villanueva,Racing Club,2005-2006
Baltasar Rodríguez,Racing Club,"2022-2025, 2025-2025"
Lorenzo Melgarejo,Racing Club,2020-2021
Gastón Fernández,Racing Club,2003-2004
Claudio Yacob,Racing Club,2006-2012
Jonatan Gómez,Racing Club,"2022-2022, 2023-2024"
Héctor Fértoli,Racing Club,"2020-2021, 2022-2023, 2024-2025, 2025-2025"
Marcelo Guerrero,Racing Club,2004-2005
Sebastián Saja,Racing Club,2011-2016
Rodrigo De Paul,Racing Club,"2012-2014, 2016-2016"
Mauricio Martínez,Racing Club,2018-2023
Nicolás Reniero,Racing Club,"2019-2021, 2022-2023, 2023-2025"
Humberto Maschio,Racing Club,"1954-1957, 1966-1967"
Brian Fernández,Racing Club,"2015-2017, 2017-2017, 2017-2018, 2018-2018"
Luis Fariña,Racing Club,2009-2013
Leonel Miranda,Racing Club,"2020-2020, 2020-2024"
Alejandro Donatti,Racing Club,2018-2020
