rank,name,full_name,appearances,goals,assists,minutes_played,period,jersey_name,jersey_number,yellow_cards,red_cards,club,position,height,nation,nation_code,profile_url,image_url,club_logo_url,date_of_birth,place_of_birth,status
1,Gabriel Hauche,Gabriel Agustín Hauche,222,51,28,16.648,"2006-2010, 2019-2021",Hauche,-,43,3,AA Argentinos Juniors,Attack - Centre-Forward,"1,69 m",Argentina,ar,https://www.transfermarkt.us/gabriel-hauche/profil/spieler/54845,https://img.a.transfermarkt.technology/portrait/small/54845-1694004068.JPG?lm=1,,27.11.1986,Remedios de Escalada,CA Temperley
2,Gabriel Ávalos,Unknown,122,47,14,9.24,2020-2024,Unknown,Unknown,11,0,AA Argentinos Juniors,Unknown,Unknown,Paraguay,py,https://www.transfermarkt.us/gabriel-avalos/profil/spieler/358418,https://img.a.transfermarkt.technology/portrait/small/358418-1720465400.png?lm=1,,12.10.1990,Unknown,CA Independiente
3,Leonardo Pisculichi,Leonardo Nicolás Pisculichi,116,28,19,7.648,"2002-2006, 2014-2014, 2017-2019",Pisculichi,-,19,2,AA Argentinos Juniors,Midfield - Attacking Midfield,"1,74 m",Argentina,ar,https://www.transfermarkt.us/leonardo-pisculichi/profil/spieler/26744,https://img.a.transfermarkt.technology/portrait/small/26744-1418816736.jpg?lm=1,,18.01.1984,Rafael Castillo,Retired
4,Braian Romero,Braian Ezequiel Romero,68,22,3,5.563,2016-2018,Romero,Unknown,9,0,AA Argentinos Juniors,Attack - Centre-Forward,"1,80 m",Argentina,ar,https://www.transfermarkt.us/braian-romero/profil/spieler/357937,https://img.a.transfermarkt.technology/portrait/small/357937-1720648116.jpg?lm=1,,15.06.1991,San Isidro,CA Vélez Sarsfield
5,Franco Niell,Unknown,98,22,9,6.194,"2004-2008, 2008-2008, 2009-2009, 2010-2011",Niell,Unknown,16,1,AA Argentinos Juniors,Attack - Centre-Forward,"1,63 m",Argentina,ar,https://www.transfermarkt.us/franco-niell/profil/spieler/54857,https://img.a.transfermarkt.technology/portrait/small/s_54857_4064_2010_1.jpg?lm=1,,22.05.1983,Trelew,Retired
6,Leonel Núñez,Leonel Jorge Núñez,83,20,2,4.635,"2003-2007, 2012-2013",Núñez,Unknown,13,0,AA Argentinos Juniors,Attack - Left Winger,"1,85 m",Argentina,ar,https://www.transfermarkt.us/leonel-nunez/profil/spieler/26741,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,,13.10.1984,Capital Federal,CASD Camioneros
7,Nicolás Pavlovich,Unknown,63,19,3,4.288,2008-2010,Pavlovich,Unknown,6,0,AA Argentinos Juniors,Attack - Centre-Forward,,Argentina,ar,https://www.transfermarkt.us/nicolas-pavlovich/profil/spieler/25025,https://img.a.transfermarkt.technology/portrait/small/25025-1674677686.jpg?lm=1,,14.02.1978,Balcarde,Retired
8,Néstor Ortigoza,Néstor Ezequiel Ortigoza,137,18,3,10.722,"2004-2005, 2005-2011",Ortigoza,20,37,4,AA Argentinos Juniors,Midfield - Defensive Midfield,"1,80 m",Paraguay,py,https://www.transfermarkt.us/nestor-ortigoza/profil/spieler/26726,https://img.a.transfermarkt.technology/portrait/small/26726-1634940553.JPG?lm=1,,07.10.1984,San Antonio de Padua,Retired
9,Damián Batallini,Damián Iván Batallini,121,18,11,7.909,"2016-2021, 2021-2022, 2022-2023, 2023-2023, 2023-2024, 2025-2025",Batallini,Unknown,20,0,AA Argentinos Juniors,Attack - Right Winger,"1,76 m",Argentina,ar,https://www.transfermarkt.us/damian-batallini/profil/spieler/421998,https://img.a.transfermarkt.technology/portrait/small/421998-1720124477.png?lm=1,,24.06.1996,Don Torcuato,Instituto ACC
10,Federico Insúa,Unknown,101,17,16,7.678,"1999-2002, 2002-2003, 2016-2016",Insúa,9,12,0,AA Argentinos Juniors,Midfield - Attacking Midfield,"1,80 m",Argentina,ar,https://www.transfermarkt.us/federico-insua/profil/spieler/4193,https://img.a.transfermarkt.technology/portrait/small/s_4193_20_2011_1.jpg?lm=1,,03.01.1980,Buenos Aires,Retired
