rank,name,full_name,appearances,goals,assists,minutes_played,period,jersey_name,jersey_number,yellow_cards,red_cards,club,position,height,nation,nation_code,profile_url,image_url,club_logo_url,date_of_birth,place_of_birth,status
1,Rolando Zárate,Rolando David Zárate Riga,141,53,9,9.654,"1997-1999, 1999-1999, 2000-2000, 2001-2001, 2002-2002, 2003-2004, 2004-2006, 2007-2007, 2009-2010",Zárate,-,11,0,CA Vélez Sarsfield,Attack - Centre-Forward,"1,82 m",Argentina,ar,https://www.transfermarkt.us/rolando-zarate/profil/spieler/26455,https://img.a.transfermarkt.technology/portrait/small/26455-1698933000.JPG?lm=1,,06.08.1978,Haedo,Retired
2,Mauro Zárate,Mauro Matías Zárate Riga,145,53,7,9.739,"2004-2007, 2013-2014, 2018-2018",Zárate,9,24,1,CA Vélez Sarsfield,Attack - Centre-Forward,"1,75 m",Argentina,ar,https://www.transfermarkt.us/mauro-zarate/profil/spieler/26456,https://img.a.transfermarkt.technology/portrait/small/26456-1676018324.jpg?lm=1,,18.03.1987,Morón,Retired
3,Lucas Pratto,Lucas David Pratto,203,51,20,14.984,"2012-2012, 2013-2015, 2021-2023",Pratto,9,22,1,CA Vélez Sarsfield,Attack - Centre-Forward,"1,86 m",Argentina,ar,https://www.transfermarkt.us/lucas-pratto/profil/spieler/59596,https://img.a.transfermarkt.technology/portrait/small/59596-1715628702.jpg?lm=1,,04.06.1988,La Plata,Olimpia Asunción
4,Roberto Nanni,Roberto Antonio Nanni,127,42,11,8.149,"2001-2003, 2008-2009, 2014-2016",Nanni,Unknown,21,1,CA Vélez Sarsfield,Attack - Centre-Forward,"1,89 m",Argentina,ar,https://www.transfermarkt.us/roberto-nanni/profil/spieler/9801,https://img.a.transfermarkt.technology/portrait/small/s_9801_6709_2013_11_12_1.jpg?lm=1,,20.08.1981,Azul,Retired
5,Lucas Janson,Lucas Ezequiel Janson,164,42,18,11.686,2019-2023,Janson,Unknown,4,0,CA Vélez Sarsfield,Attack - Left Winger,"1,71 m",Argentina,ar,https://www.transfermarkt.us/lucas-janson/profil/spieler/238448,https://img.a.transfermarkt.technology/portrait/small/238448-1739899503.jpg?lm=1,,16.08.1994,Olavarría,CA Boca Juniors
6,Santiago Silva,Santiago Martín Silva Olivera,93,42,9,7.041,"2007-2009, 2009-2011",Silva,Unknown,23,1,CA Vélez Sarsfield,Attack - Centre-Forward,"1,85 m",Uruguay,uy,https://www.transfermarkt.us/santiago-silva/profil/spieler/7274,https://img.a.transfermarkt.technology/portrait/small/7274-1644784809.JPG?lm=1,,09.12.1980,Montevideo,Retired
7,Juan Manuel Martínez,Juan Manuel Martínez,206,34,36,12.674,"2003-2005, 2006-2007, 2007-2007, 2008-2012, 2017-2017",Martínez,-,10,0,CA Vélez Sarsfield,Attack - Right Winger,"1,77 m",Argentina,ar,https://www.transfermarkt.us/juan-manuel-martinez/profil/spieler/26457,https://img.a.transfermarkt.technology/portrait/small/26457-1464103802.jpg?lm=1,,25.10.1985,Viedma,Club de Lyon FC
8,Leandro Gracián,Unknown,156,33,21,10.534,2001-2006,Gracián,Unknown,22,0,CA Vélez Sarsfield,Midfield - Attacking Midfield,"1,70 m",Argentina,ar,https://www.transfermarkt.us/leandro-gracian/profil/spieler/26442,https://img.a.transfermarkt.technology/portrait/small/26442-1697470905.jpg?lm=1,,06.08.1982,Buenos Aires,Retired
9,Rodrigo López,Hernán Rodrigo López Mora,66,30,9,4.975,2008-2010,López,-,5,0,CA Vélez Sarsfield,Attack - Centre-Forward,"1,79 m",Uruguay,uy,https://www.transfermarkt.us/rodrigo-lopez/profil/spieler/58582,https://img.a.transfermarkt.technology/portrait/small/58582-1732643768.jpg?lm=1,,21.01.1978,Montevideo,Retired
10,Federico Domínguez,Federico Hernán Domínguez,116,30,7,9.652,"1994-1998, 1999-2002",Domínguez,-,18,2,CA Vélez Sarsfield,Defender - Left-Back,"1,79 m",Argentina,ar,https://www.transfermarkt.us/federico-dominguez/profil/spieler/25089,https://img.a.transfermarkt.technology/portrait/small/25089-1698933068.JPG?lm=1,,13.08.1976,Lanús,Retired
11,Lucas Castromán,Lucas Martín Castromán,126,28,5,9.239,"1996-2001, 2003-2003, 2004-2007",Castromán,-,41,3,CA Vélez Sarsfield,Midfield - Right Midfield,"1,8 m",Argentina,ar,https://www.transfermarkt.us/lucas-castroman/profil/spieler/5847,https://img.a.transfermarkt.technology/portrait/small/5847-1418910062.jpg?lm=1,,02.10.1980,Villa Flandria,Retired
