rank,name,full_name,appearances,goals,assists,minutes_played,period,jersey_name,jersey_number,yellow_cards,red_cards,club,position,height,nation,nation_code,profile_url,image_url,club_logo_url,date_of_birth,place_of_birth,status
1,Pablo Vegetti,Pablo Ezequiel Vegetti Pfaffen,123,63,5,10.699,2019-2023,Vegetti,Unknown,27,0,Club Atlético Belgrano,Attack - Centre-Forward,"1,87 m",Argentina,ar,https://www.transfermarkt.us/pablo-vegetti/profil/spieler/334229,https://img.a.transfermarkt.technology/portrait/small/334229-1694903119.jpg?lm=1,,15.10.1988,Santo Domingo,Clube de Regatas Vasco da Gama
2,César Pereyra,César Emanuel Pereyra,199,49,21,14.343,"2009-2015, 2015-2017",Pereyra,Unknown,32,1,Club Atlético Belgrano,Attack - Left Winger,"1,69 m",Argentina,ar,https://www.transfermarkt.us/cesar-pereyra/profil/spieler/65834,https://img.a.transfermarkt.technology/portrait/small/65834-1722282897.jpg?lm=1,,23.11.1981,Villa Ocampo,Unknown
3,Jorge Velázquez,Jorge Luis Velázquez,168,22,15,11.508,2012-2017,Velázquez,Unknown,17,1,Club Atlético Belgrano,Midfield - Left Midfield,"1,82 m",Argentina,ar,https://www.transfermarkt.us/jorge-velazquez/profil/spieler/87356,https://img.a.transfermarkt.technology/portrait/small/87356-1722283038.jpg?lm=1,,07.09.1982,Vera,Club Social y Deportivo Juan José Moreno
4,Franco Jara,Franco Daniel Jara,66,22,2,3.957,2023-2025,Jara,-,11,0,Club Atlético Belgrano,Attack - Centre-Forward,"1,81 m",Argentina,ar,https://www.transfermarkt.us/franco-jara/profil/spieler/75035,https://img.a.transfermarkt.technology/portrait/small/75035-1645956564.jpg?lm=1,,15.07.1988,Villa María,Club Atlético Belgrano
5,Fernando Márquez,Fernando Andrés Márquez,134,20,17,7.518,"2012-2017, 2018-2018",Márquez,Unknown,19,0,Club Atlético Belgrano,Attack - Centre-Forward,"1,83 m",Argentina,ar,https://www.transfermarkt.us/fernando-marquez/profil/spieler/75597,https://img.a.transfermarkt.technology/portrait/small/75597-1690388687.jpg?lm=1,,10.12.1987,Santa Fe,Sportivo Belgrano (San Francisco)
6,Cristian Lema,Cristian Franco Lema,120,16,5,10.605,2014-2018,Lema,Unknown,43,0,Club Atlético Belgrano,Defender - Centre-Back,"1,91 m",Argentina,ar,https://www.transfermarkt.us/cristian-lema/profil/spieler/147128,https://img.a.transfermarkt.technology/portrait/small/147128-1739889091.jpg?lm=1,,24.03.1990,Puerto Madryn,CA Boca Juniors
7,Lucas Passerini,Lucas Giuliano Passerini,39,16,2,2.917,2023-2025,Passerini,Unknown,4,0,Club Atlético Belgrano,Attack - Centre-Forward,"1,89 m",Argentina,ar,https://www.transfermarkt.us/lucas-passerini/profil/spieler/334586,https://img.a.transfermarkt.technology/portrait/small/334586-1580830660.jpg?lm=1,,16.07.1994,Formosa,Club Atlético Belgrano
8,Mauro Óbolo,Mauro Iván Óbolo,93,14,6,6.772,"2001-2002, 2015-2015, 2016-2017",Óbolo,Unknown,7,0,Club Atlético Belgrano,Attack - Centre-Forward,"1,85 m",Argentina,ar,https://www.transfermarkt.us/mauro-obolo/profil/spieler/52074,https://img.a.transfermarkt.technology/portrait/small/52074-1707517487.jpg?lm=1,,28.09.1981,Arroyito,Retired
9,Guillermo Farré,Guillermo Martín Farré,263,13,7,22.728,2007-2017,Farré,Unknown,85,3,Club Atlético Belgrano,Midfield - Central Midfield,"1,76 m",Argentina,ar,https://www.transfermarkt.us/guillermo-farre/profil/spieler/76147,https://img.a.transfermarkt.technology/portrait/small/76147-1722282933.jpg?lm=1,,16.03.1981,Colón,Retired
10,César Mansanelli,Osvaldo César Mansanelli,168,13,6,9.666,"2005-2013, 2014-2016",Mansanelli,Unknown,12,0,Club Atlético Belgrano,Midfield - Right Midfield,"1,76 m",Argentina,ar,https://www.transfermarkt.us/cesar-mansanelli/profil/spieler/76156,https://img.a.transfermarkt.technology/portrait/small/76156-1722281869.jpg?lm=1,,29.08.1980,Córdoba,Retired
