rank,name,full_name,appearances,goals,assists,minutes_played,period,jersey_name,jersey_number,yellow_cards,red_cards,club,position,height,nation,nation_code,profile_url,image_url,club_logo_url,date_of_birth,place_of_birth,status
1,Facundo Sava,Unknown,102,48,21,8.787,1997-2002,Sava,Unknown,23,1,Club de Gimnasia y Esgrima La Plata,Attack - Centre-Forward,"1,84 m",Argentina,ar,https://www.transfermarkt.us/facundo-sava/profil/spieler/3709,https://img.a.transfermarkt.technology/portrait/small/3709-1692034713.JPG?lm=1,,07.03.1974,Ituzaingó,Retired
2,Claudio Enría,Claudio Marcelo Enría,141,45,37,11.748,"2000-2003, 2004-2005",Enría,Unknown,20,0,Club de Gimnasia y Esgrima La Plata,Attack - Right Winger,"1,78 m",Argentina,ar,https://www.transfermarkt.us/claudio-enria/profil/spieler/30805,https://img.a.transfermarkt.technology/portrait/small/30805-1698932426.JPG?lm=1,,28.08.1973,San Justo,Retired
3,Gonzalo Vargas,Gonzalo Vargas Abella,75,30,2,5.423,"2005-2006, 2011-2012",Vargas,-,4,0,Club de Gimnasia y Esgrima La Plata,Attack - Centre-Forward,"1,74 m",Uruguay,uy,https://www.transfermarkt.us/gonzalo-vargas/profil/spieler/30830,https://img.a.transfermarkt.technology/portrait/small/30830-1692034426.JPG?lm=1,,22.09.1981,Montevideo,Retired
4,Lucas Licht,Lucas Matías Licht,340,27,27,26.692,"2000-2006, 2012-2022",Licht,Unknown,67,1,Club de Gimnasia y Esgrima La Plata,Defender - Left-Back,"1,74 m",Argentina,ar,https://www.transfermarkt.us/lucas-licht/profil/spieler/30815,https://img.a.transfermarkt.technology/portrait/small/30815-1637765981.JPG?lm=1,,06.04.1981,Rosario,Unknown
5,Mariano Messera,Unknown,150,26,34,11.431,"1997-2001, 2008-2010",Messera,-,22,1,Club de Gimnasia y Esgrima La Plata,Midfield - Attacking Midfield,"1,72 m",Argentina,ar,https://www.transfermarkt.us/mariano-messera/profil/spieler/22118,https://img.a.transfermarkt.technology/portrait/small/22118-1697731940.jpg?lm=1,,23.02.1978,Posadas,Retired
6,Eric Ramírez,Eric Iván Jesús Ramírez,166,25,13,9.225,2020-2024,Ramírez,Unknown,31,3,Club de Gimnasia y Esgrima La Plata,Attack - Centre-Forward,"1,70 m",Argentina,ar,https://www.transfermarkt.us/eric-ramirez/profil/spieler/364945,https://img.a.transfermarkt.technology/portrait/small/364945-1699914588.jpg?lm=1,,21.09.1996,Concordia,CA Huracán
7,Santiago Silva,Santiago Martín Silva Olivera,78,25,0,6.285,"2006-2007, 2018-2019",Silva,Unknown,16,2,Club de Gimnasia y Esgrima La Plata,Attack - Centre-Forward,"1,85 m",Uruguay,uy,https://www.transfermarkt.us/santiago-silva/profil/spieler/7274,https://img.a.transfermarkt.technology/portrait/small/7274-1644784809.JPG?lm=1,,09.12.1980,Montevideo,Retired
8,Diego Alonso,Diego Martín Alonso López,70,23,3,4.93,"1999-2000, 2008-2009",Alonso,20,10,1,Club de Gimnasia y Esgrima La Plata,Attack - Centre-Forward,"1,88 m",Uruguay,uy,https://www.transfermarkt.us/diego-alonso/profil/spieler/7868,https://img.a.transfermarkt.technology/portrait/small/7868-1692025992.JPG?lm=1,,16.04.1975,Montevideo,Retired
9,Brahian Alemán,Brahian Milton Alemán Athaydes,144,23,25,11.034,"2017-2018, 2019-2023",Alemán,-,34,0,Club de Gimnasia y Esgrima La Plata,Midfield - Attacking Midfield,"1,77 m",Uruguay,uy,https://www.transfermarkt.us/brahian-aleman/profil/spieler/76886,https://img.a.transfermarkt.technology/portrait/small/76886-1637447334.JPG?lm=1,,23.12.1989,Montevideo,CA San Miguel
10,Gonzalo Choy,Gonzalo Gabriel Choy González,127,22,5,8.006,"2001-2005, 2011-2013",Choy,Unknown,17,0,Club de Gimnasia y Esgrima La Plata,Midfield - Attacking Midfield,"1,91 m",Uruguay,uy,https://www.transfermarkt.us/gonzalo-choy/profil/spieler/59805,https://img.a.transfermarkt.technology/portrait/small/59805-1705345798.JPG?lm=1,,11.10.1981,Montevideo,Retired
