name,status,profile_url,image_url,jersey_name,jersey_number,nation,nation_code,club,place_of_birth,full_name,position,height,date_of_birth,appearances,goals,assists,own_goals,yellow_cards,second_yellow,red_cards,substituted_on,substituted_off,minutes_played
Isaías Sánchez,Adelaide United,https://www.transfermarkt.us/isaias-sanchez/profil/spieler/73037,https://img.a.transfermarkt.technology/portrait/small/73037-1413468100.jpg?lm=1,Sánchez,Unknown,Spain,es,Adelaide United,Sabadell,Isaías Sánchez Cortés,Midfield - Defensive Midfield,"1,76 m",09.02.1987,267,9,16,0,58,3,1,12,24,22.787
Eugene Galekovic,Retired,https://www.transfermarkt.us/eugene-galekovic/profil/spieler/24007,https://img.a.transfermarkt.technology/portrait/small/24007-1413465279.jpg?lm=1,Galekovic,18,Australia,au,Adelaide United,Melbourne,Eugen-Josip Galekovic,Goalkeeper,"1,88 m",12.06.1981,251,0,2,1,19,0,0,0,1,22.591
Ryan Kitto,Adelaide United,https://www.transfermarkt.us/ryan-kitto/profil/spieler/296454,https://img.a.transfermarkt.technology/portrait/small/296454-1706540822.jpg?lm=1,Kitto,22,Australia,au,Adelaide United,Adelaide,Unknown,Defender - Left-Back,"1,79 m",09.08.1994,218,18,20,0,20,0,0,55,42,14.976
Michael Marrone,Sturt Lions FC,https://www.transfermarkt.us/michael-marrone/profil/spieler/111896,https://img.a.transfermarkt.technology/portrait/small/111896-1413466573.jpg?lm=1,Marrone,2,Australia,au,Adelaide United,Adelaide,Unknown,Defender - Right-Back,"1,79 m",27.01.1987,179,3,11,0,24,0,2,43,21,12.677
Craig Goodwin,Al-Wehda FC,https://www.transfermarkt.us/craig-goodwin/profil/spieler/214798,https://img.a.transfermarkt.technology/portrait/small/214798-1668506102.jpg?lm=1,Goodwin,-,Australia,au,Adelaide United,Adelaide,Craig Alexander Goodwin,Attack - Left Winger,"1,83 m",16.12.1991,163,57,34,0,24,0,0,8,28,13.922
Ben Halloran,Brisbane Roar,https://www.transfermarkt.us/ben-halloran/profil/spieler/160740,https://img.a.transfermarkt.technology/portrait/small/160740-1499677858.jpg?lm=1,Halloran,10,Australia,au,Adelaide United,Cairns,Benjamin Halloran,Attack - Right Winger,"1,82 m",14.06.1992,137,26,22,0,24,1,0,12,30,11.263
Jordan Elsey,Adelaide United,https://www.transfermarkt.us/jordan-elsey/profil/spieler/187355,https://img.a.transfermarkt.technology/portrait/small/187355-1413466625.jpg?lm=1,Elsey,Unknown,Australia,au,Adelaide United,Adelaide,Unknown,Defender - Centre-Back,"1,88 m",02.03.1994,135,8,1,1,23,2,0,20,4,10.755
Bruce Djite,Retired,https://www.transfermarkt.us/bruce-djite/profil/spieler/43093,https://img.a.transfermarkt.technology/portrait/small/43093-1413470615.jpg?lm=1,Djite,15,Australia,au,Adelaide United,"Washington, D.C.",Bruce Jos Djite,Attack - Centre-Forward,"1,84 m",25.03.1987,134,32,10,0,18,0,0,26,56,9.174
Cássio,Retired,https://www.transfermarkt.us/cassio/profil/spieler/51315,https://img.a.transfermarkt.technology/portrait/small/51315-1413466491.jpg?lm=1,Cássio,Unknown,Brazil,br,Adelaide United,Rio de Janeiro,Unknown,Defender - Left-Back,"1,69 m",08.01.1980,119,7,8,0,13,2,0,11,15,9.597
Marcelo Carrusca,Retired,https://www.transfermarkt.us/marcelo-carrusca/profil/spieler/27451,https://img.a.transfermarkt.technology/portrait/small/27451-1413467935.jpg?lm=1,Carrusca,11,Argentina,ar,Adelaide United,La Plata,Marcelo Adrián Carrusca,Midfield - Attacking Midfield,"1,72 m",01.09.1983,115,25,13,0,19,1,0,12,52,8.728
Cameron Watson,Retired,https://www.transfermarkt.us/cameron-watson/profil/spieler/51214,https://img.a.transfermarkt.technology/portrait/small/51214-1413470436.jpg?lm=1,Watson,Unknown,Australia,au,Adelaide United,Melbourne,Cameron Alexander John Watson,Midfield - Defensive Midfield,"1,85 m",31.05.1987,110,1,1,0,7,0,0,33,21,7.083
