name,status,profile_url,image_url,jersey_name,jersey_number,nation,nation_code,club,place_of_birth,full_name,position,height,date_of_birth,appearances,goals,assists,own_goals,yellow_cards,second_yellow,red_cards,substituted_on,substituted_off,minutes_played
Curtis Good,Buriram United,https://www.transfermarkt.us/curtis-good/profil/spieler/179471,https://img.a.transfermarkt.technology/portrait/small/s_179471_762_2012_1.jpg?lm=1,Good,22,Australia,au,Melbourne City FC,Melbourne,Curtis Edward Good,Defender - Centre-Back,"1,95 m",23.03.1993,176,9,5,0,13,4,0,11,10,14.848
Jamie Maclaren,Mohun Bagan Super Giant,https://www.transfermarkt.us/jamie-maclaren/profil/spieler/173591,https://img.a.transfermarkt.technology/portrait/small/173591-1740048855.jpg?lm=1,Maclaren,9,Australia,au,Melbourne City FC,Melbourne,Unknown,Attack - Centre-Forward,"1,79 m",29.07.1993,162,113,17,0,8,0,1,9,29,13.779
Scott Jamieson,Retired,https://www.transfermarkt.us/scott-jamieson/profil/spieler/52498,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,Jamieson,33,Australia,au,Melbourne City FC,Sydney,Scott Alexander Jamieson,Defender - Left-Back,"1,78 m",13.10.1988,155,3,14,1,28,2,0,20,15,12.217
Aziz Behich,Melbourne City FC,https://www.transfermarkt.us/aziz-behich/profil/spieler/136834,https://img.a.transfermarkt.technology/portrait/small/136834-1669893921.jpg?lm=1,Behich,-,Australia,au,Melbourne City FC,Melbourne,Aziz Eraltay Behich,Defender - Left-Back,"1,70 m",16.12.1990,127,3,10,0,22,1,0,6,13,10.961
Florin Bérenguer,Brisbane Roar,https://www.transfermarkt.us/florin-berenguer/profil/spieler/111040,https://img.a.transfermarkt.technology/portrait/small/111040-1717110568.jpg?lm=1,Bérenguer,Unknown,France,fr,Melbourne City FC,Montbéliard,Florin Gabin Berénguer-Bohrer,Midfield - Attacking Midfield,"1,82 m",01.04.1989,112,10,16,0,18,0,0,21,51,7.698
Tom Glover,Middlesbrough FC,https://www.transfermarkt.us/tom-glover/profil/spieler/335615,https://img.a.transfermarkt.technology/portrait/small/335615-1625837244.jpg?lm=1,Glover,1,Australia,au,Melbourne City FC,Sydney,Thomas William Glover,Goalkeeper,"1,96 m",24.12.1997,107,0,0,0,6,0,0,0,0,9.720
Scott Galloway,Auckland FC,https://www.transfermarkt.us/scott-galloway/profil/spieler/257415,https://img.a.transfermarkt.technology/portrait/small/257415-1717110217.jpg?lm=1,Galloway,13,Australia,au,Melbourne City FC,Perth,Scott Robert Galloway,Defender - Left-Back,"1,76 m",25.04.1995,103,4,4,1,8,0,0,44,15,5.713
David Williams,Perth Glory,https://www.transfermarkt.us/david-williams/profil/spieler/43011,https://img.a.transfermarkt.technology/portrait/small/43011-1722513186.png?lm=1,Williams,13,Australia,au,Melbourne City FC,Brisbane,David Joel Williams,Attack - Centre-Forward,"1,77 m",26.02.1988,102,21,3,0,11,0,1,37,23,6.351
Nathaniel Atkinson,Melbourne City FC,https://www.transfermarkt.us/nathaniel-atkinson/profil/spieler/556038,https://img.a.transfermarkt.technology/portrait/small/556038-1669189807.jpg?lm=1,Atkinson,3,Australia,au,Melbourne City FC,"Launceston, Tasmania",Nathaniel Caleb Atkinson,Defender - Right-Back,"1,81 m",13.06.1999,98,4,3,0,16,0,0,22,23,7.072
Marco Tilio,Melbourne City FC,https://www.transfermarkt.us/marco-tilio/profil/spieler/565531,https://img.a.transfermarkt.technology/portrait/small/565531-1669893669.jpg?lm=1,Tilio,10,Australia,au,Melbourne City FC,Sydney,Unknown,Attack - Right Winger,"1,70 m",23.08.2001,98,24,19,0,14,0,0,32,34,6.164
