name,status,profile_url,image_url,jersey_name,jersey_number,nation,nation_code,club,place_of_birth,full_name,position,height,date_of_birth,appearances,goals,assists,own_goals,yellow_cards,second_yellow,red_cards,substituted_on,substituted_off,minutes_played
Leigh Broxham,Bentleigh Greens SC,https://www.transfermarkt.us/leigh-broxham/profil/spieler/30788,https://img.a.transfermarkt.technology/portrait/small/30788-1703767903.png?lm=1,Broxham,16,Australia,au,Melbourne Victory,Melbourne,Leigh Michael Broxham,Midfield - Defensive Midfield,"1,70 m",13.01.1988,410,7,9,3,76,3,0,67,64,31.262
Jason Geria,Albirex Niigata,https://www.transfermarkt.us/jason-geria/profil/spieler/185175,https://img.a.transfermarkt.technology/portrait/small/185175-1703768514.png?lm=1,Geria,2,Australia,au,Melbourne Victory,Canberra,Jason Kato Geria,Defender - Right-Back,"1,83 m",10.05.1993,212,4,7,0,34,2,1,16,42,17.423
Archie Thompson,Retired,https://www.transfermarkt.us/archie-thompson/profil/spieler/13148,https://img.a.transfermarkt.technology/portrait/small/13148-1617088304.jpg?lm=1,Thompson,7,Australia,au,Melbourne Victory,Otorohanga,Archibald Gerald Thompson,Attack - Centre-Forward,"1,74 m",23.10.1978,196,70,23,0,11,0,0,32,50,14.652
Adrian Leijer,Retired,https://www.transfermarkt.us/adrian-leijer/profil/spieler/43163,https://img.a.transfermarkt.technology/portrait/small/s_43163_7006_2013_05_03_1.jpg?lm=1,Leijer,-,Australia,au,Melbourne Victory,Dubbo,Unknown,Defender - Centre-Back,"1,90 m",25.03.1986,170,7,1,2,45,3,0,2,8,14.855
Kosta Barbarouses,Wellington Phoenix,https://www.transfermarkt.us/kosta-barbarouses/profil/spieler/50200,https://img.a.transfermarkt.technology/portrait/small/50200-1497616905.jpg?lm=1,Barbarouses,7,New Zealand,nz,Melbourne Victory,Wellington,"Konstantinos Barbarouses, Κωνσταντίνος Μπαρμπαρούσης",Attack - Centre-Forward,"1,71 m",19.02.1990,153,47,25,0,23,0,1,11,32,12.807
Lawrence Thomas,Western Sydney Wanderers,https://www.transfermarkt.us/lawrence-thomas/profil/spieler/181337,https://img.a.transfermarkt.technology/portrait/small/181337-1685083765.jpg?lm=1,Thomas,12,Australia,au,Melbourne Victory,Melbourne,Lawrence Andrew Kingsley Thomas,Goalkeeper,"1,91 m",09.05.1992,143,0,0,0,8,0,0,2,1,12.834
Adama Traoré,Melbourne Victory,https://www.transfermarkt.us/adama-traore/profil/spieler/70209,https://img.a.transfermarkt.technology/portrait/small/70209-1703767394.png?lm=1,Traoré,18,Cote d'Ivoire,unknown,Melbourne Victory,Bondoukou,Unknown,Defender - Left-Back,"1,70 m",03.02.1990,136,3,13,0,27,1,2,8,28,11.068
Carl Valeri,Retired,https://www.transfermarkt.us/carl-valeri/profil/spieler/22130,https://img.a.transfermarkt.technology/portrait/small/s_22130_6574_2013_09_23_1.jpg?lm=1,Valeri,16,Australia,au,Melbourne Victory,Canberra,Unknown,Midfield - Central Midfield,"1,83 m",14.08.1984,128,2,3,1,24,2,0,9,24,10.615
Marco Rojas,Wellington Phoenix,https://www.transfermarkt.us/marco-rojas/profil/spieler/114940,https://img.a.transfermarkt.technology/portrait/small/114940-1680006990.jpg?lm=1,Rojas,11,New Zealand,nz,Melbourne Victory,Hamilton,Marco Rodrigo Rojas Walen,Attack - Right Winger,"1,68 m",05.11.1991,128,41,24,0,7,0,0,19,60,9.242
Besart Berisha,Retired,https://www.transfermarkt.us/besart-berisha/profil/spieler/17257,https://img.a.transfermarkt.technology/portrait/small/17257-1709132577.jpg?lm=1,Berisha,8,Kosovo,unknown,Melbourne Victory,Prishtinë,Unknown,Attack - Centre-Forward,N/A,29.07.1985,124,75,13,0,14,0,2,0,36,10.786
James Troisi,Without Club,https://www.transfermarkt.us/james-troisi/profil/spieler/52585,https://img.a.transfermarkt.technology/portrait/small/52585-1494244307.jpg?lm=1,Troisi,14,Australia,au,Melbourne Victory,Adelaide,Unknown,Midfield - Attacking Midfield,"1,76 m",03.07.1988,122,30,21,0,22,0,0,8,32,10.011
Nick Ansell,Nakhonratchasima Mazda FC,https://www.transfermarkt.us/nick-ansell/profil/spieler/157132,https://img.a.transfermarkt.technology/portrait/small/157132-1589999280.JPG?lm=1,Ansell,14,Australia,au,Melbourne Victory,Melbourne,Nicholas Clive Ansell,Defender - Centre-Back,"1,85 m",02.02.1994,109,4,1,0,17,0,2,15,16,8.205
Ben Folami,Adelaide United,https://www.transfermarkt.us/ben-folami/profil/spieler/532107,https://img.a.transfermarkt.technology/portrait/small/532107-1703811535.png?lm=1,Folami,-,Australia,au,Melbourne Victory,Sydney,Gbenga Tai Folami,Attack - Left Winger,"1,80 m",08.06.1999,108,11,8,0,6,0,0,33,62,6.447
Nishan Velupillay,Melbourne Victory,https://www.transfermarkt.us/nishan-velupillay/profil/spieler/888140,https://img.a.transfermarkt.technology/portrait/small/888140-1703810289.png?lm=1,Unknown,Unknown,Australia,au,Melbourne Victory,Unknown,Unknown,Unknown,Unknown,07.05.2001,107,19,8,0,5,0,0,60,39,4.650
Jake Brimmer,Auckland FC,https://www.transfermarkt.us/jake-brimmer/profil/spieler/337282,https://img.a.transfermarkt.technology/portrait/small/337282-1703768761.png?lm=1,Brimmer,-,Australia,au,Melbourne Victory,Melbourne,Jake William Brimmer,Midfield - Attacking Midfield,"1,69 m",03.04.1998,106,18,19,0,12,0,0,13,47,8.172
Carlos Hernández,Retired,https://www.transfermarkt.us/carlos-hernandez/profil/spieler/35373,https://img.a.transfermarkt.technology/portrait/small/35373-1718999655.jpg?lm=1,Hernández,16,Costa Rica,cr,Melbourne Victory,San José,Carlos Gerardo Hernández Valverde,Midfield - Attacking Midfield,"1,77 m",09.04.1982,103,33,10,0,7,1,0,8,37,8.295
Rodrigo Vargas,Retired,https://www.transfermarkt.us/rodrigo-vargas/profil/spieler/43203,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,Vargas,-,Australia,au,Melbourne Victory,Melbourne,Unknown,Defender - Centre-Back,"1,81 m",20.10.1978,102,7,1,3,11,0,1,1,0,9.150
Roderick Miranda,Melbourne Victory,https://www.transfermarkt.us/roderick-miranda/profil/spieler/87856,https://img.a.transfermarkt.technology/portrait/small/87856-1703767206.png?lm=1,Miranda,5,Portugal,pt,Melbourne Victory,Odivelas,Roderick Jefferson Gonçalves Miranda,Defender - Centre-Back,"1,93 m",30.03.1991,99,5,3,1,17,2,3,2,2,8.775
Gui Finkler,Retired,https://www.transfermarkt.us/gui-finkler/profil/spieler/42764,https://img.a.transfermarkt.technology/portrait/small/s_42764_7006_2013_05_03_1.jpg?lm=1,Gui Finkler,Unknown,Brazil,br,Melbourne Victory,Caxias do Sul,Unknown,Midfield - Attacking Midfield,"1,84 m",24.09.1985,94,20,20,0,12,0,0,16,33,6.944
Mark Milligan,Retired,https://www.transfermarkt.us/mark-milligan/profil/spieler/37372,https://img.a.transfermarkt.technology/portrait/small/37372-1497545165.jpg?lm=1,Milligan,5,Australia,au,Melbourne Victory,Sydney,Mark Daniel Milligan,Defender - Centre-Back,"1,78 m",04.08.1985,92,19,2,1,22,0,1,3,6,7.952
Robbie Kruse,Retired,https://www.transfermarkt.us/robbie-kruse/profil/spieler/51972,https://img.a.transfermarkt.technology/portrait/small/51972-1473754968.JPG?lm=1,Kruse,10,Australia,au,Melbourne Victory,Brisbane,Robbie Thomas Kruse,Attack - Left Winger,"1,79 m",05.10.1988,91,20,9,0,17,0,0,21,34,6.190
Kevin Muscat,Retired,https://www.transfermarkt.us/kevin-muscat/profil/spieler/9409,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,Muscat,2,Australia,au,Melbourne Victory,Crawley,Kevin Vincent Muscat,Defender - Centre-Back,"1,78 m",07.08.1973,89,23,0,1,22,3,0,0,2,7.987
James Donachie,Western United FC,https://www.transfermarkt.us/james-donachie/profil/spieler/221713,https://img.a.transfermarkt.technology/portrait/small/221713-1413964760.jpg?lm=1,Donachie,-,Australia,au,Melbourne Victory,Sunnybank,James Kevin Donachie,Defender - Centre-Back,"1,95 m",14.05.1993,88,1,1,2,15,1,1,10,1,7.302
Storm Roux,Central Coast Mariners,https://www.transfermarkt.us/storm-roux/profil/spieler/175699,https://img.a.transfermarkt.technology/portrait/small/175699-1497616562.jpg?lm=1,Roux,-,New Zealand,nz,Melbourne Victory,"Cape Town, Western Cape",Storm James Roux,Defender - Right-Back,"1,81 m",13.01.1993,88,5,5,0,13,0,0,9,13,6.897
Billy Celeski,Retired,https://www.transfermarkt.us/billy-celeski/profil/spieler/30678,https://img.a.transfermarkt.technology/portrait/small/s_30678_7006_2013_07_19_1.jpg?lm=1,Celeski,-,Australia,au,Melbourne Victory,Ohrid,Благоја Целески,Midfield - Central Midfield,"1,74 m",14.07.1985,86,1,3,0,16,1,0,16,22,6.317
Grant Brebner,Retired,https://www.transfermarkt.us/grant-brebner/profil/spieler/12687,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,Brebner,-,Scotland,unknown,Melbourne Victory,Edinburgh,Grant Ian Brebner,Midfield - Central Midfield,N/A,06.12.1977,86,4,0,0,16,1,0,21,13,6.281
Thomas Deng,Yokohama F. Marinos,https://www.transfermarkt.us/thomas-deng/profil/spieler/366543,https://img.a.transfermarkt.technology/portrait/small/366543-1625837373.jpg?lm=1,Deng,14,Australia,au,Melbourne Victory,Nairobi,Thomas Jok Deng,Defender - Centre-Back,"1,82 m",20.03.1997,84,2,1,1,15,0,0,9,16,6.557
Rashid Mahazi,Retired,https://www.transfermarkt.us/rashid-mahazi/profil/spieler/292764,https://img.a.transfermarkt.technology/portrait/small/292764-1583177641.JPG?lm=1,Mahazi,Unknown,Australia,au,Melbourne Victory,Melbourne,Unknown,Midfield - Defensive Midfield,"1,78 m",20.04.1992,84,0,0,0,19,0,0,40,16,4.047
Chris Ikonomidis,Macarthur FC,https://www.transfermarkt.us/chris-ikonomidis/profil/spieler/248483,https://img.a.transfermarkt.technology/portrait/small/248483-1703811325.png?lm=1,Ikonomidis,17,Australia,au,Melbourne Victory,Sydney,"Christopher James Ikonomidis, Κρίστοφερ Τζέιμς Οικονομίδης",Attack - Right Winger,"1,80 m",04.05.1995,78,5,5,0,8,0,1,44,24,3.469
Nathan Coe,Retired,https://www.transfermarkt.us/nathan-coe/profil/spieler/17996,https://img.a.transfermarkt.technology/portrait/small/s_17996_7006_2013_05_03_1.jpg?lm=1,Coe,18,Australia,au,Melbourne Victory,Brisbane,Unknown,Goalkeeper,"1,91 m",01.06.1984,77,0,1,0,6,0,0,0,1,6.898
Fahid Ben Khalfallah,Retired,https://www.transfermarkt.us/fahid-ben-khalfallah/profil/spieler/57355,https://img.a.transfermarkt.technology/portrait/small/57355-1494257774.jpg?lm=1,Ben Khalfallah,11,Tunisia,tn,Melbourne Victory,Péronne,فهيد بن خلف الله,Attack - Right Winger,"1,72 m",09.10.1982,77,12,15,0,17,1,0,6,40,5.954
Stefan Nigro,Preston Lions FC,https://www.transfermarkt.us/stefan-nigro/profil/spieler/428962,https://img.a.transfermarkt.technology/portrait/small/428962-1703810494.png?lm=1,Nigro,-,Australia,au,Melbourne Victory,Ballarat,Unknown,Defender - Right-Back,"1,81 m",10.08.1996,76,0,0,1,5,0,0,38,14,3.987
Daniel Georgievski,Inter Lions SC,https://www.transfermarkt.us/daniel-georgievski/profil/spieler/47615,https://img.a.transfermarkt.technology/portrait/small/s_47615_301_2013_10_02_1.jpg?lm=1,Georgievski,-,North Macedonia,mk,Melbourne Victory,"Blacktown, Sydney",Даниел Георгиевски,Defender - Right-Back,"1,79 m",17.02.1988,75,3,1,0,20,1,0,15,10,5.533
Danny Allsopp,Retired,https://www.transfermarkt.us/danny-allsopp/profil/spieler/43131,https://img.a.transfermarkt.technology/portrait/small/s_43131_123_2013_05_03_1.jpg?lm=1,Allsopp,-,Australia,au,Melbourne Victory,Melbourne,Daniel Lee Allsopp,Attack - Centre-Forward,"1,85 m",10.08.1978,74,26,0,0,11,0,2,16,12,5.405
Tom Pondeljak,Retired,https://www.transfermarkt.us/tom-pondeljak/profil/spieler/43124,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,Pondeljak,-,Australia,au,Melbourne Victory,Melbourne,Tomislav Pondeljak,Midfield - Attacking Midfield,"1,77 m",08.01.1976,71,8,0,0,6,0,0,14,23,4.935
Elvis Kamsoba,Balzan FC,https://www.transfermarkt.us/elvis-kamsoba/profil/spieler/607269,https://img.a.transfermarkt.technology/portrait/small/607269-1663310572.png?lm=1,Unknown,Unknown,Burundi,bi,Melbourne Victory,Unknown,Unknown,Unknown,Unknown,21.07.1996,71,7,2,0,1,1,0,27,20,4.111
Andrew Nabbout,Melbourne City FC,https://www.transfermarkt.us/andrew-nabbout/profil/spieler/247289,https://img.a.transfermarkt.technology/portrait/small/247289-1617123192.jpg?lm=1,Nabbout,11,Australia,au,Melbourne Victory,Melbourne,أندرو نا ب من,Attack - Right Winger,"1,75 m",17.12.1992,71,14,6,0,4,0,0,33,17,3.486
Bruno Fornaroli,Melbourne Victory,https://www.transfermarkt.us/bruno-fornaroli/profil/spieler/72651,https://img.a.transfermarkt.technology/portrait/small/72651-1703766993.png?lm=1,Fornaroli,9,Australia,au,Melbourne Victory,Salto,Bruno Fornaroli Mezza,Attack - Centre-Forward,"1,74 m",07.09.1987,66,30,4,0,11,0,0,15,22,4.598
Jai Ingham,Malvern City,https://www.transfermarkt.us/jai-ingham/profil/spieler/307784,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,Ingham,11,New Zealand,nz,Melbourne Victory,Lismore,Jai Emile Mau'u Ingham,Attack - Right Winger,"1,80 m",14.08.1993,63,4,4,0,8,0,0,41,13,2.461
Connor Pain,Al-Bukiryah FC,https://www.transfermarkt.us/connor-pain/profil/spieler/257682,https://img.a.transfermarkt.technology/portrait/small/257682-1693744745.jpg?lm=1,Pain,26,Australia,au,Melbourne Victory,Hong Kong,Connor Thomas Pain,Attack - Left Winger,"1,75 m",11.11.1993,62,3,3,0,4,0,0,42,12,2.213
