name,status,profile_url,image_url,jersey_name,jersey_number,nation,nation_code,club,place_of_birth,full_name,position,height,date_of_birth,appearances,goals,assists,own_goals,yellow_cards,second_yellow,red_cards,substituted_on,substituted_off,minutes_played
Andrew Durante,Retired,https://www.transfermarkt.us/andrew-durante/profil/spieler/43148,https://img.a.transfermarkt.technology/portrait/small/43148-1413380538.jpg?lm=1,Durante,22,New Zealand,nz,Wellington Phoenix,Sydney,Unknown,Defender - Centre-Back,"1,82 m",03.05.1982,274,4,5,4,60,1,0,2,13,24.287
Manny Muscat,Retired,https://www.transfermarkt.us/manny-muscat/profil/spieler/109813,https://img.a.transfermarkt.technology/portrait/small/109813-1413381144.jpg?lm=1,Muscat,2,Malta,mt,Wellington Phoenix,Melbourne,Emmanuel Muscat,Defender - Right-Back,"1,80 m",07.12.1984,192,4,12,2,54,2,1,2,9,17.036
Vince Lia,Essendon Royals SC,https://www.transfermarkt.us/vince-lia/profil/spieler/43165,https://img.a.transfermarkt.technology/portrait/small/43165-1413381090.jpg?lm=1,Lia,-,Australia,au,Wellington Phoenix,Shepparton,Vincent Lia,Midfield - Central Midfield,"1,77 m",18.03.1985,184,3,7,1,44,1,0,19,31,14.650
Benjamin Sigmund,Retired,https://www.transfermarkt.us/benjamin-sigmund/profil/spieler/78104,https://img.a.transfermarkt.technology/portrait/small/78104-1413380573.jpg?lm=1,Sigmund,4,New Zealand,nz,Wellington Phoenix,Blenheim,Benjamin Robert Sigmund,Defender - Centre-Back,N/A,03.02.1981,181,7,7,0,31,2,1,6,12,15.493
Alex Rufer,Wellington Phoenix,https://www.transfermarkt.us/alex-rufer/profil/spieler/256019,https://img.a.transfermarkt.technology/portrait/small/256019-1721932700.jpg?lm=1,Rufer,-,New Zealand,nz,Wellington Phoenix,Genf,Alex Arthur Rufer,Midfield - Defensive Midfield,"1,84 m",12.06.1996,167,5,10,0,42,0,3,39,35,11.466
Louis Fenton,Miramar Rangers AFC,https://www.transfermarkt.us/louis-fenton/profil/spieler/203552,https://img.a.transfermarkt.technology/portrait/small/203552-1413380503.jpg?lm=1,Fenton,-,New Zealand,nz,Wellington Phoenix,Wellington,Louis Ferenc Puskas Fenton,Defender - Right-Back,"1,74 m",03.04.1993,161,9,9,0,29,0,0,44,32,10.641
Tim Payne,Wellington Phoenix,https://www.transfermarkt.us/tim-payne/profil/spieler/149901,https://img.a.transfermarkt.technology/portrait/small/149901-1415819896.jpg?lm=1,Payne,2,New Zealand,nz,Wellington Phoenix,Auckland,Timothy John Payne,Defender - Right-Back,"1,79 m",10.01.1994,136,4,11,0,11,1,2,5,18,11.634
David Ball,Without Club,https://www.transfermarkt.us/david-ball/profil/spieler/121401,https://img.a.transfermarkt.technology/portrait/small/121401-1664547300.png?lm=1,Ball,Unknown,England,unknown,Wellington Phoenix,Manchester,David Michael Ball,Attack - Centre-Forward,"1,83 m",14.12.1989,129,16,24,0,25,0,1,13,49,9.984
Leo Bertos,Retired,https://www.transfermarkt.us/leo-bertos/profil/spieler/43145,https://img.a.transfermarkt.technology/portrait/small/43145-1419248105.jpg?lm=1,Bertos,7,New Zealand,nz,Wellington Phoenix,Wellington,Leonidas Christos Bertos,Midfield - Right Midfield,"1,77 m",20.12.1981,127,8,15,0,15,0,0,19,32,9.702
Glen Moss,Retired,https://www.transfermarkt.us/glen-moss/profil/spieler/44940,https://img.a.transfermarkt.technology/portrait/small/44940-1413380416.jpg?lm=1,Moss,1,New Zealand,nz,Wellington Phoenix,Hastings,Unknown,Goalkeeper,"1,87 m",19.01.1983,123,0,0,2,2,0,0,1,0,11.025
