name,status,profile_url,image_url,jersey_name,jersey_number,nation,nation_code,club,place_of_birth,full_name,position,height,date_of_birth,appearances,goals,assists,own_goals,yellow_cards,second_yellow,red_cards,substituted_on,substituted_off,minutes_played
Mark Bridge,Retired,https://www.transfermarkt.us/mark-bridge/profil/spieler/43202,https://img.a.transfermarkt.technology/portrait/small/43202-1413374763.jpg?lm=1,Bridge,9,Australia,au,Western Sydney Wanderers,Sydney,Mark Robert Bridge,Attack - Centre-Forward,"1,83 m",07.11.1985,135,38,15,0,16,0,0,18,18,10.729
Nikolai Topor-Stanley,Lambton Jaffas FC,https://www.transfermarkt.us/nikolai-topor-stanley/profil/spieler/37870,https://img.a.transfermarkt.technology/portrait/small/s_37870_36100_2013_07_19_1.jpg?lm=1,Topor-Stanley,2,Australia,au,Western Sydney Wanderers,Canberra,Nikolai David Topor-Stanley,Defender - Centre-Back,"1,91 m",11.03.1985,121,4,1,0,23,2,0,0,1,10.865
Keanu Baccus,Mansfield Town,https://www.transfermarkt.us/keanu-baccus/profil/spieler/479037,https://img.a.transfermarkt.technology/portrait/small/479037-1625838666.jpg?lm=1,Baccus,17,Australia,au,Western Sydney Wanderers,Durban,Keanu Kole Baccus,Midfield - Defensive Midfield,"1,78 m",07.06.1998,112,6,10,0,21,1,2,14,15,8.677
Brendon Santalab,FC Strathmore Split,https://www.transfermarkt.us/brendon-santalab/profil/spieler/21202,https://img.a.transfermarkt.technology/portrait/small/21202-1413373646.jpg?lm=1,Santalab,-,Australia,au,Western Sydney Wanderers,Wollongong,Brendon James Santalab,Attack - Centre-Forward,"1,73 m",09.09.1982,109,38,4,0,29,0,1,62,40,4.669
Ante Covic,Retired,https://www.transfermarkt.us/ante-covic/profil/spieler/23618,https://img.a.transfermarkt.technology/portrait/small/23618-1413371290.jpg?lm=1,Covic,12,Australia,au,Western Sydney Wanderers,Sydney,Unknown,Goalkeeper,"1,92 m",13.06.1975,97,0,0,1,4,0,0,0,0,8.790
Brendan Hamill,Melbourne Victory,https://www.transfermarkt.us/brendan-hamill/profil/spieler/147600,https://img.a.transfermarkt.technology/portrait/small/147600-1694458726.JPG?lm=1,Hamill,15,Australia,au,Western Sydney Wanderers,Sydney,Brendan Michael Hamill,Defender - Centre-Back,"1,85 m",18.09.1992,97,5,4,1,14,1,0,16,10,7.401
Jack Clisby,Western Sydney Wanderers,https://www.transfermarkt.us/jack-clisby/profil/spieler/256915,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,Clisby,Unknown,Australia,au,Western Sydney Wanderers,Perth,Unknown,Defender - Left-Back,"1,80 m",16.02.1992,94,4,8,0,18,0,0,6,19,7.934
Jaushua Sotirio,Sydney FC,https://www.transfermarkt.us/jaushua-sotirio/profil/spieler/302818,https://img.a.transfermarkt.technology/portrait/small/302818-1684213869.jpg?lm=1,Sotirio,17,Neukaledonien,unknown,Western Sydney Wanderers,Sydney,Jaushua James Elie Sotirio,Attack - Centre-Forward,"1,75 m",11.10.1995,91,12,2,0,11,1,0,45,28,4.166
Tate Russell,Western United FC,https://www.transfermarkt.us/tate-russell/profil/spieler/589458,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,Russell,-,Australia,au,Western Sydney Wanderers,Unknown,Tate Jackson Russell,Defender - Right-Back,"1,80 m",24.08.1999,86,6,5,0,4,1,0,24,19,5.516
Labinot Haliti,Retired,https://www.transfermarkt.us/labinot-haliti/profil/spieler/39368,https://img.a.transfermarkt.technology/portrait/small/39368-1413373947.jpg?lm=1,Haliti,-,Australia,au,Western Sydney Wanderers,Pristina,Unknown,Attack - Centre-Forward,"1,84 m",26.10.1985,85,10,5,0,3,0,0,39,27,4.339
Iacopo La Rocca,Retired,https://www.transfermarkt.us/iacopo-la-rocca/profil/spieler/23360,https://img.a.transfermarkt.technology/portrait/small/23360-1413373048.jpg?lm=1,La Rocca,Unknown,Italy,it,Western Sydney Wanderers,Roma,Unknown,Defender - Centre-Back,"1,88 m",17.02.1984,77,8,2,0,16,0,1,8,16,6.164
Mateo Poljak,Without Club,https://www.transfermarkt.us/mateo-poljak/profil/spieler/45827,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,Poljak,-,Croatia,hr,Western Sydney Wanderers,Zagreb,Unknown,Midfield - Defensive Midfield,"1,82 m",10.09.1989,75,4,3,0,20,0,0,2,13,6.409
Kearyn Baccus,Without Club,https://www.transfermarkt.us/kearyn-baccus/profil/spieler/171419,https://img.a.transfermarkt.technology/portrait/small/171419-1614591868.jpg?lm=1,Baccus,6,Australia,au,Western Sydney Wanderers,"Durban, KwaZulu-Natal",Kearyn Byron Baccus,Midfield - Central Midfield,"1,80 m",05.09.1991,74,0,2,0,13,0,0,27,17,4.526
Shannon Cole,Retired,https://www.transfermarkt.us/shannon-cole/profil/spieler/90056,https://img.a.transfermarkt.technology/portrait/small/90056-1413371560.jpg?lm=1,Cole,-,Australia,au,Western Sydney Wanderers,Sydney,Unknown,Defender - Right-Back,"1,76 m",04.08.1985,74,5,3,0,15,0,0,31,18,4.145
Bruce Kamau,FC Adelaide City,https://www.transfermarkt.us/bruce-kamau/profil/spieler/334157,https://img.a.transfermarkt.technology/portrait/small/334157-1413470564.jpg?lm=1,Kamau,-,Kenya,ke,Western Sydney Wanderers,Nairobi,Unknown,Attack - Right Winger,"1,75 m",28.03.1995,68,11,11,0,6,0,0,20,19,4.439
Vedran Janjetovic,Wollongong Wolves FC,https://www.transfermarkt.us/vedran-janjetovic/profil/spieler/47194,https://img.a.transfermarkt.technology/portrait/small/47194-1410945596.jpg?lm=1,Janjetovic,Unknown,Australia,au,Western Sydney Wanderers,Zagreb,Vedran Janjetović,Goalkeeper,"1,87 m",20.08.1987,67,0,0,1,4,0,1,0,0,5.966
Brandon Borrello,Western Sydney Wanderers,https://www.transfermarkt.us/brandon-borrello/profil/spieler/293592,https://img.a.transfermarkt.technology/portrait/small/293592-1685083474.jpg?lm=1,Borrello,-,Australia,au,Western Sydney Wanderers,Adelaide,Brandon Joel Gaetano Borrello,Attack - Centre-Forward,"1,78 m",25.07.1995,67,23,16,0,11,0,0,3,29,5.457
Lawrence Thomas,Western Sydney Wanderers,https://www.transfermarkt.us/lawrence-thomas/profil/spieler/181337,https://img.a.transfermarkt.technology/portrait/small/181337-1685083765.jpg?lm=1,Thomas,12,Australia,au,Western Sydney Wanderers,Melbourne,Lawrence Andrew Kingsley Thomas,Goalkeeper,"1,91 m",09.05.1992,64,0,0,0,3,0,0,1,0,5.715
Nicolas Milanovic,Western Sydney Wanderers,https://www.transfermarkt.us/nicolas-milanovic/profil/spieler/794777,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,Unknown,Unknown,Australia,au,Western Sydney Wanderers,Unknown,Unknown,Unknown,Unknown,14.11.2001,61,21,12,0,12,0,0,19,21,3.823
Mitch Nichols,Retired,https://www.transfermarkt.us/mitch-nichols/profil/spieler/50471,https://img.a.transfermarkt.technology/portrait/small/s_50471_1022_2012_1.jpg?lm=1,Nichols,21,Australia,au,Western Sydney Wanderers,Gold Coast,Mitchell Ian Nichols,Midfield - Attacking Midfield,"1,81 m",01.05.1989,58,11,7,0,7,0,0,1,21,4.922
Shinji Ono,Retired,https://www.transfermarkt.us/shinji-ono/profil/spieler/4379,https://img.a.transfermarkt.technology/portrait/small/4379-1620634811.jpg?lm=1,Ono,21,Japan,jp,Western Sydney Wanderers,"Numazu, Shizuoka",小野 伸二,Midfield - Attacking Midfield,"1,75 m",27.09.1979,57,11,9,0,5,0,0,10,28,4.016
Scott Neville,Retired,https://www.transfermarkt.us/scott-neville/profil/spieler/110023,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,Neville,-,Australia,au,Western Sydney Wanderers,Devan,Unknown,Defender - Centre-Back,"1,87 m",11.01.1989,56,1,5,0,14,1,0,0,3,4.965
Dimas Delgado,Retired,https://www.transfermarkt.us/dimas-delgado/profil/spieler/53363,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,Delgado,Unknown,Spain,es,Western Sydney Wanderers,Santa Coloma de Gramanet,Dimas Delgado Morgado,Midfield - Central Midfield,"1,78 m",06.02.1983,55,4,4,0,20,0,0,5,12,4.435
Mitchell Duke,Machida Zelvia,https://www.transfermarkt.us/mitchell-duke/profil/spieler/177775,https://img.a.transfermarkt.technology/portrait/small/177775-1625839380.jpg?lm=1,Duke,-,Australia,au,Western Sydney Wanderers,Liverpool,Mitchell Thomas Duke,Attack - Centre-Forward,"1,86 m",18.01.1991,54,24,4,0,3,0,0,6,16,4.145
Oriol Riera,Retired,https://www.transfermarkt.us/oriol-riera/profil/spieler/71671,https://img.a.transfermarkt.technology/portrait/small/71671-1446727271.jpg?lm=1,Riera,Unknown,Spain,es,Western Sydney Wanderers,Vic,Oriol Riera Magem,Attack - Centre-Forward,"1,86 m",03.07.1986,53,27,3,0,8,0,0,3,12,4.312
Aaron Mooy,Retired,https://www.transfermarkt.us/aaron-mooy/profil/spieler/123951,https://img.a.transfermarkt.technology/portrait/small/123951-1668505974.jpg?lm=1,Mooy,13,Australia,au,Western Sydney Wanderers,Sydney,Aaron Frank Mooy,Midfield - Central Midfield,"1,74 m",15.09.1990,53,5,3,0,11,0,0,11,7,3.795
Marcelo,Without Club,https://www.transfermarkt.us/marcelo/profil/spieler/52920,https://img.a.transfermarkt.technology/portrait/small/52920-1685083725.jpg?lm=1,Marcelo,-,Brazil,br,Western Sydney Wanderers,São Vicente,Unknown,Defender - Centre-Back,"1,91 m",20.05.1987,52,3,3,0,10,0,2,0,5,4.439
Youssouf Hersi,Retired,https://www.transfermarkt.us/youssouf-hersi/profil/spieler/4154,https://img.a.transfermarkt.technology/portrait/small/s_4154_36100_2013_07_19_1.jpg?lm=1,Hersi,-,Netherlands,nl,Western Sydney Wanderers,Dire Dawa,Unknown,Attack - Right Winger,"1,80 m",20.08.1982,52,8,8,0,12,1,1,8,22,3.834
Romeo Castelen,Retired,https://www.transfermarkt.us/romeo-castelen/profil/spieler/6764,https://img.a.transfermarkt.technology/portrait/small/6764-1413374703.jpg?lm=1,Castelen,-,Netherlands,nl,Western Sydney Wanderers,Paramaribo,Romeo Erwin Maurits Castelen,Attack - Right Winger,N/A,03.05.1983,52,11,2,1,0,0,0,11,20,3.652
Adama Traoré,Melbourne Victory,https://www.transfermarkt.us/adama-traore/profil/spieler/70209,https://img.a.transfermarkt.technology/portrait/small/70209-1703767394.png?lm=1,Traoré,18,Cote d'Ivoire,unknown,Western Sydney Wanderers,Bondoukou,Unknown,Defender - Left-Back,"1,70 m",03.02.1990,50,0,0,0,7,1,0,1,11,4.227
Jérôme Polenz,Retired,https://www.transfermarkt.us/jerome-polenz/profil/spieler/10209,https://img.a.transfermarkt.technology/portrait/small/s_10209_36100_2012_1.jpg?lm=1,Polenz,-,Germany,de,Western Sydney Wanderers,Berlin,Unknown,Defender - Right-Back,"1,83 m",07.11.1986,50,2,4,0,12,0,1,1,5,4.222
Gabriel Cléùr,Western Sydney Wanderers,https://www.transfermarkt.us/gabriel-cleur/profil/spieler/425767,https://img.a.transfermarkt.technology/portrait/small/425767-1685083580.jpg?lm=1,Cléùr,2,Australia,au,Western Sydney Wanderers,Sydney,Gabriel Isaac Cléùr,Defender - Right-Back,"1,81 m",31.01.1998,50,2,12,1,14,0,0,11,11,3.574
Tarek Elrich,Parramatta Eagles,https://www.transfermarkt.us/tarek-elrich/profil/spieler/43151,https://img.a.transfermarkt.technology/portrait/small/43151-1413466171.jpg?lm=1,Elrich,-,Australia,au,Western Sydney Wanderers,Sydney,Unknown,Defender - Centre-Back,"1,80 m",01.01.1987,50,2,3,0,5,0,0,12,7,3.476
Tomi Juric,FC Koper,https://www.transfermarkt.us/tomi-juric/profil/spieler/171820,https://img.a.transfermarkt.technology/portrait/small/171820-1715149489.png?lm=1,Juric,9,Australia,au,Western Sydney Wanderers,"Auburn, New South Wales",Unknown,Attack - Centre-Forward,"1,91 m",22.07.1991,50,17,1,0,10,0,0,20,12,3.111
Oscar Priestman,Western Sydney Wanderers,https://www.transfermarkt.us/oscar-priestman/profil/spieler/867755,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,Unknown,Unknown,Australia,au,Western Sydney Wanderers,Unknown,Unknown,Unknown,Unknown,25.03.2003,50,2,4,0,11,0,0,18,17,3.057
Kwame Yeboah,Retired,https://www.transfermarkt.us/kwame-yeboah/profil/spieler/187383,https://img.a.transfermarkt.technology/portrait/small/187383-1516366863.jpg?lm=1,Yeboah,15,Australia,au,Western Sydney Wanderers,Gold Coast,Kwame Adzenyina Yeboah,Attack - Left Winger,N/A,02.06.1994,50,12,3,0,2,0,0,23,14,2.667
Daniel Margush,Croydon Kings,https://www.transfermarkt.us/daniel-margush/profil/spieler/414085,https://img.a.transfermarkt.technology/portrait/small/414085-1646998764.png?lm=1,Margush,18,Australia,au,Western Sydney Wanderers,Adelaide,Unknown,Goalkeeper,"1,87 m",28.11.1997,49,0,0,0,2,0,1,0,1,4.365
Adam D'Apuzzo,Retired,https://www.transfermarkt.us/adam-dapuzzo/profil/spieler/43149,https://img.a.transfermarkt.technology/portrait/small/s_43149_36100_2012_1.jpg?lm=1,D'Apuzzo,-,Australia,au,Western Sydney Wanderers,Sydney,Adam Leonard D'Apuzzo,Defender - Left-Back,"1,85 m",20.10.1986,49,0,0,0,16,0,0,1,4,4.222
Roly Bonevacia,Sreenidi Deccan FC,https://www.transfermarkt.us/roly-bonevacia/profil/spieler/124885,https://img.a.transfermarkt.technology/portrait/small/124885-1413381022.jpg?lm=1,Bonevacia,21,Curacao,unknown,Western Sydney Wanderers,Lelystad,Rolieny Nonato Luis Bonevacia,Midfield - Central Midfield,"1,74 m",08.10.1991,49,10,8,0,13,0,0,3,13,4.019
Marcus Antonsson,Western Sydney Wanderers,https://www.transfermarkt.us/marcus-antonsson/profil/spieler/171676,https://img.a.transfermarkt.technology/portrait/small/171676-1681598272.JPG?lm=1,Antonsson,-,Sweden,se,Western Sydney Wanderers,Unnaryd,Carl Marcus Christer Antonsson,Attack - Centre-Forward,"1,84 m",08.05.1991,49,15,6,0,0,0,0,21,20,2.660
Jonathan Aspropotamitis,Pohang Steelers,https://www.transfermarkt.us/jonathan-aspropotamitis/profil/spieler/363689,https://img.a.transfermarkt.technology/portrait/small/363689-1630937806.jpg?lm=1,Aspropotamitis,4,Australia,au,Western Sydney Wanderers,Sydney,Τζόναθαν Ασπροποταμίτης,Defender - Centre-Back,"1,88 m",07.06.1996,48,0,0,1,7,0,1,2,0,4.193
Jason Trifiro,Retired,https://www.transfermarkt.us/jason-trifiro/profil/spieler/235214,https://img.a.transfermarkt.technology/portrait/small/235214-1413374273.jpg?lm=1,Trifiro,-,Australia,au,Western Sydney Wanderers,Sydney,Unknown,Midfield - Central Midfield,"1,73 m",03.06.1988,48,0,0,0,1,1,0,30,11,1.987
Raúl Llorente,Without Club,https://www.transfermarkt.us/raul-llorente/profil/spieler/71981,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,Llorente,-,Spain,es,Western Sydney Wanderers,Madrid,Raúl Llorente Raposo,Defender - Left-Back,"1,75 m",02.04.1986,46,0,5,0,6,0,0,3,2,3.916
Bernie Ibini-Isei,Without Club,https://www.transfermarkt.us/bernie-ibini-isei/profil/spieler/140205,https://img.a.transfermarkt.technology/portrait/small/140205-1521279307.jpg?lm=1,Ibini-Isei,19,Australia,au,Western Sydney Wanderers,Port Harcourt,Bernie Alpha Ibini-Isei,Attack - Centre-Forward,"1,87 m",12.09.1992,46,5,6,0,4,0,0,22,22,2.247
Dylan McGowan,Hamilton Academical FC,https://www.transfermarkt.us/dylan-mcgowan/profil/spieler/72504,https://img.a.transfermarkt.technology/portrait/small/72504-1413466239.jpg?lm=1,McGowan,-,Australia,au,Western Sydney Wanderers,Adelaide,Unknown,Defender - Centre-Back,"1,86 m",06.08.1991,44,0,0,0,7,0,0,0,0,3.990
Michael Beauchamp,Retired,https://www.transfermarkt.us/michael-beauchamp/profil/spieler/38669,https://img.a.transfermarkt.technology/portrait/small/s_38669_36100_2013_07_19_1.jpg?lm=1,Beauchamp,6,Australia,au,Western Sydney Wanderers,Sydney,Michael Francis Beauchamp,Defender - Centre-Back,N/A,08.03.1981,44,2,1,1,5,0,0,0,1,3.955
Matthew Spiranovic,Retired,https://www.transfermarkt.us/matthew-spiranovic/profil/spieler/45041,https://img.a.transfermarkt.technology/portrait/small/45041-1413371427.jpg?lm=1,Spiranovic,6,Australia,au,Western Sydney Wanderers,Geelong,Matthew Thomas Špiranović,Defender - Centre-Back,"1,88 m",27.06.1988,44,1,0,0,9,2,0,3,3,3.670
Jumpei Kusukami,Retired,https://www.transfermarkt.us/jumpei-kusukami/profil/spieler/124682,https://img.a.transfermarkt.technology/portrait/small/124682-1711280970.JPG?lm=1,Kusukami,Unknown,Japan,jp,Western Sydney Wanderers,"Echigawa, Shiga",楠神 順平,Midfield - Left Midfield,"1,71 m",27.08.1987,44,6,4,0,1,0,0,9,12,3.136
Tass Mourdoukoutas,Perth Glory,https://www.transfermarkt.us/tass-mourdoukoutas/profil/spieler/561049,https://img.a.transfermarkt.technology/portrait/small/561049-1714933485.jpg?lm=1,Mourdoukoutas,6,Australia,au,Western Sydney Wanderers,Sydney,Τάσος Μουρδουκούτας,Defender - Centre-Back,"1,88 m",03.03.1999,44,2,0,0,5,0,1,20,3,2.463
Joshua Brillante,Western Sydney Wanderers,https://www.transfermarkt.us/joshua-brillante/profil/spieler/171307,https://img.a.transfermarkt.technology/portrait/small/171307-1457606412.jpg?lm=1,Brillante,8,Australia,au,Western Sydney Wanderers,"Bundaberg, Queensland",Unknown,Midfield - Defensive Midfield,"1,77 m",25.03.1993,41,1,5,0,1,0,1,0,9,3.519
Alex Bonetig,Western Sydney Wanderers,https://www.transfermarkt.us/alex-bonetig/profil/spieler/1013240,https://img.a.transfermarkt.technology/portrait/small/1013240-1685083424.jpg?lm=1,Bonetig,Unknown,Australia,au,Western Sydney Wanderers,Shellharbour,Alexander Bonetig,Defender - Centre-Back,"1,87 m",20.08.2002,41,0,0,0,2,0,0,3,6,3.297
James Troisi,Without Club,https://www.transfermarkt.us/james-troisi/profil/spieler/52585,https://img.a.transfermarkt.technology/portrait/small/52585-1494244307.jpg?lm=1,Troisi,14,Australia,au,Western Sydney Wanderers,Adelaide,Unknown,Midfield - Attacking Midfield,"1,76 m",03.07.1988,41,5,9,0,7,0,0,6,18,2.893
