rank,name,full_name,appearances,goals,assists,minutes_played,period,jersey_name,jersey_number,yellow_cards,red_cards,club,position,height,nation,nation_code,profile_url,image_url,club_logo_url,date_of_birth,place_of_birth,status
1,Besart Berisha,Unknown,83,50,7,7.082,N/A,Berisha,8,16,2,Brisbane Roar,Attack - Centre-Forward,,Kosovo,unknown,https://www.transfermarkt.us/besart-berisha/profil/spieler/17257,https://img.a.transfermarkt.technology/portrait/small/17257-1709132577.jpg?lm=1,N/A,29.07.1985,Prishtinë,Retired
2,Henrique,Unknown,175,45,19,9.693,N/A,Henrique,Unknown,10,2,Brisbane Roar,Attack - Left Winger,"1,65 m",Brazil,br,https://www.transfermarkt.us/henrique/profil/spieler/109307,https://img.a.transfermarkt.technology/portrait/small/109307-1413965516.jpg?lm=1,N/A,09.05.1985,São Paulo,Retired
3,Jamie Maclaren,Unknown,59,42,5,4.863,N/A,Maclaren,9,2,0,Brisbane Roar,Attack - Centre-Forward,"1,79 m",Australia,au,https://www.transfermarkt.us/jamie-maclaren/profil/spieler/173591,https://img.a.transfermarkt.technology/portrait/small/173591-1740048855.jpg?lm=1,N/A,29.07.1993,Melbourne,Mohun Bagan Super Giant
4,Jay O'Shea,James O'Shea,161,29,34,14.250,N/A,O'Shea,-,23,1,Brisbane Roar,Midfield - Central Midfield,"1,83 m",Ireland,ie,https://www.transfermarkt.us/jay-oshea/profil/spieler/68327,https://img.a.transfermarkt.technology/portrait/small/68327-1706541726.jpg?lm=1,N/A,10.08.1988,Dublin,Brisbane Roar
5,Thomas Broich,Unknown,199,23,52,16.878,N/A,Broich,-,9,1,Brisbane Roar,Midfield - Attacking Midfield,"1,82 m",Germany,de,https://www.transfermarkt.us/thomas-broich/profil/spieler/1762,https://img.a.transfermarkt.technology/portrait/small/1762-1413966745.jpg?lm=1,N/A,29.01.1981,München,Retired
6,Mitch Nichols,Mitchell Ian Nichols,113,21,7,7.461,N/A,Nichols,21,17,0,Brisbane Roar,Midfield - Attacking Midfield,"1,81 m",Australia,au,https://www.transfermarkt.us/mitch-nichols/profil/spieler/50471,https://img.a.transfermarkt.technology/portrait/small/s_50471_1022_2012_1.jpg?lm=1,N/A,01.05.1989,Gold Coast,Retired
7,Henry Hore,Unknown,81,20,10,5.666,N/A,Hore,Unknown,13,0,Brisbane Roar,Attack - Right Winger,"1,80 m",Australia,au,https://www.transfermarkt.us/henry-hore/profil/spieler/560763,https://img.a.transfermarkt.technology/portrait/small/560763-1684079553.jpg?lm=1,N/A,17.08.1999,Nambour,Brisbane Roar
8,Brandon Borrello,Brandon Joel Gaetano Borrello,88,20,10,5.771,N/A,Borrello,-,13,0,Brisbane Roar,Attack - Centre-Forward,"1,78 m",Australia,au,https://www.transfermarkt.us/brandon-borrello/profil/spieler/293592,https://img.a.transfermarkt.technology/portrait/small/293592-1685083474.jpg?lm=1,N/A,25.07.1995,Adelaide,Western Sydney Wanderers
9,Matt McKay,Matthew Graham McKay,224,18,13,19.425,N/A,McKay,17,26,3,Brisbane Roar,Midfield - Central Midfield,"1,71 m",Australia,au,https://www.transfermarkt.us/matt-mckay/profil/spieler/43168,https://img.a.transfermarkt.technology/portrait/small/43168-1413966739.jpg?lm=1,N/A,11.01.1983,Brisbane,Capalaba Bulldogs
10,Jean Carlos Solórzano,Jean Carlos Solórzano Madrigal,61,17,3,3.293,N/A,Solórzano,-,3,0,Brisbane Roar,Attack - Centre-Forward,"1,83 m",Costa Rica,cr,https://www.transfermarkt.us/jean-carlos-solorzano/profil/spieler/111934,https://img.a.transfermarkt.technology/portrait/small/111934-1413964855.jpg?lm=1,N/A,08.01.1988,Nicoya,Brisbane Strikers FC
11,Sergio van Dijk,Serginho van Dijk,35,17,3,3.120,N/A,van Dijk,9,1,0,Brisbane Roar,Attack - Centre-Forward,"1,85 m",Netherlands,nl,https://www.transfermarkt.us/sergio-van-dijk/profil/spieler/29931,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,06.08.1982,Assen,Retired
12,Dimitri Petratos,"Dimitrios Petratos, Δημήτριος Πετράτος",98,16,10,6.635,N/A,Petratos,21,5,0,Brisbane Roar,Midfield - Attacking Midfield,"1,76 m",Australia,au,https://www.transfermarkt.us/dimitri-petratos/profil/spieler/153882,https://img.a.transfermarkt.technology/portrait/small/153882-1694458460.JPG?lm=1,N/A,10.11.1992,Sydney,Mohun Bagan Super Giant
13,Dylan Wenzel-Halls,Dylan Christopher Charles Wenzel-Halls,67,15,5,4.017,N/A,Wenzel-Halls,Unknown,4,0,Brisbane Roar,Attack - Centre-Forward,"1,75 m",Australia,au,https://www.transfermarkt.us/dylan-wenzel-halls/profil/spieler/582754,https://img.a.transfermarkt.technology/portrait/small/582754-1696575205.jpg?lm=1,N/A,15.12.1997,"Ipswich, Queensland",Penang FC
14,Thomas Waddingham,Unknown,40,15,2,2.734,N/A,Waddingham,-,0,0,Brisbane Roar,Attack - Centre-Forward,"1,85 m",Australia,au,https://www.transfermarkt.us/thomas-waddingham/profil/spieler/1069559,https://img.a.transfermarkt.technology/portrait/small/1069559-1740579471.jpg?lm=1,N/A,05.04.2005,Unknown,Portsmouth FC
15,Nikola Mileusnic,Nikola Mileusnić,74,14,9,4.726,N/A,Mileusnic,Unknown,2,0,Brisbane Roar,Attack - Right Winger,"1,80 m",Australia,au,https://www.transfermarkt.us/nikola-mileusnic/profil/spieler/285775,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,17.07.1993,Adelaide,Perth Glory
