rank,name,full_name,appearances,goals,assists,minutes_played,period,jersey_name,jersey_number,yellow_cards,red_cards,club,position,height,nation,nation_code,profile_url,image_url,club_logo_url,date_of_birth,place_of_birth,status
1,Valère Germain,Valère Bruno René Germain,57,27,13,4.958,N/A,Germain,-,6,0,Macarthur FC,Attack - Centre-Forward,"1,81 m",France,fr,https://www.transfermarkt.us/valere-germain/profil/spieler/60540,https://img.a.transfermarkt.technology/portrait/small/60540-1664979202.jpg?lm=1,N/A,17.04.1990,Marseille,Sanfrecce Hiroshima
2,Ulises Dávila,Ulises Alejandro Dávila Plascencia,71,26,9,5.794,N/A,Dávila,-,7,0,Macarthur FC,Midfield - Attacking Midfield,"1,72 m",Mexico,mx,https://www.transfermarkt.us/ulises-davila/profil/spieler/108820,https://img.a.transfermarkt.technology/portrait/small/108820-1446654759.jpg?lm=1,N/A,13.04.1991,Guadalajara,Without Club
3,Lachlan Rose,Lachlan Michael William Rose,96,17,6,4.606,N/A,Rose,Unknown,5,0,Macarthur FC,Attack - Centre-Forward,"1,70 m",Australia,au,https://www.transfermarkt.us/lachlan-rose/profil/spieler/840008,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,10.05.1999,Sydney,Newcastle United Jets
4,Jake Hollman,Unknown,107,15,9,6.303,N/A,Unknown,Unknown,16,0,Macarthur FC,Unknown,Unknown,Australia,au,https://www.transfermarkt.us/jake-hollman/profil/spieler/811400,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,26.08.2001,Unknown,Macarthur FC
5,Jed Drew,Jed Francis Drew,78,15,16,4.072,N/A,Drew,21,7,0,Macarthur FC,Attack - Right Winger,"1,76 m",Australia,au,https://www.transfermarkt.us/jed-drew/profil/spieler/1000284,https://img.a.transfermarkt.technology/portrait/small/1000284-1707822625.jpg?lm=1,N/A,29.08.2003,Canberra,TSV Hartberg
6,Matt Derbyshire,Matthew Anthony Derbyshire,27,14,5,2.340,N/A,Derbyshire,-,7,0,Macarthur FC,Attack - Centre-Forward,"1,80 m",England,unknown,https://www.transfermarkt.us/matt-derbyshire/profil/spieler/15175,https://img.a.transfermarkt.technology/portrait/small/15175-1662105127.jpg?lm=1,N/A,14.04.1986,Blackburn,Matlock Town
7,Matthew Millar,Matthew George Millar,44,11,3,3.241,N/A,Millar,Unknown,7,0,Macarthur FC,Defender - Right-Back,"1,86 m",Australia,au,https://www.transfermarkt.us/matthew-millar/profil/spieler/402770,https://img.a.transfermarkt.technology/portrait/small/402770-1728100345.png?lm=1,N/A,23.08.1996,Melbourne,Havadar SC
8,Al Hassan Touré,Unknown,50,10,8,2.454,N/A,Touré,9,2,0,Macarthur FC,Attack - Centre-Forward,"1,85 m",Australia,au,https://www.transfermarkt.us/al-hassan-toure/profil/spieler/692440,https://img.a.transfermarkt.technology/portrait/small/692440-1646998902.jpg?lm=1,N/A,30.05.2000,Conakry,AC Ajaccio
9,Tomislav Uskok,Unknown,105,10,1,9.273,N/A,Uskok,Unknown,23,1,Macarthur FC,Defender - Centre-Back,"1,96 m",Australia,au,https://www.transfermarkt.us/tomislav-uskok/profil/spieler/409114,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,22.06.1991,Melbourne,Macarthur FC
10,Marin Jakolis,Marin Jakoliš,27,9,12,2.251,N/A,Jakolis,9,6,0,Macarthur FC,Attack - Left Winger,"1,82 m",Croatia,hr,https://www.transfermarkt.us/marin-jakolis/profil/spieler/261963,https://img.a.transfermarkt.technology/portrait/small/261963-1614710658.jpg?lm=1,N/A,26.12.1996,Šibenik,Macarthur FC
