rank,name,full_name,appearances,goals,assists,minutes_played,period,jersey_name,jersey_number,yellow_cards,red_cards,club,position,height,nation,nation_code,profile_url,image_url,club_logo_url,date_of_birth,place_of_birth,status
1,Andrew Nabbout,أندرو نا ب من,95,15,20,6.333,N/A,Nabbout,11,12,0,Melbourne City FC,Attack - Right Winger,"1,75 m",Australia,au,https://www.transfermarkt.us/andrew-nabbout/profil/spieler/247289,https://img.a.transfermarkt.technology/portrait/small/247289-1617123192.jpg?lm=1,N/A,17.12.1992,Melbourne,Melbourne City FC
2,Marco Tilio,Unknown,98,24,19,6.164,N/A,Tilio,10,14,0,Melbourne City FC,Attack - Right Winger,"1,70 m",Australia,au,https://www.transfermarkt.us/marco-tilio/profil/spieler/565531,https://img.a.transfermarkt.technology/portrait/small/565531-1669893669.jpg?lm=1,N/A,23.08.2001,Sydney,Melbourne City FC
3,Jamie Maclaren,Unknown,162,113,17,13.779,N/A,Maclaren,9,8,1,Melbourne City FC,Attack - Centre-Forward,"1,79 m",Australia,au,https://www.transfermarkt.us/jamie-maclaren/profil/spieler/173591,https://img.a.transfermarkt.technology/portrait/small/173591-1740048855.jpg?lm=1,N/A,29.07.1993,Melbourne,Mohun Bagan Super Giant
4,Craig Noone,Craig Stephen Noone,53,15,17,4.288,N/A,Noone,Unknown,7,1,Melbourne City FC,Attack - Right Winger,"1,73 m",England,unknown,https://www.transfermarkt.us/craig-noone/profil/spieler/81202,https://img.a.transfermarkt.technology/portrait/small/s_81202_603_2013_04_17_1.jpg?lm=1,N/A,17.11.1987,Liverpool,Warrington Town
5,Florin Bérenguer,Florin Gabin Berénguer-Bohrer,112,10,16,7.698,N/A,Bérenguer,Unknown,18,0,Melbourne City FC,Midfield - Attacking Midfield,"1,82 m",France,fr,https://www.transfermarkt.us/florin-berenguer/profil/spieler/111040,https://img.a.transfermarkt.technology/portrait/small/111040-1717110568.jpg?lm=1,N/A,01.04.1989,Montbéliard,Brisbane Roar
6,Scott Jamieson,Scott Alexander Jamieson,155,3,14,12.217,N/A,Jamieson,33,28,0,Melbourne City FC,Defender - Left-Back,"1,78 m",Australia,au,https://www.transfermarkt.us/scott-jamieson/profil/spieler/52498,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,13.10.1988,Sydney,Retired
7,Mathew Leckie,Mathew Allan Leckie,75,18,14,5.291,N/A,Leckie,-,11,0,Melbourne City FC,Attack - Left Winger,"1,81 m",Australia,au,https://www.transfermarkt.us/mathew-leckie/profil/spieler/126214,https://img.a.transfermarkt.technology/portrait/small/126214-1599990767.jpg?lm=1,N/A,04.02.1991,Melbourne,Melbourne City FC
8,Aaron Mooy,Aaron Frank Mooy,54,18,13,4.764,N/A,Mooy,13,7,0,Melbourne City FC,Midfield - Central Midfield,"1,74 m",Australia,au,https://www.transfermarkt.us/aaron-mooy/profil/spieler/123951,https://img.a.transfermarkt.technology/portrait/small/123951-1668505974.jpg?lm=1,N/A,15.09.1990,Sydney,Retired
9,Mate Dugandzic,Mate Dugandžić,75,13,13,5.573,N/A,Dugandzic,-,5,0,Melbourne City FC,Midfield - Attacking Midfield,"1,75 m",Australia,au,https://www.transfermarkt.us/mate-dugandzic/profil/spieler/48422,https://img.a.transfermarkt.technology/portrait/small/48422-1410962254.jpg?lm=1,N/A,22.10.1989,Melbourne,Retired
10,Luke Brattan,Nathan Luke Brattan,83,6,12,6.783,N/A,Brattan,-,18,0,Melbourne City FC,Midfield - Defensive Midfield,"1,75 m",Australia,au,https://www.transfermarkt.us/luke-brattan/profil/spieler/114365,https://img.a.transfermarkt.technology/portrait/small/114365-1705682673.JPG?lm=1,N/A,08.03.1990,Hull,Macarthur FC
11,Adrián Luna,Adrián Nicolás Luna Retamar,52,8,11,3.691,N/A,Luna,7,6,0,Melbourne City FC,Midfield - Attacking Midfield,"1,69 m",Uruguay,uy,https://www.transfermarkt.us/adrian-luna/profil/spieler/131113,https://img.a.transfermarkt.technology/portrait/small/131113-1701328770.jpg?lm=1,N/A,12.04.1992,Tacuarembó,Kerala Blasters FC
12,Marin Jakolis,Marin Jakoliš,34,3,11,2.714,N/A,Jakolis,9,5,0,Melbourne City FC,Attack - Left Winger,"1,82 m",Croatia,hr,https://www.transfermarkt.us/marin-jakolis/profil/spieler/261963,https://img.a.transfermarkt.technology/portrait/small/261963-1614710658.jpg?lm=1,N/A,26.12.1996,Šibenik,Macarthur FC
13,Connor Metcalfe,Connor Isaac Metcalfe,81,9,10,5.795,N/A,Metcalfe,23,11,0,Melbourne City FC,Midfield - Central Midfield,"1,83 m",Australia,au,https://www.transfermarkt.us/connor-metcalfe/profil/spieler/522223,https://img.a.transfermarkt.technology/portrait/small/522223-1723631966.jpeg?lm=1,N/A,05.11.1999,"Newcastle, NSW",FC St. Pauli
14,Aziz Behich,Aziz Eraltay Behich,127,3,10,10.961,N/A,Behich,-,22,0,Melbourne City FC,Defender - Left-Back,"1,70 m",Australia,au,https://www.transfermarkt.us/aziz-behich/profil/spieler/136834,https://img.a.transfermarkt.technology/portrait/small/136834-1669893921.jpg?lm=1,N/A,16.12.1990,Melbourne,Melbourne City FC
15,Lachlan Wales,Lachlan Andrew Wales,58,3,8,3.315,N/A,Wales,-,4,0,Melbourne City FC,Attack - Right Winger,"1,79 m",Australia,au,https://www.transfermarkt.us/lachlan-wales/profil/spieler/499735,https://img.a.transfermarkt.technology/portrait/small/499735-1625846142.jpg?lm=1,N/A,19.10.1997,Terrigal,Perth Glory
