rank,name,full_name,appearances,goals,assists,minutes_played,period,jersey_name,jersey_number,yellow_cards,red_cards,club,position,height,nation,nation_code,profile_url,image_url,club_logo_url,date_of_birth,place_of_birth,status
1,Besart Berisha,Unknown,124,75,13,10.786,N/A,Berisha,8,14,2,Melbourne Victory,Attack - Centre-Forward,,Kosovo,unknown,https://www.transfermarkt.us/besart-berisha/profil/spieler/17257,https://img.a.transfermarkt.technology/portrait/small/17257-1709132577.jpg?lm=1,N/A,29.07.1985,Prishtinë,Retired
2,Archie Thompson,Archibald Gerald Thompson,196,70,23,14.652,N/A,Thompson,7,11,0,Melbourne Victory,Attack - Centre-Forward,"1,74 m",Australia,au,https://www.transfermarkt.us/archie-thompson/profil/spieler/13148,https://img.a.transfermarkt.technology/portrait/small/13148-1617088304.jpg?lm=1,N/A,23.10.1978,Otorohanga,Retired
3,Kosta Barbarouses,"Konstantinos Barbarouses, Κωνσταντίνος Μπαρμπαρούσης",153,47,25,12.807,N/A,Barbarouses,7,23,1,Melbourne Victory,Attack - Centre-Forward,"1,71 m",New Zealand,nz,https://www.transfermarkt.us/kosta-barbarouses/profil/spieler/50200,https://img.a.transfermarkt.technology/portrait/small/50200-1497616905.jpg?lm=1,N/A,19.02.1990,Wellington,Wellington Phoenix
4,Marco Rojas,Marco Rodrigo Rojas Walen,128,41,24,9.242,N/A,Rojas,11,7,0,Melbourne Victory,Attack - Right Winger,"1,68 m",New Zealand,nz,https://www.transfermarkt.us/marco-rojas/profil/spieler/114940,https://img.a.transfermarkt.technology/portrait/small/114940-1680006990.jpg?lm=1,N/A,05.11.1991,Hamilton,Wellington Phoenix
5,Carlos Hernández,Carlos Gerardo Hernández Valverde,103,33,10,8.295,N/A,Hernández,16,7,0,Melbourne Victory,Midfield - Attacking Midfield,"1,77 m",Costa Rica,cr,https://www.transfermarkt.us/carlos-hernandez/profil/spieler/35373,https://img.a.transfermarkt.technology/portrait/small/35373-1718999655.jpg?lm=1,N/A,09.04.1982,San José,Retired
6,Bruno Fornaroli,Bruno Fornaroli Mezza,66,30,4,4.598,N/A,Fornaroli,9,11,0,Melbourne Victory,Attack - Centre-Forward,"1,74 m",Australia,au,https://www.transfermarkt.us/bruno-fornaroli/profil/spieler/72651,https://img.a.transfermarkt.technology/portrait/small/72651-1703766993.png?lm=1,N/A,07.09.1987,Salto,Melbourne Victory
7,James Troisi,Unknown,122,30,21,10.011,N/A,Troisi,14,22,0,Melbourne Victory,Midfield - Attacking Midfield,"1,76 m",Australia,au,https://www.transfermarkt.us/james-troisi/profil/spieler/52585,https://img.a.transfermarkt.technology/portrait/small/52585-1494244307.jpg?lm=1,N/A,03.07.1988,Adelaide,Without Club
8,Ola Toivonen,Nils Ola Toivonen,48,29,5,3.775,N/A,Toivonen,20,10,0,Melbourne Victory,Attack - Centre-Forward,"1,89 m",Sweden,se,https://www.transfermarkt.us/ola-toivonen/profil/spieler/36500,https://img.a.transfermarkt.technology/portrait/small/36500-1665126887.jpg?lm=1,N/A,03.07.1986,Degerfors,Retired
9,Danny Allsopp,Daniel Lee Allsopp,74,26,0,5.405,N/A,Allsopp,-,11,2,Melbourne Victory,Attack - Centre-Forward,"1,85 m",Australia,au,https://www.transfermarkt.us/danny-allsopp/profil/spieler/43131,https://img.a.transfermarkt.technology/portrait/small/s_43131_123_2013_05_03_1.jpg?lm=1,N/A,10.08.1978,Melbourne,Retired
10,Kevin Muscat,Kevin Vincent Muscat,89,23,0,7.987,N/A,Muscat,2,22,0,Melbourne Victory,Defender - Centre-Back,"1,78 m",Australia,au,https://www.transfermarkt.us/kevin-muscat/profil/spieler/9409,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,07.08.1973,Crawley,Retired
11,Gui Finkler,Unknown,94,20,20,6.944,N/A,Gui Finkler,Unknown,12,0,Melbourne Victory,Midfield - Attacking Midfield,"1,84 m",Brazil,br,https://www.transfermarkt.us/gui-finkler/profil/spieler/42764,https://img.a.transfermarkt.technology/portrait/small/s_42764_7006_2013_05_03_1.jpg?lm=1,N/A,24.09.1985,Caxias do Sul,Retired
12,Robbie Kruse,Robbie Thomas Kruse,91,20,9,6.190,N/A,Kruse,10,17,0,Melbourne Victory,Attack - Left Winger,"1,79 m",Australia,au,https://www.transfermarkt.us/robbie-kruse/profil/spieler/51972,https://img.a.transfermarkt.technology/portrait/small/51972-1473754968.JPG?lm=1,N/A,05.10.1988,Brisbane,Retired
13,Nishan Velupillay,Unknown,107,19,8,4.650,N/A,Unknown,Unknown,5,0,Melbourne Victory,Unknown,Unknown,Australia,au,https://www.transfermarkt.us/nishan-velupillay/profil/spieler/888140,https://img.a.transfermarkt.technology/portrait/small/888140-1703810289.png?lm=1,N/A,07.05.2001,Unknown,Melbourne Victory
14,Mark Milligan,Mark Daniel Milligan,92,19,2,7.952,N/A,Milligan,5,22,1,Melbourne Victory,Defender - Centre-Back,"1,78 m",Australia,au,https://www.transfermarkt.us/mark-milligan/profil/spieler/37372,https://img.a.transfermarkt.technology/portrait/small/37372-1497545165.jpg?lm=1,N/A,04.08.1985,Sydney,Retired
15,Jake Brimmer,Jake William Brimmer,106,18,19,8.172,N/A,Brimmer,-,12,0,Melbourne Victory,Midfield - Attacking Midfield,"1,69 m",Australia,au,https://www.transfermarkt.us/jake-brimmer/profil/spieler/337282,https://img.a.transfermarkt.technology/portrait/small/337282-1703768761.png?lm=1,N/A,03.04.1998,Melbourne,Auckland FC
16,Nick D'Agostino,Nicholas D'Agostino,39,15,1,2.428,N/A,D'Agostino,-,6,0,Melbourne Victory,Attack - Centre-Forward,"1,75 m",Australia,au,https://www.transfermarkt.us/nick-dagostino/profil/spieler/399165,https://img.a.transfermarkt.technology/portrait/small/399165-1646999278.jpg?lm=1,N/A,25.02.1998,Gold Coast,Viking FK
17,Andrew Nabbout,أندرو نا ب من,71,14,6,3.486,N/A,Nabbout,11,4,0,Melbourne Victory,Attack - Right Winger,"1,75 m",Australia,au,https://www.transfermarkt.us/andrew-nabbout/profil/spieler/247289,https://img.a.transfermarkt.technology/portrait/small/247289-1617123192.jpg?lm=1,N/A,17.12.1992,Melbourne,Melbourne City FC
18,Leroy George,Leroy Martin Giovanni George,34,12,14,2.745,N/A,George,18,4,0,Melbourne Victory,Attack - Left Winger,"1,75 m",Netherlands,nl,https://www.transfermarkt.us/leroy-george/profil/spieler/49591,https://img.a.transfermarkt.technology/portrait/small/49591-1520425288.jpg?lm=1,N/A,21.04.1987,Paramaribo,Real Sranang
19,Fahid Ben Khalfallah,فهيد بن خلف الله,77,12,15,5.954,N/A,Ben Khalfallah,11,17,0,Melbourne Victory,Attack - Right Winger,"1,72 m",Tunisia,tn,https://www.transfermarkt.us/fahid-ben-khalfallah/profil/spieler/57355,https://img.a.transfermarkt.technology/portrait/small/57355-1494257774.jpg?lm=1,N/A,09.10.1982,Péronne,Retired
20,Ben Folami,Gbenga Tai Folami,108,11,8,6.447,N/A,Folami,-,6,0,Melbourne Victory,Attack - Left Winger,"1,80 m",Australia,au,https://www.transfermarkt.us/ben-folami/profil/spieler/532107,https://img.a.transfermarkt.technology/portrait/small/532107-1703811535.png?lm=1,N/A,08.06.1999,Sydney,Adelaide United
21,Zinédine Machach,Unknown,54,11,10,4.116,N/A,Machach,Unknown,6,2,Melbourne Victory,Midfield - Attacking Midfield,"1,85 m",France,fr,https://www.transfermarkt.us/zinedine-machach/profil/spieler/146143,https://img.a.transfermarkt.technology/portrait/small/146143-1703768368.png?lm=1,N/A,05.01.1996,Marseille,Melbourne Victory
22,Harry Kewell,Harold Kewell,25,8,4,2.096,N/A,Kewell,10,5,0,Melbourne Victory,Attack - Left Winger,"1,80 m",Australia,au,https://www.transfermarkt.us/harry-kewell/profil/spieler/3241,https://img.a.transfermarkt.technology/portrait/small/s_3241_25580_2014_03_26_1.jpg?lm=1,N/A,22.09.1978,"Smithfield, Sydney",Retired
23,Tom Pondeljak,Tomislav Pondeljak,71,8,0,4.935,N/A,Pondeljak,-,6,0,Melbourne Victory,Midfield - Attacking Midfield,"1,77 m",Australia,au,https://www.transfermarkt.us/tom-pondeljak/profil/spieler/43124,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,08.01.1976,Melbourne,Retired
24,Keisuke Honda,本田 圭佑,24,8,7,2.016,N/A,Honda,4,4,0,Melbourne Victory,Midfield - Attacking Midfield,"1,82 m",Japan,jp,https://www.transfermarkt.us/keisuke-honda/profil/spieler/66521,https://img.a.transfermarkt.technology/portrait/small/66521-1455538386.jpg?lm=1,N/A,13.06.1986,"Settsu, Osaka",Retired
25,Elvis Kamsoba,Unknown,71,7,2,4.111,N/A,Unknown,Unknown,1,0,Melbourne Victory,Unknown,Unknown,Burundi,bi,https://www.transfermarkt.us/elvis-kamsoba/profil/spieler/607269,https://img.a.transfermarkt.technology/portrait/small/607269-1663310572.png?lm=1,N/A,21.07.1996,Unknown,Balzan FC
26,Nikolaos Vergos,Νικόλαος Βέργος,25,7,5,1.425,N/A,Vergos,9,2,0,Melbourne Victory,Attack - Centre-Forward,"1,84 m",Greece,gr,https://www.transfermarkt.us/nikolaos-vergos/profil/spieler/118302,https://img.a.transfermarkt.technology/portrait/small/118302-1661534171.png?lm=1,N/A,13.01.1996,Kilkis,Melbourne Victory
27,Leigh Broxham,Leigh Michael Broxham,410,7,9,31.262,N/A,Broxham,16,76,0,Melbourne Victory,Midfield - Defensive Midfield,"1,70 m",Australia,au,https://www.transfermarkt.us/leigh-broxham/profil/spieler/30788,https://img.a.transfermarkt.technology/portrait/small/30788-1703767903.png?lm=1,N/A,13.01.1988,Melbourne,Bentleigh Greens SC
28,Adrian Leijer,Unknown,170,7,1,14.855,N/A,Leijer,-,45,0,Melbourne Victory,Defender - Centre-Back,"1,90 m",Australia,au,https://www.transfermarkt.us/adrian-leijer/profil/spieler/43163,https://img.a.transfermarkt.technology/portrait/small/s_43163_7006_2013_05_03_1.jpg?lm=1,N/A,25.03.1986,Dubbo,Retired
29,Mate Dugandzic,Mate Dugandžić,40,7,0,1.763,N/A,Dugandzic,-,4,0,Melbourne Victory,Midfield - Attacking Midfield,"1,75 m",Australia,au,https://www.transfermarkt.us/mate-dugandzic/profil/spieler/48422,https://img.a.transfermarkt.technology/portrait/small/48422-1410962254.jpg?lm=1,N/A,22.10.1989,Melbourne,Retired
30,Rodrigo Vargas,Unknown,102,7,1,9.150,N/A,Vargas,-,11,1,Melbourne Victory,Defender - Centre-Back,"1,81 m",Australia,au,https://www.transfermarkt.us/rodrigo-vargas/profil/spieler/43203,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,20.10.1978,Melbourne,Retired
31,Oliver Bozanic,Oliver John Bozanic,57,6,1,4.298,N/A,Bozanic,13,3,0,Melbourne Victory,Midfield - Central Midfield,"1,79 m",Australia,au,https://www.transfermarkt.us/oliver-bozanic/profil/spieler/43117,https://img.a.transfermarkt.technology/portrait/small/43117-1685083880.jpg?lm=1,N/A,08.01.1989,"Sydney, New South Wales",Retired
32,Damien Da Silva,Unknown,42,5,2,3.870,N/A,Da Silva,Unknown,7,0,Melbourne Victory,Defender - Centre-Back,"1,84 m",France,fr,https://www.transfermarkt.us/damien-da-silva/profil/spieler/57370,https://img.a.transfermarkt.technology/portrait/small/57370-1741190359.jpg?lm=1,N/A,17.05.1988,Talence,Clermont Foot 63
33,Terry Antonis,"Eleftherios Antonis, Eλευθέριος Αντώνης",53,5,9,4.392,N/A,Antonis,19,8,0,Melbourne Victory,Midfield - Defensive Midfield,"1,80 m",Australia,au,https://www.transfermarkt.us/terry-antonis/profil/spieler/153880,https://img.a.transfermarkt.technology/portrait/small/153880-1685084014.jpg?lm=1,N/A,26.11.1993,Sydney,Uthai Thani FC
34,Daniel Arzani,دنیل ارزانی‎,55,5,12,3.303,N/A,Arzani,-,9,0,Melbourne Victory,Attack - Right Winger,"1,75 m",Australia,au,https://www.transfermarkt.us/daniel-arzani/profil/spieler/399997,https://img.a.transfermarkt.technology/portrait/small/399997-1703769642.png?lm=1,N/A,04.01.1999,"Khorramabad, Lorestan",Melbourne Victory
35,Joshua Brillante,Unknown,53,5,3,4.285,N/A,Brillante,8,2,0,Melbourne Victory,Midfield - Defensive Midfield,"1,77 m",Australia,au,https://www.transfermarkt.us/joshua-brillante/profil/spieler/171307,https://img.a.transfermarkt.technology/portrait/small/171307-1457606412.jpg?lm=1,N/A,25.03.1993,"Bundaberg, Queensland",Western Sydney Wanderers
36,Chris Ikonomidis,"Christopher James Ikonomidis, Κρίστοφερ Τζέιμς Οικονομίδης",78,5,5,3.469,N/A,Ikonomidis,17,8,1,Melbourne Victory,Attack - Right Winger,"1,80 m",Australia,au,https://www.transfermarkt.us/chris-ikonomidis/profil/spieler/248483,https://img.a.transfermarkt.technology/portrait/small/248483-1703811325.png?lm=1,N/A,04.05.1995,Sydney,Macarthur FC
