rank,name,full_name,appearances,goals,assists,minutes_played,period,jersey_name,jersey_number,yellow_cards,red_cards,club,position,height,nation,nation_code,profile_url,image_url,club_logo_url,date_of_birth,place_of_birth,status
1,Roy O'Donovan,Roy Simon O'Donovan,73,31,7,6.003,N/A,O'Donovan,-,12,2,Newcastle United Jets,Attack - Centre-Forward,"1,79 m",Ireland,ie,https://www.transfermarkt.us/roy-odonovan/profil/spieler/34629,https://img.a.transfermarkt.technology/portrait/small/s_34629_1302_2013_08_02_1.jpg?lm=1,N/A,10.08.1985,Cork,Newcastle Olympic FC
2,Dimitri Petratos,"Dimitrios Petratos, Δημήτριος Πετράτος",84,21,21,7.318,N/A,Petratos,21,7,0,Newcastle United Jets,Midfield - Attacking Midfield,"1,76 m",Australia,au,https://www.transfermarkt.us/dimitri-petratos/profil/spieler/153882,https://img.a.transfermarkt.technology/portrait/small/153882-1694458460.JPG?lm=1,N/A,10.11.1992,Sydney,Mohun Bagan Super Giant
3,Apostolos Stamatelopoulos,"Apostolos Vasilios Stamatelopoulos, Απόστολος Βασίλειος Σταματελόπουλος",38,20,2,3.007,N/A,Stamatelopoulos,22,6,0,Newcastle United Jets,Attack - Centre-Forward,"1,84 m",Australia,au,https://www.transfermarkt.us/apostolos-stamatelopoulos/profil/spieler/547924,https://img.a.transfermarkt.technology/portrait/small/547924-1707859875.jpg?lm=1,N/A,09.04.1999,Adelaide,Motherwell FC
4,Ryan Griffiths,Ryan Alan Griffiths,57,19,8,4.944,N/A,Griffiths,-,10,1,Newcastle United Jets,Attack - Centre-Forward,"1,77 m",Australia,au,https://www.transfermarkt.us/ryan-griffiths/profil/spieler/42766,https://img.a.transfermarkt.technology/portrait/small/42766-1639748100.jpg?lm=1,N/A,21.08.1981,Sydney,Retired
5,Beka Mikeltadze,ბექა მიქელთაძე,48,19,6,4.165,N/A,Mikeltadze,15,8,0,Newcastle United Jets,Attack - Centre-Forward,"1,85 m",Georgia,ge,https://www.transfermarkt.us/beka-mikeltadze/profil/spieler/319452,https://img.a.transfermarkt.technology/portrait/small/319452-1606590575.png?lm=1,N/A,26.11.1997,Kutaisi,Montedio Yamagata
6,Andrew Nabbout,أندرو نا ب من,46,18,7,3.890,N/A,Nabbout,11,7,0,Newcastle United Jets,Attack - Right Winger,"1,75 m",Australia,au,https://www.transfermarkt.us/andrew-nabbout/profil/spieler/247289,https://img.a.transfermarkt.technology/portrait/small/247289-1617123192.jpg?lm=1,N/A,17.12.1992,Melbourne,Melbourne City FC
7,Adam Taggart,Adam Jake Taggart,44,18,1,3.053,N/A,Taggart,10,3,0,Newcastle United Jets,Attack - Centre-Forward,"1,77 m",Australia,au,https://www.transfermarkt.us/adam-taggart/profil/spieler/171721,https://img.a.transfermarkt.technology/portrait/small/171721-1722512977.png?lm=1,N/A,02.06.1993,Joondalup,Perth Glory
8,Jason Hoffman,Jason Michael Hoffman,215,17,8,14.582,N/A,Hoffman,-,37,1,Newcastle United Jets,Defender - Right-Back,"1,89 m",Australia,au,https://www.transfermarkt.us/jason-hoffman/profil/spieler/62839,https://img.a.transfermarkt.technology/portrait/small/62839-1410963421.jpg?lm=1,N/A,28.01.1989,Newcastle,Newcastle Olympic FC
9,Labinot Haliti,Unknown,88,15,4,4.545,N/A,Haliti,-,8,0,Newcastle United Jets,Attack - Centre-Forward,"1,84 m",Australia,au,https://www.transfermarkt.us/labinot-haliti/profil/spieler/39368,https://img.a.transfermarkt.technology/portrait/small/39368-1413373947.jpg?lm=1,N/A,26.10.1985,Pristina,Retired
10,Clayton Taylor,Unknown,51,13,7,3.636,N/A,Unknown,Unknown,0,0,Newcastle United Jets,Unknown,Unknown,Australia,au,https://www.transfermarkt.us/clayton-taylor/profil/spieler/1109827,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,01.03.2004,Unknown,Newcastle United Jets
