rank,name,full_name,appearances,goals,assists,minutes_played,period,jersey_name,jersey_number,yellow_cards,red_cards,club,position,height,nation,nation_code,profile_url,image_url,club_logo_url,date_of_birth,place_of_birth,status
1,Diego Castro,Diego Castro Jiménez,146,49,31,11.684,N/A,Castro,Unknown,22,0,Perth Glory,Attack - Left Winger,"1,74 m",Spain,es,https://www.transfermarkt.us/diego-castro/profil/spieler/57791,https://img.a.transfermarkt.technology/portrait/small/57791-1530299441.jpg?lm=1,N/A,02.07.1982,Pontevedra,Retired
2,Andy Keogh,Andrew Declan Keogh,156,58,21,12.214,N/A,Keogh,22,23,0,Perth Glory,Attack - Centre-Forward,"1,83 m",Ireland,ie,https://www.transfermarkt.us/andy-keogh/profil/spieler/29419,https://img.a.transfermarkt.technology/portrait/small/s_29419_1028_2012_1.jpg?lm=1,N/A,16.05.1986,Dublin,Dianella White Eagles SC
3,Neil Kilkenny,Neil Martin Kilkenny,91,12,19,7.858,N/A,Kilkenny,19,16,0,Perth Glory,Midfield - Defensive Midfield,"1,73 m",Australia,au,https://www.transfermarkt.us/neil-kilkenny/profil/spieler/2997,https://img.a.transfermarkt.technology/portrait/small/s_2997_698_2013_09_23_1.jpg?lm=1,N/A,19.12.1985,London,Sorrento FC
4,Josh Risdon,Joshua Robert Risdon,162,2,14,14.153,N/A,Risdon,19,28,0,Perth Glory,Defender - Right-Back,"1,76 m",Australia,au,https://www.transfermarkt.us/josh-risdon/profil/spieler/160614,https://img.a.transfermarkt.technology/portrait/small/160614-1722513881.jpg?lm=1,N/A,27.07.1992,Bunbury,Perth Glory
5,Chris Harold,Christopher Daniel Harold,145,22,14,8.869,N/A,Harold,Unknown,13,0,Perth Glory,Attack - Right Winger,"1,75 m",Australia,au,https://www.transfermarkt.us/chris-harold/profil/spieler/156419,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,14.07.1992,Perth,Balcatta FC
6,Nebojsa Marinkovic,Небојша Маринковић,83,16,10,5.826,N/A,Marinkovic,10,10,0,Perth Glory,Midfield - Attacking Midfield,"1,77 m",Serbia,rs,https://www.transfermarkt.us/nebojsa-marinkovic/profil/spieler/27232,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,19.06.1986,Knjaževac,Retired
7,Mile Sterjovski,Миле Стерјовски,63,15,10,4.951,N/A,Sterjovski,23,10,0,Perth Glory,Midfield - Left Midfield,"1,81 m",Australia,au,https://www.transfermarkt.us/mile-sterjovski/profil/spieler/5656,https://img.a.transfermarkt.technology/portrait/small/5656-1737469841.jpg?lm=1,N/A,27.05.1979,Wollongong,Retired
8,Joel Chianese,Joel Joseph Chianese,100,18,9,5.512,N/A,Chianese,Unknown,8,0,Perth Glory,Attack - Centre-Forward,"1,80 m",Australia,au,https://www.transfermarkt.us/joel-chianese/profil/spieler/177832,https://img.a.transfermarkt.technology/portrait/small/177832-1671000923.jpg?lm=1,N/A,15.02.1990,Sydney,Perth RedStar FC
9,Adam Taggart,Adam Jake Taggart,109,54,8,7.923,N/A,Taggart,10,8,0,Perth Glory,Attack - Centre-Forward,"1,77 m",Australia,au,https://www.transfermarkt.us/adam-taggart/profil/spieler/171721,https://img.a.transfermarkt.technology/portrait/small/171721-1722512977.png?lm=1,N/A,02.06.1993,Joondalup,Perth Glory
10,Bruno Fornaroli,Bruno Fornaroli Mezza,79,35,8,6.720,N/A,Fornaroli,9,14,0,Perth Glory,Attack - Centre-Forward,"1,74 m",Australia,au,https://www.transfermarkt.us/bruno-fornaroli/profil/spieler/72651,https://img.a.transfermarkt.technology/portrait/small/72651-1703766993.png?lm=1,N/A,07.09.1987,Salto,Melbourne Victory
11,David Williams,David Joel Williams,53,12,7,2.243,N/A,Williams,13,5,0,Perth Glory,Attack - Centre-Forward,"1,77 m",Australia,au,https://www.transfermarkt.us/david-williams/profil/spieler/43011,https://img.a.transfermarkt.technology/portrait/small/43011-1722513186.png?lm=1,N/A,26.02.1988,Brisbane,Perth Glory
12,Ivan Franjic,Ivan Frankie Franjić,56,4,7,4.351,N/A,Franjic,2,5,0,Perth Glory,Defender - Right-Back,"1,80 m",Australia,au,https://www.transfermarkt.us/ivan-franjic/profil/spieler/48424,https://img.a.transfermarkt.technology/portrait/small/48424-1523967801.jpg?lm=1,N/A,10.09.1987,Melbourne,Retired
13,Chris Ikonomidis,"Christopher James Ikonomidis, Κρίστοφερ Τζέιμς Οικονομίδης",41,16,6,3.088,N/A,Ikonomidis,17,4,0,Perth Glory,Attack - Right Winger,"1,80 m",Australia,au,https://www.transfermarkt.us/chris-ikonomidis/profil/spieler/248483,https://img.a.transfermarkt.technology/portrait/small/248483-1703811325.png?lm=1,N/A,04.05.1995,Sydney,Macarthur FC
14,Scott Jamieson,Scott Alexander Jamieson,56,1,6,4.839,N/A,Jamieson,33,14,0,Perth Glory,Defender - Left-Back,"1,78 m",Australia,au,https://www.transfermarkt.us/scott-jamieson/profil/spieler/52498,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,13.10.1988,Sydney,Retired
15,Jack Clisby,Unknown,70,3,6,5.253,N/A,Clisby,Unknown,9,1,Perth Glory,Defender - Left-Back,"1,80 m",Australia,au,https://www.transfermarkt.us/jack-clisby/profil/spieler/256915,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,16.02.1992,Perth,Western Sydney Wanderers
16,Liam Miller,Liam William Peter Miller,49,2,5,4.293,N/A,Miller,-,12,1,Perth Glory,Midfield - Central Midfield,"1,73 m",Ireland,ie,https://www.transfermarkt.us/liam-miller/profil/spieler/9505,https://img.a.transfermarkt.technology/portrait/small/9505-1518254486.jpg?lm=1,N/A,13.02.1981,Cork,---
17,Jason Davidson,Jason Alan Davidson,28,2,5,2.489,N/A,Davidson,5,4,0,Perth Glory,Defender - Centre-Back,"1,82 m",Australia,au,https://www.transfermarkt.us/jason-davidson/profil/spieler/137669,https://img.a.transfermarkt.technology/portrait/small/137669-1730217415.jpg?lm=1,N/A,29.06.1991,Melbourne,Panserraikos
18,Jacob Dowse,Unknown,17,0,5,390.000,N/A,Dowse,Unknown,1,0,Perth Glory,Attack - Left Winger,"1,74 m",Australia,au,https://www.transfermarkt.us/jacob-dowse/profil/spieler/1075721,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,13.06.2000,-,Retired
19,Giordano Colli,Giordano Firenze Colli,62,3,5,4.094,N/A,Colli,Unknown,10,0,Perth Glory,Midfield - Central Midfield,"1,82 m",Australia,au,https://www.transfermarkt.us/giordano-colli/profil/spieler/834702,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,12.03.2000,Unknown,FC Tulsa
20,Taras Gomulka,Taras Jan Gomulka,23,0,5,1.877,N/A,Gomulka,-,2,0,Perth Glory,Midfield - Defensive Midfield,"1,83 m",Australia,au,https://www.transfermarkt.us/taras-gomulka/profil/spieler/794888,https://img.a.transfermarkt.technology/portrait/small/794888-1722515421.jpg?lm=1,N/A,16.09.2001,Adelaide,Perth Glory
21,Scott Neville,Unknown,101,6,5,7.064,N/A,Neville,-,16,0,Perth Glory,Defender - Centre-Back,"1,87 m",Australia,au,https://www.transfermarkt.us/scott-neville/profil/spieler/110023,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,11.01.1989,Devan,Retired
22,John Koutroumbis,Τζον Κουτρουμπής,41,0,4,2.802,N/A,Koutroumbis,-,6,0,Perth Glory,Defender - Right-Back,"1,83 m",Australia,au,https://www.transfermarkt.us/john-koutroumbis/profil/spieler/456583,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,06.03.1998,Adelaide,Motherwell FC
23,Dino Djulbic,Edin Djulbic,99,4,4,8.015,N/A,Djulbic,6,19,2,Perth Glory,Defender - Centre-Back,,Australia,au,https://www.transfermarkt.us/dino-djulbic/profil/spieler/48295,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,16.02.1983,Doboj,Retired
24,Sidnei,Unknown,45,6,4,2.988,N/A,Sidnei,Unknown,9,0,Perth Glory,Attack - Left Winger,"1,76 m",Brazil,br,https://www.transfermarkt.us/sidnei/profil/spieler/85599,https://img.a.transfermarkt.technology/portrait/small/s_85599_2425_2010_1.jpg?lm=1,N/A,02.11.1986,Santana de Parnaiba,Retired
25,Keegan Jelacic,Keegan Daniel Jelacic,22,2,4,1.762,N/A,Jelacic,7,4,0,Perth Glory,Midfield - Attacking Midfield,"1,80 m",Australia,au,https://www.transfermarkt.us/keegan-jelacic/profil/spieler/677510,https://img.a.transfermarkt.technology/portrait/small/677510-1684168910.jpg?lm=1,N/A,31.07.2002,Unknown,Brisbane Roar
26,Carlo Armiento,Unknown,31,4,4,1.312,N/A,Armiento,Unknown,4,0,Perth Glory,Attack - Left Winger,"1,79 m",Australia,au,https://www.transfermarkt.us/carlo-armiento/profil/spieler/623962,https://img.a.transfermarkt.technology/portrait/small/623962-1739174073.jpg?lm=1,N/A,04.06.1999,Unknown,SS Turris Calcio
27,Shane Smeltz,Shane Edward Smeltz,58,28,3,4.624,N/A,Smeltz,9,8,0,Perth Glory,Attack - Centre-Forward,"1,85 m",New Zealand,nz,https://www.transfermarkt.us/shane-smeltz/profil/spieler/51038,https://img.a.transfermarkt.technology/portrait/small/51038-1410946404.jpg?lm=1,N/A,29.09.1981,Göppingen,Retired
28,Mustafa Amini,Mohammad Mustafa Amini Castillo,36,2,3,2.535,N/A,Amini,17,12,0,Perth Glory,Midfield - Central Midfield,"1,75 m",Australia,au,https://www.transfermarkt.us/mustafa-amini/profil/spieler/138091,https://img.a.transfermarkt.technology/portrait/small/138091-1722514298.png?lm=1,N/A,20.04.1993,Sydney,Without Club
29,Jacob Muir,Unknown,36,1,3,2.211,N/A,Muir,Unknown,4,0,Perth Glory,Defender - Centre-Back,"1,84 m",Australia,au,https://www.transfermarkt.us/jacob-muir/profil/spieler/1005160,https://img.a.transfermarkt.technology/portrait/small/1005160-1722513481.png?lm=1,N/A,03.05.2002,Unknown,Monterey Bay FC
30,Antonee Burke-Gilroy,Antonee Alan Burke-Gilroy,34,1,3,2.357,N/A,Burke-Gilroy,Unknown,7,0,Perth Glory,Defender - Right-Back,"1,78 m",Australia,au,https://www.transfermarkt.us/antonee-burke-gilroy/profil/spieler/583641,https://img.a.transfermarkt.technology/portrait/small/583641-1582664052.jpg?lm=1,N/A,03.10.1997,"Camberwell, London",Brisbane Roar
31,Trent Ostler,Trent Jordan Ostler,54,3,3,2.515,N/A,Ostler,14,1,0,Perth Glory,Attack - Right Winger,"1,84 m",Australia,au,https://www.transfermarkt.us/trent-ostler/profil/spieler/692320,https://img.a.transfermarkt.technology/portrait/small/692320-1722515438.png?lm=1,N/A,03.04.2002,"Subiaco, Western Australia",Perth Glory
32,Nick D'Agostino,Nicholas D'Agostino,31,8,3,1.372,N/A,D'Agostino,-,2,0,Perth Glory,Attack - Centre-Forward,"1,75 m",Australia,au,https://www.transfermarkt.us/nick-dagostino/profil/spieler/399165,https://img.a.transfermarkt.technology/portrait/small/399165-1646999278.jpg?lm=1,N/A,25.02.1998,Gold Coast,Viking FK
33,Travis Dodd,Travis Garth Dodd,48,9,3,3.837,N/A,Dodd,25,2,0,Perth Glory,Attack - Right Winger,"1,77 m",Australia,au,https://www.transfermarkt.us/travis-dodd/profil/spieler/25717,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,06.01.1980,Adelaide,Retired
34,Pacifique Niyongabire,Unknown,17,0,3,803.000,N/A,Unknown,Unknown,2,0,Perth Glory,Unknown,Unknown,Burundi,bi,https://www.transfermarkt.us/pacifique-niyongabire/profil/spieler/561646,https://img.a.transfermarkt.technology/portrait/small/561646-1712906427.jpg?lm=1,N/A,15.03.2000,Unknown,Tampa Bay Rowdies
35,Jarrod Carluccio,Unknown,38,2,3,1.919,N/A,Carluccio,Unknown,10,0,Perth Glory,Attack - Right Winger,"1,78 m",Australia,au,https://www.transfermarkt.us/jarrod-carluccio/profil/spieler/749273,https://img.a.transfermarkt.technology/portrait/small/749273-1722513511.png?lm=1,N/A,08.02.2001,Unknown,Western Sydney Wanderers
36,Kosuke Ota,太田 宏介,30,0,3,2.442,N/A,Ota,3,5,0,Perth Glory,Defender - Left-Back,"1,79 m",Japan,jp,https://www.transfermarkt.us/kosuke-ota/profil/spieler/110911,https://img.a.transfermarkt.technology/portrait/small/110911-1523615801.jpg?lm=1,N/A,23.07.1987,"Machida, Tokyo",Retired
37,Jake Brimmer,Jake William Brimmer,63,0,3,2.533,N/A,Brimmer,-,4,0,Perth Glory,Midfield - Attacking Midfield,"1,69 m",Australia,au,https://www.transfermarkt.us/jake-brimmer/profil/spieler/337282,https://img.a.transfermarkt.technology/portrait/small/337282-1703768761.png?lm=1,N/A,03.04.1998,Melbourne,Auckland FC
38,Mitch Nichols,Mitchell Ian Nichols,27,1,3,1.953,N/A,Nichols,21,5,0,Perth Glory,Midfield - Attacking Midfield,"1,81 m",Australia,au,https://www.transfermarkt.us/mitch-nichols/profil/spieler/50471,https://img.a.transfermarkt.technology/portrait/small/s_50471_1022_2012_1.jpg?lm=1,N/A,01.05.1989,Gold Coast,Retired
39,Daniel Bennie,Daniel Ian Bennie,26,1,3,1.966,N/A,Bennie,7,0,0,Perth Glory,Attack - Left Winger,"1,81 m",Australia,au,https://www.transfermarkt.us/daniel-bennie/profil/spieler/1104713,https://img.a.transfermarkt.technology/portrait/small/1104713-1737714068.jpg?lm=1,N/A,13.04.2006,-,Queens Park Rangers
40,Andrezinho,Unknown,25,2,3,1.221,N/A,Andrezinho,Unknown,1,0,Perth Glory,Midfield - Attacking Midfield,"1,71 m",Brazil,br,https://www.transfermarkt.us/andrezinho/profil/spieler/127425,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,15.02.1985,Campo Grande,Veranópolis EC
41,Khoa Ngo,Khoa Ngô,17,0,2,589.000,N/A,Ngo,Unknown,2,0,Perth Glory,Attack - Left Winger,"1,65 m",Australia,au,https://www.transfermarkt.us/khoa-ngo/profil/spieler/1255623,https://img.a.transfermarkt.technology/portrait/small/1255623-1722514127.jpg?lm=1,N/A,30.06.2006,Unknown,Perth Glory
42,Ryan Williams,Ryan Dale Williams,24,4,2,2.128,N/A,Williams,-,6,0,Perth Glory,Midfield - Right Midfield,"1,75 m",Australia,au,https://www.transfermarkt.us/ryan-williams/profil/spieler/192239,https://img.a.transfermarkt.technology/portrait/small/192239-1723043328.jpg?lm=1,N/A,28.10.1993,Subiaco,Bengaluru FC
43,Dragan Paljic,Dragan Paljić,12,0,2,582.000,N/A,Paljic,Unknown,1,0,Perth Glory,Midfield - Left Midfield,"1,74 m",Germany,de,https://www.transfermarkt.us/dragan-paljic/profil/spieler/8387,https://img.a.transfermarkt.technology/portrait/small/8387-1418933874.jpg?lm=1,N/A,08.04.1983,Starnberg,Retired
44,Osama Malik,Unknown,37,0,2,2.101,N/A,Malik,Unknown,3,1,Perth Glory,Midfield - Defensive Midfield,"1,85 m",Australia,au,https://www.transfermarkt.us/osama-malik/profil/spieler/114975,https://img.a.transfermarkt.technology/portrait/small/114975-1413466310.jpg?lm=1,N/A,30.09.1990,Adelaide,Without Club
45,Lachlan Wales,Lachlan Andrew Wales,7,1,2,468.000,N/A,Wales,-,0,0,Perth Glory,Attack - Right Winger,"1,79 m",Australia,au,https://www.transfermarkt.us/lachlan-wales/profil/spieler/499735,https://img.a.transfermarkt.technology/portrait/small/499735-1625846142.jpg?lm=1,N/A,19.10.1997,Terrigal,Perth Glory
46,Juande Prados,Juan de Dios Prados López,43,2,2,3.650,N/A,Prados,-,13,0,Perth Glory,Midfield - Defensive Midfield,"1,83 m",Spain,es,https://www.transfermarkt.us/juande-prados/profil/spieler/36355,https://img.a.transfermarkt.technology/portrait/small/36355-1506496991.png?lm=1,N/A,12.08.1986,Alicante,Without Club
47,Riley Warland,Riley Charles Warland,26,0,2,1.722,N/A,Warland,4,4,0,Perth Glory,Defender - Left-Back,"1,84 m",Australia,au,https://www.transfermarkt.us/riley-warland/profil/spieler/552746,https://img.a.transfermarkt.technology/portrait/small/552746-1722515377.png?lm=1,N/A,04.07.2002,Perth,Perth Glory
48,Billy Mehmet,Billy Osman Beyza,42,10,2,2.835,N/A,Mehmet,-,7,1,Perth Glory,Attack - Centre-Forward,"1,89 m",Ireland,ie,https://www.transfermarkt.us/billy-mehmet/profil/spieler/12637,https://img.a.transfermarkt.technology/portrait/small/12637-1696252652.jpg?lm=1,N/A,03.01.1984,London,Alsancak Yesilova SK
49,Salim Khelifi,Unknown,25,3,2,1.639,N/A,Khelifi,2,2,0,Perth Glory,Midfield - Right Midfield,"1,72 m",Tunisia,tn,https://www.transfermarkt.us/salim-khelifi/profil/spieler/147049,https://img.a.transfermarkt.technology/portrait/small/147049-1742489299.jpeg?lm=1,N/A,26.01.1994,Lausanne,Academia Puerto Cabello
50,Jamie Coyne,Unknown,66,2,2,5.840,N/A,Coyne,Unknown,6,0,Perth Glory,Defender - Right-Back,"1,87 m",Australia,au,https://www.transfermarkt.us/jamie-coyne/profil/spieler/22548,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,02.01.1981,Sydney,Retired
51,Todd Howarth,Unknown,82,5,2,5.493,N/A,Howarth,Unknown,3,0,Perth Glory,Attack - Left Winger,"1,85 m",Australia,au,https://www.transfermarkt.us/todd-howarth/profil/spieler/123001,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,25.01.1982,Perth,Fremantle City Perth
52,Luke Bodnar,Luke Joshua Bodnar,53,1,2,2.920,N/A,Bodnar,Unknown,4,0,Perth Glory,Midfield - Defensive Midfield,"1,82 m",Australia,au,https://www.transfermarkt.us/luke-bodnar/profil/spieler/530441,https://img.a.transfermarkt.technology/portrait/small/530441-1722514291.png?lm=1,N/A,19.05.2000,Unknown,Al-Ittifaq FC
53,Naum Sekulovski,Наум Секуловски,63,6,2,4.911,N/A,Sekulovski,Unknown,7,0,Perth Glory,Defender - Left-Back,"1,80 m",Australia,au,https://www.transfermarkt.us/naum-sekulovski/profil/spieler/43187,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,14.05.1982,Melbourne,Retired
54,Joseph Mills,Joseph Nathan Mills,44,1,2,3.533,N/A,Mills,-,9,0,Perth Glory,Defender - Left-Back,"1,75 m",England,unknown,https://www.transfermarkt.us/joseph-mills/profil/spieler/81876,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,30.10.1989,Swindon,Retired
55,Jacob Italiano,Unknown,19,0,1,1.177,N/A,Unknown,Unknown,1,0,Perth Glory,Unknown,Unknown,Australia,au,https://www.transfermarkt.us/jacob-italiano/profil/spieler/545810,https://img.a.transfermarkt.technology/portrait/small/545810-1727527063.jpg?lm=1,N/A,30.07.2001,Unknown,Grazer AK 1902
56,Aleksandar Susnjar,Александар Шушњар,21,2,1,1.764,N/A,Susnjar,-,6,0,Perth Glory,Defender - Centre-Back,"1,92 m",Australia,au,https://www.transfermarkt.us/aleksandar-susnjar/profil/spieler/206836,https://img.a.transfermarkt.technology/portrait/small/206836-1520331687.jpg?lm=1,N/A,19.08.1995,Perth,Newcastle United Jets
57,Aryn Williams,Unknown,22,0,1,1.451,N/A,Williams,Unknown,2,0,Perth Glory,Midfield - Defensive Midfield,"1,76 m",Australia,au,https://www.transfermarkt.us/aryn-williams/profil/spieler/405654,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,28.10.1993,Perth,Kingsway Olympic
58,Michael Thwaite,Michael Errol Thwaite,88,3,1,7.849,N/A,Thwaite,3,15,0,Perth Glory,Defender - Centre-Back,"1,90 m",Australia,au,https://www.transfermarkt.us/michael-thwaite/profil/spieler/25944,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,02.05.1983,"Brisbane, Australia",Retired
59,James Meredith,James Gregory Meredith,23,1,1,1.493,N/A,Meredith,-,1,0,Perth Glory,Defender - Left-Back,"1,85 m",Australia,au,https://www.transfermarkt.us/james-meredith/profil/spieler/48111,https://img.a.transfermarkt.technology/portrait/small/s_48111_1027_2013_09_23_1.jpg?lm=1,N/A,05.04.1988,Albury,Brisbane City FC
60,Bas van den Brink,Sebastiaan van den Brink,42,1,1,3.649,N/A,van den Brink,Unknown,7,0,Perth Glory,Defender - Centre-Back,"1,89 m",Netherlands,nl,https://www.transfermarkt.us/bas-van-den-brink/profil/spieler/13394,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,11.09.1982,Amsterdam,Retired
61,Nicholas Pennington,Unknown,18,0,1,1.396,N/A,Pennington,-,4,0,Perth Glory,Midfield - Central Midfield,"1,82 m",Australia,au,https://www.transfermarkt.us/nicholas-pennington/profil/spieler/373898,https://img.a.transfermarkt.technology/portrait/small/373898-1722515354.jpg?lm=1,N/A,18.12.1998,Roma,Perth Glory
62,Shane Lowry,Shane Thomas Lowry,71,4,1,5.993,N/A,Lowry,-,25,0,Perth Glory,Defender - Centre-Back,"1,90 m",Australia,au,https://www.transfermarkt.us/shane-lowry/profil/spieler/61576,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,12.06.1989,Perth,Johor Darul Ta'zim
63,Adam Zimarino,Unknown,25,2,1,667.000,N/A,Zimarino,Unknown,1,0,Perth Glory,Attack - Right Winger,"1,82 m",Australia,au,https://www.transfermarkt.us/adam-zimarino/profil/spieler/984542,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,28.08.2001,Unknown,Brisbane Roar
64,Luke Ivanovic,Unknown,25,1,1,1.067,N/A,Ivanovic,Unknown,1,0,Perth Glory,Attack - Centre-Forward,"1,89 m",Australia,au,https://www.transfermarkt.us/luke-ivanovic/profil/spieler/637747,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,06.06.2000,Picton,Monterey Bay FC
