rank,name,full_name,appearances,goals,assists,minutes_played,period,jersey_name,jersey_number,yellow_cards,red_cards,club,position,height,nation,nation_code,profile_url,image_url,club_logo_url,date_of_birth,place_of_birth,status
1,Mark Bridge,Mark Robert Bridge,135,38,15,10.729,N/A,Bridge,9,16,0,Western Sydney Wanderers,Attack - Centre-Forward,"1,83 m",Australia,au,https://www.transfermarkt.us/mark-bridge/profil/spieler/43202,https://img.a.transfermarkt.technology/portrait/small/43202-1413374763.jpg?lm=1,N/A,07.11.1985,Sydney,Retired
2,Brendon Santalab,Brendon James Santalab,109,38,4,4.669,N/A,Santalab,-,29,1,Western Sydney Wanderers,Attack - Centre-Forward,"1,73 m",Australia,au,https://www.transfermarkt.us/brendon-santalab/profil/spieler/21202,https://img.a.transfermarkt.technology/portrait/small/21202-1413373646.jpg?lm=1,N/A,09.09.1982,Wollongong,FC Strathmore Split
3,Oriol Riera,Oriol Riera Magem,53,27,3,4.312,N/A,Riera,Unknown,8,0,Western Sydney Wanderers,Attack - Centre-Forward,"1,86 m",Spain,es,https://www.transfermarkt.us/oriol-riera/profil/spieler/71671,https://img.a.transfermarkt.technology/portrait/small/71671-1446727271.jpg?lm=1,N/A,03.07.1986,Vic,Retired
4,Mitchell Duke,Mitchell Thomas Duke,54,24,4,4.145,N/A,Duke,-,3,0,Western Sydney Wanderers,Attack - Centre-Forward,"1,86 m",Australia,au,https://www.transfermarkt.us/mitchell-duke/profil/spieler/177775,https://img.a.transfermarkt.technology/portrait/small/177775-1625839380.jpg?lm=1,N/A,18.01.1991,Liverpool,Machida Zelvia
5,Brandon Borrello,Brandon Joel Gaetano Borrello,67,23,16,5.457,N/A,Borrello,-,11,0,Western Sydney Wanderers,Attack - Centre-Forward,"1,78 m",Australia,au,https://www.transfermarkt.us/brandon-borrello/profil/spieler/293592,https://img.a.transfermarkt.technology/portrait/small/293592-1685083474.jpg?lm=1,N/A,25.07.1995,Adelaide,Western Sydney Wanderers
6,Nicolas Milanovic,Unknown,61,21,12,3.823,N/A,Unknown,Unknown,12,0,Western Sydney Wanderers,Unknown,Unknown,Australia,au,https://www.transfermarkt.us/nicolas-milanovic/profil/spieler/794777,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,14.11.2001,Unknown,Western Sydney Wanderers
7,Tomi Juric,Unknown,50,17,1,3.111,N/A,Juric,9,10,0,Western Sydney Wanderers,Attack - Centre-Forward,"1,91 m",Australia,au,https://www.transfermarkt.us/tomi-juric/profil/spieler/171820,https://img.a.transfermarkt.technology/portrait/small/171820-1715149489.png?lm=1,N/A,22.07.1991,"Auburn, New South Wales",FC Koper
8,Marcus Antonsson,Carl Marcus Christer Antonsson,49,15,6,2.660,N/A,Antonsson,-,0,0,Western Sydney Wanderers,Attack - Centre-Forward,"1,84 m",Sweden,se,https://www.transfermarkt.us/marcus-antonsson/profil/spieler/171676,https://img.a.transfermarkt.technology/portrait/small/171676-1681598272.JPG?lm=1,N/A,08.05.1991,Unnaryd,Western Sydney Wanderers
9,Lachlan Brook,Lachlan Ricky Brook,25,14,2,1.411,N/A,Brook,-,0,0,Western Sydney Wanderers,Attack - Right Winger,"1,78 m",Australia,au,https://www.transfermarkt.us/lachlan-brook/profil/spieler/507115,https://img.a.transfermarkt.technology/portrait/small/507115-1740418172.jpg?lm=1,N/A,08.02.2001,Gawler,Real Salt Lake City
10,Jaushua Sotirio,Jaushua James Elie Sotirio,91,12,2,4.166,N/A,Sotirio,17,11,0,Western Sydney Wanderers,Attack - Centre-Forward,"1,75 m",Neukaledonien,unknown,https://www.transfermarkt.us/jaushua-sotirio/profil/spieler/302818,https://img.a.transfermarkt.technology/portrait/small/302818-1684213869.jpg?lm=1,N/A,11.10.1995,Sydney,Sydney FC
11,Kwame Yeboah,Kwame Adzenyina Yeboah,50,12,3,2.667,N/A,Yeboah,15,2,0,Western Sydney Wanderers,Attack - Left Winger,,Australia,au,https://www.transfermarkt.us/kwame-yeboah/profil/spieler/187383,https://img.a.transfermarkt.technology/portrait/small/187383-1516366863.jpg?lm=1,N/A,02.06.1994,Gold Coast,Retired
12,Bruce Kamau,Unknown,68,11,11,4.439,N/A,Kamau,-,6,0,Western Sydney Wanderers,Attack - Right Winger,"1,75 m",Kenya,ke,https://www.transfermarkt.us/bruce-kamau/profil/spieler/334157,https://img.a.transfermarkt.technology/portrait/small/334157-1413470564.jpg?lm=1,N/A,28.03.1995,Nairobi,FC Adelaide City
