rank,name,full_name,appearances,goals,assists,minutes_played,period,jersey_name,jersey_number,yellow_cards,red_cards,club,position,height,nation,nation_code,profile_url,image_url,club_logo_url,date_of_birth,place_of_birth,status
1,Connor Pain,Connor Thomas Pain,107,10,24,8.712,N/A,Pain,26,14,0,Western United FC,Attack - Left Winger,"1,75 m",Australia,au,https://www.transfermarkt.us/connor-pain/profil/spieler/257682,https://img.a.transfermarkt.technology/portrait/small/257682-1693744745.jpg?lm=1,N/A,11.11.1993,Hong Kong,Al-Bukiryah FC
2,Alessandro Diamanti,Unknown,82,11,18,5.461,N/A,Diamanti,23,14,0,Western United FC,Midfield - Attacking Midfield,"1,80 m",Italy,it,https://www.transfermarkt.us/alessandro-diamanti/profil/spieler/23197,https://img.a.transfermarkt.technology/portrait/small/23197-1721932691.jpg?lm=1,N/A,02.05.1983,Prato,Retired
3,Lachlan Wales,Lachlan Andrew Wales,112,17,17,8.546,N/A,Wales,-,14,0,Western United FC,Attack - Right Winger,"1,79 m",Australia,au,https://www.transfermarkt.us/lachlan-wales/profil/spieler/499735,https://img.a.transfermarkt.technology/portrait/small/499735-1625846142.jpg?lm=1,N/A,19.10.1997,Terrigal,Perth Glory
4,Josh Risdon,Joshua Robert Risdon,95,4,16,7.917,N/A,Risdon,19,37,0,Western United FC,Defender - Right-Back,"1,76 m",Australia,au,https://www.transfermarkt.us/josh-risdon/profil/spieler/160614,https://img.a.transfermarkt.technology/portrait/small/160614-1722513881.jpg?lm=1,N/A,27.07.1992,Bunbury,Perth Glory
5,Ben Garuccio,Benjamin Garuccio,85,7,13,7.499,N/A,Garuccio,-,10,0,Western United FC,Defender - Left-Back,"1,74 m",Australia,au,https://www.transfermarkt.us/ben-garuccio/profil/spieler/187359,https://img.a.transfermarkt.technology/portrait/small/187359-1410957296.jpg?lm=1,N/A,15.06.1995,Adelaide,Western United FC
6,Riku Danzaki,檀崎 竜孔,45,7,9,2.994,N/A,Danzaki,-,1,0,Western United FC,Attack - Right Winger,"1,74 m",Japan,jp,https://www.transfermarkt.us/riku-danzaki/profil/spieler/657124,https://img.a.transfermarkt.technology/portrait/small/657124-1630937588.jpg?lm=1,N/A,31.05.2000,"Natori, Miyagi",Western United FC
7,Aleksandar Prijovic,Александар Пријовић,43,18,7,3.304,N/A,Prijovic,8,6,0,Western United FC,Attack - Centre-Forward,"1,91 m",Serbia,rs,https://www.transfermarkt.us/aleksandar-prijovic/profil/spieler/61505,https://img.a.transfermarkt.technology/portrait/small/61505-1448377674.jpg?lm=1,N/A,21.04.1990,St. Gallen,Without Club
8,Noah Botic,Noah Vinko Botić,68,23,7,3.879,N/A,Botic,19,2,0,Western United FC,Attack - Centre-Forward,"1,83 m",Australia,au,https://www.transfermarkt.us/noah-botic/profil/spieler/703655,https://img.a.transfermarkt.technology/portrait/small/703655-1573125291.jpg?lm=1,N/A,11.01.2002,"Sydney, New South Wales",Western United FC
9,Max Burgess,Max Barry Burgess,25,7,6,1.500,N/A,Burgess,Unknown,2,0,Western United FC,Midfield - Attacking Midfield,"1,85 m",Australia,au,https://www.transfermarkt.us/max-burgess/profil/spieler/343049,https://img.a.transfermarkt.technology/portrait/small/343049-1705682717.JPG?lm=1,N/A,16.01.1995,Unknown,Sydney FC
10,Neil Kilkenny,Neil Martin Kilkenny,47,1,6,4.027,N/A,Kilkenny,19,6,0,Western United FC,Midfield - Defensive Midfield,"1,73 m",Australia,au,https://www.transfermarkt.us/neil-kilkenny/profil/spieler/2997,https://img.a.transfermarkt.technology/portrait/small/s_2997_698_2013_09_23_1.jpg?lm=1,N/A,19.12.1985,London,Sorrento FC
11,Angus Thurgate,Angus Charles Thurgate,51,2,6,4.503,N/A,Thurgate,-,10,0,Western United FC,Midfield - Central Midfield,"1,78 m",Australia,au,https://www.transfermarkt.us/angus-thurgate/profil/spieler/559464,https://img.a.transfermarkt.technology/portrait/small/559464-1674664504.jpg?lm=1,N/A,08.02.2000,Port Macquarie,Western United FC
12,Tomoki Imai,今井 智基,132,1,5,11.518,N/A,Imai,Unknown,24,2,Western United FC,Defender - Centre-Back,"1,78 m",Japan,jp,https://www.transfermarkt.us/tomoki-imai/profil/spieler/255095,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,29.11.1990,"Ichikawa, Chiba",Western United FC
13,Dylan Pierias,Unknown,97,10,5,4.442,N/A,Pierias,-,5,0,Western United FC,Defender - Right-Back,"1,75 m",Australia,au,https://www.transfermarkt.us/dylan-pierias/profil/spieler/486972,https://img.a.transfermarkt.technology/portrait/small/486972-1625839142.jpg?lm=1,N/A,20.02.2000,Melbourne,Adelaide United
14,Michael Ruhs,Michael Klaude Ruhs,43,8,4,1.941,N/A,Ruhs,19,9,0,Western United FC,Attack - Centre-Forward,"1,80 m",Australia,au,https://www.transfermarkt.us/michael-ruhs/profil/spieler/703624,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,27.08.2002,Cecil Park,Western United FC
15,Daniel Penha,Daniel dos Santos Penha,23,7,3,1.761,N/A,Penha,-,3,0,Western United FC,Midfield - Attacking Midfield,"1,70 m",Brazil,br,https://www.transfermarkt.us/daniel-penha/profil/spieler/468256,https://img.a.transfermarkt.technology/portrait/small/468256-1613386065.jpg?lm=1,N/A,17.10.1998,Brasília,CD Nacional
16,Besart Berisha,Unknown,50,26,3,3.743,N/A,Berisha,8,4,0,Western United FC,Attack - Centre-Forward,,Kosovo,unknown,https://www.transfermarkt.us/besart-berisha/profil/spieler/17257,https://img.a.transfermarkt.technology/portrait/small/17257-1709132577.jpg?lm=1,N/A,29.07.1985,Prishtinë,Retired
17,Nikolai Topor-Stanley,Nikolai David Topor-Stanley,37,1,2,2.824,N/A,Topor-Stanley,2,8,2,Western United FC,Defender - Centre-Back,"1,91 m",Australia,au,https://www.transfermarkt.us/nikolai-topor-stanley/profil/spieler/37870,https://img.a.transfermarkt.technology/portrait/small/s_37870_36100_2013_07_19_1.jpg?lm=1,N/A,11.03.1985,Canberra,Lambton Jaffas FC
18,Jordan Lauton,Unknown,14,1,2,249.000,N/A,Lauton,Unknown,0,0,Western United FC,Midfield - Central Midfield,"1,80 m",Australia,au,https://www.transfermarkt.us/jordan-lauton/profil/spieler/1099425,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,01.04.2003,Unknown,Western United FC
19,Ramy Najjarine,رامي نجارين,26,0,2,600.000,N/A,Najjarine,10,0,0,Western United FC,Attack - Left Winger,"1,76 m",Australia,au,https://www.transfermarkt.us/ramy-najjarine/profil/spieler/448337,https://img.a.transfermarkt.technology/portrait/small/448337-1646999319.jpg?lm=1,N/A,23.04.2000,"Sydney, New South Wales",Western United FC
