name,club,periods
Mark Bridge,Western Sydney Wanderers,"2012-2016, 2017-2019"
Brendon Santalab,Western Sydney Wanderers,2013-2018
Oriol Riera,Western Sydney Wanderers,2017-2019
Mitchell Duke,Western Sydney Wanderers,"2019-2020, 2021-2021"
Brandon Borrello,Western Sydney Wanderers,2022-2025
Nicolas Milanovic,Western Sydney Wanderers,2023-2025
Tomi Juric,Western Sydney Wanderers,2013-2015
Marcus Antonsson,Western Sydney Wanderers,2023-2025
Lachlan Brook,Western Sydney Wanderers,2023-2024
Jaushua Sotirio,Western Sydney Wanderers,2014-2019
Kwame Yeboah,Western Sydney Wanderers,2019-2021
Bruce Kamau,Western Sydney Wanderers,2018-2021
Mitch Nichols,Western Sydney Wanderers,2015-2017
Shinji Ono,Western Sydney Wanderers,2012-2014
Romeo Castelen,Western Sydney Wanderers,2014-2016
Labinot Haliti,Western Sydney Wanderers,2012-2015
Roly Bonevacia,Western Sydney Wanderers,2017-2019
Zachary Sapsford,Western Sydney Wanderers,2022-2025
Youssouf Hersi,Western Sydney Wanderers,2012-2014
Iacopo La Rocca,Western Sydney Wanderers,2012-2015
Nicolai Müller,Western Sydney Wanderers,2019-2021
Jumpei Kusukami,Western Sydney Wanderers,2016-2018
Bozhidar Kraev,Western Sydney Wanderers,2024-2025
Tomer Hemed,Western Sydney Wanderers,2021-2022
Keanu Baccus,Western Sydney Wanderers,2017-2022
Kerem Bulut,Western Sydney Wanderers,"2015-2015, 2016-2017"
Tate Russell,Western Sydney Wanderers,2018-2024
Aydan Hammond,Western Sydney Wanderers,2024-2025
Aaron Mooy,Western Sydney Wanderers,2012-2014
Shannon Cole,Western Sydney Wanderers,2012-2017
Simon Cox,Western Sydney Wanderers,2020-2021
James Troisi,Western Sydney Wanderers,2020-2022
Bernie Ibini-Isei,Western Sydney Wanderers,2020-2022
Brendan Hamill,Western Sydney Wanderers,2014-2019
Graham Dorrans,Western Sydney Wanderers,2020-2021
Yeni Ngbakoto,Western Sydney Wanderers,2022-2023
Kusini Yengi,Western Sydney Wanderers,2022-2023
Dario Vidosic,Western Sydney Wanderers,2015-2016
Nikolai Topor-Stanley,Western Sydney Wanderers,2012-2016
Nicolás Martínez,Western Sydney Wanderers,"2011-2012, 2016-2017"
Nikita Rukavytsya,Western Sydney Wanderers,2014-2015
Calem Nieuwenhof,Western Sydney Wanderers,2022-2023
Alexander Baumjohann,Western Sydney Wanderers,2018-2019
Terry Antonis,Western Sydney Wanderers,"2017-2017, 2021-2023"
Mateo Poljak,Western Sydney Wanderers,2012-2015
Dimas Delgado,Western Sydney Wanderers,2015-2017
Jack Clisby,Western Sydney Wanderers,"2016-2018, 2023-2025"
Steven Ugarkovic,Western Sydney Wanderers,2021-2022
Ramy Najjarine,Western Sydney Wanderers,2021-2023
Andreu Guerao,Western Sydney Wanderers,2015-2016
Oliver Bozanic,Western Sydney Wanderers,"2022-2023, 2024-2024"
Dylan Pierias,Western Sydney Wanderers,2023-2024
Yojiro Takahagi,Western Sydney Wanderers,2015-2015
Marcelo,Western Sydney Wanderers,2022-2024
Lachlan Scott,Western Sydney Wanderers,2016-2019
Dimitri Petratos,Western Sydney Wanderers,2021-2022
Steven Lustica,Western Sydney Wanderers,2016-2018
Michael Beauchamp,Western Sydney Wanderers,2012-2014
Keijiro Ogawa,Western Sydney Wanderers,2021-2022
Pirmin Schwegler,Western Sydney Wanderers,2019-2020
Jérôme Polenz,Western Sydney Wanderers,2012-2014
Gabriel Cléùr,Western Sydney Wanderers,2022-2025
Abraham Majok,Western Sydney Wanderers,2017-2019
Álvaro Cejudo,Western Sydney Wanderers,2017-2018
Daniel Georgievski,Western Sydney Wanderers,2019-2021
Mohamed Adam,Western Sydney Wanderers,2019-2021
Dino Kresinger,Western Sydney Wanderers,2012-2013
Tarek Elrich,Western Sydney Wanderers,"2012-2013, 2018-2020"
Robert Cornthwaite,Western Sydney Wanderers,2016-2018
Aidan Simmons,Western Sydney Wanderers,2022-2025
Oscar Priestman,Western Sydney Wanderers,2024-2025
Jordan O'Doherty,Western Sydney Wanderers,2018-2021
Tass Mourdoukoutas,Western Sydney Wanderers,2018-2022
Ziggy Gordon,Western Sydney Wanderers,2020-2022
Matthew Spiranovic,Western Sydney Wanderers,2013-2015
Anthony Pantazopoulos,Western Sydney Wanderers,2023-2025
Michael Thwaite,Western Sydney Wanderers,2017-2018
Aritz Borda,Western Sydney Wanderers,2016-2017
Alex Badolato,Western Sydney Wanderers,"2021-2025, 2025-2025"
Scott Neville,Western Sydney Wanderers,2015-2017
Joshua Brillante,Western Sydney Wanderers,2023-2025
Alberto Aguilar,Western Sydney Wanderers,2015-2016
Jarrod Carluccio,Western Sydney Wanderers,"2020-2023, 2024-2024, 2025-2025"
John Koutroumbis,Western Sydney Wanderers,2021-2022
Vítor Saba,Western Sydney Wanderers,2014-2015
Tomislav Mrcela,Western Sydney Wanderers,2022-2023
Dylan Scicluna,Western Sydney Wanderers,2023-2025
Juan Mata,Western Sydney Wanderers,2024-2025
Daniel Wilmering,Western Sydney Wanderers,2019-2023
Rashid Mahazi,Western Sydney Wanderers,2018-2019
Milos Ninkovic,Western Sydney Wanderers,2022-2024
Daniel Mullen,Western Sydney Wanderers,2014-2015
Patrick Ziegler,Western Sydney Wanderers,2018-2021
Jorrit Hendrix,Western Sydney Wanderers,2023-2024
Tahj Minniecon,Western Sydney Wanderers,2012-2014
Nicholas Fitzgerald,Western Sydney Wanderers,2018-2019
Yusuke Tanaka,Western Sydney Wanderers,2015-2015
Nick Sullivan,Western Sydney Wanderers,2019-2020
