rank,name,full_name,appearances,goals,assists,minutes_played,period,jersey_name,jersey_number,yellow_cards,red_cards,club,position,height,nation,nation_code,profile_url,image_url,club_logo_url,date_of_birth,place_of_birth,status
1,Guillermo May,Luis Guillermo May Bartesaghi,20,8,2,1.737,2024-2025,May,-,0,0,Auckland FC,Attack - Centre-Forward,"1,81 m",Uruguay,uy,https://www.transfermarkt.us/guillermo-may/profil/spieler/479718,https://img.a.transfermarkt.technology/portrait/small/479718-1721743149.jpg?lm=1,,11.03.1998,Montevideo,Auckland FC
2,Logan Rogerson,Logan Tipene Rogerson,20,7,1,1.37,"2019-2021, 2024-2025",Rogerson,9,2,0,Auckland FC,Attack - Right Winger,"1,82 m",New Zealand,nz,https://www.transfermarkt.us/logan-rogerson/profil/spieler/312317,https://img.a.transfermarkt.technology/portrait/small/312317-1712677027.png?lm=1,,28.05.1998,Hamilton,Auckland FC
3,Neyder Moreno,Neyder Stiven Moreno Betancur,18,7,2,904.0,2024-2025,Moreno,Unknown,1,0,Auckland FC,Midfield - Attacking Midfield,"1,75 m",Colombia,co,https://www.transfermarkt.us/neyder-moreno/profil/spieler/571908,https://img.a.transfermarkt.technology/portrait/small/571908-1661134754.jpg?lm=1,,09.02.1997,Medellín,Auckland FC
4,Nando Pijnaker,Unknown,19,3,0,1.615,2024-2025,Pijnaker,-,5,0,Auckland FC,Defender - Centre-Back,"1,92 m",New Zealand,nz,https://www.transfermarkt.us/nando-pijnaker/profil/spieler/455425,https://img.a.transfermarkt.technology/portrait/small/455425-1558942512.png?lm=1,,25.02.1999,Brummen,Auckland FC
5,Jake Brimmer,Jake William Brimmer,19,3,3,1.227,2024-2025,Brimmer,-,1,0,Auckland FC,Midfield - Attacking Midfield,"1,69 m",Australia,au,https://www.transfermarkt.us/jake-brimmer/profil/spieler/337282,https://img.a.transfermarkt.technology/portrait/small/337282-1703768761.png?lm=1,,03.04.1998,Melbourne,Auckland FC
6,Max Mata,Max Andrew Mata,15,2,2,573.0,2024-2025,Mata,-,2,0,Auckland FC,Attack - Centre-Forward,"1,86 m",New Zealand,nz,https://www.transfermarkt.us/max-mata/profil/spieler/408965,https://img.a.transfermarkt.technology/portrait/small/408965-1510669705.jpg?lm=1,,10.07.2000,Auckland,Auckland FC
7,Hiroki Sakai,酒井 宏樹,17,2,3,1.485,2024-2025,Sakai,19,0,0,Auckland FC,Defender - Right-Back,"1,85 m",Japan,jp,https://www.transfermarkt.us/hiroki-sakai/profil/spieler/83002,https://img.a.transfermarkt.technology/portrait/small/83002-1600434375.jpg?lm=1,,12.04.1990,"Nakano, Nagano",Auckland FC
8,Jesse Randall,Jesse Carmichael Randall,13,2,1,534.0,2024-2025,Randall,9,1,0,Auckland FC,Attack - Right Winger,"1,76 m",New Zealand,nz,https://www.transfermarkt.us/jesse-randall/profil/spieler/677509,https://img.a.transfermarkt.technology/portrait/small/677509-1572443463.png?lm=1,,19.08.2002,Wellington,Auckland FC
9,Francis de Vries,Unknown,20,1,6,1.721,2024-2025,Unknown,Unknown,1,0,Auckland FC,Unknown,Unknown,New Zealand,nz,https://www.transfermarkt.us/francis-de-vries/profil/spieler/207061,https://img.a.transfermarkt.technology/portrait/small/207061-1511087669.jpg?lm=1,,28.11.1994,Unknown,Auckland FC
10,Louis Verstraete,Unknown,17,1,1,1.258,2024-2025,Verstraete,22,5,1,Auckland FC,Midfield - Defensive Midfield,"1,87 m",Belgium,be,https://www.transfermarkt.us/louis-verstraete/profil/spieler/396841,https://img.a.transfermarkt.technology/portrait/small/396841-1714737941.png?lm=1,,04.05.1999,Unknown,Auckland FC
