name,status,profile_url,image_url,jersey_name,jersey_number,nation,nation_code,club,place_of_birth,full_name,position,height,date_of_birth,appearances,goals,assists,own_goals,yellow_cards,second_yellow,red_cards,substituted_on,substituted_off,minutes_played
Michael Sollbauer,SV Ried,https://www.transfermarkt.us/michael-sollbauer/profil/spieler/74179,https://img.a.transfermarkt.technology/portrait/small/74179-1725018485.jpg?lm=1,Sollbauer,-,Austria,at,Wolfsberger AC,St. Veit an der Glan,Unknown,Defender - Centre-Back,"1,87 m",15.05.1990,310,8,5,2,60,0,4,8,13,26.927
Burkhard Rupp,Retired,https://www.transfermarkt.us/burkhard-rupp/profil/spieler/204742,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,Rupp,Unknown,Austria,at,Wolfsberger AC,Unknown,Unknown,Attack,Unknown,20.02.1969,277,138,0,0,39,0,2,6,27,24.365
Christopher Wernitznig,SK Austria Klagenfurt,https://www.transfermarkt.us/christopher-wernitznig/profil/spieler/77117,https://img.a.transfermarkt.technology/portrait/small/77117-1723811717.jpg?lm=1,Wernitznig,12,Austria,at,Wolfsberger AC,Villach,Unknown,Midfield - Central Midfield,"1,79 m",24.02.1990,271,24,34,0,23,0,1,98,91,15.861
Dietmar Perchthaler,Retired,https://www.transfermarkt.us/dietmar-perchthaler/profil/spieler/824529,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,Perchthaler,Unknown,Austria,at,Wolfsberger AC,Unknown,Unknown,Defender,Unknown,26.03.1957,260,14,0,2,3,0,3,7,11,22.579
Alexander Kofler,ATUS Velden,https://www.transfermarkt.us/alexander-kofler/profil/spieler/55569,https://img.a.transfermarkt.technology/portrait/small/55569-1634561907.jpg?lm=1,Kofler,Unknown,Austria,at,Wolfsberger AC,Klagenfurt,Unknown,Goalkeeper,"1,94 m",06.11.1986,248,0,1,1,14,1,1,1,4,22.216
Werner Gerak,Retired,https://www.transfermarkt.us/werner-gerak/profil/spieler/791836,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,Gerak,Unknown,Austria,at,Wolfsberger AC,Unknown,Unknown,Defender,Unknown,18.10.1953,236,24,0,0,0,0,1,9,10,20.497
Franz Schuster,Retired,https://www.transfermarkt.us/franz-schuster/profil/spieler/856789,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,Schuster,Unknown,Austria,at,Wolfsberger AC,Unknown,Unknown,Attack,Unknown,08.10.1953,233,40,0,1,2,0,0,14,22,19.489
Michael Liendl,Retired,https://www.transfermarkt.us/michael-liendl/profil/spieler/17057,https://img.a.transfermarkt.technology/portrait/small/17057-1634562298.jpg?lm=1,Liendl,19,Austria,at,Wolfsberger AC,Graz,Unknown,Midfield - Attacking Midfield,"1,75 m",25.10.1985,219,69,95,0,19,0,0,8,48,18.952
Mario Leitgeb,SV Wildon,https://www.transfermarkt.us/mario-leitgeb/profil/spieler/52821,https://img.a.transfermarkt.technology/portrait/small/52821-1661533750.png?lm=1,Leitgeb,-,Austria,at,Wolfsberger AC,Graz,Unknown,Midfield - Defensive Midfield,"1,83 m",30.06.1988,214,15,6,0,36,1,1,29,33,16.843
Manuel Kerhe,Retired,https://www.transfermarkt.us/manuel-kerhe/profil/spieler/52369,https://img.a.transfermarkt.technology/portrait/small/52369-1601563446.png?lm=1,Kerhe,Unknown,Austria,at,Wolfsberger AC,St. Veit an der Glan,Unknown,Defender - Right-Back,"1,72 m",03.06.1987,213,25,38,0,42,1,0,37,71,15.425
Nemanja Rnic,Retired,https://www.transfermarkt.us/nemanja-rnic/profil/spieler/27236,https://img.a.transfermarkt.technology/portrait/small/27236-1608728065.png?lm=1,Rnic,-,Serbia,rs,Wolfsberger AC,Belgrad,Немања Рнић,Defender - Centre-Back,"1,79 m",30.09.1984,207,3,6,2,45,5,1,18,13,17.009
Anton Karner,Retired,https://www.transfermarkt.us/anton-karner/profil/spieler/355814,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,Karner,Unknown,Austria,at,Wolfsberger AC,Unknown,Anton Andreas Karner,Defender,Unknown,25.11.1970,206,5,0,0,21,0,0,44,38,14.460
Dario Baldauf,Retired,https://www.transfermarkt.us/dario-baldauf/profil/spieler/17074,https://img.a.transfermarkt.technology/portrait/small/17074-1470059626.jpg?lm=1,Baldauf,-,Austria,at,Wolfsberger AC,Dornbirn,Unknown,Defender - Left-Back,"1,79 m",27.03.1985,201,12,14,0,23,1,0,17,8,16.662
Heinz Buchbauer,Retired,https://www.transfermarkt.us/heinz-buchbauer/profil/spieler/483932,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,Buchbauer,Unknown,Austria,at,Wolfsberger AC,Unknown,Unknown,Midfield,Unknown,10.10.1959,197,11,0,1,8,0,1,17,11,16.414
Christian Puff,Retired,https://www.transfermarkt.us/christian-puff/profil/spieler/137608,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,Puff,Unknown,Austria,at,Wolfsberger AC,Unknown,Unknown,Defender,"1,78 m",28.05.1972,192,23,0,0,35,4,1,1,20,16.802
