rank,name,full_name,appearances,goals,assists,minutes_played,period,jersey_name,jersey_number,yellow_cards,red_cards,club,position,height,nation,nation_code,profile_url,image_url,club_logo_url,date_of_birth,place_of_birth,status
1,Jonathan Soriano,Jonathan Soriano Casas,202,172,72,16.548,N/A,Soriano,-,16,0,Red Bull Salzburg,Attack - Centre-Forward,"1,80 m",Spain,es,https://www.transfermarkt.us/jonathan-soriano/profil/spieler/7893,https://img.a.transfermarkt.technology/portrait/small/7893-1469013847.jpg?lm=1,N/A,24.09.1985,El Pont de Vilomara i Rocafort,Retired
2,Heimo Pfeifenberger,Unknown,312,104,0,24.878,N/A,Pfeifenberger,8,47,2,Red Bull Salzburg,Attack - Right Winger,"1,83 m",Austria,at,https://www.transfermarkt.us/heimo-pfeifenberger/profil/spieler/1525,https://img.a.transfermarkt.technology/portrait/small/1525-1605185479.jpg?lm=1,N/A,29.12.1966,Zederhaus,Retired
3,Karl Kodat,Unknown,216,101,1,18.399,N/A,Kodat,-,9,4,Red Bull Salzburg,Attack - Centre-Forward,"1,74 m",Austria,at,https://www.transfermarkt.us/karl-kodat/profil/spieler/179125,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,10.02.1943,Wien,---
4,Alan,阿兰,129,93,36,8.516,N/A,Alan,17,15,1,Red Bull Salzburg,Attack - Centre-Forward,"1,78 m",China,cn,https://www.transfermarkt.us/alan/profil/spieler/73460,https://img.a.transfermarkt.technology/portrait/small/73460-1406894047.jpg?lm=1,N/A,10.07.1989,Barbosa,Without Club
5,Marc Janko,Unknown,125,83,20,8.620,N/A,Janko,21,27,0,Red Bull Salzburg,Attack - Centre-Forward,"1,96 m",Austria,at,https://www.transfermarkt.us/marc-janko/profil/spieler/8073,https://img.a.transfermarkt.technology/portrait/small/8073-1473161989.jpg?lm=1,N/A,25.06.1983,Wien,Retired
6,Munas Dabbur,מואנס דאבור,128,72,31,9.803,N/A,Dabbur,10,17,0,Red Bull Salzburg,Attack - Centre-Forward,"1,82 m",Israel,il,https://www.transfermarkt.us/munas-dabbur/profil/spieler/145866,https://img.a.transfermarkt.technology/portrait/small/145866-1657201338.jpg?lm=1,N/A,14.05.1992,Nazareth,Shabab Al-Ahli Club
7,Patson Daka,Unknown,125,68,27,7.058,N/A,Daka,20,8,0,Red Bull Salzburg,Attack - Centre-Forward,"1,83 m",Zambia,zm,https://www.transfermarkt.us/patson-daka/profil/spieler/365172,https://img.a.transfermarkt.technology/portrait/small/365172-1638810490.jpg?lm=1,N/A,09.10.1998,Chingola,Leicester City
8,Hermann Stadler,Unknown,468,66,0,32.808,N/A,Stadler,-,67,3,Red Bull Salzburg,Attack - Left Winger,"1,74 m",Austria,at,https://www.transfermarkt.us/hermann-stadler/profil/spieler/94909,https://img.a.transfermarkt.technology/portrait/small/94909-1456333639.jpg?lm=1,N/A,21.05.1961,Oberndorf,Retired
9,Eduard Glieder,Unknown,156,66,0,11.794,N/A,Glieder,9,17,0,Red Bull Salzburg,Attack - Centre-Forward,,Austria,at,https://www.transfermarkt.us/eduard-glieder/profil/spieler/3030,https://img.a.transfermarkt.technology/portrait/small/3030-1587553921.jpg?lm=1,N/A,28.01.1969,Graz,Retired
10,Hans-Gerd Schildt,Unknown,208,66,0,17.579,N/A,Schildt,-,22,1,Red Bull Salzburg,Attack - Right Winger,,Germany,de,https://www.transfermarkt.us/hans-gerd-schildt/profil/spieler/89896,https://img.a.transfermarkt.technology/portrait/small/89896-1614070222.jpg?lm=1,N/A,12.06.1952,Unknown,Retired
11,Alexander Zickler,Unknown,165,65,21,11.031,N/A,Zickler,7,23,0,Red Bull Salzburg,Attack - Centre-Forward,"1,88 m",Germany,de,https://www.transfermarkt.us/alexander-zickler/profil/spieler/227,https://img.a.transfermarkt.technology/portrait/small/227-1487671181.jpg?lm=1,N/A,28.02.1974,Bad Salzungen,Retired
12,Takumi Minamino,南野 拓実,199,64,42,11.892,N/A,Minamino,-,11,0,Red Bull Salzburg,Attack - Left Winger,"1,72 m",Japan,jp,https://www.transfermarkt.us/takumi-minamino/profil/spieler/165793,https://img.a.transfermarkt.technology/portrait/small/165793-1737490576.jpg?lm=1,N/A,16.01.1995,"Izumisano, Osaka",AS Monaco
13,Nikola Jurcevic,Nikola Jurčević,209,59,3,16.623,N/A,Jurcevic,-,22,0,Red Bull Salzburg,Attack - Right Winger,"1,82 m",Croatia,hr,https://www.transfermarkt.us/nikola-jurcevic/profil/spieler/85925,https://img.a.transfermarkt.technology/portrait/small/85925-1456333818.jpg?lm=1,N/A,14.09.1966,Zagreb,Retired
14,Heiko Laessig,Unknown,311,54,2,26.274,N/A,Laessig,Unknown,83,3,Red Bull Salzburg,Attack - Centre-Forward,"1,83 m",Germany,de,https://www.transfermarkt.us/heiko-laessig/profil/spieler/2977,https://img.a.transfermarkt.technology/portrait/small/2977-1580209039.jpg?lm=1,N/A,18.06.1968,Magdeburg,Retired
15,Srecko Kurbasa,Srečko Kurbaša,119,54,0,9.470,N/A,Kurbasa,Unknown,4,0,Red Bull Salzburg,Attack,Unknown,Austria,at,https://www.transfermarkt.us/srecko-kurbasa/profil/spieler/205156,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,30.01.1958,Zagreb,Retired
16,Wolfgang Schwarz,Unknown,148,52,1,12.630,N/A,Schwarz,-,18,2,Red Bull Salzburg,Attack,Unknown,Austria,at,https://www.transfermarkt.us/wolfgang-schwarz/profil/spieler/242718,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,12.02.1952,Innsbruck,---
17,Bruno Fleck,Fleck II,80,52,0,7.200,N/A,Fleck,Unknown,1,0,Red Bull Salzburg,Attack,Unknown,Austria,at,https://www.transfermarkt.us/bruno-fleck/profil/spieler/811634,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,11.04.1929,Unknown,---
18,Gerald Haider,Unknown,174,51,0,14.756,N/A,Haider,-,11,3,Red Bull Salzburg,Attack - Centre-Forward,"1,81 m",Austria,at,https://www.transfermarkt.us/gerald-haider/profil/spieler/209881,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,01.07.1955,Wels,Retired
19,René Aufhauser,Unknown,306,50,4,22.037,N/A,Aufhauser,6,36,0,Red Bull Salzburg,Midfield - Defensive Midfield,"1,88 m",Austria,at,https://www.transfermarkt.us/rene-aufhauser/profil/spieler/4997,https://img.a.transfermarkt.technology/portrait/small/s_4997_37024_2013_07_23_1.jpg?lm=1,N/A,21.06.1976,Voitsberg,Retired
20,Valon Berisha,Unknown,233,45,65,17.180,N/A,Berisha,16,19,1,Red Bull Salzburg,Midfield - Left Midfield,"1,76 m",Kosovo,unknown,https://www.transfermarkt.us/valon-berisha/profil/spieler/145115,https://img.a.transfermarkt.technology/portrait/small/145115-1722521161.jpg?lm=1,N/A,07.02.1993,Malmö,LASK
21,Hee-chan Hwang,황희찬,126,45,29,7.203,N/A,Hwang,7,15,0,Red Bull Salzburg,Attack - Centre-Forward,"1,77 m","Korea, South",unknown,https://www.transfermarkt.us/hee-chan-hwang/profil/spieler/292246,https://img.a.transfermarkt.technology/portrait/small/292246-1708341416.jpg?lm=1,N/A,26.01.1996,"Chuncheon, Gangwon",Wolverhampton Wanderers
22,Heinz Libuda,Unknown,266,45,0,22.391,N/A,Libuda,Unknown,27,3,Red Bull Salzburg,Midfield - Attacking Midfield,Unknown,Germany,de,https://www.transfermarkt.us/heinz-libuda/profil/spieler/94075,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,08.08.1944,Dortmund,---
23,Sadio Mané,Sadio Mané,87,45,32,6.945,N/A,Mané,-,14,1,Red Bull Salzburg,Attack - Left Winger,"1,74 m",Senegal,sn,https://www.transfermarkt.us/sadio-mane/profil/spieler/200512,https://img.a.transfermarkt.technology/portrait/small/200512-1667830279.jpg?lm=1,N/A,10.04.1992,Bambaly,Al-Nassr FC
24,Peter Grosser,Unknown,213,44,2,18.640,N/A,Grosser,-,3,0,Red Bull Salzburg,Midfield - Central Midfield,,Germany,de,https://www.transfermarkt.us/peter-grosser/profil/spieler/95556,https://img.a.transfermarkt.technology/portrait/small/95556-1709996762.png?lm=1,N/A,28.09.1938,München,---
25,Sékou Koïta,Unknown,106,43,21,4.751,N/A,Koïta,-,16,0,Red Bull Salzburg,Attack - Centre-Forward,"1,73 m",Mali,ml,https://www.transfermarkt.us/sekou-koita/profil/spieler/402010,https://img.a.transfermarkt.technology/portrait/small/402010-1721915630.png?lm=1,N/A,28.11.1999,Kita,CSKA Moscow
26,Karl Ritter,Unknown,87,41,0,7.425,N/A,Ritter,Unknown,1,2,Red Bull Salzburg,Attack,Unknown,Austria,at,https://www.transfermarkt.us/karl-ritter/profil/spieler/287723,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,14.05.1947,Unknown,Retired
27,Franz Bacher,Unknown,407,41,0,34.229,N/A,Bacher,-,32,0,Red Bull Salzburg,Midfield,"1,75 m",Austria,at,https://www.transfermarkt.us/franz-bacher/profil/spieler/262326,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,02.05.1954,Saalfelden,Retired
28,Herfried Sabitzer,Unknown,161,40,0,10.067,N/A,Sabitzer,-,16,2,Red Bull Salzburg,Attack - Centre-Forward,"1,88 m",Austria,at,https://www.transfermarkt.us/herfried-sabitzer/profil/spieler/8167,https://img.a.transfermarkt.technology/portrait/small/8167-1490363909.jpg?lm=1,N/A,19.10.1969,Judenburg,Retired
29,Alfred Hala,Unknown,193,38,1,16.646,N/A,Hala,-,10,1,Red Bull Salzburg,Attack,Unknown,Austria,at,https://www.transfermarkt.us/alfred-hala/profil/spieler/344721,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,06.10.1950,Unknown,---
30,Günter Praschak,Unknown,123,36,0,11.108,N/A,Praschak,Unknown,0,0,Red Bull Salzburg,Attack,Unknown,Austria,at,https://www.transfermarkt.us/gunter-praschak/profil/spieler/413306,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,12.09.1929,Heidenreichstein,---
31,Alfred Grün,Unknown,87,36,0,7.747,N/A,Grün,Unknown,0,0,Red Bull Salzburg,Attack,Unknown,Austria,at,https://www.transfermarkt.us/alfred-grun/profil/spieler/811636,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,09.07.1924,Unknown,---
32,Richard Kitzbichler,Unknown,195,34,1,15.554,N/A,Kitzbichler,-,28,1,Red Bull Salzburg,Midfield - Right Midfield,"1,73 m",Austria,at,https://www.transfermarkt.us/richard-kitzbichler/profil/spieler/1556,https://img.a.transfermarkt.technology/portrait/small/s_1556_123_2010_1.jpg?lm=1,N/A,12.01.1974,Wörgl,Retired
33,Noah Okafor,Noah Arinzechukwu Okafor,110,34,23,5.168,N/A,Okafor,7,11,0,Red Bull Salzburg,Attack - Left Winger,"1,85 m",Switzerland,ch,https://www.transfermarkt.us/noah-okafor/profil/spieler/346890,https://img.a.transfermarkt.technology/portrait/small/346890-1692879855.jpg?lm=1,N/A,24.05.2000,Binningen,SSC Napoli
34,Roman Wallner,Unknown,86,34,14,5.057,N/A,Wallner,-,9,0,Red Bull Salzburg,Attack - Centre-Forward,"1,78 m",Austria,at,https://www.transfermarkt.us/roman-wallner/profil/spieler/2924,https://img.a.transfermarkt.technology/portrait/small/2924-1442914544.jpeg?lm=1,N/A,04.02.1982,Graz,Retired
35,Karim Adeyemi,Karim-David Adeyemi,94,33,23,4.643,N/A,Adeyemi,19,11,0,Red Bull Salzburg,Attack - Right Winger,"1,80 m",Germany,de,https://www.transfermarkt.us/karim-adeyemi/profil/spieler/496094,https://img.a.transfermarkt.technology/portrait/small/496094-1712859708.jpg?lm=1,N/A,18.01.2002,München,Borussia Dortmund
36,Karim Konaté,Unknown,64,33,11,3.746,N/A,Konaté,9,7,0,Red Bull Salzburg,Attack - Centre-Forward,"1,78 m",Cote d'Ivoire,unknown,https://www.transfermarkt.us/karim-konate/profil/spieler/847278,https://img.a.transfermarkt.technology/portrait/small/847278-1722524378.png?lm=1,N/A,21.03.2004,Koumassi,Red Bull Salzburg
37,Adolf Macek,Unknown,249,32,0,21.624,N/A,Macek,-,0,0,Red Bull Salzburg,Attack,Unknown,Austria,at,https://www.transfermarkt.us/adolf-macek/profil/spieler/413316,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,16.12.1939,Grödig,---
38,Hans-Dieter Weiss,Unknown,100,32,0,7.282,N/A,Weiss,Unknown,1,0,Red Bull Salzburg,Attack,Unknown,Germany,de,https://www.transfermarkt.us/hans-dieter-weiss/profil/spieler/378394,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,27.02.1949,Unknown,Retired
39,Fredrik Gulbrandsen,Fredrik Aasmundrud Gulbrandsen,107,32,18,5.536,N/A,Gulbrandsen,19,9,0,Red Bull Salzburg,Attack - Centre-Forward,"1,75 m",Norway,no,https://www.transfermarkt.us/fredrik-gulbrandsen/profil/spieler/110708,https://img.a.transfermarkt.technology/portrait/small/110708-1665477966.JPG?lm=1,N/A,10.09.1992,Lillestrøm,Molde FK
40,Leo Lainer,Leopold Lainer,372,30,0,30.309,N/A,Lainer,-,58,2,Red Bull Salzburg,Defender - Right-Back,"1,74 m",Austria,at,https://www.transfermarkt.us/leo-lainer/profil/spieler/94896,https://img.a.transfermarkt.technology/portrait/small/94896-1456333593.jpg?lm=1,N/A,10.09.1960,Maishofen,Retired
41,Benjamin Sesko,Benjamin Šeško,79,29,11,4.151,N/A,Sesko,-,3,1,Red Bull Salzburg,Attack - Centre-Forward,"1,95 m",Slovenia,si,https://www.transfermarkt.us/benjamin-sesko/profil/spieler/627442,https://img.a.transfermarkt.technology/portrait/small/627442-1713897956.jpg?lm=1,N/A,31.05.2003,Radeče,RB Leipzig
42,Erling Haaland,Erling Braut Håland,27,29,7,1.616,N/A,Haaland,18,3,0,Red Bull Salzburg,Attack - Centre-Forward,"1,95 m",Norway,no,https://www.transfermarkt.us/erling-haaland/profil/spieler/418560,https://img.a.transfermarkt.technology/portrait/small/418560-1709108116.png?lm=1,N/A,21.07.2000,Leeds,Manchester City
43,Kevin Kampl,Unknown,109,29,54,8.952,N/A,Kampl,20,20,0,Red Bull Salzburg,Midfield - Central Midfield,"1,78 m",Slovenia,si,https://www.transfermarkt.us/kevin-kampl/profil/spieler/53418,https://img.a.transfermarkt.technology/portrait/small/53418-1742828221.jpg?lm=1,N/A,09.10.1990,Solingen,RB Leipzig
44,Adi Hütter,Adolf Hütter,256,28,0,19.973,N/A,Hütter,-,39,1,Red Bull Salzburg,Midfield - Central Midfield,"1,84 m",Austria,at,https://www.transfermarkt.us/adi-hutter/profil/spieler/17052,https://img.a.transfermarkt.technology/portrait/small/s_17052_123_2010_1.jpg?lm=1,N/A,11.02.1970,Hohenems,Retired
45,Wilhelm König,Unknown,52,27,0,4.680,N/A,König,Unknown,0,0,Red Bull Salzburg,Defender,Unknown,Austria,at,https://www.transfermarkt.us/wilhelm-konig/profil/spieler/794772,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,08.07.1929,Unknown,---
46,Oliver Bierhoff,Unknown,36,27,0,3.217,N/A,Bierhoff,20,7,0,Red Bull Salzburg,Attack - Centre-Forward,,Germany,de,https://www.transfermarkt.us/oliver-bierhoff/profil/spieler/56,https://img.a.transfermarkt.technology/portrait/small/56-1464084522.jpg?lm=1,N/A,01.05.1968,Karlsruhe,Retired
47,Marcel Sabitzer,Unknown,51,27,21,3.465,N/A,Sabitzer,-,6,1,Red Bull Salzburg,Midfield - Central Midfield,"1,78 m",Austria,at,https://www.transfermarkt.us/marcel-sabitzer/profil/spieler/106987,https://img.a.transfermarkt.technology/portrait/small/106987-1711745992.jpg?lm=1,N/A,17.03.1994,Wels,Borussia Dortmund
48,Anton Schnöll,Unknown,133,27,0,8.013,N/A,Schnöll,Unknown,12,2,Red Bull Salzburg,Attack,Unknown,Austria,at,https://www.transfermarkt.us/anton-schnoll/profil/spieler/183423,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,15.03.1963,Unknown,Retired
49,Jakob Jantscher,Unknown,96,26,18,6.526,N/A,Jantscher,14,18,1,Red Bull Salzburg,Attack - Left Winger,"1,76 m",Austria,at,https://www.transfermarkt.us/jakob-jantscher/profil/spieler/52269,https://img.a.transfermarkt.technology/portrait/small/52269-1725292327.jpg?lm=1,N/A,08.01.1989,Graz,ASK Voitsberg
50,Dominik Szoboszlai,Unknown,83,26,34,5.289,N/A,Szoboszlai,10,8,0,Red Bull Salzburg,Midfield - Central Midfield,"1,87 m",Hungary,hu,https://www.transfermarkt.us/dominik-szoboszlai/profil/spieler/451276,https://img.a.transfermarkt.technology/portrait/small/451276-1700209677.jpg?lm=1,N/A,25.10.2000,Székesfehérvár,Liverpool FC
51,Mladen Mladenovic,Unknown,65,25,2,5.509,N/A,Mladenovic,-,10,0,Red Bull Salzburg,Midfield - Defensive Midfield,"1,78 m",Croatia,hr,https://www.transfermarkt.us/mladen-mladenovic/profil/spieler/94995,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,13.09.1964,Rijeka,Retired
52,Patrik Jezek,Patrik Ježek,137,24,42,8.944,N/A,Jezek,-,7,0,Red Bull Salzburg,Midfield - Left Midfield,,Czech Republic,cz,https://www.transfermarkt.us/patrik-jezek/profil/spieler/2813,https://img.a.transfermarkt.technology/portrait/small/s_2813_503_2012_1.jpg?lm=1,N/A,28.12.1976,Plzeň,Retired
53,Mergim Berisha,Unknown,58,24,15,3.478,N/A,Berisha,13,1,0,Red Bull Salzburg,Attack - Centre-Forward,"1,88 m",Germany,de,https://www.transfermarkt.us/mergim-berisha/profil/spieler/307924,https://img.a.transfermarkt.technology/portrait/small/307924-1691251216.jpg?lm=1,N/A,11.05.1998,Berchtesgaden,FC Augsburg
54,Junior Adamu,Chukwubuike Junior Adamu,84,23,11,3.841,N/A,Adamu,9,4,1,Red Bull Salzburg,Attack - Centre-Forward,"1,83 m",Austria,at,https://www.transfermarkt.us/junior-adamu/profil/spieler/452477,https://img.a.transfermarkt.technology/portrait/small/452477-1691998414.jpg?lm=1,N/A,06.06.2001,Kano,SC Freiburg
55,Andreas Ulmer,Unknown,582,23,98,48.401,N/A,Ulmer,8,48,2,Red Bull Salzburg,Defender - Left-Back,"1,75 m",Austria,at,https://www.transfermarkt.us/andreas-ulmer/profil/spieler/31196,https://img.a.transfermarkt.technology/portrait/small/31196-1692998850.png?lm=1,N/A,30.10.1985,Linz,Retired
56,Gerhard Perlak,Unknown,203,22,0,15.539,N/A,Perlak,Unknown,2,0,Red Bull Salzburg,Attack - Right Winger,"1,77 m",Austria,at,https://www.transfermarkt.us/gerhard-perlak/profil/spieler/262334,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,28.09.1955,Salzburg,Retired
57,Dusan Svento,Dušan Švento,183,22,33,14.295,N/A,Svento,18,12,0,Red Bull Salzburg,Defender - Left-Back,,Slovakia,sk,https://www.transfermarkt.us/dusan-svento/profil/spieler/34543,https://img.a.transfermarkt.technology/portrait/small/34543-1437391476.jpg?lm=1,N/A,01.08.1985,Ružomberok,Retired
