rank,name,full_name,appearances,goals,assists,minutes_played,period,jersey_name,jersey_number,yellow_cards,red_cards,club,position,height,nation,nation_code,profile_url,image_url,club_logo_url,date_of_birth,place_of_birth,status
1,Markus Pink,Unknown,121,59,17,9.223,N/A,Pink,-,9,0,SK Austria Klagenfurt,Attack - Centre-Forward,"1,88 m",Austria,at,https://www.transfermarkt.us/markus-pink/profil/spieler/78006,https://img.a.transfermarkt.technology/portrait/small/78006-1742901948.png?lm=1,N/A,24.02.1991,Klagenfurt,Wolfsberger AC
2,Sandro Zakany,Unknown,205,55,46,14.766,N/A,Zakany,17,30,0,SK Austria Klagenfurt,Midfield - Central Midfield,"1,80 m",Austria,at,https://www.transfermarkt.us/sandro-zakany/profil/spieler/31380,https://img.a.transfermarkt.technology/portrait/small/31380-1568898804.jpg?lm=1,N/A,23.09.1987,Klagenfurt,Retired
3,Patrik Eler,Unknown,81,45,19,6.251,N/A,Eler,Unknown,11,1,SK Austria Klagenfurt,Attack - Centre-Forward,"1,85 m",Slovenia,si,https://www.transfermarkt.us/patrik-eler/profil/spieler/278667,https://img.a.transfermarkt.technology/portrait/small/278667-1604069574.png?lm=1,N/A,13.06.1991,Unknown,ND Adria Miren
4,Matthias Dollinger,Unknown,89,31,11,7.689,N/A,Dollinger,-,25,2,SK Austria Klagenfurt,Midfield - Left Midfield,"1,76 m",Austria,at,https://www.transfermarkt.us/matthias-dollinger/profil/spieler/6633,https://img.a.transfermarkt.technology/portrait/small/s_6633_28760_2013_08_12_1.jpg?lm=1,N/A,12.09.1979,Klagenfurt,Retired
5,Florian Jaritz,Unknown,224,30,37,13.716,N/A,Jaritz,Unknown,18,0,SK Austria Klagenfurt,Attack - Left Winger,"1,80 m",Austria,at,https://www.transfermarkt.us/florian-jaritz/profil/spieler/286747,https://img.a.transfermarkt.technology/portrait/small/286747-1723811811.jpg?lm=1,N/A,18.10.1997,Klagenfurt,SK Austria Klagenfurt
6,Rajko Rep,Unknown,82,30,15,6.594,N/A,Rep,9,16,1,SK Austria Klagenfurt,Midfield - Attacking Midfield,"1,77 m",Slovenia,si,https://www.transfermarkt.us/rajko-rep/profil/spieler/80525,https://img.a.transfermarkt.technology/portrait/small/80525-1601390365.png?lm=1,N/A,20.06.1990,Rogatec,SV Oberwart
7,Oliver Markoutz,Unknown,52,24,3,3.207,N/A,Markoutz,-,0,0,SK Austria Klagenfurt,Attack - Centre-Forward,,Austria,at,https://www.transfermarkt.us/oliver-markoutz/profil/spieler/159116,https://img.a.transfermarkt.technology/portrait/small/159116-1573123614.jpg?lm=1,N/A,14.01.1995,Klagenfurt,Retired
8,Patrick Greil,Unknown,126,21,25,9.527,N/A,Greil,Unknown,22,0,SK Austria Klagenfurt,Midfield - Attacking Midfield,"1,84 m",Austria,at,https://www.transfermarkt.us/patrick-greil/profil/spieler/197043,https://img.a.transfermarkt.technology/portrait/small/197043-1739716753.jpg?lm=1,N/A,08.09.1996,Salzburg,SV Sandhausen
9,Kosmas Gezos,Κοσμάς Γκέζος,158,18,6,12.763,N/A,Gezos,Unknown,37,2,SK Austria Klagenfurt,Defender - Centre-Back,"1,82 m",Greece,gr,https://www.transfermarkt.us/kosmas-gezos/profil/spieler/191850,https://img.a.transfermarkt.technology/portrait/small/191850-1723811442.jpg?lm=1,N/A,15.08.1992,Athen,SK Austria Klagenfurt
10,Okan Aydin,Okan Aydın,47,18,19,3.834,N/A,Aydin,19,9,0,SK Austria Klagenfurt,Midfield - Attacking Midfield,"1,72 m",Türkiye,tr,https://www.transfermarkt.us/okan-aydin/profil/spieler/107184,https://img.a.transfermarkt.technology/portrait/small/107184-1660576821.png?lm=1,N/A,08.05.1994,Würselen,DSV Leoben
