rank,name,full_name,appearances,goals,assists,minutes_played,period,jersey_name,jersey_number,yellow_cards,red_cards,club,position,height,nation,nation_code,profile_url,image_url,club_logo_url,date_of_birth,place_of_birth,status
1,Dario Tadic,Dario Tadić,263,129,44,19.841,N/A,Tadic,11,12,1,TSV Hartberg,Attack - Centre-Forward,"1,79 m",Austria,at,https://www.transfermarkt.us/dario-tadic/profil/spieler/50860,https://img.a.transfermarkt.technology/portrait/small/50860-1725293564.jpg?lm=1,N/A,11.05.1990,Odžak,SC Pinkafeld
2,Tobias Kainz,Unknown,221,11,26,15.938,N/A,Kainz,6,32,0,TSV Hartberg,Midfield - Defensive Midfield,"1,74 m",Austria,at,https://www.transfermarkt.us/tobias-kainz/profil/spieler/69741,https://img.a.transfermarkt.technology/portrait/small/69741-1722941654.jpg?lm=1,N/A,31.10.1992,Feldbach,TSV Hartberg
3,Donis Avdijaj,Unknown,93,32,25,7.441,N/A,Avdijaj,-,18,0,TSV Hartberg,Attack - Left Winger,"1,73 m",Germany,de,https://www.transfermarkt.us/donis-avdijaj/profil/spieler/196227,https://img.a.transfermarkt.technology/portrait/small/196227-1722942269.jpg?lm=1,N/A,25.08.1996,Osnabrück,TSV Hartberg
4,Edmir Adilovic,Edmir Edo Adilovic,88,8,24,5.692,N/A,Adilovic,Unknown,12,0,TSV Hartberg,Defender - Right-Back,"1,74 m",Austria,at,https://www.transfermarkt.us/edmir-adilovic/profil/spieler/31362,https://img.a.transfermarkt.technology/portrait/small/s_31362_4467_2013_07_24_1.jpg?lm=1,N/A,23.08.1986,Spittal/Drau,Retired
5,Rajko Rep,Unknown,99,24,23,8.444,N/A,Rep,9,26,0,TSV Hartberg,Midfield - Attacking Midfield,"1,77 m",Slovenia,si,https://www.transfermarkt.us/rajko-rep/profil/spieler/80525,https://img.a.transfermarkt.technology/portrait/small/80525-1601390365.png?lm=1,N/A,20.06.1990,Rogatec,SV Oberwart
6,Jürgen Heil,Unknown,280,15,22,19.337,N/A,Heil,-,66,0,TSV Hartberg,Defender - Right-Back,"1,76 m",Austria,at,https://www.transfermarkt.us/jurgen-heil/profil/spieler/271223,https://img.a.transfermarkt.technology/portrait/small/271223-1722941509.jpg?lm=1,N/A,04.04.1997,Unknown,TSV Hartberg
7,Siegfried Rasswalder,Unknown,214,8,20,18.187,N/A,Rasswalder,20,54,3,TSV Hartberg,Defender - Left-Back,"1,78 m",Austria,at,https://www.transfermarkt.us/siegfried-rasswalder/profil/spieler/33889,https://img.a.transfermarkt.technology/portrait/small/33889-1566392874.jpg?lm=1,N/A,13.05.1987,Unknown,Retired
8,Christoph Kröpfl,Unknown,179,20,19,12.355,N/A,Kröpfl,-,12,0,TSV Hartberg,Midfield - Left Midfield,"1,70 m",Austria,at,https://www.transfermarkt.us/christoph-kropfl/profil/spieler/46055,https://img.a.transfermarkt.technology/portrait/small/46055-1604063184.png?lm=1,N/A,04.05.1990,Graz,SK Werndorf
9,Zakaria Sanogo,Unknown,69,10,19,3.922,N/A,Sanogo,17,8,1,TSV Hartberg,Attack - Left Winger,"1,69 m",Burkina Faso,bf,https://www.transfermarkt.us/zakaria-sanogo/profil/spieler/448119,https://img.a.transfermarkt.technology/portrait/small/448119-1537778082.jpg?lm=1,N/A,11.12.1996,Bobo-Dioulasso,AS Douanes (Ouagadougou)
10,Daniel Gremsl,Unknown,172,19,18,10.125,N/A,Gremsl,Unknown,33,1,TSV Hartberg,Midfield - Right Midfield,"1,69 m",Austria,at,https://www.transfermarkt.us/daniel-gremsl/profil/spieler/119230,https://img.a.transfermarkt.technology/portrait/small/119230-1604063221.png?lm=1,N/A,02.08.1992,Hartberg,SV Bad Schallerbach
11,Thomas Hopfer,Unknown,117,5,13,9.481,N/A,Hopfer,-,32,1,TSV Hartberg,Midfield - Central Midfield,"1,77 m",Austria,at,https://www.transfermarkt.us/thomas-hopfer/profil/spieler/52195,https://img.a.transfermarkt.technology/portrait/small/s_52195_4467_2013_07_24_1.jpg?lm=1,N/A,20.04.1990,Unknown,Retired
12,Stefan Rakowitz,Unknown,136,22,12,8.736,N/A,Rakowitz,Unknown,19,0,TSV Hartberg,Attack - Right Winger,"1,72 m",Austria,at,https://www.transfermarkt.us/stefan-rakowitz/profil/spieler/76422,https://img.a.transfermarkt.technology/portrait/small/76422-1742991382.jpg?lm=1,N/A,03.04.1990,Oberwart,SV Oberwart
13,Christian Klem,Unknown,97,1,10,7.915,N/A,Klem,18,17,0,TSV Hartberg,Defender - Left-Back,"1,72 m",Austria,at,https://www.transfermarkt.us/christian-klem/profil/spieler/58948,https://img.a.transfermarkt.technology/portrait/small/58948-1660577259.png?lm=1,N/A,21.04.1991,Graz,Retired
14,Dominik Prokop,Unknown,67,11,10,4.431,N/A,Prokop,-,13,0,TSV Hartberg,Midfield - Left Midfield,"1,72 m",Austria,at,https://www.transfermarkt.us/dominik-prokop/profil/spieler/223975,https://img.a.transfermarkt.technology/portrait/small/223975-1722942112.jpg?lm=1,N/A,02.06.1997,Wien,TSV Hartberg
15,Dominik Frieser,Unknown,101,5,10,5.740,N/A,Frieser,Unknown,7,1,TSV Hartberg,Attack - Right Winger,"1,76 m",Austria,at,https://www.transfermarkt.us/dominik-frieser/profil/spieler/273553,https://img.a.transfermarkt.technology/portrait/small/273553-1727526924.jpg?lm=1,N/A,09.09.1993,Graz,Grazer AK 1902
16,Thomas Rotter,Unknown,219,26,10,16.249,N/A,Rotter,Unknown,40,0,TSV Hartberg,Defender - Centre-Back,"1,88 m",Austria,at,https://www.transfermarkt.us/thomas-rotter/profil/spieler/119231,https://img.a.transfermarkt.technology/portrait/small/119231-1692986839.png?lm=1,N/A,27.01.1992,Unknown,TSV Hartberg II
17,Günter Friesenbichler,Unknown,63,25,9,5.267,N/A,Friesenbichler,-,18,0,TSV Hartberg,Attack - Centre-Forward,"1,93 m",Austria,at,https://www.transfermarkt.us/gunter-friesenbichler/profil/spieler/12887,https://img.a.transfermarkt.technology/portrait/small/12887-1407936882.jpg?lm=1,N/A,04.03.1979,Weiz,Retired
18,Nejc Omladic,Unknown,89,20,8,7.067,N/A,Omladic,Unknown,23,0,TSV Hartberg,Midfield - Attacking Midfield,"1,81 m",Slovenia,si,https://www.transfermarkt.us/nejc-omladic/profil/spieler/75947,https://img.a.transfermarkt.technology/portrait/small/75947-1518175404.jpg?lm=1,N/A,07.05.1984,Unknown,UFC Fehring
19,Lukas Ried,Unknown,103,10,8,5.693,N/A,Ried,Unknown,12,0,TSV Hartberg,Midfield - Attacking Midfield,"1,78 m",Austria,at,https://www.transfermarkt.us/lukas-ried/profil/spieler/194770,https://img.a.transfermarkt.technology/portrait/small/194770-1742991442.jpg?lm=1,N/A,10.10.1995,Unknown,SV Oberwart
20,Florian Flecker,Unknown,50,10,8,4.131,N/A,Flecker,Unknown,5,0,TSV Hartberg,Midfield - Right Midfield,"1,77 m",Austria,at,https://www.transfermarkt.us/florian-flecker/profil/spieler/272159,https://img.a.transfermarkt.technology/portrait/small/272159-1722520336.jpg?lm=1,N/A,29.10.1995,Voitsberg,LASK
21,Manfred Fischer,Unknown,37,9,8,2.764,N/A,Fischer,Unknown,3,0,TSV Hartberg,Midfield - Central Midfield,"1,79 m",Austria,at,https://www.transfermarkt.us/manfred-fischer/profil/spieler/269093,https://img.a.transfermarkt.technology/portrait/small/269093-1726049532.jpg?lm=1,N/A,06.08.1995,Unknown,Austria Vienna
22,Jürgen Prutsch,Unknown,31,0,7,2.187,N/A,Prutsch,-,8,1,TSV Hartberg,Midfield - Central Midfield,"1,83 m",Austria,at,https://www.transfermarkt.us/jurgen-prutsch/profil/spieler/50521,https://img.a.transfermarkt.technology/portrait/small/s_50521_5585_2013_03_17_1.jpg?lm=1,N/A,22.09.1989,Graz,Retired
