rank,name,full_name,appearances,goals,assists,minutes_played,period,jersey_name,jersey_number,yellow_cards,red_cards,club,position,height,nation,nation_code,profile_url,image_url,club_logo_url,date_of_birth,place_of_birth,status
1,Benjamin Pranter,Unknown,291,87,51,21.019,N/A,Pranter,-,38,0,WSG Tirol,Midfield - Attacking Midfield,"1,81 m",Austria,at,https://www.transfermarkt.us/benjamin-pranter/profil/spieler/58963,https://img.a.transfermarkt.technology/portrait/small/58963-1566311622.jpg?lm=1,N/A,22.09.1989,Völs,Völser SV
2,Florian Toplitsch,Unknown,239,12,14,14.439,N/A,Toplitsch,Unknown,37,0,WSG Tirol,Midfield - Attacking Midfield,"1,73 m",Austria,at,https://www.transfermarkt.us/florian-toplitsch/profil/spieler/83584,https://img.a.transfermarkt.technology/portrait/small/83584-1566311949.jpg?lm=1,N/A,07.09.1991,Unknown,Völser SV
3,Florian Buchacher,Unknown,215,19,9,16.834,N/A,Buchacher,Unknown,72,4,WSG Tirol,Defender - Left-Back,"1,84 m",Austria,at,https://www.transfermarkt.us/florian-buchacher/profil/spieler/52773,https://img.a.transfermarkt.technology/portrait/small/52773-1566311302.jpg?lm=1,N/A,28.09.1987,Innsbruck,Retired
4,David Gugganig,Unknown,174,4,8,14.592,N/A,Gugganig,-,49,1,WSG Tirol,Defender - Centre-Back,"1,92 m",Austria,at,https://www.transfermarkt.us/david-gugganig/profil/spieler/223960,https://img.a.transfermarkt.technology/portrait/small/223960-1722351421.jpg?lm=1,N/A,10.02.1997,Spittal an der Drau,WSG Tirol
5,Simon Zangerl,Unknown,163,112,3,12.696,N/A,Zangerl,Unknown,24,0,WSG Tirol,Attack - Centre-Forward,"1,78 m",Austria,at,https://www.transfermarkt.us/simon-zangerl/profil/spieler/79375,https://img.a.transfermarkt.technology/portrait/small/79375-1503934612.jpg?lm=1,N/A,28.01.1990,Zams,Retired
6,Ferdinand Oswald,Ferdinand Heinrich Oswald,312,0,2,28.205,N/A,Oswald,-,20,1,WSG Tirol,Goalkeeper,"1,83 m",Germany,de,https://www.transfermarkt.us/ferdinand-oswald/profil/spieler/58360,https://img.a.transfermarkt.technology/portrait/small/58360-1660310681.png?lm=1,N/A,05.10.1990,Weilheim in Oberbayern,Retired
7,Michael Steinlechner,Unknown,277,29,1,21.523,N/A,Steinlechner,Unknown,61,4,WSG Tirol,Defender - Centre-Back,"1,85 m",Austria,at,https://www.transfermarkt.us/michael-steinlechner/profil/spieler/48096,https://img.a.transfermarkt.technology/portrait/small/48096-1503933536.jpg?lm=1,N/A,24.04.1987,Schwaz,Retired
8,Stefan Platt,Unknown,369,7,0,30.992,N/A,Platt,Unknown,70,2,WSG Tirol,Defender,"1,85 m",Austria,at,https://www.transfermarkt.us/stefan-platt/profil/spieler/143274,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,27.05.1969,Unknown,Retired
9,Werner Löberbauer,Unknown,175,10,0,14.668,N/A,Löberbauer,Unknown,23,1,WSG Tirol,Midfield,Unknown,Austria,at,https://www.transfermarkt.us/werner-loberbauer/profil/spieler/205780,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,09.09.1960,Unknown,Retired
10,Armin Hobel,Unknown,149,106,0,13.016,N/A,Hobel,Unknown,34,0,WSG Tirol,Attack - Centre-Forward,,Austria,at,https://www.transfermarkt.us/armin-hobel/profil/spieler/16481,https://img.a.transfermarkt.technology/portrait/small/r_e_s_16481_2446_2009_1.jpg?lm=1,N/A,11.12.1976,Unknown,Retired
11,Thomas Klotz,Unknown,153,7,0,10.459,N/A,Klotz,Unknown,16,0,WSG Tirol,Midfield,Unknown,Austria,at,https://www.transfermarkt.us/thomas-klotz/profil/spieler/143270,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,26.10.1974,Unknown,Retired
12,Christian Kellner,Unknown,157,51,0,12.832,N/A,Kellner,Unknown,40,0,WSG Tirol,Attack - Centre-Forward,"1,78 m",Austria,at,https://www.transfermarkt.us/christian-kellner/profil/spieler/53123,https://img.a.transfermarkt.technology/portrait/small/i_r_s_53123_17663_2009_1.jpg?lm=1,N/A,22.11.1975,Wien,Retired
13,Andreas Troppmair,Unknown,158,5,0,13.394,N/A,Troppmair,Unknown,9,3,WSG Tirol,Defender,Unknown,Austria,at,https://www.transfermarkt.us/andreas-troppmair/profil/spieler/544341,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,13.03.1962,Unknown,Retired
14,Sandro Samwald,Unknown,166,2,0,13.346,N/A,Samwald,-,35,2,WSG Tirol,Defender - Right-Back,"1,77 m",Austria,at,https://www.transfermarkt.us/sandro-samwald/profil/spieler/14885,https://img.a.transfermarkt.technology/portrait/small/14885-1411919207.JPG?lm=1,N/A,03.06.1986,Unknown,Retired
15,Bruno Berloffa,Unknown,174,5,0,13.529,N/A,Berloffa,Unknown,17,0,WSG Tirol,Midfield,Unknown,Austria,at,https://www.transfermarkt.us/bruno-berloffa/profil/spieler/108140,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,12.04.1971,Innsbruck,Retired
16,Harald Eder,Unknown,192,20,0,16.419,N/A,Eder,Unknown,36,2,WSG Tirol,Midfield,Unknown,Austria,at,https://www.transfermarkt.us/harald-eder/profil/spieler/143563,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,11.03.1965,Unknown,Retired
17,Helmut Weger,Unknown,181,10,0,12.422,N/A,Weger,Unknown,28,1,WSG Tirol,Midfield,Unknown,Austria,at,https://www.transfermarkt.us/helmut-weger/profil/spieler/149370,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,06.04.1966,Unknown,Retired
18,Günther Huber,Unknown,188,24,0,14.941,N/A,Huber,Unknown,13,5,WSG Tirol,Midfield,Unknown,Austria,at,https://www.transfermarkt.us/gunther-huber/profil/spieler/184522,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,09.01.1958,Unknown,Retired
19,Kurt Stanger,Unknown,324,40,0,23.431,N/A,Stanger,Unknown,39,1,WSG Tirol,Midfield,"1,80 m",Austria,at,https://www.transfermarkt.us/kurt-stanger/profil/spieler/143277,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,15.04.1969,Unknown,Retired
20,Markus Schnellrieder,Unknown,210,22,0,18.314,N/A,Schnellrieder,Unknown,27,6,WSG Tirol,Defender,Unknown,Austria,at,https://www.transfermarkt.us/markus-schnellrieder/profil/spieler/444701,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,31.05.1966,Unknown,Retired
21,Christian Ablinger,Unknown,227,10,0,19.161,N/A,Ablinger,Unknown,28,5,WSG Tirol,Defender,"1,91 m",Austria,at,https://www.transfermarkt.us/christian-ablinger/profil/spieler/143641,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,27.12.1966,Unknown,Retired
