name,club,periods
Ernst Fiala,Austria Vienna,1959-2025
Herbert Prohaska,Austria Vienna,"1971-1980, 1983-1989"
Andreas Ogris,Austria Vienna,"1983-1985, 1986-1990, 1991-1992, 1992-1997"
Walter Schleger,Austria Vienna,1951-1964
Felix Gasselich,Austria Vienna,
Alexander Grünwald,Austria Vienna,"2007-2008, 2011-2022"
Manfred Zsak,Austria Vienna,1987-1995
Ernst Baumeister,Austria Vienna,
Thomas Flögel,Austria Vienna,"1989-1997, 2002-2004"
Karl Daxbacher,Austria Vienna,1971-1985
Christian Prosenik,Austria Vienna,"1986-1995, 2001-2001"
Robert Sara,Austria Vienna,1964-1984
Anton Pfeffer,Austria Vienna,1986-2000
Johann Geyer,Austria Vienna,"1961-1967, 1968-1972"
Karl Stotz,Austria Vienna,1952-1963
Josef Sara,Austria Vienna,1973-1982
Johann Mock,Austria Vienna,1927-1941
Erich Obermayer,Austria Vienna,1969-1989
Josef Degeorgi,Austria Vienna,1983-1990
Johann Dihanich,Austria Vienna,"1978-1983, 1984-1987"
Manfred Schmid,Austria Vienna,1988-2002
Markus Suttner,Austria Vienna,"2007-2015, 2020-2022"
Ernst Dospel,Austria Vienna,1996-2006
Franz Wohlfahrt,Austria Vienna,"1981-1996, 2000-2002"
