name,club,periods
Franz Binder,Rapid Vienna,1930-1949
Hans Krankl,Rapid Vienna,"1971-1971, 1972-1978, 1981-1986"
Robert Dienst,Rapid Vienna,1949-1962
Franz Weselik,Rapid Vienna,1923-1934
Matthias Kaburek,Rapid Vienna,"1928-1936, 1939-1941, 1942-1944"
Rudolf Flögel,Rapid Vienna,1958-1972
Richard Kuthan,Rapid Vienna,"1912-1925, 1927-1930"
Alfred Körner,Rapid Vienna,1942-1959
Ferdinand Wesely,Rapid Vienna,1921-1931
Josef Uridil,Rapid Vienna,"1914-1925, 1926-1927"
Johann Riegler,Rapid Vienna,1948-1958
Eduard Bauer,Rapid Vienna,1911-1928
Johnny Bjerregaard,Rapid Vienna,1966-1972
Zlatko Kranjcar,Rapid Vienna,1984-1990
Steffen Hofmann,Rapid Vienna,"2002-2006, 2006-2018"
Gerhard Hanappi,Rapid Vienna,1950-1964
Erich Probst,Rapid Vienna,1950-1956
Jan Åge Fjørtoft,Rapid Vienna,1989-1993
René Wagner,Rapid Vienna,1996-2004
Robert Körner,Rapid Vienna,1938-1958
Reinhard Kienast,Rapid Vienna,1978-1992
Christian Keglevits,Rapid Vienna,"1979-1984, 1989-1991"
Antonín Panenka,Rapid Vienna,1980-1985
Leopold Grausam,Rapid Vienna,"1961-1962, 1963-1970"
Karl Wondrak,Rapid Vienna,1914-1927
Georg Schors,Rapid Vienna,1937-1947
Guido Burgstaller,Rapid Vienna,"2011-2014, 2022-2025"
Gustav Wieser,Rapid Vienna,1915-1921
Josef Bican,Rapid Vienna,1931-1935
Johann Luef,Rapid Vienna,1926-1937
Geza Gallos,Rapid Vienna,"1969-1973, 1977-1979"
Johann Pesser,Rapid Vienna,1929-1942
Gerald Willfurth,Rapid Vienna,1980-1989
Hermann Dvoracek,Rapid Vienna,1936-1945
August Starek,Rapid Vienna,"1965-1967, 1970-1971, 1973-1977"
Heimo Pfeifenberger,Rapid Vienna,1988-1992
Willibald Kirbes,Rapid Vienna,1922-1932
Peter Reiter,Rapid Vienna,1958-1962
Hamdi Salihi,Rapid Vienna,2009-2012
Leopold Gernhardt,Rapid Vienna,1939-1954
Max Schmid,Rapid Vienna,1961-1966
Stefan Schwab,Rapid Vienna,2014-2020
Deni Alar,Rapid Vienna,"2011-2016, 2018-2019, 2020-2021"
Heribert Weber,Rapid Vienna,1978-1989
Louis Schaub,Rapid Vienna,"2012-2018, 2024-2025"
Roman Wallner,Rapid Vienna,1999-2004
Marco Grüll,Rapid Vienna,2021-2024
Josef Bertalan,Rapid Vienna,1952-1963
Taxiarchis Fountas,Rapid Vienna,2019-2022
Paul Halla,Rapid Vienna,1953-1965
Erwin Hoffer,Rapid Vienna,2006-2009
Bernd Lorenz,Rapid Vienna,1971-1974
Nikica Jelavic,Rapid Vienna,"2008-2009, 2009-2010"
Heinrich Körner,Rapid Vienna,"1911-1919, 1920-1921"
Walter Skocik,Rapid Vienna,1959-1969
Lukas Aurednik,Rapid Vienna,"1935-1938, 1943-1943, 1944-1946"
Andreas Herzog,Rapid Vienna,"1986-1988, 1988-1992, 2002-2003"
Dietmar Kühbauer,Rapid Vienna,1992-1997
Peter Pacult,Rapid Vienna,1984-1986
Sulejman Halilovic,Rapid Vienna,1985-1988
Christian Stumpf,Rapid Vienna,1995-1998
Leopold Ströll,Rapid Vienna,1947-1950
Stefan Maierhofer,Rapid Vienna,"2008-2008, 2008-2009"
Christoph Knasmüllner,Rapid Vienna,2018-2023
Johann Hoffmann,Rapid Vienna,1925-1931
Johann Krejcirik,Rapid Vienna,1976-1980
Zoran Stojadinovic,Rapid Vienna,1987-1989
Ercan Kara,Rapid Vienna,"2020-2022, 2025-2025"
Günter Kaltenbrunner,Rapid Vienna,1967-1969
Johann Horvath,Rapid Vienna,1927-1930
Terrence Boyd,Rapid Vienna,2012-2014
Thomas Murg,Rapid Vienna,2016-2020
August Blaha,Rapid Vienna,
Marcus Pürk,Rapid Vienna,"1994-1995, 1997-1999"
Peter Hrstic,Rapid Vienna,1985-1988
Robert Beric,Rapid Vienna,2014-2015
Franz Kaspirek,Rapid Vienna,1936-1949
Leo Lainer,Rapid Vienna,1982-1988
Wilhelm Fitz,Rapid Vienna,
Andreas Heraf,Rapid Vienna,1994-2000
Ernst Happel,Rapid Vienna,"1942-1955, 1956-1959"
Philipp Schobesberger,Rapid Vienna,2014-2022
Bruno Messarosch,Rapid Vienna,1952-1958
Franz Wolny,Rapid Vienna,1960-1965
Marek Kincl,Rapid Vienna,"2004-2005, 2005-2007"
Johann Ostermann,Rapid Vienna,1932-1937
Branko Boskovic,Rapid Vienna,"2007-2008, 2008-2010, 2013-2014"
Andreas Ivanschitz,Rapid Vienna,2000-2006
Wilhelm Holec,Rapid Vienna,1937-1942
Mario Sonnleitner,Rapid Vienna,2010-2021
Josef Smistik,Rapid Vienna,1926-1938
Josef Brandstetter,Rapid Vienna,"1911-1924, 1924-1925"
Karl Brauneder,Rapid Vienna,"1983-1991, 1992-1994"
Helmut Kirisits,Rapid Vienna,1976-1979
Axel Lawarée,Rapid Vienna,2004-2006
Franz Hasil,Rapid Vienna,1962-1968
Christopher Trimmel,Rapid Vienna,2009-2014
Vukan Perovic,Rapid Vienna,"1978-1980, 1983-1983"
