rank,name,full_name,appearances,goals,assists,minutes_played,period,jersey_name,jersey_number,yellow_cards,red_cards,club,position,height,nation,nation_code,profile_url,image_url,club_logo_url,date_of_birth,place_of_birth,status
1,Roland Kollmann,Unknown,249,131,21,18.126,"2002-2007, 2008-2012",Kollmann,28,54,1,Grazer AK 1902,Attack - Centre-Forward,"1,83 m",Austria,at,https://www.transfermarkt.us/roland-kollmann/profil/spieler/5009,https://img.a.transfermarkt.technology/portrait/small/5009-1429880311.jpg?lm=1,,08.10.1976,Villach,Retired
2,Wilhelm Sgerm,Unknown,279,125,0,25.161,1955-1967,Sgerm,Unknown,3,1,Grazer AK 1902,Attack,Unknown,Austria,at,https://www.transfermarkt.us/wilhelm-sgerm/profil/spieler/413055,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,,24.03.1937,Unknown,Retired
3,Walter Koleznik,Unknown,482,103,0,42.019,1961-1979,Koleznik,-,9,1,Grazer AK 1902,Midfield,Unknown,Austria,at,https://www.transfermarkt.us/walter-koleznik/profil/spieler/291275,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,,17.10.1942,Unknown,Retired
4,Mario Zuenelli,Unknown,424,90,0,34.387,,Zuenelli,-,27,2,Grazer AK 1902,Defender,Unknown,Austria,at,https://www.transfermarkt.us/mario-zuenelli/profil/spieler/242136,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,,04.09.1954,Graz,Retired
5,Johannes Jank,Unknown,139,80,0,12.517,1958-1964,Jank,-,0,0,Grazer AK 1902,Attack,Unknown,Austria,at,https://www.transfermarkt.us/johannes-jank/profil/spieler/293133,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,,21.07.1936,Unknown,Retired
6,Eduard Glieder,Unknown,243,69,0,17.354,"1988-1994, 1995-1996",Glieder,9,25,0,Grazer AK 1902,Attack - Centre-Forward,,Austria,at,https://www.transfermarkt.us/eduard-glieder/profil/spieler/3030,https://img.a.transfermarkt.technology/portrait/small/3030-1587553921.jpg?lm=1,,28.01.1969,Graz,Retired
7,Johann Pigel,Unknown,325,64,0,24.504,"1978-1983, 1984-1989",Pigel,-,26,0,Grazer AK 1902,Attack - Left Winger,,Austria,at,https://www.transfermarkt.us/johann-pigel/profil/spieler/206125,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,,14.11.1956,Graz,Retired
8,Josef Stering,Unknown,329,63,0,29.021,"1968-1972, 1980-1986",Stering,-,21,3,Grazer AK 1902,Midfield - Central Midfield,"1,69 m",Austria,at,https://www.transfermarkt.us/josef-stering/profil/spieler/129502,https://img.a.transfermarkt.technology/portrait/small/129502-1638979744.jpg?lm=1,,06.03.1949,Pichling bei Köflach,Retired
9,Erwin Dampfhofer,Unknown,165,61,0,11.527,"1990-1995, 1996-1997",Dampfhofer,Unknown,10,0,Grazer AK 1902,Attack,Unknown,Austria,at,https://www.transfermarkt.us/erwin-dampfhofer/profil/spieler/142570,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,,30.08.1966,Unknown,Retired
10,Benedict Akwuegbu,Unknown,152,57,2,10.542,"1998-2002, 2003-2004",Akwuegbu,-,14,1,Grazer AK 1902,Attack - Centre-Forward,,Nigeria,ng,https://www.transfermarkt.us/benedict-akwuegbu/profil/spieler/5007,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,,03.11.1974,Lagos,Retired
11,Mario Bazina,Unknown,193,57,26,13.603,2001-2006,Bazina,-,19,0,Grazer AK 1902,Attack - Second Striker,"1,77 m",Croatia,hr,https://www.transfermarkt.us/mario-bazina/profil/spieler/4998,https://img.a.transfermarkt.technology/portrait/small/4998-1569941711.jpg?lm=1,,08.09.1975,Siroki Brijeg,Retired
12,Günther Koschak,Unknown,201,54,0,15.111,,Koschak,-,7,0,Grazer AK 1902,Attack,Unknown,Austria,at,https://www.transfermarkt.us/gunther-koschak/profil/spieler/204569,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,,11.09.1962,Unknown,Retired
13,Karl Aigner,Unknown,177,47,0,15.912,,Aigner,Unknown,2,1,Grazer AK 1902,Attack,Unknown,Austria,at,https://www.transfermarkt.us/karl-aigner/profil/spieler/564260,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,,14.07.1931,Unknown,Retired
14,Kurt Eigenstiller,Unknown,209,41,0,18.825,1951-1961,Eigenstiller,-,1,0,Grazer AK 1902,Attack,Unknown,Austria,at,https://www.transfermarkt.us/kurt-eigenstiller/profil/spieler/292494,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,,11.04.1928,Unknown,---
15,Karl Philipp,Unknown,328,39,0,26.015,1968-1980,Philipp,-,21,2,Grazer AK 1902,Midfield,Unknown,Austria,at,https://www.transfermarkt.us/karl-philipp/profil/spieler/344768,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,,05.02.1950,Unknown,Retired
16,Erwin Hohenwarter,Unknown,306,37,0,26.862,"1965-1969, 1977-1983",Hohenwarter,Unknown,13,1,Grazer AK 1902,Defender - Sweeper,,Austria,at,https://www.transfermarkt.us/erwin-hohenwarter/profil/spieler/100872,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,,01.12.1947,Maria Lankowitz,---
17,Dieter Ramusch,Unknown,360,37,12,29.546,1995-2005,Ramusch,-,43,0,Grazer AK 1902,Defender - Right-Back,"1,75 m",Austria,at,https://www.transfermarkt.us/dieter-ramusch/profil/spieler/5003,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,,31.10.1969,Traundorf bei Globasnitz,Retired
18,Harald Rebernig,Unknown,178,35,1,15.107,1969-1976,Rebernig,Unknown,1,1,Grazer AK 1902,Midfield,Unknown,Austria,at,https://www.transfermarkt.us/harald-rebernig/profil/spieler/377047,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,,06.10.1943,Unknown,Retired
19,Anton Maier,Unknown,194,33,0,17.516,1954-1962,Maier,Unknown,1,1,Grazer AK 1902,Midfield,Unknown,Austria,at,https://www.transfermarkt.us/anton-maier/profil/spieler/508478,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,,29.03.1931,Unknown,Retired
20,Herbert Wieger,Unknown,140,33,0,7.779,"1994-1999, 2000-2001",Wieger,-,12,2,Grazer AK 1902,Attack - Centre-Forward,"1,71 m",Austria,at,https://www.transfermarkt.us/herbert-wieger/profil/spieler/17070,https://img.a.transfermarkt.technology/portrait/small/s_17070_2394_2010_1.jpg?lm=1,,07.02.1972,Linz,Retired
21,Wilhelm Huberts,Unknown,239,32,0,21.352,"1954-1959, 1971-1975",Huberts,-,4,0,Grazer AK 1902,Midfield - Attacking Midfield,,Austria,at,https://www.transfermarkt.us/wilhelm-huberts/profil/spieler/99707,https://img.a.transfermarkt.technology/portrait/small/99707-1446130856.jpg?lm=1,,22.02.1938,Voitsberg,---
22,Anton Ehmann,Unknown,253,31,6,20.731,1997-2006,Ehmann,3,55,1,Grazer AK 1902,Defender - Centre-Back,,Austria,at,https://www.transfermarkt.us/anton-ehmann/profil/spieler/4990,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,,17.12.1972,Unknown,Retired
23,Leo Weiss,Leonhard Weiss,145,29,0,10.851,"1975-1979, 1980-1982",Weiss,Unknown,16,0,Grazer AK 1902,Attack,"1,73 m",Austria,at,https://www.transfermarkt.us/leo-weiss/profil/spieler/178993,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,,10.04.1954,Feldbach,Retired
24,Hermann Stessl,Unknown,233,28,1,20.426,1957-1970,Stessl,Unknown,1,0,Grazer AK 1902,Midfield,Unknown,Austria,at,https://www.transfermarkt.us/hermann-stessl/profil/spieler/413026,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,,03.09.1940,Graz,Retired
25,Peter Vidalli,Unknown,150,28,0,9.56,1975-1980,Vidalli,-,6,1,Grazer AK 1902,Attack,Unknown,Austria,at,https://www.transfermarkt.us/peter-vidalli/profil/spieler/344763,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,,09.03.1955,Unknown,Retired
