rank,name,full_name,appearances,goals,assists,minutes_played,period,jersey_name,jersey_number,yellow_cards,red_cards,club,position,height,nation,nation_code,profile_url,image_url,club_logo_url,date_of_birth,place_of_birth,status
1,Franz Binder,Unknown,314,391,1,28.355,1930-1949,Unknown,Unknown,0,2,Rapid Vienna,Unknown,Unknown,Austria,at,https://www.transfermarkt.us/franz-binder/profil/spieler/260211,https://img.a.transfermarkt.technology/portrait/small/260211-1643121006.jpg?lm=1,,01.12.1911,Unknown,---
2,Hans Krankl,Unknown,448,333,0,39.529,"1971-1971, 1972-1978, 1981-1986",Unknown,Unknown,31,3,Rapid Vienna,Unknown,Unknown,Austria,at,https://www.transfermarkt.us/hans-krankl/profil/spieler/78388,https://img.a.transfermarkt.technology/portrait/small/78388-1466159673.jpg?lm=1,,14.02.1953,Unknown,Retired
3,Robert Dienst,Unknown,322,322,0,28.819,1949-1962,Unknown,Unknown,5,1,Rapid Vienna,Unknown,Unknown,Austria,at,https://www.transfermarkt.us/robert-dienst/profil/spieler/137185,https://img.a.transfermarkt.technology/portrait/small/137185-1588853707.jpg?lm=1,,01.03.1928,Unknown,---
4,Franz Weselik,Unknown,226,218,0,20.516,1923-1934,Unknown,Unknown,0,2,Rapid Vienna,Unknown,Unknown,Austria,at,https://www.transfermarkt.us/franz-weselik/profil/spieler/260214,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,,20.04.1903,Unknown,---
5,Matthias Kaburek,Unknown,215,205,0,19.372,"1928-1936, 1939-1941, 1942-1944",Unknown,Unknown,0,1,Rapid Vienna,Unknown,Unknown,Austria,at,https://www.transfermarkt.us/matthias-kaburek/profil/spieler/260213,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,,09.02.1911,Unknown,---
6,Rudolf Flögel,Unknown,455,199,0,40.315,1958-1972,Unknown,Unknown,2,0,Rapid Vienna,Unknown,Unknown,Austria,at,https://www.transfermarkt.us/rudolf-flogel/profil/spieler/247065,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,,13.12.1939,Unknown,Retired
7,Richard Kuthan,Unknown,268,177,0,24.168,"1912-1925, 1927-1930",Unknown,Unknown,0,0,Rapid Vienna,Unknown,Unknown,Austria,at,https://www.transfermarkt.us/richard-kuthan/profil/spieler/260552,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,,03.07.1891,Unknown,---
8,Alfred Körner,Unknown,317,174,2,28.484,1942-1959,Unknown,Unknown,1,1,Rapid Vienna,Unknown,Unknown,Austria,at,https://www.transfermarkt.us/alfred-korner/profil/spieler/137198,https://img.a.transfermarkt.technology/portrait/small/137198-1579792306.jpg?lm=1,,14.02.1926,Unknown,---
9,Ferdinand Wesely,Unknown,261,164,0,23.669,1921-1931,Unknown,Unknown,0,1,Rapid Vienna,Unknown,Unknown,Austria,at,https://www.transfermarkt.us/ferdinand-wesely/profil/spieler/233198,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,,30.05.1897,Unknown,---
10,Josef Uridil,Unknown,117,141,1,10.558,"1914-1925, 1926-1927",Unknown,Unknown,0,0,Rapid Vienna,Unknown,Unknown,Austria,at,https://www.transfermarkt.us/josef-uridil/profil/spieler/260553,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,,24.12.1895,Unknown,---
11,Johann Riegler,Unknown,239,138,0,21.51,1948-1958,Unknown,Unknown,0,0,Rapid Vienna,Unknown,Unknown,Austria,at,https://www.transfermarkt.us/johann-riegler/profil/spieler/170333,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,,17.07.1929,Unknown,---
12,Eduard Bauer,Unknown,197,138,0,17.667,1911-1928,Unknown,Unknown,0,1,Rapid Vienna,Unknown,Unknown,Austria,at,https://www.transfermarkt.us/eduard-bauer/profil/spieler/260579,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,,13.02.1894,Unknown,---
13,Johnny Bjerregaard,Unknown,211,132,2,18.53,1966-1972,Unknown,Unknown,2,0,Rapid Vienna,Unknown,Unknown,Denmark,dk,https://www.transfermarkt.us/johnny-bjerregaard/profil/spieler/259447,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,,19.01.1943,Unknown,Retired
14,Zlatko Kranjcar,Unknown,269,132,2,22.403,1984-1990,Unknown,Unknown,31,0,Rapid Vienna,Unknown,Unknown,Croatia,hr,https://www.transfermarkt.us/zlatko-kranjcar/profil/spieler/183929,https://img.a.transfermarkt.technology/portrait/small/183929-1445243206.jpg?lm=1,,15.11.1956,Unknown,---
15,Steffen Hofmann,Unknown,540,128,208,41.272,"2002-2006, 2006-2018",Unknown,Unknown,65,0,Rapid Vienna,Unknown,Unknown,Germany,de,https://www.transfermarkt.us/steffen-hofmann/profil/spieler/2925,https://img.a.transfermarkt.technology/portrait/small/2925-1501066336.jpg?lm=1,,09.09.1980,Unknown,Retired
16,Gerhard Hanappi,Unknown,400,125,0,35.985,1950-1964,Unknown,Unknown,0,0,Rapid Vienna,Unknown,Unknown,Austria,at,https://www.transfermarkt.us/gerhard-hanappi/profil/spieler/75999,https://img.a.transfermarkt.technology/portrait/small/75999-1654613026.png?lm=1,,16.02.1929,Unknown,---
17,Erich Probst,Unknown,118,113,1,10.586,1950-1956,Unknown,Unknown,0,1,Rapid Vienna,Unknown,Unknown,Austria,at,https://www.transfermarkt.us/erich-probst/profil/spieler/137208,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,,05.12.1927,Unknown,---
18,Jan Åge Fjørtoft,Unknown,162,92,0,13.355,1989-1993,Unknown,Unknown,16,0,Rapid Vienna,Unknown,Unknown,Norway,no,https://www.transfermarkt.us/jan-age-fjortoft/profil/spieler/514,https://img.a.transfermarkt.technology/portrait/small/514-1493389250.jpg?lm=1,,10.01.1967,Unknown,Retired
19,René Wagner,Unknown,261,90,13,17.909,1996-2004,Unknown,Unknown,40,4,Rapid Vienna,Unknown,Unknown,Czech Republic,cz,https://www.transfermarkt.us/rene-wagner/profil/spieler/2931,https://img.a.transfermarkt.technology/portrait/small/2931-1445342074.jpg?lm=1,,31.10.1972,Unknown,Retired
20,Walter Seitl,Unknown,186,90,1,16.326,,Unknown,Unknown,3,1,Rapid Vienna,Unknown,Unknown,Austria,at,https://www.transfermarkt.us/walter-seitl/profil/spieler/291384,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,,15.03.1941,Unknown,---
