name,status,profile_url,image_url,jersey_name,jersey_number,nation,nation_code,club,place_of_birth,full_name,position,height,date_of_birth,appearances,goals,assists,own_goals,yellow_cards,second_yellow,red_cards,substituted_on,substituted_off,minutes_played
Frédéric Herpoel,Retired,https://www.transfermarkt.us/frederic-herpoel/profil/spieler/13744,https://img.a.transfermarkt.technology/portrait/small/13744-1616773020.jpg?lm=1,Herpoel,12,Belgium,be,KAA Gent,Havré,Unknown,Goalkeeper,"1,83 m",16.08.1974,381,2,0,0,11,0,1,1,0,34.440
Sven Kums,KAA Gent,https://www.transfermarkt.us/sven-kums/profil/spieler/42735,https://img.a.transfermarkt.technology/portrait/small/42735-1704960098.jpg?lm=1,Kums,14,Belgium,be,KAA Gent,Asse,Unknown,Midfield - Central Midfield,"1,76 m",26.02.1988,351,33,42,0,44,1,1,44,96,26.892
André Lauryssen,Retired,https://www.transfermarkt.us/andre-lauryssen/profil/spieler/482128,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,Lauryssen,-,Belgium,be,KAA Gent,Unknown,Unknown,Goalkeeper,Unknown,30.10.1953,291,0,0,0,8,0,1,0,0,26.318
Luc Criel,---,https://www.transfermarkt.us/luc-criel/profil/spieler/668723,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,Criel,Unknown,Belgium,be,KAA Gent,Gent,Unknown,Defender,Unknown,07.01.1958,283,9,0,0,23,0,0,1,7,25.254
Nana Asare,Retired,https://www.transfermarkt.us/nana-asare/profil/spieler/18759,https://img.a.transfermarkt.technology/portrait/small/18759-1681326663.jpg?lm=1,Asare,-,Ghana,gh,KAA Gent,Kumasi,Nana Akwasi Asare,Defender - Left-Back,"1,75 m",11.07.1986,272,4,16,0,63,0,3,10,17,23.413
Laurent Depoitre,Retired,https://www.transfermarkt.us/laurent-depoitre/profil/spieler/90583,https://img.a.transfermarkt.technology/portrait/small/90583-1704960219.jpg?lm=1,Depoitre,-,Belgium,be,KAA Gent,Tournai,Unknown,Attack - Centre-Forward,"1,91 m",07.12.1988,253,70,31,0,14,0,0,68,83,16.663
Brecht Dejaegere,KV Kortrijk,https://www.transfermarkt.us/brecht-dejaegere/profil/spieler/159098,https://img.a.transfermarkt.technology/portrait/small/159098-1709368362.jpg?lm=1,Dejaegere,Unknown,Belgium,be,KAA Gent,Oostende,Brecht Emiel Dejaegere,Midfield - Central Midfield,"1,73 m",29.05.1991,247,23,30,0,37,3,1,60,112,15.864
Frank Dauwen,Retired,https://www.transfermarkt.us/frank-dauwen/profil/spieler/131832,https://img.a.transfermarkt.technology/portrait/small/131832-1633990209.jpg?lm=1,Dauwen,14,Belgium,be,KAA Gent,Geel,Unknown,Midfield - Defensive Midfield,"1,98 m",03.11.1967,240,21,1,0,43,1,3,4,20,20.768
Edin Ramcic,Retired,https://www.transfermarkt.us/edin-ramcic/profil/spieler/18389,https://img.a.transfermarkt.technology/portrait/small/18389-1738244048.jpg?lm=1,Ramcic,-,Bosnia-Herzegovina,unknown,KAA Gent,Unknown,Unknown,Defender - Centre-Back,"1,85 m",01.08.1970,216,2,2,2,17,1,1,17,20,17.675
Sandy Martens,Retired,https://www.transfermarkt.us/sandy-martens/profil/spieler/9649,https://img.a.transfermarkt.technology/portrait/small/9649-1537869497.jpg?lm=1,Martens,16,Belgium,be,KAA Gent,Opbrakel,Unknown,Attack - Centre-Forward,"1,91 m",23.12.1972,215,47,7,1,16,0,2,21,37,17.353
