name,status,profile_url,image_url,jersey_name,jersey_number,nation,nation_code,club,place_of_birth,full_name,position,height,date_of_birth,appearances,goals,assists,own_goals,yellow_cards,second_yellow,red_cards,substituted_on,substituted_off,minutes_played
Bjorn Ruytinx,Retired,https://www.transfermarkt.us/bjorn-ruytinx/profil/spieler/33130,https://img.a.transfermarkt.technology/portrait/small/33130-1617091108.jpg?lm=1,Ruytinx,Unknown,Belgium,be,Oud-Heverlee Leuven,Herk-de-Stad,Unknown,Attack - Centre-Forward,"1,85 m",18.08.1980,248,77,22,0,69,1,1,59,101,16.901
Mathieu Maertens,Oud-Heverlee Leuven,https://www.transfermarkt.us/mathieu-maertens/profil/spieler/310131,https://img.a.transfermarkt.technology/portrait/small/310131-1713337167.png?lm=1,Maertens,Unknown,Belgium,be,Oud-Heverlee Leuven,Unknown,Unknown,Midfield - Attacking Midfield,"1,85 m",27.03.1995,216,47,20,1,40,0,1,30,67,16.383
Joeri Vastmans,Retired,https://www.transfermarkt.us/joeri-vastmans/profil/spieler/20367,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,Vastmans,Unknown,Belgium,be,Oud-Heverlee Leuven,Unknown,Unknown,Defender - Left-Back,"1,81 m",05.12.1983,179,2,1,2,31,1,0,3,10,15.579
Thomas Azevedo,Bocholt VV,https://www.transfermarkt.us/thomas-azevedo/profil/spieler/100101,https://img.a.transfermarkt.technology/portrait/small/100101-1487697132.jpg?lm=1,Azevedo,-,Belgium,be,Oud-Heverlee Leuven,Peer,Thomas Azevedo Guimarâes,Attack - Left Winger,"1,71 m",31.08.1991,170,19,12,0,13,0,0,83,64,7.963
Siebe Schrijvers,Oud-Heverlee Leuven,https://www.transfermarkt.us/siebe-schrijvers/profil/spieler/208552,https://img.a.transfermarkt.technology/portrait/small/208552-1713336899.png?lm=1,Schrijvers,10,Belgium,be,Oud-Heverlee Leuven,Peer,Unknown,Midfield - Central Midfield,"1,79 m",18.07.1996,136,17,13,1,26,0,0,25,51,9.894
Pierre-Yves Ngawa,RFC Lüttich,https://www.transfermarkt.us/pierre-yves-ngawa/profil/spieler/140786,https://img.a.transfermarkt.technology/portrait/small/140786-1713280482.png?lm=1,Ngawa,2,Belgium,be,Oud-Heverlee Leuven,Liège,Pierre-Yves Raffaella Michel Lucien Ngawa,Defender - Centre-Back,"1,87 m",09.02.1992,134,2,2,1,24,1,3,24,8,9.892
Tail Schoonjans,Retired,https://www.transfermarkt.us/tail-schoonjans/profil/spieler/33133,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,Schoonjans,Unknown,Belgium,be,Oud-Heverlee Leuven,Brüssel,Unknown,Attack - Right Winger,"1,91 m",19.08.1986,132,15,1,0,18,0,1,52,55,7.281
Jovan Kostovski,Retired,https://www.transfermarkt.us/jovan-kostovski/profil/spieler/26980,https://img.a.transfermarkt.technology/portrait/small/s_26980_77_2010_1.jpg?lm=1,Kostovski,23,North Macedonia,mk,Oud-Heverlee Leuven,Skopje,Јован Костовски,Attack - Centre-Forward,"1,88 m",19.04.1987,123,35,5,0,17,0,3,37,38,7.654
Kenneth Van Goethem,Retired,https://www.transfermarkt.us/kenneth-van-goethem/profil/spieler/30672,https://img.a.transfermarkt.technology/portrait/small/30672-1741360968.jpg?lm=1,Van Goethem,Unknown,Belgium,be,Oud-Heverlee Leuven,Aarschot,Unknown,Midfield - Defensive Midfield,"1,78 m",13.02.1984,118,3,2,0,16,0,0,7,28,9.665
Logan Bailly,Royal Excelsior Virton,https://www.transfermarkt.us/logan-bailly/profil/spieler/13021,https://img.a.transfermarkt.technology/portrait/small/13021-1534931052.jpg?lm=1,Bailly,1,Belgium,be,Oud-Heverlee Leuven,Liège,Unknown,Goalkeeper,"1,89 m",27.12.1985,113,0,1,0,8,0,0,0,1,10.163
Xavier Mercier,Gallia Club d'Uchaud,https://www.transfermarkt.us/xavier-mercier/profil/spieler/190146,https://img.a.transfermarkt.technology/portrait/small/190146-1709884494.png?lm=1,Mercier,Unknown,France,fr,Oud-Heverlee Leuven,Alès,Xavier Jacques Mercier,Midfield - Attacking Midfield,"1,74 m",25.07.1989,99,18,39,0,6,0,1,4,30,8.158
Jordan Remacle,Retired,https://www.transfermarkt.us/jordan-remacle/profil/spieler/30671,https://img.a.transfermarkt.technology/portrait/small/30671-1487768431.jpg?lm=1,Remacle,17,Belgium,be,Oud-Heverlee Leuven,Verviers,Unknown,Attack - Right Winger,"1,75 m",14.02.1987,97,35,32,0,14,0,1,2,28,8.325
Derrick Tshimanga,Beerschot VA,https://www.transfermarkt.us/derrick-tshimanga/profil/spieler/78507,https://img.a.transfermarkt.technology/portrait/small/78507-1711612728.png?lm=1,Tshimanga,20,Belgium,be,Oud-Heverlee Leuven,Kinshasa,Derrick Katuku Tshimanga,Defender - Centre-Back,"1,76 m",06.11.1988,97,5,5,0,20,0,1,9,13,7.592
Ugo Nwadikwa,VK Holsbeek,https://www.transfermarkt.us/ugo-nwadikwa/profil/spieler/33127,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,Nwadikwa,Unknown,Belgium,be,Oud-Heverlee Leuven,Unknown,Unknown,Defender - Right-Back,"1,86 m",25.11.1987,97,1,0,1,8,0,0,19,8,7.361
Sammy Greven,Retired,https://www.transfermarkt.us/sammy-greven/profil/spieler/20309,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,Greven,Unknown,Belgium,be,Oud-Heverlee Leuven,Aarschot,Unknown,Defender - Centre-Back,"1,80 m",08.07.1973,96,8,0,0,13,1,0,3,5,8.303
Casper De Norre,Millwall FC,https://www.transfermarkt.us/casper-de-norre/profil/spieler/292806,https://img.a.transfermarkt.technology/portrait/small/292806-1611942504.jpg?lm=1,De Norre,5,Belgium,be,Oud-Heverlee Leuven,Hasselt,Unknown,Midfield - Central Midfield,"1,75 m",07.02.1997,95,9,12,1,9,0,0,0,10,8.359
