name,status,profile_url,image_url,jersey_name,jersey_number,nation,nation_code,club,place_of_birth,full_name,position,height,date_of_birth,appearances,goals,assists,own_goals,yellow_cards,second_yellow,red_cards,substituted_on,substituted_off,minutes_played
Dante Brogno,Retired,https://www.transfermarkt.us/dante-brogno/profil/spieler/143582,https://img.a.transfermarkt.technology/portrait/small/143582-1609687345.jpg?lm=1,Brogno,13,Belgium,be,R Charleroi SC,Charleroi,Unknown,Attack - Centre-Forward,"1,77 m",02.05.1966,426,121,21,0,52,3,2,62,102,33.044
Raymond Mommens,Retired,https://www.transfermarkt.us/raymond-mommens/profil/spieler/118159,https://img.a.transfermarkt.technology/portrait/small/118159-1611489376.jpg?lm=1,Mommens,9,Belgium,be,R Charleroi SC,Lebbeke,Unknown,Midfield - Left Midfield,Unknown,27.12.1958,334,20,0,0,24,1,0,24,60,26.565
Mahamoudou Kéré,Retired,https://www.transfermarkt.us/mahamoudou-kere/profil/spieler/12949,https://img.a.transfermarkt.technology/portrait/small/12949-1537879652.jpg?lm=1,Kéré,-,Burkina Faso,bf,R Charleroi SC,Ouagadougou,Unknown,Defender - Centre-Back,"1,84 m",02.01.1982,325,9,6,2,55,5,7,16,19,27.310
Frank Defays,Retired,https://www.transfermarkt.us/frank-defays/profil/spieler/12915,https://img.a.transfermarkt.technology/portrait/small/12915-1616774181.jpg?lm=1,Defays,Unknown,Belgium,be,R Charleroi SC,Namur,Unknown,Defender - Right-Back,"1,86 m",23.02.1974,309,10,8,3,43,5,2,3,11,27.147
Javi Martos,Retired,https://www.transfermarkt.us/javi-martos/profil/spieler/8733,https://img.a.transfermarkt.technology/portrait/small/8733-1655554289.png?lm=1,Martos,Unknown,Spain,es,R Charleroi SC,Alamedilla,Francisco Javier Martos Espigares,Defender - Centre-Back,"1,81 m",04.01.1984,303,0,6,2,20,0,0,2,28,26.505
Roch Gérard,Retired,https://www.transfermarkt.us/roch-gerard/profil/spieler/432540,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,Gérard,-,Belgium,be,R Charleroi SC,Unknown,Unknown,Defender - Right-Back,Unknown,04.01.1972,264,21,1,2,48,6,2,52,41,19.144
Fabrizio Silvagni,Retired,https://www.transfermarkt.us/fabrizio-silvagni/profil/spieler/443392,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,Silvagni,Unknown,Belgium,be,R Charleroi SC,Tamines,Fabrizio Silvio Silvagni,Defender - Centre-Back,Unknown,26.08.1966,246,12,0,1,20,0,1,17,15,20.593
Marco Ilaimaharitra,KV Kortrijk,https://www.transfermarkt.us/marco-ilaimaharitra/profil/spieler/205550,https://img.a.transfermarkt.technology/portrait/small/205550-1672593922.jpg?lm=1,Ilaimaharitra,-,Madagascar,mg,R Charleroi SC,Mulhouse,Unknown,Midfield - Defensive Midfield,"1,78 m",26.07.1995,231,15,14,0,65,1,3,17,56,18.823
Nicolas Penneteau,Retired,https://www.transfermarkt.us/nicolas-penneteau/profil/spieler/5578,https://img.a.transfermarkt.technology/portrait/small/5578-1639678389.png?lm=1,Penneteau,-,France,fr,R Charleroi SC,Marseille,Unknown,Goalkeeper,"1,85 m",28.02.1981,230,0,0,1,6,0,2,0,0,20.687
Theo Vermeir,Retired,https://www.transfermarkt.us/theo-vermeir/profil/spieler/919502,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,Vermeir,Unknown,Belgium,be,R Charleroi SC,Unknown,Unknown,Defender,Unknown,22.06.1950,218,3,0,0,5,0,0,2,13,19.143
