rank,name,full_name,appearances,goals,assists,minutes_played,period,jersey_name,jersey_number,yellow_cards,red_cards,club,position,height,nation,nation_code,profile_url,image_url,club_logo_url,date_of_birth,place_of_birth,status
1,Dante Brogno,Unknown,426,121,21,33.044,N/A,Brogno,13,52,2,R Charleroi SC,Attack - Centre-Forward,"1,77 m",Belgium,be,https://www.transfermarkt.us/dante-brogno/profil/spieler/143582,https://img.a.transfermarkt.technology/portrait/small/143582-1609687345.jpg?lm=1,N/A,02.05.1966,Charleroi,Retired
2,Charly Jacobs,Charles Jacobs,201,67,0,16.950,N/A,Jacobs,10,11,0,R Charleroi SC,Attack - Centre-Forward,Unknown,Belgium,be,https://www.transfermarkt.us/charly-jacobs/profil/spieler/282107,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,21.07.1948,Charleroi,---
3,Didier Beugnies,Unknown,190,61,0,15.646,N/A,Beugnies,Unknown,17,0,R Charleroi SC,Attack,Unknown,Belgium,be,https://www.transfermarkt.us/didier-beugnies/profil/spieler/490338,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,14.03.1961,Frameries,Retired
4,Rainer Gebauer,Unknown,184,54,0,15.959,N/A,Gebauer,Unknown,1,0,R Charleroi SC,Attack - Right Winger,,Germany,de,https://www.transfermarkt.us/rainer-gebauer/profil/spieler/97232,https://img.a.transfermarkt.technology/portrait/small/97232-1636130096.jpg?lm=1,N/A,24.08.1951,Bonn,Retired
5,Nebojsa Malbasa,Небојша Малбаша,123,46,0,10.456,N/A,Malbasa,-,15,1,R Charleroi SC,Attack,Unknown,Serbia,rs,https://www.transfermarkt.us/nebojsa-malbasa/profil/spieler/120406,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,25.06.1959,Belgrad,Retired
6,Kaveh Rezaei,کاوه رضایی,99,41,12,7.305,N/A,Rezaei,24,10,0,R Charleroi SC,Attack - Centre-Forward,"1,85 m",Iran,ir,https://www.transfermarkt.us/kaveh-rezaei/profil/spieler/132553,https://img.a.transfermarkt.technology/portrait/small/132553-1608842913.jpg?lm=1,N/A,05.04.1992,"Eslamabad Gharb, Kermanshah",Sepahan FC
7,Jérémy Perbet,Unknown,90,40,4,5.084,N/A,Perbet,Unknown,7,1,R Charleroi SC,Attack - Centre-Forward,"1,84 m",France,fr,https://www.transfermarkt.us/jeremy-perbet/profil/spieler/23966,https://img.a.transfermarkt.technology/portrait/small/23966-1487325892.jpg?lm=1,N/A,12.12.1984,Le Puy-en-Velay,Without Club
8,Jean Boulet,Unknown,96,39,0,8.447,N/A,Boulet,Unknown,1,0,R Charleroi SC,Attack - Centre-Forward,Unknown,Belgium,be,https://www.transfermarkt.us/jean-boulet/profil/spieler/825946,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,15.01.1942,Unknown,---
9,Jean-Jacques Missé-Missé,Unknown,103,39,0,8.897,N/A,Missé-Missé,-,6,0,R Charleroi SC,Attack - Centre-Forward,"1,80 m",Cameroon,cm,https://www.transfermarkt.us/jean-jacques-misse-misse/profil/spieler/15540,https://img.a.transfermarkt.technology/portrait/small/15540-1611489343.jpg?lm=1,N/A,07.08.1968,Yaoundé,Retired
10,Claude Bissot,Unknown,97,38,0,7.597,N/A,Bissot,Unknown,0,0,R Charleroi SC,Attack,Unknown,Belgium,be,https://www.transfermarkt.us/claude-bissot/profil/spieler/825948,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,15.05.1947,Unknown,Retired
11,David Pollet,Unknown,135,34,8,8.539,N/A,Pollet,-,13,0,R Charleroi SC,Attack - Centre-Forward,"1,91 m",Belgium,be,https://www.transfermarkt.us/david-pollet/profil/spieler/56811,https://img.a.transfermarkt.technology/portrait/small/56811-1669140981.png?lm=1,N/A,12.08.1988,La Bassée,Wasquehal Football
12,Shamar Nicholson,Shamar Amaro Nicholson,83,31,11,5.339,N/A,Nicholson,-,7,0,R Charleroi SC,Attack - Centre-Forward,"1,90 m",Jamaica,jm,https://www.transfermarkt.us/shamar-nicholson/profil/spieler/354666,https://img.a.transfermarkt.technology/portrait/small/354666-1722687123.png?lm=1,N/A,16.03.1997,Kingston,Club Tijuana
13,Cristian Benavente,Cristian Benavente Bristol,107,29,10,6.394,N/A,Benavente,24,12,0,R Charleroi SC,Midfield - Attacking Midfield,"1,72 m",Peru,pe,https://www.transfermarkt.us/cristian-benavente/profil/spieler/232859,https://img.a.transfermarkt.technology/portrait/small/232859-1677427407.jpg?lm=1,N/A,19.05.1994,Alcalá de Henares,FC Buzău
14,Daan Heymans,Unknown,117,28,6,7.815,N/A,Heymans,8,19,0,R Charleroi SC,Midfield - Attacking Midfield,"1,89 m",Belgium,be,https://www.transfermarkt.us/daan-heymans/profil/spieler/446491,https://img.a.transfermarkt.technology/portrait/small/446491-1672593669.jpg?lm=1,N/A,15.06.1999,Turnhout,R Charleroi SC
15,Mamadou Fall,Unknown,141,28,11,8.998,N/A,Fall,-,7,1,R Charleroi SC,Attack - Right Winger,"1,84 m",Senegal,sn,https://www.transfermarkt.us/mamadou-fall/profil/spieler/289713,https://img.a.transfermarkt.technology/portrait/small/289713-1727699555.jpg?lm=1,N/A,31.12.1991,Dakar,Kasimpasa
16,Sergio Rojas,Ruben Sergio Rojas,86,28,12,5.668,N/A,Rojas,Unknown,9,0,R Charleroi SC,Attack - Centre-Forward,"1,83 m",Argentina,ar,https://www.transfermarkt.us/sergio-rojas/profil/spieler/22375,https://img.a.transfermarkt.technology/portrait/small/22375-1730504341.jpg?lm=1,N/A,08.11.1973,Buenois Aires,Retired
17,Joseph Akpala,Joseph Eneojo Akpala,64,27,5,3.751,N/A,Akpala,9,8,0,R Charleroi SC,Attack - Centre-Forward,"1,84 m",Nigeria,ng,https://www.transfermarkt.us/joseph-akpala/profil/spieler/38000,https://img.a.transfermarkt.technology/portrait/small/38000-1487767535.jpg?lm=1,N/A,24.08.1986,Jos,Retired
18,Georget Bertoncello,Unknown,125,27,0,10.440,N/A,Bertoncello,Unknown,0,2,R Charleroi SC,Attack,"1,68 m",Belgium,be,https://www.transfermarkt.us/georget-bertoncello/profil/spieler/744656,https://img.a.transfermarkt.technology/portrait/small/744656-1683201659.jpg?lm=1,N/A,03.09.1943,Charleroi,---
19,Eduardo,Unknown,88,26,7,6.524,N/A,Eduardo,Unknown,7,0,R Charleroi SC,Attack - Centre-Forward,"1,83 m",Brazil,br,https://www.transfermarkt.us/eduardo/profil/spieler/6802,https://img.a.transfermarkt.technology/portrait/small/6802-1607166329.jpg?lm=1,N/A,13.10.1979,Rio de Janeiro,Retired
20,Cyril Théréau,Unknown,88,25,5,6.558,N/A,Théréau,Unknown,10,0,R Charleroi SC,Attack - Centre-Forward,"1,89 m",France,fr,https://www.transfermarkt.us/cyril-thereau/profil/spieler/29316,https://img.a.transfermarkt.technology/portrait/small/29316-1449133143.jpg?lm=1,N/A,24.04.1983,Privas,Retired
21,Gregory Dufer,Unknown,143,24,20,11.500,N/A,Dufer,17,15,0,R Charleroi SC,Attack - Right Winger,"1,76 m",Belgium,be,https://www.transfermarkt.us/gregory-dufer/profil/spieler/12924,https://img.a.transfermarkt.technology/portrait/small/12924-1537879674.jpg?lm=1,N/A,19.12.1981,Charleroi,Retired
22,Ali Gholizadeh,علی قلی‌زاده,143,23,26,9.671,N/A,Gholizadeh,-,15,0,R Charleroi SC,Attack - Right Winger,"1,75 m",Iran,ir,https://www.transfermarkt.us/ali-gholizadeh/profil/spieler/294772,https://img.a.transfermarkt.technology/portrait/small/294772-1669371211.jpg?lm=1,N/A,10.03.1996,Tehran,Lech Poznan
23,Samuel Remy,Unknown,147,23,5,8.267,N/A,Remy,8,14,0,R Charleroi SC,Midfield - Left Midfield,,Belgium,be,https://www.transfermarkt.us/samuel-remy/profil/spieler/33128,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,23.10.1973,Namur,Retired
24,Neeskens Kebano,Unknown,72,23,14,5.632,N/A,Kebano,10,4,0,R Charleroi SC,Attack - Left Winger,"1,70 m",DR Congo,unknown,https://www.transfermarkt.us/neeskens-kebano/profil/spieler/111422,https://img.a.transfermarkt.technology/portrait/small/111422-1628697566.jpg?lm=1,N/A,10.03.1992,Montereau,Al-Jazira Club
25,Harlem Gnohéré,Harlem-Eddy Gnohéré,60,22,7,3.114,N/A,Gnohéré,Unknown,9,0,R Charleroi SC,Attack - Centre-Forward,"1,83 m",France,fr,https://www.transfermarkt.us/harlem-gnohere/profil/spieler/70778,https://img.a.transfermarkt.technology/portrait/small/70778-1518784878.jpg?lm=1,N/A,21.02.1988,Paris,Retired
26,Roch Gérard,Unknown,264,21,1,19.144,N/A,Gérard,-,48,2,R Charleroi SC,Defender - Right-Back,Unknown,Belgium,be,https://www.transfermarkt.us/roch-gerard/profil/spieler/432540,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,04.01.1972,Unknown,Retired
27,Victor Osimhen,Victor James Osimhen,36,20,4,2.935,N/A,Osimhen,9,3,0,R Charleroi SC,Attack - Centre-Forward,"1,86 m",Nigeria,ng,https://www.transfermarkt.us/victor-osimhen/profil/spieler/401923,https://img.a.transfermarkt.technology/portrait/small/401923-1737730981.jpg?lm=1,N/A,29.12.1998,Lagos,Galatasaray
28,Raymond Mommens,Unknown,334,20,0,26.565,N/A,Mommens,9,24,0,R Charleroi SC,Midfield - Left Midfield,Unknown,Belgium,be,https://www.transfermarkt.us/raymond-mommens/profil/spieler/118159,https://img.a.transfermarkt.technology/portrait/small/118159-1611489376.jpg?lm=1,N/A,27.12.1958,Lebbeke,Retired
29,İzzet Akgül,Unknown,64,20,6,3.717,N/A,Akgül,Unknown,12,0,R Charleroi SC,Attack - Centre-Forward,"1,86 m",Türkiye,tr,https://www.transfermarkt.us/izzet-akgul/profil/spieler/22333,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,28.01.1982,Namur,Retired
30,Osvaldo Hurtado,Osvaldo Heriberto Hurtado Galleguillos,78,19,0,6.461,N/A,Hurtado,-,2,0,R Charleroi SC,Attack,,Chile,cl,https://www.transfermarkt.us/osvaldo-hurtado/profil/spieler/364994,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,02.11.1957,Arica,Retired
31,Moussa Gueye,Moussa Gueye Mame,43,19,3,2.646,N/A,Gueye,11,7,0,R Charleroi SC,Attack - Centre-Forward,"1,86 m",Senegal,sn,https://www.transfermarkt.us/moussa-gueye/profil/spieler/66926,https://img.a.transfermarkt.technology/portrait/small/66926-1597831076.jpg?lm=1,N/A,20.02.1989,Dakar,Retired
32,Habib Habibou,Mouhamadou Habib Habibou,75,19,3,4.002,N/A,Habibou,20,7,1,R Charleroi SC,Attack - Centre-Forward,"1,92 m",Central African Republic,cf,https://www.transfermarkt.us/habib-habibou/profil/spieler/41261,https://img.a.transfermarkt.technology/portrait/small/41261-1448382725.png?lm=1,N/A,16.04.1987,Bria,Retired
33,Marco Casto,Unknown,157,19,1,11.899,N/A,Casto,Unknown,29,0,R Charleroi SC,Defender - Left-Back,,Belgium,be,https://www.transfermarkt.us/marco-casto/profil/spieler/12904,https://img.a.transfermarkt.technology/portrait/small/12904-1619104225.jpg?lm=1,N/A,02.06.1972,Haine-Saint-Paul,Retired
34,Calogero Taibi,Unknown,112,19,0,7.670,N/A,Taibi,Unknown,7,0,R Charleroi SC,Midfield,Unknown,Belgium,be,https://www.transfermarkt.us/calogero-taibi/profil/spieler/892296,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,16.11.1966,Unknown,Retired
