rank,name,full_name,appearances,goals,assists,minutes_played,period,jersey_name,jersey_number,yellow_cards,red_cards,club,position,height,nation,nation_code,profile_url,image_url,club_logo_url,date_of_birth,place_of_birth,status
1,Patrick Goots,Unknown,139,60,27,9.946,N/A,Goots,Unknown,20,1,Royal Antwerp FC,Attack - Centre-Forward,"1,83 m",Belgium,be,https://www.transfermarkt.us/patrick-goots/profil/spieler/13900,https://img.a.transfermarkt.technology/portrait/small/13900-1556185373.jpg?lm=1,N/A,10.04.1966,Mol,Retired
2,Lior Refaelov,ליאור רפאלוב,112,38,21,8.318,N/A,Refaelov,9,10,0,Royal Antwerp FC,Midfield - Attacking Midfield,"1,73 m",Israel,il,https://www.transfermarkt.us/lior-refaelov/profil/spieler/24484,https://img.a.transfermarkt.technology/portrait/small/24484-1582283722.jpg?lm=1,N/A,26.04.1986,Or Akiva,Maccabi Haifa
3,Dieumerci Mbokani,Dieudonné Mbokani Bezua,105,52,20,8.933,N/A,Mbokani,9,27,0,Royal Antwerp FC,Attack - Centre-Forward,"1,85 m",DR Congo,unknown,https://www.transfermarkt.us/dieumerci-mbokani/profil/spieler/44624,https://img.a.transfermarkt.technology/portrait/small/44624-1604911161.jpg?lm=1,N/A,22.11.1985,Kinshasa,Without Club
4,Aurélio Buta,Aurélio Gabriel Ulineia Buta,128,2,20,9.766,N/A,Buta,14,21,0,Royal Antwerp FC,Defender - Right-Back,"1,72 m",Portugal,pt,https://www.transfermarkt.us/aurelio-buta/profil/spieler/258039,https://img.a.transfermarkt.technology/portrait/small/258039-1725288770.png?lm=1,N/A,10.02.1997,Miconge,Stade Reims
5,Vincent Janssen,Vincent Petrus Anna Sebastiaan Janssen,127,50,19,10.148,N/A,Janssen,18,31,1,Royal Antwerp FC,Attack - Centre-Forward,"1,85 m",Netherlands,nl,https://www.transfermarkt.us/vincent-janssen/profil/spieler/207015,https://img.a.transfermarkt.technology/portrait/small/207015-1659086968.jpg?lm=1,N/A,15.06.1994,Heesch,Royal Antwerp FC
6,Sandro da Silva,Sandro André da Silva,107,12,16,7.821,N/A,da Silva,Unknown,5,0,Royal Antwerp FC,Midfield - Attacking Midfield,"1,70 m",Brazil,br,https://www.transfermarkt.us/sandro-da-silva/profil/spieler/144561,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,05.03.1974,Taubate,Retired
7,Michel-Ange Balikwisha,Unknown,130,25,14,9.112,N/A,Balikwisha,10,8,0,Royal Antwerp FC,Attack - Left Winger,"1,78 m",Belgium,be,https://www.transfermarkt.us/michel-ange-balikwisha/profil/spieler/502239,https://img.a.transfermarkt.technology/portrait/small/502239-1671480373.jpg?lm=1,N/A,10.05.2001,Gent,Royal Antwerp FC
8,Simen Juklerød,Simen Kristiansen Juklerød,87,5,13,6.890,N/A,Juklerød,-,7,0,Royal Antwerp FC,Defender - Left-Back,"1,87 m",Norway,no,https://www.transfermarkt.us/simen-juklerod/profil/spieler/230985,https://img.a.transfermarkt.technology/portrait/small/230985-1616851466.jpg?lm=1,N/A,18.05.1994,Bærum,Sint-Truidense VV
9,Emmerik De Vriese,Unknown,85,14,13,6.075,N/A,De Vriese,Unknown,12,0,Royal Antwerp FC,Midfield,"1,81 m",Belgium,be,https://www.transfermarkt.us/emmerik-de-vriese/profil/spieler/13723,https://img.a.transfermarkt.technology/portrait/small/13723-1664780345.png?lm=1,N/A,14.02.1985,Knokke,KV Hooikt
10,Geoffry Hairemans,Unknown,138,13,12,9.530,N/A,Hairemans,-,18,0,Royal Antwerp FC,Attack - Right Winger,"1,83 m",Belgium,be,https://www.transfermarkt.us/geoffry-hairemans/profil/spieler/110292,https://img.a.transfermarkt.technology/portrait/small/110292-1705503703.jpg?lm=1,N/A,21.10.1991,Wilrijk,KV Mechelen
