name,club,periods
Dirk Beheydt,Cercle Brugge,1975-1984
Kévin Denkey,Cercle Brugge,2021-2025
Sören Skov,Cercle Brugge,1977-1982
Oleg Iachtchouk,Cercle Brugge,2007-2013
Christophe Lauwers,Cercle Brugge,1991-1996
Branko Karacic,Cercle Brugge,1989-1993
Paul Sanders,Cercle Brugge,1982-1988
Franky Vanhaecke,Cercle Brugge,1973-1975
Stijn De Smet,Cercle Brugge,2003-2009
Kalusha Bwalya,Cercle Brugge,1986-1989
Gábor Torma,Cercle Brugge,1994-1997
Frederik Boi,Cercle Brugge,"2001-2011, 2013-2015"
Eddie Krncevic,Cercle Brugge,1985-1986
Thibo Somers,Cercle Brugge,2019-2025
Tom De Sutter,Cercle Brugge,2006-2009
Wim Kooiman,Cercle Brugge,"1980-1988, 1994-1998"
Gerrie Kleton,Cercle Brugge,1976-1978
Yvan Yagan,Cercle Brugge,2015-2017
Benny Nielsen,Cercle Brugge,1971-1974
Bernard Verheecke,Cercle Brugge,"1973-1976, 1983-1985"
Davy Cooreman,Cercle Brugge,"1992-1994, 1995-1998"
Dieter Dekelver,Cercle Brugge,2004-2007
Ayase Ueda,Cercle Brugge,2022-2023
Raf Lapeire,Cercle Brugge,1970-1975
Björn Renty,Cercle Brugge,1994-1998
Dominic Foley,Cercle Brugge,2009-2012
Honour Gombami,Cercle Brugge,2007-2012
Kari Ukkonen,Cercle Brugge,1982-1986
Geert Broeckaert,Cercle Brugge,1978-1991
Filip De Waele,Cercle Brugge,"1974-1981, 1982-1984"
Stephen Buyl,Cercle Brugge,"2011-2015, 2017-2018, 2018-2018"
Dino Hotic,Cercle Brugge,2020-2023
Iké Ugbo,Cercle Brugge,2020-2021
Ad Versluijs,Cercle Brugge,1974-1977
Rudy Wilson,Cercle Brugge,2011-2013
Karel Cornelissen,Cercle Brugge,1985-1986
Darko Pivaljević,Cercle Brugge,2004-2007
Paul Courant,Cercle Brugge,1981-1985
Gianni Bruno,Cercle Brugge,2017-2019
Irvin Cardona,Cercle Brugge,2017-2019
Junior Kabananga,Cercle Brugge,2013-2015
Xavier Mercier,Cercle Brugge,2017-2019
Nordin Jbari,Cercle Brugge,2003-2004
Reynaldo,Cercle Brugge,2010-2011
Kristof D'Haene,Cercle Brugge,2010-2015
Arne Naudts,Cercle Brugge,"2011-2013, 2013-2013, 2013-2014, 2015-2017"
Dorinel Munteanu,Cercle Brugge,1993-1995
Didier Frenay,Cercle Brugge,1987-1994
Kazeem Olaigbe,Cercle Brugge,2023-2025
Mushaga Bakenga,Cercle Brugge,2012-2013
Jean-Pierre Gardin,Cercle Brugge,1969-1977
Sergiy Serebrennikov,Cercle Brugge,"2006-2007, 2007-2011"
Tony Sergeant,Cercle Brugge,2008-2012
Bram van Kerkhof,Cercle Brugge,1974-1985
Tim Smolders,Cercle Brugge,2012-2015
Jan Simoen,Cercle Brugge,1980-1981
Anthony Portier,Cercle Brugge,2006-2013
Alan Minda,Cercle Brugge,2023-2025
John Vercammen,Cercle Brugge,1975-1979
Paulus Roiha,Cercle Brugge,2004-2006
Rabbi Matondo,Cercle Brugge,2021-2022
Bernt Evens,Cercle Brugge,2009-2013
Grégory Mertens,Cercle Brugge,2011-2014
Didier Wittebole,Cercle Brugge,1986-1988
Lonsana Doumbouya,Cercle Brugge,2015-2016
Michael Uchebo,Cercle Brugge,2012-2014
Dylan De Belder,Cercle Brugge,2017-2020
Guevin Tormin,Cercle Brugge,2017-2019
Anthony Annicaert,Cercle Brugge,"1991-1996, 1996-1998"
Patrick Ipermans,Cercle Brugge,1986-1989
Igor Vetokele,Cercle Brugge,2011-2012
Hans Cornelis,Cercle Brugge,2009-2015
Andrew Vlahos,Cercle Brugge,2003-2005
Morten Olsen,Cercle Brugge,1972-1976
Mathieu Maertens,Cercle Brugge,2014-2017
Jelle Vossen,Cercle Brugge,2009-2010
Sam Valcke,Cercle Brugge,2014-2016
Kristof Snelders,Cercle Brugge,2007-2009
Vusumuzi Nyoni,Cercle Brugge,2006-2010
Rudy Poorteman,Cercle Brugge,1979-1991
Roland Boey,Cercle Brugge,1971-1976
Bert Lamaire,Cercle Brugge,1989-1997
Faris Haroun,Cercle Brugge,2014-2017
Günther Nasdalla,Cercle Brugge,1976-1978
Fernand Goyvaerts,Cercle Brugge,1971-1973
Jérémy Taravel,Cercle Brugge,2017-2021
Felipe Augusto,Cercle Brugge,2024-2025
Harold Meyssen,Cercle Brugge,2003-2006
Brian Pinas,Cercle Brugge,2005-2006
Didier Six,Cercle Brugge,1980-1981
