name,club,periods
Jelle Vossen,KRC Genk,"2007-2009, 2010-2014, 2015-2015"
Branko Strupar,KRC Genk,1994-1999
Paul Onuachu,KRC Genk,2019-2023
Ally Samatta,KRC Genk,"2016-2020, 2022-2023"
Wesley Sonck,KRC Genk,2000-2003
Kevin Vandenbergh,KRC Genk,2002-2007
Willy van Woerkum,KRC Genk,
Elyaniv Barda,KRC Genk,2007-2013
Thomas Buffel,KRC Genk,2009-2018
Souleymane Oulare,KRC Genk,1996-1999
Joseph Paintsil,KRC Genk,"2018-2020, 2021-2024"
Leandro Trossard,KRC Genk,"2010-2013, 2013-2013, 2014-2014, 2015-2015, 2016-2019"
Bernd Thijs,KRC Genk,2000-2004
Thórdur Gudjónsson,KRC Genk,1997-2000
Moumouni Dagano,KRC Genk,2001-2003
Carmel Busuttil,KRC Genk,1988-1994
Théo Bongonda,KRC Genk,2019-2022
Karl Berger,KRC Genk,
Tolu Arokodare,KRC Genk,2023-2025
Mathieu Denier,KRC Genk,
Bryan Heynen,KRC Genk,2013-2025
Nikolaos Karelis,KRC Genk,"2016-2018, 2019-2019"
Koen Daerden,KRC Genk,1999-2006
Patrick Goots,KRC Genk,1991-1994
Ruslan Malinovskyi,KRC Genk,"2016-2017, 2017-2019"
Junya Ito,KRC Genk,"2019-2020, 2020-2022"
Johan Devrindt,KRC Genk,
Pierre Denier,KRC Genk,
Alejandro Pozuelo,KRC Genk,2015-2019
Marc Hendrikx,KRC Genk,1997-2001
Julien Gorius,KRC Genk,2012-2016
Mike Origi,KRC Genk,1998-2001
Dániel Tőzsér,KRC Genk,2008-2012
Christian Benteke,KRC Genk,"2006-2009, 2011-2012"
Daniel Muñoz,KRC Genk,2020-2024
Bart Goor,KRC Genk,1996-1997
Zoran Ban,KRC Genk,1999-2001
Mirsad Beslija,KRC Genk,2001-2006
Patrik Hrosovsky,KRC Genk,2019-2025
Ngoy N'Sumbu,KRC Genk,1997-2000
Kristian Thorstvedt,KRC Genk,2020-2022
Kevin De Bruyne,KRC Genk,"2006-2012, 2012-2012"
Benjamin De Ceulaer,KRC Genk,2012-2015
Sébastien Dewaest,KRC Genk,"2015-2021, 2021-2021, 2022-2023"
Faris Haroun,KRC Genk,2002-2008
Gert Claessens,KRC Genk,"1992-1994, 2004-2007"
Siebe Schrijvers,KRC Genk,"2012-2016, 2017-2018"
Leon Bailey,KRC Genk,2015-2017
Nenad Stojanovic,KRC Genk,2005-2006
Frane Bucan,KRC Genk,"1989-1991, 1992-1994"
Orlando Engelaar,KRC Genk,2004-2006
Ferenc Horváth,KRC Genk,1998-2000
Fabien Camus,KRC Genk,"2009-2012, 2013-2014, 2015-2015"
Thomas Chatelle,KRC Genk,2000-2008
Mathy Billen,KRC Genk,
Cédric Roussel,KRC Genk,2003-2004
Ilombe Mboyo,KRC Genk,2013-2015
Glynor Plet,KRC Genk,2012-2013
Goran Ljubojevic,KRC Genk,2006-2009
João Carlos,KRC Genk,2008-2011
Paul Theunis,KRC Genk,
Igor de Camargo,KRC Genk,"2000-2003, 2004-2005, 2015-2016"
Wouter Vrancken,KRC Genk,2006-2008
Ivan Bosnjak,KRC Genk,2006-2009
Cyriel Dessers,KRC Genk,"2020-2021, 2022-2022"
Leo Van der Elst,KRC Genk,1990-1994
Josip Skoko,KRC Genk,2000-2003
Dieumerci Ndongala,KRC Genk,"2018-2018, 2018-2020, 2020-2020"
Bob Peeters,KRC Genk,2005-2006
Bennard Kumordzi,KRC Genk,2012-2017
Salif Keita,KRC Genk,"1997-1998, 1999-1999"
Armand Thaeter,KRC Genk,
Sören Lindsted,KRC Genk,
Rudi Janssens,KRC Genk,
Hyeon-gyu Oh,KRC Genk,2024-2025
Guido Davids,KRC Genk,
László Gyimesi,KRC Genk,1988-1992
Yira Sor,KRC Genk,2023-2025
Sekou Cissé,KRC Genk,"2014-2015, 2016-2016"
Jarne Steuckers,KRC Genk,2024-2025
Mike Trésor,KRC Genk,"2021-2023, 2024-2024"
Besnik Hasi,KRC Genk,"1994-1997, 1998-2000"
Neeskens Kebano,KRC Genk,2015-2016
Andi Zeqiri,KRC Genk,"2023-2024, 2025-2025"
David Paas,KRC Genk,2000-2002
Wilfried Delbroek,KRC Genk,"1995-2003, 2004-2004"
Luc Thijs,KRC Genk,
Steven Joseph-Monrose,KRC Genk,2012-2015
Marcus Ingvartsen,KRC Genk,2017-2019
Tony Rombouts,KRC Genk,
Eric Matoukou,KRC Genk,"2002-2002, 2003-2011"
Luc Beyens,KRC Genk,1992-1994
Khaleem Hyland,KRC Genk,2011-2015
Anele Ngcongca,KRC Genk,"2007-2015, 2016-2016"
