name,club,periods
Bjorn Ruytinx,Oud-Heverlee Leuven,2004-2014
Mathieu Maertens,Oud-Heverlee Leuven,2017-2025
Thomas Henry,Oud-Heverlee Leuven,2019-2021
Jovan Kostovski,Oud-Heverlee Leuven,2013-2019
Jordan Remacle,Oud-Heverlee Leuven,"2010-2012, 2015-2016"
Toni Brogno,Oud-Heverlee Leuven,2006-2008
Hamdi Harbaoui,Oud-Heverlee Leuven,2010-2011
Ibou,Oud-Heverlee Leuven,"2012-2013, 2014-2014"
Esteban Casagolda,Oud-Heverlee Leuven,2016-2019
Jón Dagur Thorsteinsson,Oud-Heverlee Leuven,2022-2024
John Bostock,Oud-Heverlee Leuven,2014-2016
Thomas Azevedo,Oud-Heverlee Leuven,"2011-2014, 2014-2018, 2018-2018"
Xavier Mercier,Oud-Heverlee Leuven,2019-2022
Derick Ogbu,Oud-Heverlee Leuven,2011-2013
Yanick Aguemon,Oud-Heverlee Leuven,2017-2022
Siebe Schrijvers,Oud-Heverlee Leuven,2021-2025
Alessandro Cerigioni,Oud-Heverlee Leuven,2013-2016
Samuel Remy,Oud-Heverlee Leuven,2005-2007
Tail Schoonjans,Oud-Heverlee Leuven,"2005-2012, 2012-2012"
Kevin Janssens,Oud-Heverlee Leuven,"2005-2008, 2009-2009"
Yohan Croizet,Oud-Heverlee Leuven,"2014-2016, 2020-2021"
Kamal Sowah,Oud-Heverlee Leuven,2018-2021
Karel Geraerts,Oud-Heverlee Leuven,2011-2014
Sory Kaba,Oud-Heverlee Leuven,2021-2022
Nikola Storm,Oud-Heverlee Leuven,2017-2018
Thomas Matton,Oud-Heverlee Leuven,2007-2008
Youssef Maziz,Oud-Heverlee Leuven,2023-2025
Mousa Tamari,Oud-Heverlee Leuven,2020-2023
Frédéric Duplus,Oud-Heverlee Leuven,2018-2021
Osahon Eboigbe,Oud-Heverlee Leuven,2008-2010
Leandro Trossard,Oud-Heverlee Leuven,2015-2016
Frédéric Vanderbiest,Oud-Heverlee Leuven,2008-2009
Najib El Abbadi,Oud-Heverlee Leuven,2005-2006
Ivica Jarakovic,Oud-Heverlee Leuven,"2008-2010, 2010-2010"
Casper De Norre,Oud-Heverlee Leuven,"2020-2021, 2021-2023"
Elliott Moore,Oud-Heverlee Leuven,2017-2019
Stijn Francis,Oud-Heverlee Leuven,2004-2008
Evariste Ngolok,Oud-Heverlee Leuven,2012-2014
Nachon Nsingi,Oud-Heverlee Leuven,"2022-2024, 2025-2025, 2025-2025"
Nils Schouterden,Oud-Heverlee Leuven,2007-2009
Wouter Scheelen,Oud-Heverlee Leuven,2010-2011
Boy-Boy Mosia,Oud-Heverlee Leuven,2006-2008
Maxime Annys,Oud-Heverlee Leuven,2009-2012
David Vandenbroeck,Oud-Heverlee Leuven,2014-2016
Kurt Weuts,Oud-Heverlee Leuven,2009-2011
Ezechiel Banzuzi,Oud-Heverlee Leuven,2023-2025
Julien Gorius,Oud-Heverlee Leuven,2017-2019
James Lahousse,Oud-Heverlee Leuven,2007-2009
Mohamed Messoudi,Oud-Heverlee Leuven,2013-2014
Chukwubuikem Ikwuemesi,Oud-Heverlee Leuven,2024-2025
Derrick Tshimanga,Oud-Heverlee Leuven,2017-2021
Yohan Brouckaert,Oud-Heverlee Leuven,"2014-2015, 2016-2016"
Ibrahim Somé,Oud-Heverlee Leuven,2014-2015
Kenneth Schuermans,Oud-Heverlee Leuven,2017-2021
Nathaniel Opoku,Oud-Heverlee Leuven,2023-2024
Konan N’Dri,Oud-Heverlee Leuven,2023-2025
Koen Weuts,Oud-Heverlee Leuven,2009-2013
Sophiane Baghdad,Oud-Heverlee Leuven,2007-2008
Ewoud Pletinckx,Oud-Heverlee Leuven,2022-2025
Nicky Hayen,Oud-Heverlee Leuven,"2010-2012, 2013-2013"
Samy Kehli,Oud-Heverlee Leuven,"2018-2018, 2018-2021"
Yanis Mbombo,Oud-Heverlee Leuven,2019-2020
Wim Raymaekers,Oud-Heverlee Leuven,2010-2014
Federico Ricca,Oud-Heverlee Leuven,2022-2025
Koen Persoons,Oud-Heverlee Leuven,2017-2019
Jonatan Braut Brunes,Oud-Heverlee Leuven,"2023-2024, 2025-2025"
Lander Van Steenbrugghe,Oud-Heverlee Leuven,2008-2010
Romain Reynaud,Oud-Heverlee Leuven,"2014-2014, 2014-2017"
Denis Odoi,Oud-Heverlee Leuven,2006-2009
David Hubert,Oud-Heverlee Leuven,2017-2021
Joeri Dequevy,Oud-Heverlee Leuven,2018-2019
Kenneth Van Goethem,Oud-Heverlee Leuven,"2010-2015, 2016-2016"
Serge Tabekou,Oud-Heverlee Leuven,2016-2017
Thibault Vlietinck,Oud-Heverlee Leuven,"2020-2022, 2022-2025"
Yannick Loemba,Oud-Heverlee Leuven,2016-2017
Tom Van Hyfte,Oud-Heverlee Leuven,2019-2020
Frederik Boi,Oud-Heverlee Leuven,2011-2013
Hamza Mendyl,Oud-Heverlee Leuven,2022-2025
Sascha Kotysch,Oud-Heverlee Leuven,2019-2021
Stefán Gíslason,Oud-Heverlee Leuven,2012-2014
Kristiyan Malinov,Oud-Heverlee Leuven,2020-2023
Daan Vaesen,Oud-Heverlee Leuven,2009-2010
Florian Miguel,Oud-Heverlee Leuven,2023-2024
Cenk Özkacar,Oud-Heverlee Leuven,2021-2022
Jarno Libert,Oud-Heverlee Leuven,2017-2019
Richie Sagrado,Oud-Heverlee Leuven,2023-2024
Sofian Kiyine,Oud-Heverlee Leuven,2022-2024
Kevin Serville,Oud-Heverlee Leuven,2006-2008
William Balikwisha,Oud-Heverlee Leuven,2024-2025
Louis Patris,Oud-Heverlee Leuven,2021-2023
Robson,Oud-Heverlee Leuven,2012-2014
Joeri Vastmans,Oud-Heverlee Leuven,2005-2012
Pierre-Yves Ngawa,Oud-Heverlee Leuven,"2015-2017, 2019-2023, 2024-2024"
Kenneth Houdret,Oud-Heverlee Leuven,"2015-2016, 2016-2017"
Fabrice Omonga Djadi,Oud-Heverlee Leuven,"2007-2007, 2007-2008"
Jeroen Steenwegen,Oud-Heverlee Leuven,"2005-2007, 2009-2009"
Joren Dom,Oud-Heverlee Leuven,2022-2024
Azubuike Oliseh,Oud-Heverlee Leuven,2009-2010
Pieter Beckers,Oud-Heverlee Leuven,2009-2011
