name,club,periods
Francis Severeyns,Royal Antwerp FC,"1984-1988, 1992-1997"
Karl Kodat,Royal Antwerp FC,1971-1977
Marc Van Der Linden,Royal Antwerp FC,1981-1989
Harry Cnops,Royal Antwerp FC,1979-1988
Alex Czerniatynski,Royal Antwerp FC,"1981-1982, 1989-1993"
Hans-Peter Lehnhoff,Royal Antwerp FC,1987-1994
Willy Geurts,Royal Antwerp FC,1976-1980
Patrick Goots,Royal Antwerp FC,1999-2004
Darko Pivaljević,Royal Antwerp FC,"1997-2000, 2003-2004, 2007-2011"
Nico Claesen,Royal Antwerp FC,"1988-1992, 1993-1994"
Dieumerci Mbokani,Royal Antwerp FC,2018-2021
László Fazekas,Royal Antwerp FC,1980-1984
Vincent Janssen,Royal Antwerp FC,2022-2025
Frans van Rooij,Royal Antwerp FC,1986-1991
William Owusu,Royal Antwerp FC,"2014-2016, 2016-2019"
Florent Bohez,Royal Antwerp FC,1959-1973
Alfred Riedl,Royal Antwerp FC,1974-1976
Kevin Oris,Royal Antwerp FC,2009-2012
Lior Refaelov,Royal Antwerp FC,"2018-2019, 2019-2021"
Fangzhuo Dong,Royal Antwerp FC,2004-2007
Karel Beyers,Royal Antwerp FC,1961-1974
Michael Frey,Royal Antwerp FC,"2021-2023, 2023-2024"
Leo Van der Elst,Royal Antwerp FC,1979-1984
Ove Eklund,Royal Antwerp FC,1971-1974
Alexandre Di Gregorio,Royal Antwerp FC,"2004-2007, 2010-2011"
Peter Utaka,Royal Antwerp FC,2007-2008
Emmanuel Kenmogne,Royal Antwerp FC,2007-2010
Wim Kiekens,Royal Antwerp FC,1989-1998
Luciano Olguín,Royal Antwerp FC,2005-2008
Michel-Ange Balikwisha,Royal Antwerp FC,2021-2025
Flemming Lund,Royal Antwerp FC,1972-1976
Emrullah Güvenc,Royal Antwerp FC,2013-2015
Fraizer Campbell,Royal Antwerp FC,2006-2007
Roger Van Gool,Royal Antwerp FC,"1967-1974, 1981-1982"
Didier Lamkel Zé,Royal Antwerp FC,"2018-2021, 2022-2022, 2022-2022, 2022-2022"
Joeri Dequevy,Royal Antwerp FC,2015-2018
Ganiyu Owolabi,Royal Antwerp FC,"1995-1997, 1997-2000"
Tony Sergeant,Royal Antwerp FC,2000-2004
Krist Porte,Royal Antwerp FC,1993-1996
Gyrano Kerk,Royal Antwerp FC,"2023-2024, 2024-2025"
Pétur Pétursson,Royal Antwerp FC,1982-1984
Jef Van Gool,Royal Antwerp FC,1954-1966
Stallone Limbombe,Royal Antwerp FC,2014-2018
Omar Mussa,Royal Antwerp FC,2001-2004
Emmanuel Godfroid,Royal Antwerp FC,1994-1998
Rudi Smidts,Royal Antwerp FC,1984-1997
Tibor Tisza,Royal Antwerp FC,2009-2010
Patrick Ipermans,Royal Antwerp FC,1979-1986
Xavier Caers,Royal Antwerp FC,1967-1978
Tjaronn Chery,Royal Antwerp FC,2024-2025
Toby Alderweireld,Royal Antwerp FC,2022-2025
Emmerik De Vriese,Royal Antwerp FC,2008-2011
Jos Heyligen,Royal Antwerp FC,1974-1977
George Ilenikhena,Royal Antwerp FC,2023-2024
Darko Lukanovic,Royal Antwerp FC,"2005-2007, 2008-2009"
Geoffry Hairemans,Royal Antwerp FC,"2009-2010, 2015-2019"
John De Schrijver,Royal Antwerp FC,1974-1978
Thierry Pister,Royal Antwerp FC,1986-1989
Freddy Mombongo-Dues,Royal Antwerp FC,2012-2014
Ruud Kaiser,Royal Antwerp FC,"1979-1981, 1982-1982"
Ulrich Thychosen,Royal Antwerp FC,1977-1980
Urbain Segers,Royal Antwerp FC,1965-1968
Zarko Jelicic,Royal Antwerp FC,2007-2010
Sandro da Silva,Royal Antwerp FC,1996-2001
Wilfried Van Moer,Royal Antwerp FC,1965-1968
Paolo Lallo,Royal Antwerp FC,"1978-1980, 1983-1984"
Louis van Gaal,Royal Antwerp FC,1973-1977
Ki-hyeon Seol,Royal Antwerp FC,2000-2001
Jurgen Ekkelenkamp,Royal Antwerp FC,2022-2024
Nico Broeckaert,Royal Antwerp FC,1989-1996
Bimbo Fatokun Lanre,Royal Antwerp FC,1995-2002
Ralf Geilenkirchen,Royal Antwerp FC,1988-1991
Eddy Snelders,Royal Antwerp FC,1976-1980
Ronny Van Rethy,Royal Antwerp FC,1985-1996
Vladimir Petrovic,Royal Antwerp FC,1983-1985
Stavros Glouftsis,Royal Antwerp FC,"2007-2008, 2010-2011"
İbrahim Yattara,Royal Antwerp FC,2000-2003
Koji Miyoshi,Royal Antwerp FC,"2019-2020, 2020-2023"
Jordan Faucher,Royal Antwerp FC,"2012-2014, 2014-2014"
Arbnor Muja,Royal Antwerp FC,2022-2024
Ivo Rodrigues,Royal Antwerp FC,"2017-2018, 2018-2021"
Pieter Gerkens,Royal Antwerp FC,2020-2023
Eddy Bertels,Royal Antwerp FC,1950-1963
André Heerwegh,Royal Antwerp FC,"1972-1976, 1978-1984, 1985-1985"
Gaston Boeckstaens,Royal Antwerp FC,1977-1985
Peter Anderson,Royal Antwerp FC,1975-1978
René Desaeyere,Royal Antwerp FC,1971-1978
Ally Samatta,Royal Antwerp FC,2021-2022
Georgios Sideris,Royal Antwerp FC,1970-1972
Faris Haroun,Royal Antwerp FC,2017-2023
Souleymane Mamam,Royal Antwerp FC,"2003-2007, 2007-2008"
Kevin Baert,Royal Antwerp FC,2005-2011
William Verbeeck,Royal Antwerp FC,1995-2004
Benson Manuel,Royal Antwerp FC,"2019-2021, 2021-2022"
Dirk Goossens,Royal Antwerp FC,"1988-1989, 1990-1991, 1991-1991"
Dragan Jakovljevic,Royal Antwerp FC,1991-1996
Alex Verniers,Royal Antwerp FC,1984-1986
