name,club,periods
Paul Van Himst,RSC Anderlecht,1959-1975
Rob Rensenbrink,RSC Anderlecht,1971-1980
Luc Nilis,RSC Anderlecht,1986-1994
Jan Mulder,RSC Anderlecht,1965-1972
François Van der Elst,RSC Anderlecht,1971-1980
Erwin Vandenbergh,RSC Anderlecht,1982-1986
Frank Vercauteren,RSC Anderlecht,1975-1987
Pär Zetterberg,RSC Anderlecht,"1993-2000, 2003-2006"
Marc Degryse,RSC Anderlecht,1989-1995
John Bosman,RSC Anderlecht,1991-1996
Johan Devrindt,RSC Anderlecht,1964-1970
Jacques Stockman,RSC Anderlecht,"1957-1966, 1972-1973"
Eddie Krncevic,RSC Anderlecht,1986-1989
Ludo Coeck,RSC Anderlecht,1972-1983
Nenad Jestrovic,RSC Anderlecht,2001-2006
Matías Suárez,RSC Anderlecht,2008-2016
Aruna Dindane,RSC Anderlecht,2000-2005
Tomasz Radzinski,RSC Anderlecht,1998-2001
Juan Lozano,RSC Anderlecht,"1981-1983, 1985-1989"
Guillaume Gillet,RSC Anderlecht,"2008-2014, 2015-2016"
Wilfried Puis,RSC Anderlecht,1960-1971
Moubarak Boussoufa,RSC Anderlecht,2006-2011
Enzo Scifo,RSC Anderlecht,"1982-1987, 1997-2000"
Alex Czerniatynski,RSC Anderlecht,1982-1985
Jan Koller,RSC Anderlecht,1999-2001
Arnór Gudjohnsen,RSC Anderlecht,1983-1990
Nicolás Frutos,RSC Anderlecht,2006-2010
Bart Goor,RSC Anderlecht,"1997-2001, 2005-2009"
Arie Haan,RSC Anderlecht,1975-1981
Walter Baseggio,RSC Anderlecht,"1996-2006, 2006-2006, 2007-2008"
Dieumerci Mbokani,RSC Anderlecht,"2006-2007, 2011-2013"
Tom De Sutter,RSC Anderlecht,2009-2013
Bruno Versavel,RSC Anderlecht,1992-1997
Luis Oliveira,RSC Anderlecht,1988-1992
Gilbert Van Binst,RSC Anderlecht,1968-1980
Benny Nielsen,RSC Anderlecht,1977-1981
Lukasz Teodorczyk,RSC Anderlecht,"2016-2017, 2017-2018"
Inge Ejderstedt,RSC Anderlecht,1970-1974
Aleksandar Mitrović,RSC Anderlecht,2013-2015
Per Frimann,RSC Anderlecht,"1982-1988, 1988-1989"
Oleg Iachtchouk,RSC Anderlecht,1996-2006
Romelu Lukaku,RSC Anderlecht,2009-2011
Georges Grün,RSC Anderlecht,"1982-1990, 1994-1996"
Gilles De Bilde,RSC Anderlecht,"1995-1997, 2001-2003, 2004-2004"
Attila Ladinszky,RSC Anderlecht,1973-1975
Danny Boffin,RSC Anderlecht,1991-1997
Thomas Nordahl,RSC Anderlecht,1968-1971
Kasper Dolberg,RSC Anderlecht,2023-2025
Youri Tielemans,RSC Anderlecht,2013-2017
Ruud Geels,RSC Anderlecht,1978-1979
Gerard Bergholtz,RSC Anderlecht,1965-1970
Yaw Preko,RSC Anderlecht,1992-1997
Ivica Mornar,RSC Anderlecht,2001-2004
Alin Stoica,RSC Anderlecht,1996-2002
Massimo Bruno,RSC Anderlecht,"2012-2014, 2016-2018"
Anders Dreyer,RSC Anderlecht,2023-2025
Mbo Mpenza,RSC Anderlecht,2004-2008
Yari Verschaeren,RSC Anderlecht,2019-2025
Willy Geurts,RSC Anderlecht,1980-1982
Jonathan Legear,RSC Anderlecht,2004-2011
Michel De Groote,RSC Anderlecht,"1974-1977, 1979-1989"
Jef Jurion,RSC Anderlecht,1954-1968
Roland Juhász,RSC Anderlecht,"2005-2013, 2013-2013"
Francis Amuzu,RSC Anderlecht,2018-2025
Dennis Praet,RSC Anderlecht,2011-2016
Lior Refaelov,RSC Anderlecht,2021-2023
Ahmed Hassan,RSC Anderlecht,2006-2008
Sacha Kljestan,RSC Anderlecht,2010-2015
Bertrand Crasson,RSC Anderlecht,"1989-1996, 1998-2003"
Mémé Tchité,RSC Anderlecht,2006-2007
Ki-hyeon Seol,RSC Anderlecht,2001-2004
Milan Jovanovic,RSC Anderlecht,2011-2013
Glen De Boeck,RSC Anderlecht,1995-2005
Sofiane Hanni,RSC Anderlecht,2016-2018
Stephen Keshi,RSC Anderlecht,1987-1991
Frank Acheampong,RSC Anderlecht,"2013-2013, 2013-2017, 2017-2018"
Marcin Wasilewski,RSC Anderlecht,2007-2013
Marc Van Der Linden,RSC Anderlecht,1989-1991
Lukas Nmecha,RSC Anderlecht,2020-2021
Peter Ressel,RSC Anderlecht,1975-1977
Benito Raman,RSC Anderlecht,2021-2024
Jelle Van Damme,RSC Anderlecht,2006-2010
Josip Weber,RSC Anderlecht,1994-1997
Serhat Akın,RSC Anderlecht,"2005-2007, 2007-2008"
Henrik Andersen,RSC Anderlecht,1982-1990
Joshua Zirkzee,RSC Anderlecht,2021-2022
Frank Arnesen,RSC Anderlecht,1983-1985
André De Nul,RSC Anderlecht,1973-1975
Patrick Vervoort,RSC Anderlecht,1987-1990
Stefano Okaka,RSC Anderlecht,2015-2016
Johan Walem,RSC Anderlecht,1991-1997
Christian Wilhelmsson,RSC Anderlecht,2003-2006
Hannu Tihinen,RSC Anderlecht,2002-2006
Wim Kooiman,RSC Anderlecht,1988-1994
Lucas Biglia,RSC Anderlecht,2006-2013
Ronny Martens,RSC Anderlecht,1977-1981
Ivan Santini,RSC Anderlecht,2018-2019
Kanu,RSC Anderlecht,"2008-2008, 2009-2009, 2009-2013"
